@relation shape
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute class {0,1,2,3,4,5,6,7,8}
@data
57.5603983757,54.3184421286,21.8101624727,1.70316232884,21.0220076433,47.1967469279,77.9852190292,71.9588395125,77.7074606129,50.7703358329,44.7018160195,15.0367323511,18.8511174012,39.9151045835,85.557611243,86.0162375869,66.4897341294,0
61.7318607493,55.5738847864,20.5663487735,0.721816780338,24.5443069391,41.0595078639,73.3935977324,72.4296297684,77.4087804785,47.0844482403,52.2180554485,18.69484393,14.754094492,37.7813167029,84.0833952576,91.2716624506,70.7982340826,0
60.1771270196,55.3875119002,21.255271112,0.436513681815,22.2028577744,48.7938170257,63.7359357497,75.2161670969,74.6300175054,52.4436560681,47.1954398832,15.5878507626,17.4943385275,39.7804927563,86.4105045082,88.7330473278,69.2648177882,0
69.3265482119,63.1811126922,42.5172541987,17.5559429366,4.75553641727,34.7194058881,64.8941412539,72.2822347075,82.1507719879,58.1788908636,63.7275079672,28.5572928835,3.48695998317,26.3502970211,71.5812746523,82.5639952138,71.9859444105,0
51.3960058706,50.0343296866,21.6189097794,1.61185909113,17.101622378,40.8886686507,71.6395984633,79.9344140519,85.1735685536,62.0486690863,47.4586500425,14.8841278488,22.1925141389,41.0153941022,86.1663644366,79.5443449529,60.1107370573,0
55.6340974946,39.350512843,7.8119122623,12.2013523215,28.499769324,50.9663067037,79.0324055846,70.751978114,77.252890011,48.5513024801,32.9967647714,19.8291023632,27.8536557812,43.4014303301,92.2122864378,81.0491211358,64.1694249634,0
58.7073600539,55.3159727672,22.7516529705,3.09244234054,20.3206547471,45.3543092063,78.425110194,72.2554075059,77.9739643705,51.0406406857,45.1277958927,15.4259444472,18.3911523978,36.2858547809,86.3131781797,86.8182319991,67.6049979584,0
64.2929442848,54.8676077373,17.8310201719,10.0299062372,28.4735259849,40.9982399826,70.1012515531,73.6304567065,78.5706637362,50.286543277,46.2314842478,20.8781782677,13.0030617569,33.6807256555,83.5765055974,95.9398028811,73.4186137114,0
48.2364451917,45.3857395187,21.4406631551,3.59702759627,20.9834328904,46.5283220481,79.7368021045,90.6035167881,74.6688583414,44.4836811044,34.9562464922,19.2833895255,28.5839663515,44.0311105577,87.4206441736,74.3758931956,56.6378912436,0
79.1911038949,80.6855402377,52.4400717525,37.1433512392,9.10401760582,20.4022424603,44.2525663169,65.5124708709,86.3464633061,69.5421024298,69.0688216551,41.2543656693,10.8937949378,11.8192241136,44.8760667164,69.3282931616,79.6182138342,0
58.8547055349,56.0697794864,24.0955327139,2.88516640147,18.999164797,45.2544548303,75.6360846116,72.340953698,77.9732448391,51.9215097617,48.5578549962,18.1895941949,15.6912473954,36.2045443234,79.0008290489,93.8526587179,67.7345443745,0
52.4909908943,50.035751905,23.3456121733,14.3941680009,18.7128788158,48.380292026,79.9763337885,74.2758321258,81.6982667076,52.9886932183,41.438522814,10.608991688,19.2481251941,38.1735230174,83.8057767777,83.2887225049,61.7461837187,0
64.8158974484,58.516206705,14.4758185013,2.02339689293,20.9267404448,45.0753558626,76.2792485355,69.1317509123,73.1183130219,46.6816728121,44.6126740605,25.1625709616,16.6353024477,40.741866075,88.6007796292,90.491347426,73.5780957943,0
58.6481350291,51.9266386303,16.811727965,0.874126337706,26.5418036357,52.1654281258,81.5901585221,61.5123054704,77.674711276,50.1929406456,42.737927174,11.710769242,21.4811571985,44.4980555185,94.9115804348,80.6554844591,67.6771458289,0
76.2478674848,69.029736603,59.1078846759,93.4683963635,42.2987497778,10.7586125237,18.3899825363,53.3786775698,73.6566845103,50.7066237751,69.5791633218,73.9068499099,34.444514712,4.56660664937,8.41603093153,51.7023410937,74.6718511017,1
79.9664914703,65.3327980132,52.7935719465,88.0893926138,50.5574031817,12.5114131341,18.6249533152,56.9501542719,73.4855114631,46.052120494,63.3681479745,76.9149525568,36.803862969,6.61841307918,4.54826168059,50.5509771761,78.1534274232,1
74.515828197,68.2780898585,57.8384140143,90.865669246,46.6822868967,12.7718178361,19.1706439072,70.999942783,63.4748514727,50.7671573263,78.5660614158,60.9836361184,30.2906874207,2.28033815642,7.94080632841,51.8136044903,73.0470581872,1
77.7619910233,69.4665847626,58.8434702562,92.9445864272,41.1214236731,11.3970452334,19.614775628,52.6411255162,72.7837866345,50.3270062324,69.9612654991,74.3531008362,34.3843079689,3.40853814218,8.05399653632,52.4518745895,76.1193680563,1
79.5132817368,69.6793721789,59.2638667157,95.1895488685,45.1729020781,10.3220214652,19.2566929859,51.4015218581,69.360994855,53.7916567454,68.778462234,68.3221357601,34.8386016489,5.60795656007,4.75233434382,52.5920872865,77.5683817943,1
68.5865756501,63.0951509016,51.5906299035,78.5176857928,53.3068131084,22.5600417601,4.6839492216,44.7898865961,80.5324340222,56.564130817,71.4635239331,73.7359417078,37.4017607494,0.0,11.5007503771,54.1571787816,67.930666694,1
72.7137564516,72.1156176773,63.4158070344,87.8705582959,38.6745552583,8.79346185023,20.5362115107,53.0027597193,72.530848708,54.3758207307,75.0123997313,65.9642593895,32.1934442403,2.06454059499,12.7373499397,54.5079352447,71.4143224882,1
84.2249383123,55.9550932227,50.8921148252,97.8976655375,46.5652954622,12.5042278054,16.2865011892,52.8882412028,75.4097608534,50.9781572909,69.9917709357,75.8285917769,34.8502376587,3.65223017373,11.0491493837,55.5969181253,82.2441654302,1
88.2380044767,44.4790024021,44.5685762546,100.0,41.8404228467,11.7382214212,19.8266758279,56.0400971531,72.7143174803,50.1710347597,70.9203189262,74.264177314,33.5815900031,2.64167750912,15.3051700851,59.3259740045,86.2868716234,1
79.3490043671,73.1831812608,46.7225888146,93.2454814046,37.6552835377,10.348656482,22.0701986842,56.845407524,71.3366915372,49.8406267933,69.9970912357,71.5649515703,32.9835908988,2.8255363523,11.3772217122,54.3196396728,77.7286177316,1
77.7798009702,70.2267456065,59.4945883204,93.0108695902,43.680313585,11.4357033505,16.2736573543,51.1882720276,74.6548567941,50.9355968902,68.7557441719,76.7778683259,36.6430872836,7.34652707403,5.51014736334,46.8125691738,75.1323942194,1
80.3394869297,61.3529718244,53.0641099064,96.7177386142,44.0015282082,11.6908926578,17.9422726768,53.6190742067,74.3266361664,50.7613505756,69.7627222506,74.528688191,34.3269919877,3.93936156235,10.1755998108,53.7848948467,78.5650501257,1
75.6467964111,69.392242403,59.5772407734,93.0661836366,38.7961558223,9.57259693134,24.5551530587,58.7235071654,70.9143884527,50.0324263638,70.2761848263,70.4670849176,32.5584245901,2.70001123675,9.40282664365,52.1405931153,74.128150926,1
78.8624942768,70.0868299946,58.5840589765,91.1542309648,49.026583968,13.435268077,15.2147509014,50.5606293496,73.0688894785,48.604209805,65.0268863455,74.1178926111,36.4291884342,7.4455323956,0.0,52.4440498571,76.8494341462,1
88.7131290791,64.05076421,36.7525265932,35.000865037,48.2285506792,48.7767056638,30.299853728,22.1032306229,41.5197022078,20.1617703161,14.7663613644,42.5969765226,54.7058766602,64.1580422615,87.0511149858,80.0542653595,87.2671226816,2
89.7017347924,54.4084270311,22.130532546,36.5737294048,44.3651643882,58.3800331444,29.6875451424,22.8038608732,52.7643355698,9.15444383493,30.4779269289,46.3998501015,44.9962988634,62.1740409143,95.9824143788,84.2272193058,88.2711183319,2
92.1226912169,62.638689762,39.5552393283,34.0847608358,48.4929038269,47.5437745956,17.6843643454,32.3419233421,45.680858952,25.7083627591,9.86006037968,41.4521721534,49.4512696382,64.4772248791,86.9593876737,79.8008706515,89.6897084007,2
89.9393556308,58.8390481052,31.8458376875,40.4383221276,49.1856049715,46.9043162825,20.3201820626,36.4553745403,44.30665025,7.43216847427,19.3876186991,52.1413494594,53.8795333403,69.2606703252,85.7703326496,77.8018750383,87.3930272891,2
88.6373014374,67.292349999,43.3472260882,42.0354696977,40.1427507392,53.871010952,29.190607641,29.6789852985,39.4060527085,4.07711956943,22.8016136908,53.2392425469,57.1754363,67.4296978448,78.4032886067,73.8946265134,84.8675786855,2
83.8931164647,66.2287137832,41.8265096886,40.0592724155,46.3740562247,40.5937991264,16.0324804866,31.4179097592,43.5177286132,3.88152695808,25.9400734001,60.0088968802,63.0622712824,71.3542918668,76.7700661517,69.3992036827,80.8229605428,2
85.9568129641,68.0690473074,48.4129667503,52.3495819744,39.2464610258,39.9569889374,10.6575378339,34.1850503135,40.7168080715,11.4550423682,15.5404244827,51.2280928987,61.7363492144,71.0935677614,76.7546252894,70.9478228824,83.480686919,2
87.9013642847,66.060685345,48.9088458006,31.8497321774,46.7987957022,45.6659200428,35.4073009179,30.1387179483,33.4431667759,0.0,31.2039547944,62.0579373154,63.8031567762,73.5311079086,68.2301141531,59.5945591483,85.040732118,2
82.4703987835,74.3012506381,43.8575371636,54.607916364,27.859361191,49.9575501273,26.2029858563,13.5830148944,41.8942102882,7.07827297178,20.4475144546,50.6472223986,58.9687501096,66.9469185376,82.2841911127,70.0314179606,78.9879697186,2
47.416928607,39.7696424546,29.3878445221,55.8377555991,69.2011806275,60.0245486491,71.8548232374,87.68234203,77.1138738865,55.8188915416,39.7758218207,4.48611741049,19.9461298971,45.8524750338,18.8491383918,29.340040451,50.1411883678,2
18.3236113084,44.5007135105,51.8323425034,73.407976949,78.5284086813,66.0648571051,64.737354164,75.7215062183,75.7720011905,51.4845408239,30.6425248999,0.949630164525,30.3518238322,24.5521083165,20.8990259802,50.6278755418,22.9288831364,2
86.9370112703,62.1080012177,37.9922355676,54.7011607081,4.40120149603,59.7542258858,58.1044283322,48.3530842776,4.33500858001,34.1974435942,82.5980700278,84.0432333784,72.2207105429,27.0061605334,10.6416399077,31.4654782909,75.3609432028,2
84.9431972268,72.5892058584,53.0835680034,47.2223822069,28.7868455609,49.1505861109,35.9225110889,14.0459735855,39.179561557,6.84344829835,27.6737212604,60.0615360002,68.8404978779,64.120369589,65.6091115954,63.7816567226,79.8761194369,2
71.3775896977,23.4244737753,17.4058368205,88.2299640674,73.1425494974,29.6139961727,20.8302541567,72.6321033614,79.1257448749,34.3789698386,31.8034634485,72.9713313764,65.8036519642,28.6449741543,19.2801596149,78.7710480011,65.1918663744,3
