@relation vowel
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@data
20.0734,36.5882,53.0475,82.5895,47.2526,71.29339999999999,35.9006,55.271,33.8092,19.4337,0
21.5963,38.9365,51.099700000000006,74.1181,44.0294,83.4778,35.7669,55.8906,39.7479,29.0427,1
47.519800000000004,51.9767,18.1336,38.555,26.1869,83.1224,23.3957,65.76910000000001,27.8926,44.5134,2
50.2294,71.4795,25.528000000000002,66.836,17.439,61.85699999999999,26.3739,48.2602,56.161899999999996,14.7938,3
41.0087,73.1071,45.4193,67.3903,0.1706,51.7212,63.53830000000001,35.3499,68.7411,31.305,4
33.102,71.76050000000001,48.3858,59.2658,2.4914,54.04449999999999,56.6747,32.3376,67.2744,32.7633,5
34.0064,74.8563,59.6315,60.0984,1.4818,50.3587,58.3351,52.0868,69.54679999999999,35.348,6
28.6115,67.7312,72.0445,75.41250000000001,9.341099999999999,41.7452,36.3722,64.4209,73.77709999999999,38.0393,7
22.714599999999997,67.1762,48.2501,50.763000000000005,34.8603,69.22160000000001,33.1459,64.5347,54.8469,33.2899,8
28.2307,61.8924,38.0561,73.9666,53.4818,67.0903,34.4032,58.7981,60.9799,20.6321,9
31.2801,66.0567,39.0111,55.4566,27.050200000000004,68.22120000000001,28.0933,61.253299999999996,58.774499999999996,16.650499999999997,10
19.7774,35.6802,54.7808,80.4644,45.7891,74.87549999999999,37.0613,55.476099999999995,36.092200000000005,19.5058,0
24.6661,37.6594,46.6758,74.125,44.4296,83.0532,34.6139,63.304,34.879,34.847899999999996,1
49.629200000000004,52.830799999999996,17.8595,37.4623,27.0402,82.9236,22.060399999999998,66.3803,25.261400000000002,45.528999999999996,2
46.1368,72.4513,23.6685,67.0063,19.2885,54.7515,36.6453,40.2118,63.667399999999994,15.0757,3
46.2025,76.40209999999999,41.228500000000004,62.333099999999995,3.7301,58.765299999999996,55.5095,38.7826,69.5152,22.8232,4
36.1674,72.911,49.2543,58.018499999999996,0.9684999999999999,56.0333,57.543200000000006,32.1415,67.7105,29.548099999999998,5
29.705900000000003,72.55709999999999,61.2433,63.3548,2.0126999999999997,43.6444,58.9599,49.694700000000005,70.6953,38.5797,6
28.843000000000004,66.6133,72.0954,75.2432,7.4143,41.096199999999996,36.5118,65.5945,74.2857,38.307900000000004,7
20.549999999999997,65.97460000000001,41.3086,49.263400000000004,34.8541,66.37910000000001,44.3891,54.617000000000004,70.3232,28.0835,8
28.052500000000002,61.697199999999995,37.609300000000005,74.8594,52.943,66.764,34.8714,59.829,57.562000000000005,23.9635,9
33.1948,64.5096,37.9623,57.2755,24.513199999999998,66.1708,28.3279,68.4588,57.0928,15.6058,10
19.484199999999998,34.957300000000004,53.7931,82.8086,46.556,72.7505,36.8758,56.3955,39.6403,18.5943,0
23.7978,37.322,42.9589,70.53190000000001,42.777,84.8899,40.751,63.1173,43.3226,30.830000000000002,1
50.742200000000004,54.972500000000004,15.4418,41.431200000000004,32.1415,81.4616,21.1171,66.3238,27.0071,40.150400000000005,2
47.824,70.6027,24.5093,67.5809,19.0095,58.5369,29.1808,47.449999999999996,60.5206,12.1948,3
43.589299999999994,75.99669999999999,38.6407,61.3645,9.065,60.55930000000001,45.9988,44.0102,63.876599999999996,21.1153,4
35.1776,75.1953,47.010200000000005,54.0646,4.9506000000000006,52.1675,64.7675,28.327,66.0288,31.8254,5
24.0118,71.72579999999999,60.10060000000001,60.3812,7.12,31.2788,69.6533,47.9958,69.0578,46.5999,6
28.5268,67.6536,71.5597,71.7051,5.179799999999999,41.2213,39.0295,64.43100000000001,73.4013,39.724399999999996,7
22.7633,62.975300000000004,41.972500000000004,50.365899999999996,31.786399999999997,71.3181,37.709399999999995,65.274,63.802099999999996,35.1693,8
26.875700000000002,61.8216,38.3292,73.6656,53.059599999999996,68.1646,33.0855,58.687599999999996,54.8106,30.6337,9
35.3724,64.3778,38.388,56.9249,23.0607,69.1925,26.454,70.4395,52.71130000000001,19.5881,10
19.2334,34.401700000000005,51.926399999999994,82.5457,46.4854,73.05160000000001,39.5622,56.3533,42.3014,18.1505,0
25.6144,36.1935,39.712599999999995,66.59049999999999,40.8532,87.96549999999999,40.797200000000004,65.8698,47.4799,35.3358,1
51.5967,55.4161,13.0129,47.942,33.515,78.34870000000001,24.1563,67.2968,26.523000000000003,39.224399999999996,2
50.3729,72.2324,22.1843,65.923,23.2898,61.2698,27.1314,46.92,56.903099999999995,14.110800000000001,3
39.4866,74.5665,38.049699999999994,61.9538,16.3972,63.0317,38.4483,45.7575,59.08520000000001,22.2758,4
31.0826,77.1349,45.2866,50.644800000000004,11.9882,44.1327,70.4904,26.218399999999995,60.47090000000001,40.9595,5
24.8565,69.9072,58.743500000000004,61.8846,4.5635,37.3462,66.1266,49.2176,72.0649,42.8145,6
21.3001,68.4781,72.7275,71.3791,12.9509,27.183600000000002,55.0061,46.596,79.3724,50.399300000000004,7
22.296,59.290200000000006,41.897600000000004,52.3114,31.885,70.9122,36.091499999999996,70.66839999999999,66.1287,33.8644,8
26.641399999999997,61.4793,33.0427,74.7476,54.9637,63.4381,41.7167,51.951499999999996,64.96929999999999,24.3641,9
39.87,65.5955,34.4718,54.3605,22.046599999999998,71.6993,26.6101,72.5579,49.3126,26.1595,10
19.0503,34.158500000000004,49.9,81.5979,46.9602,73.1541,44.0124,54.548399999999994,44.6653,15.0222,0
25.749,37.0439,36.971199999999996,62.8943,39.8457,87.8483,41.6593,66.45870000000001,46.2331,39.1428,1
45.5127,51.233200000000004,15.5878,49.2448,33.5839,77.3528,22.9395,67.8281,26.311600000000002,41.6483,2
51.6302,71.5116,20.765700000000002,67.8789,24.2832,60.7695,25.2913,50.6917,50.670700000000004,16.859099999999998,3
31.1176,71.9717,37.978,61.541900000000005,23.5957,61.6764,40.8544,38.7681,58.3843,26.171,4
