@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {999}
@data
46.7651,32.1584,76.888,24.663,83.8799,9.9737,29.834,0.0,0.0,999
49.6412,22.0491,77.6032,31.6598,91.9973,8.9145,27.9479,0.0,0.0,999
51.9133,40.4464,76.8012,33.4978,80.1622,9.2369,27.1238,0.0,0.0,999
19.965,54.7373,37.4284,36.2223,81.7017,0.0,17.7913,0.0,0.0,999
84.7261,28.6361,0.0,21.7792,0.0,1.9135,100.0,0.0,47.6736,999
42.6602,30.8603,62.4353,34.0791,86.381,8.8582,29.7948,3.353,42.5907,999
44.5962,46.3718,80.0347,10.6225,72.7184,0.9333,31.1253,0.0,0.0,999
48.6638,38.5096,62.4771,29.4843,78.6585,8.5833,32.6493,0.0,0.0,999
36.2655,53.5267,0.0,70.5246,69.5953,1.237,31.8986,18.5007,9.631,999
56.2075,40.9806,86.4021,30.3551,78.0486,8.6439,27.5085,0.0,54.8182,999
49.386,42.7778,78.9174,35.8414,79.925,7.037,25.0494,0.0,0.0,999
40.2394,20.8305,71.002,25.6641,91.5953,9.6087,30.562,0.0,46.3346,999
61.6706,41.7846,83.6881,15.0769,64.6261,2.0472,42.0304,0.0,0.0,999
62.3678,56.3788,83.5736,8.7764,57.2773,1.7344,38.7784,0.0,0.0,999
53.5015,39.7489,76.3113,44.094,80.4271,9.4147,26.8431,0.0,33.2296,999
52.9479,45.4686,76.9156,42.5544,79.3505,9.7211,23.253,0.0,0.0,999
42.1531,65.0093,0.0,50.667,65.2083,0.0,27.394,48.4242,15.474,999
43.0381,30.2846,72.988,35.5875,89.5808,10.4176,24.8962,0.0,0.0,999
42.9671,39.351,0.0,43.4855,60.5774,7.2899,52.3039,0.0,0.0,999
48.3035,35.3694,65.1071,33.9537,82.6517,9.3621,30.1137,4.2848,0.0,999
58.5827,38.4837,80.8408,17.4263,69.1666,2.9852,40.2815,0.0,33.2732,999
58.4255,10.2349,0.0,47.6406,56.0152,12.6978,70.7716,0.0,66.3961,999
57.2674,36.5964,82.907,24.6656,77.59,10.0644,32.277,0.0,43.0973,999
49.1406,43.049,80.5946,26.8333,79.3941,8.904,25.5114,0.0,21.4055,999
59.9249,35.4126,35.723,56.598,75.3377,11.9625,39.0796,7.4096,100.0,999
41.9383,39.2626,76.4496,34.967,84.6275,5.905,22.9676,0.0,0.0,999
48.7654,33.3677,77.5696,48.082,87.8211,10.7866,22.8585,0.0,0.0,999
38.5864,61.0039,0.0,49.8986,68.7237,0.0,27.0773,47.673,13.4995,999
48.6342,40.2825,77.9513,35.4946,82.727,8.7477,23.9769,0.0,0.0,999
49.9565,42.3993,77.8626,31.3808,79.5349,8.7625,26.179,0.0,0.0,999
45.1995,33.3998,78.1576,40.1271,88.2554,10.1233,22.7693,0.0,0.0,999
58.3325,43.7853,74.1143,37.6413,72.9836,8.8152,32.6315,0.0,0.0,999
0.0,100.0,0.0,1.0405,53.1241,0.0,8.5032,0.0,0.0,999
54.4096,45.1739,79.9254,37.537,78.9358,10.3659,23.7397,0.0,0.0,999
47.0397,35.8887,79.124,31.8344,83.6255,8.8873,26.5414,0.0,21.3651,999
43.8784,30.7055,75.9237,37.7213,89.8047,10.4295,23.6319,0.0,46.5393,999
47.1491,32.5208,79.4348,39.6408,87.933,9.9901,23.6532,0.0,50.5573,999
49.2574,25.1394,59.9112,39.9881,86.1116,10.9377,34.1942,0.0,0.0,999
46.7565,33.382,77.1736,34.2347,86.7527,10.6062,25.0372,1.8356,48.5746,999
53.5383,59.436,68.4662,53.8022,75.2942,17.2901,15.1727,0.0,0.0,999
48.0585,31.5453,76.5352,31.5618,84.7324,9.985,29.1124,0.0,0.0,999
46.203,35.6455,83.4292,23.4521,83.674,8.7219,26.2795,0.0,23.2821,999
48.9898,36.4697,78.8884,37.3195,85.5724,9.5356,23.4874,0.0,0.0,999
44.063,39.666,73.2935,35.0444,83.2519,6.0711,24.8036,0.0,0.0,999
50.9619,47.4716,77.9866,13.7013,72.0806,2.5005,31.1403,4.598,46.7235,999
44.4821,30.3865,74.9956,26.9825,86.4885,9.178,28.5244,0.0,0.0,999
91.9403,63.4166,61.3696,100.0,71.8643,27.2907,5.9723,70.0975,0.0,999
52.3922,40.5848,81.485,29.9291,81.1083,8.9292,25.27,0.0,0.0,999
