@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {0,1,2,3,4,5}
@data
56.207499999999996,40.9806,86.4021,30.3551,78.04860000000001,8.6439,27.5085,0.0,54.8182,3
43.0381,30.2846,72.988,35.5875,89.58080000000001,10.4176,24.8962,0.0,0.0,3
49.1406,43.049,80.5946,26.833299999999998,79.3941,8.904,25.511400000000002,0.0,21.4055,0
59.9249,35.4126,35.723,56.598000000000006,75.3377,11.9625,39.0796,7.409599999999999,100.0,5
48.6342,40.2825,77.9513,35.4946,82.72699999999999,8.7477,23.9769,0.0,0.0,3
47.1491,32.5208,79.43480000000001,39.6408,87.93299999999999,9.9901,23.6532,0.0,50.557300000000005,0
52.3922,40.5848,81.485,29.9291,81.1083,8.9292,25.27,0.0,0.0,0
48.4019,41.453,76.0139,27.4514,78.8287,8.752799999999999,28.2622,0.0,0.0,0
38.8054,49.4373,0.0,66.55250000000001,69.7882,2.1696,35.1218,24.621100000000002,1.9304999999999999,4
45.7262,28.0289,77.26809999999999,33.867399999999996,88.2034,8.876000000000001,27.705099999999998,0.0,0.0,0
46.441,33.5779,76.4627,30.927599999999998,85.4649,8.7286,26.787899999999997,0.0,0.0,0
62.895599999999995,51.41630000000001,87.57770000000001,37.8386,71.3262,8.5365,25.8581,0.0,29.539199999999997,3
50.7799,33.5328,78.289,35.8601,84.0376,8.448,27.8815,0.0,37.028299999999994,0
37.6755,24.5856,59.05780000000001,29.4215,89.386,8.6573,31.792900000000003,0.0,46.2197,0
46.2661,35.7013,69.8882,27.9564,81.9429,9.0426,30.2281,0.0,46.6117,3
17.3785,12.446,0.0,25.847199999999997,100.0,41.0068,29.2305,0.0,0.0,4
40.1707,57.313,0.0,51.017599999999995,72.0996,0.0,26.2801,49.7445,0.0,4
47.8391,34.2157,79.6437,38.1419,86.5613,9.5205,24.0035,0.0,0.0,3
54.7743,36.0531,80.9376,38.0828,81.328,9.0988,28.3657,0.0,23.4508,3
53.693999999999996,34.4995,81.0984,28.4567,81.7382,9.7191,29.485099999999996,0.0,68.3473,3
42.4035,50.2912,38.9965,44.4816,75.1485,0.0,28.721400000000003,23.1676,0.0,4
47.964800000000004,36.449799999999996,77.0594,35.4882,85.4046,9.3712,24.1468,0.0,0.0,3
45.0524,55.0247,0.0,53.420100000000005,52.7567,0.0,48.5953,0.0,0.0,2
55.9284,37.8925,80.1516,23.1243,75.81909999999999,10.0524,33.7225,0.0,29.3496,3
47.7049,33.4051,76.522,27.9758,84.562,9.5153,28.017999999999997,2.7537,42.7501,0
57.3586,44.063900000000004,76.0317,34.285399999999996,76.00789999999999,8.0197,29.004,0.0,0.0,3
35.684,54.30009999999999,0.0,73.6909,69.16600000000001,0.6179,31.5468,12.119,17.3179,4
