@relation vowel
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@data
47.519800000000004,51.9767,18.1336,38.555,26.1869,83.1224,23.3957,65.76910000000001,27.8926,44.5134,2
34.0064,74.8563,59.6315,60.0984,1.4818,50.3587,58.3351,52.0868,69.54679999999999,35.348,6
28.843000000000004,66.6133,72.0954,75.2432,7.4143,41.096199999999996,36.5118,65.5945,74.2857,38.307900000000004,7
20.549999999999997,65.97460000000001,41.3086,49.263400000000004,34.8541,66.37910000000001,44.3891,54.617000000000004,70.3232,28.0835,8
33.1948,64.5096,37.9623,57.2755,24.513199999999998,66.1708,28.3279,68.4588,57.0928,15.6058,10
50.742200000000004,54.972500000000004,15.4418,41.431200000000004,32.1415,81.4616,21.1171,66.3238,27.0071,40.150400000000005,2
47.824,70.6027,24.5093,67.5809,19.0095,58.5369,29.1808,47.449999999999996,60.5206,12.1948,3
19.2334,34.401700000000005,51.926399999999994,82.5457,46.4854,73.05160000000001,39.5622,56.3533,42.3014,18.1505,0
50.3729,72.2324,22.1843,65.923,23.2898,61.2698,27.1314,46.92,56.903099999999995,14.110800000000001,3
39.87,65.5955,34.4718,54.3605,22.046599999999998,71.6993,26.6101,72.5579,49.3126,26.1595,10
51.6302,71.5116,20.765700000000002,67.8789,24.2832,60.7695,25.2913,50.6917,50.670700000000004,16.859099999999998,3
27.168799999999997,69.0142,39.2449,61.671699999999994,29.2543,63.5914,35.9564,40.7769,52.396699999999996,25.937700000000003,4
26.9662,71.19630000000001,49.6055,52.5262,5.7464,48.642,62.2292,50.114599999999996,71.6543,37.8561,6
5.1284,32.4021,79.5245,44.8286,78.569,66.0291,70.1734,41.2979,36.5371,24.4195,0
21.881500000000003,41.1917,21.9536,21.4278,45.8026,73.4529,53.8912,66.86569999999999,44.3208,31.5101,2
32.868700000000004,30.3116,32.9721,31.4801,55.3845,93.8582,69.0076,77.87849999999999,58.0012,25.727100000000004,1
48.4118,93.49380000000001,45.158300000000004,27.0918,29.8779,49.0082,47.5234,46.707300000000004,60.6255,18.5991,4
18.9631,75.9127,72.7255,29.857400000000002,33.6938,33.4437,38.5262,41.7427,98.0506,44.7093,5
28.9304,41.456199999999995,28.302,0.7247,31.8577,73.10640000000001,60.467800000000004,79.2885,52.034000000000006,39.328,2
96.4433,22.531000000000002,0.457,58.6225,40.489799999999995,93.2899,60.45,73.4979,13.465399999999999,19.8887,0
51.959599999999995,77.739,67.2189,78.603,10.3082,32.7535,30.816100000000002,85.6043,60.3423,64.728,6
51.3935,75.5468,63.6174,81.78649999999999,12.751100000000001,40.027,30.151,86.8814,57.80650000000001,62.4803,4
77.4091,52.7579,10.4144,72.2034,33.5436,86.5836,41.054,85.4853,36.4417,44.2706,2
43.627,66.09899999999999,67.0253,94.18299999999999,21.6779,29.383599999999998,19.1215,78.5514,63.4482,73.1345,6
16.652,70.2316,64.8134,66.05760000000001,33.921600000000005,35.2664,65.3562,39.744,87.1742,52.191500000000005,9
55.12049999999999,74.6678,65.2388,88.12349999999999,15.17,37.107600000000005,22.935200000000002,85.75319999999999,59.62650000000001,66.8636,4
29.2105,64.2929,57.626200000000004,84.9019,20.8005,49.5231,43.7175,62.9139,76.6723,28.078599999999998,8
60.1047,73.23389999999999,47.4919,88.4182,13.9622,53.4861,37.6699,85.60900000000001,48.611900000000006,56.75750000000001,5
97.2467,21.9225,4.1194,58.6723,40.4479,94.28999999999999,66.7104,82.0252,15.5588,21.5273,0
38.4291,80.8051,64.4786,70.2473,11.6959,23.3447,49.6603,65.36030000000001,72.7461,53.2629,7
13.769300000000001,66.9018,63.683800000000005,65.2184,36.0981,31.958199999999998,69.1472,40.4804,86.38369999999999,60.522299999999994,9
65.52980000000001,16.4803,9.549900000000001,43.1278,47.7697,89.21170000000001,75.1717,92.4591,64.90979999999999,24.1613,0
29.0878,86.6614,53.7604,21.618399999999998,59.979000000000006,33.4175,53.7989,34.5901,62.598200000000006,16.0019,3
31.9451,55.885,90.6254,79.9741,21.093400000000003,32.6173,4.7888,64.2967,79.9948,79.3732,7
33.090599999999995,86.8548,46.4143,31.899,57.4403,31.750899999999998,53.3013,39.547900000000006,64.791,7.6888,3
26.922,81.03240000000001,76.6294,37.9484,27.4122,34.931,50.435399999999994,64.7835,77.7617,20.101,5
30.7454,85.4611,48.3454,27.1436,63.718300000000006,25.899,53.0895,43.208200000000005,61.599000000000004,8.761,3
3.4056,49.5523,68.21979999999999,46.070899999999995,41.9333,64.0724,44.2969,64.72210000000001,74.4763,57.4968,9
29.1781,82.748,48.6149,22.7142,68.7515,22.4438,50.326899999999995,43.5253,60.9023,6.5259,3
30.9123,52.007099999999994,90.1917,82.4108,19.0805,28.481,4.3268,57.7689,83.3103,79.4809,7
53.242599999999996,12.584000000000001,22.2727,58.0425,54.3601,89.6316,74.9481,87.8286,52.1227,23.4912,0
29.189999999999998,53.544000000000004,26.181500000000003,46.1954,61.2824,64.2022,59.5236,75.129,36.6457,11.9819,2
26.8149,74.922,45.7773,41.866,36.031200000000005,50.9606,26.601999999999997,54.969500000000004,60.654399999999995,6.5382,3
14.9159,36.8881,80.6585,82.0646,80.6148,41.370000000000005,12.1945,21.464,36.7066,53.582499999999996,1
26.3743,79.8371,59.9487,14.218900000000001,28.397299999999998,31.292599999999997,84.6346,46.3806,42.7475,42.7995,4
6.697400000000001,53.5697,61.6325,21.3217,54.6566,37.9593,66.7898,67.3275,18.5,39.4335,10
32.7832,79.50829999999999,94.1863,33.879799999999996,22.8883,22.9693,50.5092,78.9619,49.5694,33.3615,6
5.8969000000000005,55.959,61.60830000000001,22.418499999999998,55.0586,36.6373,64.946,61.736000000000004,18.9889,39.8955,10
6.762300000000001,56.1901,62.0738,29.381600000000002,54.826699999999995,30.1465,69.827,60.1474,15.5615,41.0197,10
36.391600000000004,90.9568,70.29809999999999,21.018800000000002,30.708600000000004,28.9161,62.3618,56.1486,41.2839,37.5777,6
16.9882,48.6931,64.92750000000001,78.5973,68.1574,60.2271,22.8491,26.366699999999998,27.356599999999997,49.167899999999996,1
25.765300000000003,82.9469,61.1374,53.5352,28.9406,22.2083,63.987300000000005,51.402800000000006,72.8232,44.3694,7
21.626,77.54180000000001,47.848800000000004,48.0577,61.2632,34.3119,59.9494,40.3039,53.4435,10.8335,9
17.71,67.669,39.1282,54.075399999999995,32.0504,32.1034,50.8541,11.8644,47.1511,54.9964,3
29.1927,81.6541,60.63889999999999,55.2754,19.2932,31.118000000000002,61.9576,54.1076,75.6323,34.2173,7
21.1494,25.1714,40.550999999999995,61.697,94.3933,63.9513,45.1442,46.169900000000005,22.7116,61.463100000000004,1
11.161200000000001,71.8635,78.5609,34.1434,60.773999999999994,21.4618,57.1778,50.8464,30.3874,40.8749,9
25.604100000000003,70.70870000000001,57.1921,29.091099999999997,51.7968,36.3465,49.994,57.938199999999995,0.0,56.2593,10
10.618500000000001,32.0349,56.9929,64.73400000000001,88.4674,47.234300000000005,30.5834,37.3155,26.809699999999996,75.2882,1
33.0492,88.077,61.9597,8.884400000000001,58.5392,39.8279,45.969300000000004,46.758300000000006,32.8036,46.4047,8
