@relation vowel
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@data
47.519800000000004,51.9767,18.1336,38.555,26.1869,83.1224,23.3957,65.76910000000001,27.8926,44.5134,2
50.2294,71.4795,25.528000000000002,66.836,17.439,61.85699999999999,26.3739,48.2602,56.161899999999996,14.7938,3
41.0087,73.1071,45.4193,67.3903,0.1706,51.7212,63.53830000000001,35.3499,68.7411,31.305,4
34.0064,74.8563,59.6315,60.0984,1.4818,50.3587,58.3351,52.0868,69.54679999999999,35.348,6
22.714599999999997,67.1762,48.2501,50.763000000000005,34.8603,69.22160000000001,33.1459,64.5347,54.8469,33.2899,8
31.2801,66.0567,39.0111,55.4566,27.050200000000004,68.22120000000001,28.0933,61.253299999999996,58.774499999999996,16.650499999999997,10
49.629200000000004,52.830799999999996,17.8595,37.4623,27.0402,82.9236,22.060399999999998,66.3803,25.261400000000002,45.528999999999996,2
46.2025,76.40209999999999,41.228500000000004,62.333099999999995,3.7301,58.765299999999996,55.5095,38.7826,69.5152,22.8232,4
28.052500000000002,61.697199999999995,37.609300000000005,74.8594,52.943,66.764,34.8714,59.829,57.562000000000005,23.9635,9
33.1948,64.5096,37.9623,57.2755,24.513199999999998,66.1708,28.3279,68.4588,57.0928,15.6058,10
19.484199999999998,34.957300000000004,53.7931,82.8086,46.556,72.7505,36.8758,56.3955,39.6403,18.5943,0
24.0118,71.72579999999999,60.10060000000001,60.3812,7.12,31.2788,69.6533,47.9958,69.0578,46.5999,6
22.7633,62.975300000000004,41.972500000000004,50.365899999999996,31.786399999999997,71.3181,37.709399999999995,65.274,63.802099999999996,35.1693,8
19.2334,34.401700000000005,51.926399999999994,82.5457,46.4854,73.05160000000001,39.5622,56.3533,42.3014,18.1505,0
50.3729,72.2324,22.1843,65.923,23.2898,61.2698,27.1314,46.92,56.903099999999995,14.110800000000001,3
39.4866,74.5665,38.049699999999994,61.9538,16.3972,63.0317,38.4483,45.7575,59.08520000000001,22.2758,4
24.8565,69.9072,58.743500000000004,61.8846,4.5635,37.3462,66.1266,49.2176,72.0649,42.8145,6
21.3001,68.4781,72.7275,71.3791,12.9509,27.183600000000002,55.0061,46.596,79.3724,50.399300000000004,7
22.296,59.290200000000006,41.897600000000004,52.3114,31.885,70.9122,36.091499999999996,70.66839999999999,66.1287,33.8644,8
39.87,65.5955,34.4718,54.3605,22.046599999999998,71.6993,26.6101,72.5579,49.3126,26.1595,10
45.5127,51.233200000000004,15.5878,49.2448,33.5839,77.3528,22.9395,67.8281,26.311600000000002,41.6483,2
51.6302,71.5116,20.765700000000002,67.8789,24.2832,60.7695,25.2913,50.6917,50.670700000000004,16.859099999999998,3
31.1176,71.9717,37.978,61.541900000000005,23.5957,61.6764,40.8544,38.7681,58.3843,26.171,4
29.9819,78.7465,43.6719,47.052899999999994,17.337600000000002,43.8204,69.75280000000001,26.4806,56.817499999999995,45.2833,5
27.099400000000003,69.501,55.0061,58.9518,2.0726,44.008900000000004,63.403299999999994,51.519499999999994,73.0515,39.6902,6
24.9909,68.7556,70.4341,63.836099999999995,4.5917,41.1175,47.2305,59.5653,74.0442,38.3023,7
28.5037,60.7869,30.563000000000002,74.3144,54.3392,62.1459,42.7842,54.717000000000006,65.9311,18.3923,9
40.0077,64.7436,33.598800000000004,54.513,16.8211,68.3428,27.4941,73.7148,54.206900000000005,24.973100000000002,10
24.0276,39.103300000000004,38.7951,61.2478,40.0874,87.4031,40.89,62.5265,41.4696,39.7424,1
43.6151,49.8827,18.0553,49.2611,34.8578,78.57650000000001,22.844800000000003,69.8924,26.2762,43.278299999999994,2
32.5745,78.6673,43.3142,47.8155,14.2104,52.510999999999996,59.9822,28.083000000000002,61.434200000000004,41.1646,5
26.9662,71.19630000000001,49.6055,52.5262,5.7464,48.642,62.2292,50.114599999999996,71.6543,37.8561,6
23.901,68.6771,70.17179999999999,59.9008,3.6056,40.4635,51.8509,59.6776,73.0794,38.5349,7
23.9789,53.1755,39.6184,55.8519,32.8218,73.8195,35.692,77.8024,51.307199999999995,47.1298,8
28.416900000000002,60.757799999999996,34.1516,72.3988,52.8834,63.748099999999994,34.4617,61.6845,56.6337,17.3185,9
43.067,76.3365,10.5274,48.669200000000004,46.2282,29.161399999999997,50.2679,54.03059999999999,50.955600000000004,21.8387,3
15.0088,70.6857,82.223,29.255300000000002,39.4576,28.325499999999998,43.5685,27.188699999999997,100.0,47.9004,5
39.9184,92.37870000000001,45.7971,22.484199999999998,46.807,20.2798,52.933699999999995,57.6289,74.8556,38.6706,6
29.2163,85.3753,79.596,21.0947,25.7515,30.5631,56.882999999999996,57.491099999999996,57.4009,65.237,7
20.7027,79.21470000000001,72.7811,41.2451,28.8736,43.0255,51.0909,46.124700000000004,73.71180000000001,70.67989999999999,8
9.6151,67.1426,67.5574,45.585,39.2517,57.0728,54.2462,46.2755,63.4598,69.20960000000001,9
6.0141,64.656,70.9824,25.2212,40.0463,59.895900000000005,50.52100000000001,37.4896,63.2262,40.7993,10
4.4444,31.353900000000003,86.541,50.7927,76.4371,60.494,70.9102,42.268299999999996,36.1445,25.6324,0
36.0625,75.71679999999999,14.9394,37.846000000000004,45.031,35.5632,46.0976,55.706,54.7085,24.4496,3
36.9393,89.41019999999999,52.780899999999995,32.2281,32.9991,26.701000000000004,39.8839,53.7277,87.9538,34.9439,6
18.6768,80.0335,73.06899999999999,33.786899999999996,32.385999999999996,40.4135,51.3796,48.2498,67.9175,66.8051,8
12.1544,69.054,69.7042,48.897600000000004,33.6586,59.8734,52.0207,41.132200000000005,68.6497,54.4566,9
6.8844,59.701499999999996,79.662,28.6373,30.3931,62.23,63.9472,35.1166,50.7544,50.03999999999999,10
4.4616999999999996,35.0775,88.7002,56.5662,71.2929,59.1371,68.1792,34.6665,35.4584,27.4279,0
36.699,76.4998,15.5167,32.521499999999996,42.296099999999996,39.2668,48.855900000000005,50.938700000000004,58.9159,22.218799999999998,3
40.6318,91.513,58.7722,34.112700000000004,22.5613,41.3196,42.4304,56.7646,64.8828,26.9886,4
39.3145,90.391,56.8412,30.7425,25.7826,36.2164,39.758500000000005,53.336600000000004,85.5106,36.342400000000005,6
13.5596,69.7292,70.9434,49.7573,30.982799999999997,60.6368,49.900800000000004,42.0475,65.432,54.275099999999995,9
5.4881,32.7159,93.63749999999999,61.1533,68.7493,53.708,61.2025,33.4758,27.574900000000003,30.8496,0
40.1605,77.5338,12.836,32.3635,46.7174,39.632,46.6636,47.6261,58.093300000000006,21.4529,3
32.4977,86.4355,77.7893,20.7922,25.6716,28.657300000000003,65.0954,63.3829,51.349900000000005,59.19069999999999,7
12.2078,72.01520000000001,71.5101,48.892,34.3706,52.2518,54.0431,38.760099999999994,68.1238,55.039,9
20.313,70.6542,60.0258,24.9184,36.8049,72.6203,49.1519,36.7181,60.1046,23.4013,10
5.6802,26.258100000000002,93.5245,64.3746,69.4923,47.302699999999994,53.45910000000001,35.125499999999995,22.3702,32.5795,0
38.1494,76.4536,12.418899999999999,28.9308,50.7642,41.5413,45.3587,44.59,56.0045,26.6963,3
48.4118,93.49380000000001,45.158300000000004,27.0918,29.8779,49.0082,47.5234,46.707300000000004,60.6255,18.5991,4
18.9631,75.9127,72.7255,29.857400000000002,33.6938,33.4437,38.5262,41.7427,98.0506,44.7093,5
34.7089,88.2397,64.2154,34.0045,26.609699999999997,28.8549,40.863699999999994,47.7642,91.6886,44.4516,6
25.9633,83.5282,75.0406,42.2378,22.622700000000002,43.534800000000004,61.73610000000001,43.1366,66.3055,50.9636,8
13.295499999999999,76.3497,70.5946,42.615199999999994,39.494800000000005,46.9466,55.0215,42.1779,61.486700000000006,58.42850000000001,9
25.4739,33.6793,41.0639,43.2196,67.7963,89.9053,66.9902,71.0051,59.1397,19.7817,1
28.9304,41.456199999999995,28.302,0.7247,31.8577,73.10640000000001,60.467800000000004,79.2885,52.034000000000006,39.328,2
38.107400000000005,73.7313,8.7288,30.6761,47.6276,42.1139,47.549,44.9525,52.8524,31.6042,3
46.635799999999996,93.3074,40.9057,24.2256,35.685,37.9206,57.9709,42.655,62.60059999999999,17.3489,4
21.432000000000002,79.37480000000001,63.072399999999995,27.0038,37.9199,33.3656,39.7945,48.761900000000004,92.63749999999999,32.8966,5
38.6361,91.2791,58.0844,26.9276,31.0017,27.0846,50.825900000000004,48.0983,88.7364,35.536,6
36.777,90.5033,78.4757,20.6831,29.3178,26.941300000000002,54.8334,60.2251,58.606700000000004,67.882,7
28.2523,86.8958,61.2652,32.2477,36.4587,50.6561,61.766600000000004,43.9339,66.6638,47.4671,8
61.3156,77.7504,33.937,74.4358,22.5229,66.4606,47.4533,76.6424,41.0248,47.0225,3
52.7224,77.09129999999999,56.701800000000006,83.98299999999999,18.1463,45.5279,34.4763,84.6794,45.7844,52.7899,5
51.959599999999995,77.739,67.2189,78.603,10.3082,32.7535,30.816100000000002,85.6043,60.3423,64.728,6
21.5367,69.3943,55.708999999999996,57.1306,24.9359,45.4874,69.8089,47.9765,93.9705,51.8815,9
71.53399999999999,51.943799999999996,13.886299999999999,68.99929999999999,33.1745,88.1985,41.204,85.0685,34.225699999999996,44.3015,2
63.460300000000004,76.0708,33.7839,77.3866,18.6358,66.6613,41.3935,77.8437,44.5658,47.6359,3
46.9853,74.2484,68.05210000000001,83.5098,15.148,30.035600000000002,27.251199999999997,82.6245,63.505100000000006,68.2658,6
90.4567,21.5216,7.453799999999999,66.96069999999999,44.1716,96.3425,61.7194,65.2041,10.1758,18.6827,0
100.0,42.6084,3.4371,44.777699999999996,27.111800000000002,95.25789999999999,49.8101,97.1956,34.6841,51.6624,1
77.4091,52.7579,10.4144,72.2034,33.5436,86.5836,41.054,85.4853,36.4417,44.2706,2
54.3435,78.0797,55.8038,80.8968,15.1939,47.182,38.6586,85.1887,48.7528,59.8285,5
43.627,66.09899999999999,67.0253,94.18299999999999,21.6779,29.383599999999998,19.1215,78.5514,63.4482,73.1345,6
41.1369,86.1619,65.1181,66.2976,14.833599999999999,24.464,50.2301,61.8568,70.8165,43.2793,7
35.8903,58.27329999999999,43.4163,84.26249999999999,25.007800000000003,60.6129,33.3042,71.8476,71.1571,19.4287,10
98.8656,42.0182,5.3389,46.7096,26.9384,95.55749999999999,50.651199999999996,98.8424,34.6261,50.925200000000004,1
66.7034,76.3963,32.6693,81.2881,15.7633,63.9733,40.306999999999995,76.88040000000001,52.7363,54.928,3
55.12049999999999,74.6678,65.2388,88.12349999999999,15.17,37.107600000000005,22.935200000000002,85.75319999999999,59.62650000000001,66.8636,4
57.613099999999996,75.456,52.5501,87.26310000000001,13.686300000000001,48.2581,35.2095,83.7824,50.0408,61.2039,5
40.9866,60.201899999999995,42.3695,76.7506,18.2366,65.8717,36.425200000000004,75.4681,71.5235,16.3407,10
90.3658,21.11,7.5961,62.1839,43.0439,95.8144,65.4756,74.9242,12.539700000000002,20.506,0
92.9639,39.0597,7.0134,53.560900000000004,35.2794,96.7373,49.7402,100.0,37.674600000000005,47.0034,1
80.1164,51.2465,11.2207,72.0105,35.3687,89.7386,47.1228,90.3905,43.558099999999996,48.8265,2
52.5865,71.8168,63.5441,92.8192,15.8862,38.2694,24.0005,83.065,64.19510000000001,63.16270000000001,4
60.1047,73.23389999999999,47.4919,88.4182,13.9622,53.4861,37.6699,85.60900000000001,48.611900000000006,56.75750000000001,5
47.5259,67.8983,64.9618,88.7649,17.2982,31.7587,26.765299999999996,88.1932,62.8702,74.2254,6
27.9812,65.1284,57.4137,79.3572,22.808899999999998,53.8138,49.2466,62.5876,79.85409999999999,26.150499999999997,8
97.2467,21.9225,4.1194,58.6723,40.4479,94.28999999999999,66.7104,82.0252,15.5588,21.5273,0
83.0193,36.1874,11.092,62.1803,43.5255,96.1226,48.7109,99.7575,40.399,43.0281,1
48.0647,68.9129,62.6197,96.8112,19.1849,38.9443,24.188299999999998,79.4576,63.708600000000004,58.7184,4
50.105900000000005,71.0554,63.7331,84.2882,16.4045,31.365199999999998,28.8251,90.48140000000001,61.2482,76.2167,6
38.4291,80.8051,64.4786,70.2473,11.6959,23.3447,49.6603,65.36030000000001,72.7461,53.2629,7
13.769300000000001,66.9018,63.683800000000005,65.2184,36.0981,31.958199999999998,69.1472,40.4804,86.38369999999999,60.522299999999994,9
30.5564,62.915,23.818900000000003,38.937,80.1259,40.513,69.985,59.7214,40.0203,8.104899999999999,2
41.387299999999996,90.0138,71.86,27.906599999999997,23.5105,31.178299999999997,41.2693,72.35629999999999,60.449299999999994,23.4595,4
30.255,70.4618,90.65180000000001,56.7342,17.5172,29.2765,16.1377,63.547,91.2461,54.0448,6
68.6665,15.0024,7.9846,43.4644,48.6225,88.6535,75.0149,93.45599999999999,64.4874,24.4957,0
53.6219,37.7072,18.2398,18.4882,31.941000000000003,89.6275,67.11749999999999,87.1418,74.0672,23.2504,1
29.668899999999997,62.277499999999996,27.3378,39.2838,73.2474,55.352999999999994,62.91139999999999,62.5931,49.4098,1.6894,2
33.090599999999995,86.8548,46.4143,31.899,57.4403,31.750899999999998,53.3013,39.547900000000006,64.791,7.6888,3
37.1807,84.3422,81.64479999999999,33.0812,15.931999999999999,32.323,38.4318,74.0627,61.84889999999999,27.4484,4
28.536499999999997,64.7136,93.9641,64.249,17.9801,28.779700000000002,13.5881,59.948299999999996,90.1055,62.206799999999994,6
54.5785,36.3164,18.5933,17.685100000000002,31.836399999999998,92.02420000000001,70.4808,83.76780000000001,75.3955,23.011400000000002,1
32.8045,60.9769,24.1867,43.2387,66.944,60.522299999999994,58.194100000000006,69.4447,43.0957,6.4692,2
30.7454,85.4611,48.3454,27.1436,63.718300000000006,25.899,53.0895,43.208200000000005,61.599000000000004,8.761,3
27.4406,75.4007,80.2882,43.325399999999995,19.648699999999998,36.8461,44.256299999999996,75.9365,74.7876,21.3806,5
18.0435,52.48890000000001,83.97670000000001,55.614,14.121,49.052,35.1509,69.2912,74.1524,86.1493,8
3.4056,49.5523,68.21979999999999,46.070899999999995,41.9333,64.0724,44.2969,64.72210000000001,74.4763,57.4968,9
59.4387,12.659899999999999,15.7003,52.6748,53.7496,89.46039999999999,72.24810000000001,90.7924,54.8028,23.8201,0
30.5645,57.641299999999994,22.112000000000002,44.1745,62.72370000000001,62.3751,55.939499999999995,70.97869999999999,37.465199999999996,16.3866,2
29.1781,82.748,48.6149,22.7142,68.7515,22.4438,50.326899999999995,43.5253,60.9023,6.5259,3
26.4793,72.6508,80.1571,43.268,20.5952,30.2519,45.2742,74.86080000000001,86.2561,18.1499,5
10.274899999999999,53.4733,76.9252,45.900400000000005,16.8649,59.362899999999996,41.539500000000004,66.2061,74.4989,52.0486,10
26.392599999999998,54.0098,27.689999999999998,48.051700000000004,62.7031,65.6065,56.1054,70.20920000000001,35.098400000000005,17.1571,2
17.8257,48.5334,81.4322,56.022099999999995,7.5668,56.0694,49.358000000000004,69.9979,66.9574,79.6133,8
9.6091,54.9737,78.9836,45.8744,21.720100000000002,59.878600000000006,43.1409,68.1444,70.49109999999999,49.437799999999996,10
53.242599999999996,12.584000000000001,22.2727,58.0425,54.3601,89.6316,74.9481,87.8286,52.1227,23.4912,0
48.417100000000005,29.8107,19.4028,22.3465,33.0993,89.07730000000001,68.2037,85.0962,74.9124,22.767699999999998,1
15.1831,44.8086,80.5643,59.7046,8.859,61.386799999999994,56.098000000000006,68.59490000000001,57.4399,65.63759999999999,8
9.055299999999999,57.0631,78.2317,46.1397,26.6069,60.2256,44.6549,67.4634,70.05590000000001,45.2281,10
28.982000000000003,0.0,76.5935,80.1474,71.8373,75.959,35.462700000000005,25.538100000000004,35.3054,65.9507,0
14.9159,36.8881,80.6585,82.0646,80.6148,41.370000000000005,12.1945,21.464,36.7066,53.582499999999996,1
21.107400000000002,70.9874,59.2363,23.183400000000002,41.5315,11.4102,59.4361,37.2139,12.6237,68.4594,3
26.3743,79.8371,59.9487,14.218900000000001,28.397299999999998,31.292599999999997,84.6346,46.3806,42.7475,42.7995,4
28.6082,71.6945,48.8456,16.3029,43.481500000000004,22.8357,100.0,44.967800000000004,27.305400000000002,69.16980000000001,5
36.4289,87.8279,71.0038,29.715700000000002,27.711799999999997,17.1967,53.8285,76.59230000000001,53.268499999999996,42.115,7
17.745,76.537,68.3716,25.151,57.631699999999995,48.9756,58.546,51.48779999999999,44.8431,18.4394,8
21.3215,76.8433,81.23780000000001,47.658699999999996,65.6162,39.2002,40.8869,59.515499999999996,34.0736,24.049,9
6.471100000000001,53.6975,64.74680000000001,18.3503,56.1894,38.9373,67.58330000000001,70.0928,22.8787,37.8992,10
11.588700000000001,43.625,78.389,83.1347,70.392,15.2729,17.6394,23.1304,48.913000000000004,66.729,2
24.726,79.2735,57.13700000000001,18.212400000000002,30.3869,38.5351,81.2712,43.8875,42.1521,36.370799999999996,4
23.7489,71.5228,45.5299,14.6485,46.323100000000004,28.205999999999996,96.44890000000001,42.7772,34.0816,55.158300000000004,5
30.7269,74.9876,93.8937,36.0442,22.5901,20.1359,51.7441,82.8616,50.6853,24.781,6
6.697400000000001,53.5697,61.6325,21.3217,54.6566,37.9593,66.7898,67.3275,18.5,39.4335,10
13.422999999999998,35.1021,98.101,76.2374,77.01360000000001,42.4541,14.8535,22.3121,42.3929,46.6972,1
14.896999999999998,43.1065,74.8576,92.0008,65.2533,12.9179,25.985599999999998,19.8175,47.9298,66.6358,2
12.9997,64.85069999999999,67.3251,29.89,41.0462,5.9197,57.28680000000001,43.6971,18.7491,69.54599999999999,3
32.7832,79.50829999999999,94.1863,33.879799999999996,22.8883,22.9693,50.5092,78.9619,49.5694,33.3615,6
34.4716,89.76610000000001,68.1841,24.8185,26.810299999999998,29.6385,61.697199999999995,62.7119,60.039699999999996,41.754000000000005,7
14.9905,68.9419,81.9071,39.9327,68.6469,40.6395,46.6337,60.5475,35.8043,14.0606,9
5.8969000000000005,55.959,61.60830000000001,22.418499999999998,55.0586,36.6373,64.946,61.736000000000004,18.9889,39.8955,10
13.2849,30.362299999999998,99.67660000000001,74.91449999999999,77.96849999999999,44.7686,19.1741,23.647199999999998,38.437599999999996,40.4099,1
13.636400000000002,64.35600000000001,45.926,33.2277,56.4623,42.9279,72.2998,37.3414,20.1573,50.85079999999999,5
31.9314,88.564,69.7438,29.9988,27.817999999999998,27.192,61.793600000000005,62.8611,61.0533,40.806599999999996,7
14.5488,75.67580000000001,72.2398,29.207,54.8261,39.9442,59.6947,53.3353,46.4848,19.0795,8
6.762300000000001,56.1901,62.0738,29.381600000000002,54.826699999999995,30.1465,69.827,60.1474,15.5615,41.0197,10
15.1749,15.9943,86.80980000000001,70.4091,68.7541,69.3478,23.3586,20.0193,48.7046,70.8214,0
11.8788,53.09009999999999,86.6623,79.9159,52.5817,2.3416,25.881300000000003,41.332,61.722699999999996,59.7075,2
9.9359,58.692699999999995,54.990399999999994,45.0867,55.3027,48.197,66.91120000000001,39.6501,15.399899999999999,44.059799999999996,5
15.349099999999998,77.2908,76.3373,29.933,54.752100000000006,37.793,54.544000000000004,48.2711,46.5617,18.8266,8
20.177899999999998,76.9168,81.4855,35.701,66.6656,43.4363,47.7943,60.006499999999996,42.7158,18.5884,9
8.7083,56.405300000000004,61.950700000000005,29.889100000000003,55.2995,31.090400000000002,68.7871,60.4394,11.1156,45.7142,10
9.5664,42.133900000000004,87.8331,76.9491,71.6892,15.1598,19.2986,32.190999999999995,38.1611,62.501,1
14.9256,75.4106,70.3268,35.2365,57.360299999999995,37.946400000000004,58.442099999999996,50.798500000000004,41.4628,16.6633,8
18.1678,21.5286,55.8301,62.90989999999999,79.7643,57.13399999999999,87.1108,6.2695,26.709500000000002,50.870599999999996,0
16.9882,48.6931,64.92750000000001,78.5973,68.1574,60.2271,22.8491,26.366699999999998,27.356599999999997,49.167899999999996,1
23.180300000000003,48.7405,36.5895,81.4845,62.2436,58.360299999999995,28.3107,33.118199999999995,31.3122,64.8374,2
30.631199999999996,80.99499999999999,51.0174,33.815400000000004,16.8624,35.8452,66.0614,55.9755,54.098,20.7876,4
24.699099999999998,79.50970000000001,42.099399999999996,34.3119,29.1537,44.9664,54.6844,46.1567,51.041599999999995,31.7171,5
29.105700000000002,83.0246,52.167300000000004,32.3963,34.4575,31.226300000000002,73.7846,52.763099999999994,56.151799999999994,14.0932,6
36.2504,73.6918,36.5517,51.4669,44.9773,59.0225,53.6643,75.1426,56.043699999999994,10.0398,8
21.626,77.54180000000001,47.848800000000004,48.0577,61.2632,34.3119,59.9494,40.3039,53.4435,10.8335,9
26.327099999999998,65.4701,46.0504,64.1966,42.4891,56.34289999999999,55.1091,67.4347,51.342600000000004,2.7759,10
