@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {0,1,2,3,4,5}
@data
49.6412,22.0491,77.6032,31.6598,91.9973,8.9145,27.9479,0.0,0.0,1
51.9133,40.4464,76.8012,33.4978,80.1622,9.2369,27.1238,0.0,0.0,0
19.965,54.7373,37.4284,36.2223,81.7017,0.0,17.7913,0.0,0.0,2
84.7261,28.6361,0.0,21.7792,0.0,1.9135,100.0,0.0,47.6736,3
42.6602,30.8603,62.4353,34.0791,86.381,8.8582,29.7948,3.353,42.5907,3
44.5962,46.3718,80.0347,10.6225,72.7184,0.9333,31.1253,0.0,0.0,1
40.2394,20.8305,71.002,25.6641,91.5953,9.6087,30.562,0.0,46.3346,3
61.6706,41.7846,83.6881,15.0769,64.6261,2.0472,42.0304,0.0,0.0,0
62.3678,56.3788,83.5736,8.7764,57.2773,1.7344,38.7784,0.0,0.0,1
42.1531,65.0093,0.0,50.667,65.2083,0.0,27.394,48.4242,15.474,4
43.0381,30.2846,72.988,35.5875,89.5808,10.4176,24.8962,0.0,0.0,3
42.9671,39.351,0.0,43.4855,60.5774,7.2899,52.3039,0.0,0.0,5
48.3035,35.3694,65.1071,33.9537,82.6517,9.3621,30.1137,4.2848,0.0,3
58.4255,10.2349,0.0,47.6406,56.0152,12.6978,70.7716,0.0,66.3961,3
57.2674,36.5964,82.907,24.6656,77.59,10.0644,32.277,0.0,43.0973,3
49.1406,43.049,80.5946,26.8333,79.3941,8.904,25.5114,0.0,21.4055,0
48.7654,33.3677,77.5696,48.082,87.8211,10.7866,22.8585,0.0,0.0,3
38.5864,61.0039,0.0,49.8986,68.7237,0.0,27.0773,47.673,13.4995,4
48.6342,40.2825,77.9513,35.4946,82.727,8.7477,23.9769,0.0,0.0,3
45.1995,33.3998,78.1576,40.1271,88.2554,10.1233,22.7693,0.0,0.0,3
47.0397,35.8887,79.124,31.8344,83.6255,8.8873,26.5414,0.0,21.3651,0
43.8784,30.7055,75.9237,37.7213,89.8047,10.4295,23.6319,0.0,46.5393,0
49.2574,25.1394,59.9112,39.9881,86.1116,10.9377,34.1942,0.0,0.0,3
46.7565,33.382,77.1736,34.2347,86.7527,10.6062,25.0372,1.8356,48.5746,3
46.203,35.6455,83.4292,23.4521,83.674,8.7219,26.2795,0.0,23.2821,3
44.063,39.666,73.2935,35.0444,83.2519,6.0711,24.8036,0.0,0.0,3
50.9619,47.4716,77.9866,13.7013,72.0806,2.5005,31.1403,4.598,46.7235,1
91.9403,63.4166,61.3696,100.0,71.8643,27.2907,5.9723,70.0975,0.0,5
52.3922,40.5848,81.485,29.9291,81.1083,8.9292,25.27,0.0,0.0,0
48.8886,37.5983,76.8187,29.5053,82.0498,9.3687,27.4638,0.0,0.0,0
52.9304,39.9033,81.0836,25.6592,79.6349,8.4405,27.8129,0.0,0.0,3
44.8841,37.2455,78.8361,36.5651,86.7934,10.4374,21.3478,0.0,0.0,3
43.3603,58.8811,0.0,72.7672,61.6454,0.0,35.7804,16.4724,0.0,4
84.2054,75.6316,49.8016,54.5417,41.2888,12.2045,41.4198,0.0,0.0,4
55.5772,44.5862,86.1,31.2192,76.8429,8.0078,25.9859,0.0,0.0,3
61.1407,49.7478,86.0797,29.606,72.4075,8.5206,26.7207,0.0,62.8995,3
48.4019,41.453,76.0139,27.4514,78.8287,8.7528,28.2622,0.0,0.0,0
62.947,59.4943,84.8993,5.4587,55.4525,1.7343,38.0417,0.0,0.0,0
64.5353,51.1184,82.7346,6.6753,57.5147,1.42,42.5675,0.0,31.4464,0
55.9207,40.8891,73.6888,29.7096,74.3897,9.4188,33.7662,0.0,21.5108,0
69.9235,60.673,84.5289,18.8921,57.5416,3.6486,34.6401,0.0,73.1177,1
100.0,3.7905,0.0,56.2778,48.2497,9.3874,75.2231,100.0,56.4538,3
51.6975,61.9801,49.414,39.7632,60.3941,0.0,34.5926,0.0,0.0,2
47.8837,70.1692,17.1415,43.1566,49.8949,0.0,40.4881,0.0,0.0,2
61.7952,43.4343,79.439,15.9704,62.6812,1.8889,43.3581,0.0,5.8827,0
53.4124,47.0383,78.9661,35.3937,78.4168,10.0424,23.0374,0.0,0.0,3
45.71,36.472,74.6929,28.8354,82.6428,8.1038,28.1258,0.0,0.0,1
46.441,33.5779,76.4627,30.9276,85.4649,8.7286,26.7879,0.0,0.0,0
47.029,32.4265,80.4377,29.1489,84.6706,9.3544,27.9774,0.0,0.0,0
45.4873,40.2455,79.4598,28.2087,83.2635,8.5642,23.475,0.0,0.0,0
66.0558,62.2391,86.9643,16.394,53.1825,0.0,37.5995,0.0,0.0,1
49.858,40.0483,74.6847,31.0338,79.7105,9.2209,28.4353,0.0,0.0,0
50.466,11.1252,41.3338,37.8119,76.4417,7.3305,53.6794,0.0,0.0,5
62.8956,51.4163,87.5777,37.8386,71.3262,8.5365,25.8581,0.0,29.5392,3
50.7799,33.5328,78.289,35.8601,84.0376,8.448,27.8815,0.0,37.0283,0
55.6686,49.9898,22.3082,32.0344,53.6066,5.1706,51.7095,0.0,0.0,3
39.6365,67.8159,0.0,46.7089,62.5202,0.0,28.5113,41.9539,0.0,4
48.0784,31.3926,75.4423,26.7921,84.501,9.6739,29.8404,0.0,58.3109,0
61.0833,46.4432,83.0068,18.384,65.0862,2.834,38.2855,0.0,13.7293,0
61.3203,55.4432,29.9986,40.4192,53.9411,6.1478,47.0401,0.0,35.3466,3
49.4218,51.7355,79.2897,31.9192,76.3403,7.4997,21.5563,0.0,0.0,0
52.9048,42.3905,80.4669,37.1667,80.9473,10.1933,23.6288,0.0,56.6528,3
81.8648,91.3613,41.3098,31.4006,39.3862,4.9642,30.5305,52.7682,0.0,4
41.0524,67.7321,0.0,50.3249,64.1321,0.0,26.1706,48.3871,0.0,4
40.6446,65.6251,0.0,50.3137,66.5658,0.0,25.0812,52.0291,0.0,4
80.3255,43.5965,0.0,84.8905,70.2087,100.0,15.6301,0.0,0.0,5
50.9687,36.7456,76.5583,44.8574,84.1675,10.3298,24.842,0.0,0.0,3
37.9634,63.1863,0.0,60.4956,63.8595,0.0,30.8537,20.0238,0.0,4
