@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {0,1,2,3,4,5}
@data
0.467651,0.321584,0.76888,0.24663,0.838799,0.099737,0.29834,0.0,0.0,0
0.496412,0.220491,0.776032,0.316598,0.919973,0.089145,0.279479,0.0,0.0,1
0.519133,0.404464,0.768012,0.334978,0.801622,0.092369,0.271238,0.0,0.0,0
0.19965,0.547373,0.374284,0.362223,0.817017,0.0,0.177913,0.0,0.0,2
0.847261,0.286361,0.0,0.217792,0.0,0.019135,1.0,0.0,0.476736,3
0.426602,0.308603,0.624353,0.340791,0.86381,0.088582,0.297948,0.03353,0.425907,3
0.445962,0.463718,0.800347,0.106225,0.727184,0.009333,0.311253,0.0,0.0,1
0.362655,0.535267,0.0,0.705246,0.695953,0.01237,0.318986,0.185007,0.09631,4
0.49386,0.427778,0.789174,0.358414,0.79925,0.07037,0.250494,0.0,0.0,3
0.623678,0.563788,0.835736,0.087764,0.572773,0.017344,0.387784,0.0,0.0,1
0.529479,0.454686,0.769156,0.425544,0.793505,0.097211,0.23253,0.0,0.0,3
0.430381,0.302846,0.72988,0.355875,0.895808,0.104176,0.248962,0.0,0.0,3
0.429671,0.39351,0.0,0.434855,0.605774,0.072899,0.523039,0.0,0.0,5
0.483035,0.353694,0.651071,0.339537,0.826517,0.093621,0.301137,0.042848,0.0,3
0.419383,0.392626,0.764496,0.34967,0.846275,0.05905,0.229676,0.0,0.0,3
0.487654,0.333677,0.775696,0.48082,0.878211,0.107866,0.228585,0.0,0.0,3
0.451995,0.333998,0.781576,0.401271,0.882554,0.101233,0.227693,0.0,0.0,3
0.583325,0.437853,0.741143,0.376413,0.729836,0.088152,0.326315,0.0,0.0,1
0.0,1.0,0.0,0.010405,0.531241,0.0,0.085032,0.0,0.0,2
0.544096,0.451739,0.799254,0.37537,0.789358,0.103659,0.237397,0.0,0.0,3
0.492574,0.251394,0.599112,0.399881,0.861116,0.109377,0.341942,0.0,0.0,3
0.535383,0.59436,0.684662,0.538022,0.752942,0.172901,0.151727,0.0,0.0,3
0.46203,0.356455,0.834292,0.234521,0.83674,0.087219,0.262795,0.0,0.232821,3
0.489898,0.364697,0.788884,0.373195,0.855724,0.095356,0.234874,0.0,0.0,3
0.509619,0.474716,0.779866,0.137013,0.720806,0.025005,0.311403,0.04598,0.467235,1
0.919403,0.634166,0.613696,1.0,0.718643,0.272907,0.059723,0.700975,0.0,5
0.523922,0.405848,0.81485,0.299291,0.811083,0.089292,0.2527,0.0,0.0,0
