@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {1,0,999}
@data
0.467651,0.321584,0.76888,0.24663,0.838799,0.099737,0.29834,0.0,0.0,999
0.19965,0.547373,0.374284,0.362223,0.817017,0.0,0.177913,0.0,0.0,999
0.847261,0.286361,0.0,0.217792,0.0,0.019135,1.0,0.0,0.476736,999
0.426602,0.308603,0.624353,0.340791,0.86381,0.088582,0.297948,0.03353,0.425907,999
0.486638,0.385096,0.624771,0.294843,0.786585,0.085833,0.326493,0.0,0.0,999
0.362655,0.535267,0.0,0.705246,0.695953,0.01237,0.318986,0.185007,0.09631,999
0.562075,0.409806,0.864021,0.303551,0.780486,0.086439,0.275085,0.0,0.548182,999
0.402394,0.208305,0.71002,0.256641,0.915953,0.096087,0.30562,0.0,0.463346,999
0.616706,0.417846,0.836881,0.150769,0.646261,0.020472,0.420304,0.0,0.0,999
0.535015,0.397489,0.763113,0.44094,0.804271,0.094147,0.268431,0.0,0.332296,999
0.529479,0.454686,0.769156,0.425544,0.793505,0.097211,0.23253,0.0,0.0,999
0.421531,0.650093,0.0,0.50667,0.652083,0.0,0.27394,0.484242,0.15474,999
0.430381,0.302846,0.72988,0.355875,0.895808,0.104176,0.248962,0.0,0.0,999
0.585827,0.384837,0.808408,0.174263,0.691666,0.029852,0.402815,0.0,0.332732,999
0.584255,0.102349,0.0,0.476406,0.560152,0.126978,0.707716,0.0,0.663961,999
0.572674,0.365964,0.82907,0.246656,0.7759,0.100644,0.32277,0.0,0.430973,999
0.491406,0.43049,0.805946,0.268333,0.793941,0.08904,0.255114,0.0,0.214055,999
0.599249,0.354126,0.35723,0.56598,0.753377,0.119625,0.390796,0.074096,1.0,999
0.385864,0.610039,0.0,0.498986,0.687237,0.0,0.270773,0.47673,0.134995,999
0.486342,0.402825,0.779513,0.354946,0.82727,0.087477,0.239769,0.0,0.0,999
0.499565,0.423993,0.778626,0.313808,0.795349,0.087625,0.26179,0.0,0.0,999
0.451995,0.333998,0.781576,0.401271,0.882554,0.101233,0.227693,0.0,0.0,999
0.470397,0.358887,0.79124,0.318344,0.836255,0.088873,0.265414,0.0,0.213651,999
0.438784,0.307055,0.759237,0.377213,0.898047,0.104295,0.236319,0.0,0.465393,999
0.471491,0.325208,0.794348,0.396408,0.87933,0.099901,0.236532,0.0,0.505573,999
0.492574,0.251394,0.599112,0.399881,0.861116,0.109377,0.341942,0.0,0.0,999
0.467565,0.33382,0.771736,0.342347,0.867527,0.106062,0.250372,0.018356,0.485746,999
0.535383,0.59436,0.684662,0.538022,0.752942,0.172901,0.151727,0.0,0.0,999
0.480585,0.315453,0.765352,0.315618,0.847324,0.09985,0.291124,0.0,0.0,999
0.489898,0.364697,0.788884,0.373195,0.855724,0.095356,0.234874,0.0,0.0,999
0.44063,0.39666,0.732935,0.350444,0.832519,0.060711,0.248036,0.0,0.0,999
0.444821,0.303865,0.749956,0.269825,0.864885,0.09178,0.285244,0.0,0.0,999
0.919403,0.634166,0.613696,1.0,0.718643,0.272907,0.059723,0.700975,0.0,999
0.488886,0.375983,0.768187,0.295053,0.820498,0.093687,0.274638,0.0,0.0,999
0.529304,0.399033,0.810836,0.256592,0.796349,0.084405,0.278129,0.0,0.0,999
0.421327,0.27525,0.759326,0.322503,0.889303,0.09314,0.275548,0.0,0.116027,999
0.495895,0.397126,0.79915,0.232416,0.809315,0.089019,0.267564,0.027569,0.330733,999
0.451429,0.406898,0.789959,0.252207,0.823816,0.090285,0.243512,0.0,0.0,999
0.448841,0.372455,0.788361,0.365651,0.867934,0.104374,0.213478,0.0,0.0,999
0.505243,0.369638,0.780584,0.418361,0.820421,0.084469,0.271488,0.0,0.136402,999
0.842054,0.756316,0.498016,0.545417,0.412888,0.122045,0.414198,0.0,0.0,999
0.483295,0.473461,0.805282,0.244166,0.739768,0.017169,0.284247,0.0,0.0,999
0.555772,0.445862,0.861,0.312192,0.768429,0.080078,0.259859,0.0,0.0,999
0.611407,0.497478,0.860797,0.29606,0.724075,0.085206,0.267207,0.0,0.628995,999
0.511192,0.468582,0.797754,0.244695,0.730343,0.021886,0.299932,0.0,0.0,999
0.484019,0.41453,0.760139,0.274514,0.788287,0.087528,0.282622,0.0,0.0,999
0.62947,0.594943,0.848993,0.054587,0.554525,0.017343,0.380417,0.0,0.0,999
