@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {999,1,0,3,2,5,4}
@data
0.496412,0.220491,0.776032,0.316598,0.919973,0.089145,0.279479,0.0,0.0,999
0.519133,0.404464,0.768012,0.334978,0.801622,0.092369,0.271238,0.0,0.0,0
0.445962,0.463718,0.800347,0.106225,0.727184,0.009333,0.311253,0.0,0.0,1
0.486638,0.385096,0.624771,0.294843,0.786585,0.085833,0.326493,0.0,0.0,0
0.562075,0.409806,0.864021,0.303551,0.780486,0.086439,0.275085,0.0,0.548182,999
0.49386,0.427778,0.789174,0.358414,0.79925,0.07037,0.250494,0.0,0.0,999
0.402394,0.208305,0.71002,0.256641,0.915953,0.096087,0.30562,0.0,0.463346,999
0.616706,0.417846,0.836881,0.150769,0.646261,0.020472,0.420304,0.0,0.0,0
0.623678,0.563788,0.835736,0.087764,0.572773,0.017344,0.387784,0.0,0.0,999
0.535015,0.397489,0.763113,0.44094,0.804271,0.094147,0.268431,0.0,0.332296,999
0.421531,0.650093,0.0,0.50667,0.652083,0.0,0.27394,0.484242,0.15474,999
0.429671,0.39351,0.0,0.434855,0.605774,0.072899,0.523039,0.0,0.0,5
0.483035,0.353694,0.651071,0.339537,0.826517,0.093621,0.301137,0.042848,0.0,999
0.585827,0.384837,0.808408,0.174263,0.691666,0.029852,0.402815,0.0,0.332732,999
0.584255,0.102349,0.0,0.476406,0.560152,0.126978,0.707716,0.0,0.663961,3
0.572674,0.365964,0.82907,0.246656,0.7759,0.100644,0.32277,0.0,0.430973,999
0.491406,0.43049,0.805946,0.268333,0.793941,0.08904,0.255114,0.0,0.214055,0
0.599249,0.354126,0.35723,0.56598,0.753377,0.119625,0.390796,0.074096,1.0,5
0.419383,0.392626,0.764496,0.34967,0.846275,0.05905,0.229676,0.0,0.0,3
0.487654,0.333677,0.775696,0.48082,0.878211,0.107866,0.228585,0.0,0.0,999
0.385864,0.610039,0.0,0.498986,0.687237,0.0,0.270773,0.47673,0.134995,999
0.486342,0.402825,0.779513,0.354946,0.82727,0.087477,0.239769,0.0,0.0,999
0.499565,0.423993,0.778626,0.313808,0.795349,0.087625,0.26179,0.0,0.0,999
0.583325,0.437853,0.741143,0.376413,0.729836,0.088152,0.326315,0.0,0.0,999
0.0,1.0,0.0,0.010405,0.531241,0.0,0.085032,0.0,0.0,999
0.544096,0.451739,0.799254,0.37537,0.789358,0.103659,0.237397,0.0,0.0,999
0.470397,0.358887,0.79124,0.318344,0.836255,0.088873,0.265414,0.0,0.213651,999
0.438784,0.307055,0.759237,0.377213,0.898047,0.104295,0.236319,0.0,0.465393,999
0.471491,0.325208,0.794348,0.396408,0.87933,0.099901,0.236532,0.0,0.505573,0
0.467565,0.33382,0.771736,0.342347,0.867527,0.106062,0.250372,0.018356,0.485746,999
0.480585,0.315453,0.765352,0.315618,0.847324,0.09985,0.291124,0.0,0.0,0
0.46203,0.356455,0.834292,0.234521,0.83674,0.087219,0.262795,0.0,0.232821,999
0.44063,0.39666,0.732935,0.350444,0.832519,0.060711,0.248036,0.0,0.0,3
0.509619,0.474716,0.779866,0.137013,0.720806,0.025005,0.311403,0.04598,0.467235,1
0.444821,0.303865,0.749956,0.269825,0.864885,0.09178,0.285244,0.0,0.0,999
0.523922,0.405848,0.81485,0.299291,0.811083,0.089292,0.2527,0.0,0.0,999
0.488886,0.375983,0.768187,0.295053,0.820498,0.093687,0.274638,0.0,0.0,999
0.421327,0.27525,0.759326,0.322503,0.889303,0.09314,0.275548,0.0,0.116027,999
0.495895,0.397126,0.79915,0.232416,0.809315,0.089019,0.267564,0.027569,0.330733,999
0.451429,0.406898,0.789959,0.252207,0.823816,0.090285,0.243512,0.0,0.0,999
0.433603,0.588811,0.0,0.727672,0.616454,0.0,0.357804,0.164724,0.0,999
0.505243,0.369638,0.780584,0.418361,0.820421,0.084469,0.271488,0.0,0.136402,999
0.842054,0.756316,0.498016,0.545417,0.412888,0.122045,0.414198,0.0,0.0,999
0.611782,0.502339,0.797226,0.250258,0.644427,0.014178,0.364242,0.0,0.0,999
0.483295,0.473461,0.805282,0.244166,0.739768,0.017169,0.284247,0.0,0.0,1
0.611407,0.497478,0.860797,0.29606,0.724075,0.085206,0.267207,0.0,0.628995,999
0.484019,0.41453,0.760139,0.274514,0.788287,0.087528,0.282622,0.0,0.0,999
0.62947,0.594943,0.848993,0.054587,0.554525,0.017343,0.380417,0.0,0.0,999
0.645353,0.511184,0.827346,0.066753,0.575147,0.0142,0.425675,0.0,0.314464,999
0.388054,0.494373,0.0,0.665525,0.697882,0.021696,0.351218,0.246211,0.019305,4
0.559207,0.408891,0.736888,0.297096,0.743897,0.094188,0.337662,0.0,0.215108,999
0.699235,0.60673,0.845289,0.188921,0.575416,0.036486,0.346401,0.0,0.731177,1
1.0,0.037905,0.0,0.562778,0.482497,0.093874,0.752231,1.0,0.564538,3
0.571032,0.381863,0.807348,0.173921,0.695175,0.029813,0.401643,0.0,0.332295,999
0.516975,0.619801,0.49414,0.397632,0.603941,0.0,0.345926,0.0,0.0,999
0.534462,0.449411,0.845858,0.290346,0.775689,0.089302,0.251876,0.0,0.273233,999
0.565682,0.418627,0.86407,0.33663,0.78329,0.086444,0.263328,0.0,0.195791,999
0.617952,0.434343,0.79439,0.159704,0.626812,0.018889,0.433581,0.0,0.058827,999
0.534124,0.470383,0.789661,0.353937,0.784168,0.100424,0.230374,0.0,0.0,3
0.434596,0.357954,0.762937,0.246913,0.846931,0.096703,0.261178,0.0,0.602321,0
0.4571,0.36472,0.746929,0.288354,0.826428,0.081038,0.281258,0.0,0.0,999
0.47029,0.324265,0.804377,0.291489,0.846706,0.093544,0.279774,0.0,0.0,999
0.49858,0.400483,0.746847,0.310338,0.797105,0.092209,0.284353,0.0,0.0,0
0.50466,0.111252,0.413338,0.378119,0.764417,0.073305,0.536794,0.0,0.0,999
0.628956,0.514163,0.875777,0.378386,0.713262,0.085365,0.258581,0.0,0.295392,999
0.57363,0.302251,0.0,0.113141,0.301706,0.009378,0.808936,0.0,0.0,999
0.507799,0.335328,0.78289,0.358601,0.840376,0.08448,0.278815,0.0,0.370283,0
0.468648,0.354955,0.777885,0.273548,0.832355,0.101324,0.276955,0.0,0.0,999
0.556686,0.499898,0.223082,0.320344,0.536066,0.051706,0.517095,0.0,0.0,999
0.480784,0.313926,0.754423,0.267921,0.84501,0.096739,0.298404,0.0,0.583109,999
0.587968,0.397432,0.793055,0.183327,0.68737,0.036144,0.400262,0.0,0.313219,999
0.479169,0.494117,0.529473,0.267517,0.660368,0.0,0.388416,0.0,0.0,999
0.306407,0.644273,0.0,0.624883,0.675847,0.0,0.254602,0.169013,0.0,999
0.613203,0.554432,0.299986,0.404192,0.539411,0.061478,0.470401,0.0,0.353466,999
0.494218,0.517355,0.792897,0.319192,0.763403,0.074997,0.215563,0.0,0.0,999
0.529048,0.423905,0.804669,0.371667,0.809473,0.101933,0.236288,0.0,0.566528,999
0.818648,0.913613,0.413098,0.314006,0.393862,0.049642,0.305305,0.527682,0.0,4
0.410524,0.677321,0.0,0.503249,0.641321,0.0,0.261706,0.483871,0.0,999
0.406446,0.656251,0.0,0.503137,0.665658,0.0,0.250812,0.520291,0.0,4
0.803255,0.435965,0.0,0.848905,0.702087,1.0,0.156301,0.0,0.0,999
0.379634,0.631863,0.0,0.604956,0.638595,0.0,0.308537,0.200238,0.0,999
0.592466,0.48226,0.743642,0.283248,0.707351,0.092909,0.319346,0.0,0.0,999
0.36596,0.673321,0.0,0.583911,0.626929,0.0,0.2867,0.203168,0.0,4
0.343691,0.570372,0.0,0.485081,0.724394,0.0,0.264471,0.475016,0.0,4
0.214517,0.427859,0.0,0.075956,0.649373,0.0,0.475558,0.0,0.0,3
0.376755,0.245856,0.590578,0.294215,0.89386,0.086573,0.317929,0.0,0.462197,999
0.727527,0.546425,0.649264,0.2682,0.488391,0.012706,0.498732,0.0,0.0,999
0.819126,0.555552,0.709424,0.114518,0.377592,0.012781,0.58304,0.0,0.0,999
0.442326,0.329275,0.780518,0.290579,0.862844,0.083987,0.261751,0.0,0.329374,0
0.644954,0.500569,1.0,0.245202,0.664679,0.00948,0.307428,0.0,0.0,999
0.435781,0.284788,0.786555,0.302206,0.882878,0.090147,0.272006,0.0,0.0,999
0.448412,0.360265,0.781727,0.371581,0.871814,0.112157,0.219734,0.0,0.0,3
0.424059,0.3147,0.770858,0.370344,0.906978,0.102533,0.217816,0.0,0.0,999
0.401707,0.57313,0.0,0.510176,0.720996,0.0,0.262801,0.497445,0.0,4
0.463143,0.440154,0.821482,0.261477,0.80451,0.091932,0.231632,0.0,0.0,999
0.478391,0.342157,0.796437,0.381419,0.865613,0.095205,0.240035,0.0,0.0,999
0.479382,0.37862,0.775102,0.375849,0.847136,0.106221,0.235251,0.0,0.175132,999
0.458075,0.300882,0.805581,0.258272,0.853411,0.094986,0.291415,0.0,0.0,999
0.317795,0.305727,0.0,0.451319,0.784211,0.14926,0.412813,0.0,0.0,5
0.477715,0.420899,0.785803,0.381638,0.827727,0.095249,0.220537,0.0,0.0,3
0.547743,0.360531,0.809376,0.380828,0.81328,0.090988,0.283657,0.0,0.234508,3
0.584472,0.708856,0.815839,0.437554,0.634006,0.025232,0.179335,0.0,0.235737,999
0.538298,0.446219,0.879743,0.266686,0.777387,0.090947,0.247083,0.0,0.0,999
0.691802,0.601339,0.851353,0.149311,0.531351,0.0,0.396119,0.0,0.0,0
0.499642,0.420955,0.848091,0.286389,0.804943,0.081259,0.241846,0.0,0.0,3
