@relation glass
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute class {999,1,0,3,5,4}
@data
0.467651,0.321584,0.76888,0.24663,0.838799,0.099737,0.29834,0.0,0.0,999
0.496412,0.220491,0.776032,0.316598,0.919973,0.089145,0.279479,0.0,0.0,1
0.19965,0.547373,0.374284,0.362223,0.817017,0.0,0.177913,0.0,0.0,999
0.847261,0.286361,0.0,0.217792,0.0,0.019135,1.0,0.0,0.476736,3
0.426602,0.308603,0.624353,0.340791,0.86381,0.088582,0.297948,0.03353,0.425907,999
0.445962,0.463718,0.800347,0.106225,0.727184,0.009333,0.311253,0.0,0.0,999
0.362655,0.535267,0.0,0.705246,0.695953,0.01237,0.318986,0.185007,0.09631,999
0.49386,0.427778,0.789174,0.358414,0.79925,0.07037,0.250494,0.0,0.0,999
0.616706,0.417846,0.836881,0.150769,0.646261,0.020472,0.420304,0.0,0.0,999
0.623678,0.563788,0.835736,0.087764,0.572773,0.017344,0.387784,0.0,0.0,1
0.535015,0.397489,0.763113,0.44094,0.804271,0.094147,0.268431,0.0,0.332296,999
0.421531,0.650093,0.0,0.50667,0.652083,0.0,0.27394,0.484242,0.15474,999
0.430381,0.302846,0.72988,0.355875,0.895808,0.104176,0.248962,0.0,0.0,3
0.429671,0.39351,0.0,0.434855,0.605774,0.072899,0.523039,0.0,0.0,999
0.585827,0.384837,0.808408,0.174263,0.691666,0.029852,0.402815,0.0,0.332732,999
0.572674,0.365964,0.82907,0.246656,0.7759,0.100644,0.32277,0.0,0.430973,3
0.419383,0.392626,0.764496,0.34967,0.846275,0.05905,0.229676,0.0,0.0,3
0.385864,0.610039,0.0,0.498986,0.687237,0.0,0.270773,0.47673,0.134995,999
0.486342,0.402825,0.779513,0.354946,0.82727,0.087477,0.239769,0.0,0.0,999
0.499565,0.423993,0.778626,0.313808,0.795349,0.087625,0.26179,0.0,0.0,999
0.451995,0.333998,0.781576,0.401271,0.882554,0.101233,0.227693,0.0,0.0,999
0.583325,0.437853,0.741143,0.376413,0.729836,0.088152,0.326315,0.0,0.0,1
0.544096,0.451739,0.799254,0.37537,0.789358,0.103659,0.237397,0.0,0.0,999
0.470397,0.358887,0.79124,0.318344,0.836255,0.088873,0.265414,0.0,0.213651,999
0.492574,0.251394,0.599112,0.399881,0.861116,0.109377,0.341942,0.0,0.0,3
0.467565,0.33382,0.771736,0.342347,0.867527,0.106062,0.250372,0.018356,0.485746,999
0.535383,0.59436,0.684662,0.538022,0.752942,0.172901,0.151727,0.0,0.0,999
0.46203,0.356455,0.834292,0.234521,0.83674,0.087219,0.262795,0.0,0.232821,999
0.489898,0.364697,0.788884,0.373195,0.855724,0.095356,0.234874,0.0,0.0,999
0.444821,0.303865,0.749956,0.269825,0.864885,0.09178,0.285244,0.0,0.0,999
0.488886,0.375983,0.768187,0.295053,0.820498,0.093687,0.274638,0.0,0.0,999
0.529304,0.399033,0.810836,0.256592,0.796349,0.084405,0.278129,0.0,0.0,999
0.421327,0.27525,0.759326,0.322503,0.889303,0.09314,0.275548,0.0,0.116027,999
0.451429,0.406898,0.789959,0.252207,0.823816,0.090285,0.243512,0.0,0.0,999
0.448841,0.372455,0.788361,0.365651,0.867934,0.104374,0.213478,0.0,0.0,999
0.433603,0.588811,0.0,0.727672,0.616454,0.0,0.357804,0.164724,0.0,999
0.505243,0.369638,0.780584,0.418361,0.820421,0.084469,0.271488,0.0,0.136402,0
0.842054,0.756316,0.498016,0.545417,0.412888,0.122045,0.414198,0.0,0.0,4
0.611782,0.502339,0.797226,0.250258,0.644427,0.014178,0.364242,0.0,0.0,999
0.555772,0.445862,0.861,0.312192,0.768429,0.080078,0.259859,0.0,0.0,3
0.511192,0.468582,0.797754,0.244695,0.730343,0.021886,0.299932,0.0,0.0,999
0.645353,0.511184,0.827346,0.066753,0.575147,0.0142,0.425675,0.0,0.314464,999
0.699235,0.60673,0.845289,0.188921,0.575416,0.036486,0.346401,0.0,0.731177,999
1.0,0.037905,0.0,0.562778,0.482497,0.093874,0.752231,1.0,0.564538,999
0.516975,0.619801,0.49414,0.397632,0.603941,0.0,0.345926,0.0,0.0,999
0.478837,0.701692,0.171415,0.431566,0.498949,0.0,0.404881,0.0,0.0,999
0.565682,0.418627,0.86407,0.33663,0.78329,0.086444,0.263328,0.0,0.195791,999
0.534124,0.470383,0.789661,0.353937,0.784168,0.100424,0.230374,0.0,0.0,3
0.457262,0.280289,0.772681,0.338674,0.882034,0.08876,0.277051,0.0,0.0,999
0.434596,0.357954,0.762937,0.246913,0.846931,0.096703,0.261178,0.0,0.602321,999
0.47029,0.324265,0.804377,0.291489,0.846706,0.093544,0.279774,0.0,0.0,999
0.660558,0.622391,0.869643,0.16394,0.531825,0.0,0.375995,0.0,0.0,1
0.49858,0.400483,0.746847,0.310338,0.797105,0.092209,0.284353,0.0,0.0,999
0.50466,0.111252,0.413338,0.378119,0.764417,0.073305,0.536794,0.0,0.0,999
0.628956,0.514163,0.875777,0.378386,0.713262,0.085365,0.258581,0.0,0.295392,999
0.57363,0.302251,0.0,0.113141,0.301706,0.009378,0.808936,0.0,0.0,3
0.468648,0.354955,0.777885,0.273548,0.832355,0.101324,0.276955,0.0,0.0,999
0.396365,0.678159,0.0,0.467089,0.625202,0.0,0.285113,0.419539,0.0,4
0.587968,0.397432,0.793055,0.183327,0.68737,0.036144,0.400262,0.0,0.313219,999
0.306407,0.644273,0.0,0.624883,0.675847,0.0,0.254602,0.169013,0.0,4
0.613203,0.554432,0.299986,0.404192,0.539411,0.061478,0.470401,0.0,0.353466,999
0.552421,0.391343,0.878439,0.270053,0.794278,0.09418,0.273229,0.0,0.0,3
0.494218,0.517355,0.792897,0.319192,0.763403,0.074997,0.215563,0.0,0.0,999
0.529048,0.423905,0.804669,0.371667,0.809473,0.101933,0.236288,0.0,0.566528,3
0.818648,0.913613,0.413098,0.314006,0.393862,0.049642,0.305305,0.527682,0.0,999
0.410524,0.677321,0.0,0.503249,0.641321,0.0,0.261706,0.483871,0.0,4
0.803255,0.435965,0.0,0.848905,0.702087,1.0,0.156301,0.0,0.0,999
0.509687,0.367456,0.765583,0.448574,0.841675,0.103298,0.24842,0.0,0.0,999
0.379634,0.631863,0.0,0.604956,0.638595,0.0,0.308537,0.200238,0.0,999
0.336627,0.267673,0.0,0.39822,0.683296,0.058456,0.533381,0.0,0.0,5
0.36596,0.673321,0.0,0.583911,0.626929,0.0,0.2867,0.203168,0.0,999
0.576529,0.534361,0.826755,0.267661,0.660913,0.009434,0.316317,0.0,0.0,999
0.518733,0.345242,0.790568,0.305286,0.811669,0.095559,0.304279,0.0,0.0,999
0.731809,0.642906,0.732886,0.589849,0.760665,0.232841,0.042304,0.50988,0.0,4
0.214517,0.427859,0.0,0.075956,0.649373,0.0,0.475558,0.0,0.0,999
0.462661,0.357013,0.698882,0.279564,0.819429,0.090426,0.302281,0.0,0.466117,999
0.425709,0.33173,0.751681,0.329053,0.888088,0.107269,0.231787,0.0,0.464791,999
0.819126,0.555552,0.709424,0.114518,0.377592,0.012781,0.58304,0.0,0.0,999
0.396759,0.33365,0.07188,0.359022,0.661453,0.020087,0.514747,0.0,0.538961,999
0.173785,0.12446,0.0,0.258472,1.0,0.410068,0.292305,0.0,0.0,999
0.477104,0.559034,0.0,0.772746,0.651528,0.012492,0.336868,0.324647,0.0,999
0.435781,0.284788,0.786555,0.302206,0.882878,0.090147,0.272006,0.0,0.0,0
0.462632,0.296836,0.781837,0.300154,0.858519,0.095035,0.290917,0.0,0.271708,999
0.5493,0.441723,0.0,0.385346,0.462426,0.050043,0.614514,0.0,0.0,999
0.433535,0.37725,0.790813,0.224892,0.841482,0.088579,0.248552,0.0,0.0,999
0.478391,0.342157,0.796437,0.381419,0.865613,0.095205,0.240035,0.0,0.0,3
0.640769,0.513691,0.854306,0.130172,0.597617,0.02683,0.396799,0.0,0.0,999
0.458075,0.300882,0.805581,0.258272,0.853411,0.094986,0.291415,0.0,0.0,999
0.625631,0.543175,0.785844,0.311485,0.663482,0.080541,0.309812,0.034073,0.0,999
0.64788,0.532862,0.798184,0.31209,0.676356,0.01898,0.300978,0.214057,0.0,999
0.317795,0.305727,0.0,0.451319,0.784211,0.14926,0.412813,0.0,0.0,5
0.477715,0.420899,0.785803,0.381638,0.827727,0.095249,0.220537,0.0,0.0,999
0.547743,0.360531,0.809376,0.380828,0.81328,0.090988,0.283657,0.0,0.234508,3
0.590945,0.50931,0.817809,0.458491,0.748696,0.100895,0.226472,0.0,0.0,3
0.584472,0.708856,0.815839,0.437554,0.634006,0.025232,0.179335,0.0,0.235737,999
0.538298,0.446219,0.879743,0.266686,0.777387,0.090947,0.247083,0.0,0.0,999
0.470606,0.487647,0.706242,0.454735,0.918759,0.275552,0.0,0.365436,0.0,999
0.691802,0.601339,0.851353,0.149311,0.531351,0.0,0.396119,0.0,0.0,999
0.499642,0.420955,0.848091,0.286389,0.804943,0.081259,0.241846,0.0,0.0,999
0.500823,0.437408,0.747607,0.295786,0.765895,0.081351,0.290564,0.0,0.0,999
0.467595,0.325631,0.78447,0.315272,0.845452,0.096647,0.28235,0.0,0.0,999
0.568988,0.68299,0.830332,0.0,0.542078,0.004712,0.325464,0.0,0.0,999
0.5556,0.418075,0.832224,0.309189,0.781947,0.091068,0.272553,0.0,0.0,3
0.418806,0.03328,0.0,0.140033,0.462815,0.0,0.816973,0.0,0.0,999
0.643242,0.476398,0.859157,0.178578,0.641152,0.036316,0.378976,0.0,0.216364,999
0.369306,0.657244,0.0,0.616709,0.633247,0.0,0.291479,0.194149,0.173398,4
0.439325,0.0,0.0,0.134433,0.442051,0.0,0.843725,0.0,0.0,3
0.62947,0.594943,0.848993,0.054587,0.554525,0.017343,0.380417,0.0,0.0,999
0.431938,0.32379,0.766652,0.251605,0.857546,0.087017,0.27631,0.0,0.0,999
0.53694,0.344995,0.810984,0.284567,0.817382,0.097191,0.294851,0.0,0.683473,999
0.483303,0.433916,0.781714,0.28625,0.80687,0.106222,0.239768,0.0,0.0,3
0.396374,0.69077,0.0,0.656934,0.596565,0.007752,0.299624,0.161166,0.0,999
0.497393,0.355233,0.795818,0.289658,0.821513,0.087575,0.285747,0.0,0.0,999
0.416929,0.371225,0.746713,0.38219,0.835924,0.010874,0.261724,0.0,0.367672,999
0.695235,0.563455,0.824639,0.127539,0.555585,0.003162,0.4057,0.0,0.196956,999
0.487145,0.601029,0.0,0.456019,0.797541,0.220062,0.092204,0.881644,0.0,4
0.589695,0.561443,0.794398,0.325246,0.688785,0.088152,0.263584,0.0,0.0,999
0.692449,0.635301,0.860515,0.182721,0.55101,0.023784,0.346901,0.0,0.0,999
0.426506,0.006813,0.373387,0.374933,0.816594,0.089842,0.548543,0.0,0.0,5
0.479648,0.364498,0.770594,0.354882,0.854046,0.093712,0.241468,0.0,0.0,3
0.498834,0.326843,0.797762,0.298503,0.832547,0.092237,0.294522,0.0,0.0,999
0.479018,0.434006,0.631061,0.267814,0.75563,0.08579,0.322488,0.0,0.0,999
0.499737,0.407549,0.787149,0.325618,0.796949,0.087592,0.27144,0.0,0.194848,999
0.516543,0.429553,0.0,0.331199,0.444779,0.051567,0.637122,0.0,0.0,999
0.611627,0.470544,0.773801,0.320064,0.701333,0.086756,0.32891,0.0,0.0,0
0.462576,0.393155,0.617081,0.297148,0.787443,0.07945,0.320552,0.0,0.174657,999
0.530889,0.541988,0.52762,0.380025,0.633507,0.0,0.374583,0.0,0.0,999
0.396393,0.584035,0.0,0.701805,0.655577,0.006204,0.322428,0.194716,0.0,4
0.450524,0.550247,0.0,0.534201,0.527567,0.0,0.485953,0.0,0.0,999
0.445559,0.359779,0.785949,0.362549,0.867877,0.10746,0.224977,0.0,0.0,999
0.435323,0.397249,0.756698,0.338327,0.855261,0.094912,0.215319,0.0,0.0,999
0.475449,0.349179,0.778877,0.396366,0.868234,0.099892,0.232863,0.0,0.408312,3
0.527227,0.428473,0.782348,0.395523,0.802738,0.106609,0.243332,0.0,0.0,3
0.591708,0.475289,0.757518,0.370902,0.716276,0.091402,0.309022,0.0,0.0,1
