@relation shape
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute class {0,1,2,3,4,5,6,7,8}
@data
61.7318607493,55.5738847864,20.5663487735,0.721816780338,24.5443069391,41.0595078639,73.3935977324,72.4296297684,77.4087804785,47.0844482403,52.2180554485,18.69484393,14.754094492,37.7813167029,84.0833952576,91.2716624506,70.7982340826,0
60.1771270196,55.3875119002,21.255271112,0.436513681815,22.2028577744,48.7938170257,63.7359357497,75.2161670969,74.6300175054,52.4436560681,47.1954398832,15.5878507626,17.4943385275,39.7804927563,86.4105045082,88.7330473278,69.2648177882,0
63.797668247,53.8520731776,20.9223930638,0.0,22.7116704426,46.1459855286,73.7729637845,72.7285365845,83.0550896664,51.9850549565,43.5905805615,12.5787659702,20.9679473559,41.3743379998,83.0749270546,80.9588864021,71.1481973235,0
55.6340974946,39.350512843,7.8119122623,12.2013523215,28.499769324,50.9663067037,79.0324055846,70.751978114,77.252890011,48.5513024801,32.9967647714,19.8291023632,27.8536557812,43.4014303301,92.2122864378,81.0491211358,64.1694249634,0
58.7073600539,55.3159727672,22.7516529705,3.09244234054,20.3206547471,45.3543092063,78.425110194,72.2554075059,77.9739643705,51.0406406857,45.1277958927,15.4259444472,18.3911523978,36.2858547809,86.3131781797,86.8182319991,67.6049979584,0
64.2929442848,54.8676077373,17.8310201719,10.0299062372,28.4735259849,40.9982399826,70.1012515531,73.6304567065,78.5706637362,50.286543277,46.2314842478,20.8781782677,13.0030617569,33.6807256555,83.5765055974,95.9398028811,73.4186137114,0
48.2364451917,45.3857395187,21.4406631551,3.59702759627,20.9834328904,46.5283220481,79.7368021045,90.6035167881,74.6688583414,44.4836811044,34.9562464922,19.2833895255,28.5839663515,44.0311105577,87.4206441736,74.3758931956,56.6378912436,0
62.9718984245,54.0063355335,20.6221697396,11.2189961882,29.5099936163,40.2874544749,69.0267655366,73.6632139629,80.4739974157,48.8802216557,45.7664447444,20.4878471079,10.4905713139,33.5315012869,82.661000788,98.8539081984,72.8956281431,0
58.5881782892,54.9399741739,22.2177626264,2.20933859262,20.7527410333,47.0317008099,77.9263507738,71.7548474592,77.3304581571,50.3935768579,44.7873589102,16.0478204616,18.1836181177,38.6508659196,86.0536393415,86.6809549381,67.4997642566,0
59.7734068407,55.1776178772,21.4526847587,0.728513745691,21.6944631798,47.6951817431,77.8360719986,64.768020721,78.0013891752,51.4588037802,47.1826959533,15.6765241664,17.090816128,39.0595183425,84.9610445939,88.7453020133,68.794445429,0
57.7570241408,54.4582675738,21.9962987888,2.05359952901,20.8806094072,47.8023908326,77.7203118801,71.6601614271,77.2844054848,50.4765598668,44.4143930131,14.7278793817,18.9064428442,39.9650678222,85.5491685623,86.0844630541,66.6659976664,0
56.8374155082,53.9961476164,21.9238381854,1.4216953275,20.6608511403,46.815303613,77.5844172655,72.3048673684,78.145996325,53.0342074791,44.0954870365,15.0817558002,19.3488190592,40.1296885023,85.6023032858,85.3774217297,65.7528505738,0
52.4909908943,50.035751905,23.3456121733,14.3941680009,18.7128788158,48.380292026,79.9763337885,74.2758321258,81.6982667076,52.9886932183,41.438522814,10.608991688,19.2481251941,38.1735230174,83.8057767777,83.2887225049,61.7461837187,0
63.6440702599,55.1996325161,46.3826743446,77.9271277655,50.4275649873,24.222369747,4.51912136441,39.7311029245,75.9449234984,64.6007175635,85.9184794659,76.5416553152,38.9517447996,8.14733729833,5.03664485513,41.4961824668,60.5878154429,1
74.515828197,68.2780898585,57.8384140143,90.865669246,46.6822868967,12.7718178361,19.1706439072,70.999942783,63.4748514727,50.7671573263,78.5660614158,60.9836361184,30.2906874207,2.28033815642,7.94080632841,51.8136044903,73.0470581872,1
73.96601377,68.2635212608,59.4791666069,94.4382542446,43.93331766,8.23204747209,15.2834006696,54.3646052751,74.9722431449,51.1863907363,68.9103170007,72.820445575,34.4361418512,8.29981588545,8.38361433458,50.1806495572,72.4270876137,1
68.5865756501,63.0951509016,51.5906299035,78.5176857928,53.3068131084,22.5600417601,4.6839492216,44.7898865961,80.5324340222,56.564130817,71.4635239331,73.7359417078,37.4017607494,0.0,11.5007503771,54.1571787816,67.930666694,1
84.2249383123,55.9550932227,50.8921148252,97.8976655375,46.5652954622,12.5042278054,16.2865011892,52.8882412028,75.4097608534,50.9781572909,69.9917709357,75.8285917769,34.8502376587,3.65223017373,11.0491493837,55.5969181253,82.2441654302,1
88.2380044767,44.4790024021,44.5685762546,100.0,41.8404228467,11.7382214212,19.8266758279,56.0400971531,72.7143174803,50.1710347597,70.9203189262,74.264177314,33.5815900031,2.64167750912,15.3051700851,59.3259740045,86.2868716234,1
74.6273159768,67.633329486,57.5265155325,90.4641371171,45.9438563199,12.0014897651,14.3503561972,49.2684875606,79.6296326894,53.1415875592,67.8140560894,73.9853355213,37.5182581107,4.58591962183,7.58272244837,51.7404525366,73.1407655648,1
80.3394869297,61.3529718244,53.0641099064,96.7177386142,44.0015282082,11.6908926578,17.9422726768,53.6190742067,74.3266361664,50.7613505756,69.7627222506,74.528688191,34.3269919877,3.93936156235,10.1755998108,53.7848948467,78.5650501257,1
77.4818904615,69.5423961281,59.5189999227,94.5068826713,42.3334046079,10.5460044181,20.1048964765,55.2958052143,73.8086932394,44.5460725928,65.9617097632,75.7860716669,36.1272241839,5.68987048403,7.83695958932,52.1243766247,75.8157650392,1
75.0399301534,68.9620021364,59.6098366338,94.0543174861,43.9232178016,12.7657653768,3.53591779381,43.6590746014,82.6868574985,53.7740069808,65.621546185,70.4947848719,42.6902516284,15.2936628391,4.76187798778,51.250235932,73.5298090539,1
78.8624942768,70.0868299946,58.5840589765,91.1542309648,49.026583968,13.435268077,15.2147509014,50.5606293496,73.0688894785,48.604209805,65.0268863455,74.1178926111,36.4291884342,7.4455323956,0.0,52.4440498571,76.8494341462,1
71.5097996507,64.8150256286,54.419543838,85.5372742838,50.9378846088,15.7595488193,15.010563518,55.1521948564,72.0885677019,52.4219208975,73.0879218656,74.4791043954,34.0955428876,1.40850504358,5.99259887761,51.2834563347,70.1550943227,1
88.7131290791,64.05076421,36.7525265932,35.000865037,48.2285506792,48.7767056638,30.299853728,22.1032306229,41.5197022078,20.1617703161,14.7663613644,42.5969765226,54.7058766602,64.1580422615,87.0511149858,80.0542653595,87.2671226816,2
86.0482554072,61.4970744596,41.5070009666,37.0822933591,53.2650195841,50.1865011318,36.369461612,20.8980877954,44.5863123708,26.6700594121,0.0,38.7839054484,56.2710216224,66.870609692,78.8853032681,74.9646900977,84.8324570832,2
89.6551538055,65.6032642855,43.3732103935,47.7771643558,43.1337746074,44.6707480173,28.0869084835,30.5202198956,32.3856227613,2.22383953385,26.3662670864,59.7800837055,66.5628342146,67.3794771612,66.7051031383,68.0293665371,87.3754519207,2
88.6373014374,67.292349999,43.3472260882,42.0354696977,40.1427507392,53.871010952,29.190607641,29.6789852985,39.4060527085,4.07711956943,22.8016136908,53.2392425469,57.1754363,67.4296978448,78.4032886067,73.8946265134,84.8675786855,2
13.1040620966,29.3652645628,54.2610102193,82.9721653731,79.0929924523,64.467709175,55.9319975003,67.8809095715,78.3813736888,54.5676306413,33.823713864,0.0,25.3934660033,25.0575573015,22.0265418689,55.3715592048,17.9993674106,2
82.1455062784,67.9158480519,40.1707672304,41.6119798899,49.1408357471,42.9480735074,31.7464463558,22.5474924695,34.2202094828,26.8117686616,11.4063202207,33.5551581454,56.0030203613,66.5919800207,85.9653915442,79.439819375,81.2417539666,2
81.4562159669,70.3799845229,50.2287187524,34.3263129809,46.1670377838,47.1264358122,19.8485084469,25.1759697969,39.320201957,4.83630964449,26.0911441748,59.4936299075,66.0385458601,68.9878891645,67.8827967516,63.9397473105,79.4798287486,2
87.9013642847,66.060685345,48.9088458006,31.8497321774,46.7987957022,45.6659200428,35.4073009179,30.1387179483,33.4431667759,0.0,31.2039547944,62.0579373154,63.8031567762,73.5311079086,68.2301141531,59.5945591483,85.040732118,2
47.416928607,39.7696424546,29.3878445221,55.8377555991,69.2011806275,60.0245486491,71.8548232374,87.68234203,77.1138738865,55.8188915416,39.7758218207,4.48611741049,19.9461298971,45.8524750338,18.8491383918,29.340040451,50.1411883678,2
82.5972452644,60.922270189,36.2192912292,47.2794283897,38.9882981777,54.0458684948,17.9596204056,33.1549208041,37.6761242225,4.82093919164,31.3386022418,57.6241396928,56.8696165458,71.0203662567,85.0272042425,72.8522638923,79.0895470446,2
18.3236113084,44.5007135105,51.8323425034,73.407976949,78.5284086813,66.0648571051,64.737354164,75.7215062183,75.7720011905,51.4845408239,30.6425248999,0.949630164525,30.3518238322,24.5521083165,20.8990259802,50.6278755418,22.9288831364,2
61.8390057996,76.4321384169,66.288570465,66.6502448119,16.1356923662,42.7800256842,57.1792579369,34.9630599944,0.0,47.9838426959,90.5335989097,83.972324842,53.2497642163,20.2619138548,10.7549508095,27.7441808253,57.0082566247,2
71.3775896977,23.4244737753,17.4058368205,88.2299640674,73.1425494974,29.6139961727,20.8302541567,72.6321033614,79.1257448749,34.3789698386,31.8034634485,72.9713313764,65.8036519642,28.6449741543,19.2801596149,78.7710480011,65.1918663744,3
69.5949998684,22.5265018308,12.7592668024,81.9464015317,66.0966220292,34.4395942952,11.7241516737,63.8620225988,74.4292631914,41.7468670715,27.6113245349,68.2613979823,65.3994151013,28.0361321351,23.3445067365,80.0704159887,68.1287373811,3
60.9569268373,37.7614193058,0.0,62.9147326343,65.9522307464,48.1880743097,1.91572408185,48.1155361048,77.5073189664,52.6642671783,23.1420985847,56.2164545279,65.555029547,39.2701570021,9.70228570273,63.5509376135,66.2724092001,3
72.5904258621,13.1021169829,65.8238443735,23.7430727068,74.1680418191,19.1676477525,86.8498840213,9.70042256105,86.5253388033,19.7608916314,93.7686439924,11.2196511906,71.7112527153,9.66265999711,94.3295653406,4.99390009953,74.413814394,3
65.0530792577,21.5814327688,20.061264584,86.5815206301,68.6968881602,27.8779370634,19.2329789935,69.1456865411,81.4266969161,32.9962797057,29.0830763404,67.6049993903,68.033303691,29.9186633582,15.4180982991,73.0298399161,68.593443086,3
63.1607211792,13.6864938057,22.7299460918,90.2900808368,68.8177364552,28.9109154352,24.8082431195,75.9089646378,80.429583676,29.4799180908,36.5076955326,73.9195755406,66.9707364909,24.9724869411,16.1263620851,78.6309343822,66.2887827717,3
63.054911509,27.5611458618,16.6513800563,84.7308423922,66.7720282341,34.6757979711,12.0995820446,66.4742781355,79.4281425879,38.2160737347,23.9004749226,63.2996834386,66.1706176562,31.5118225933,15.7024411917,68.9109435113,66.8090151326,3
70.1774561085,18.173752015,21.8126736455,91.9640481679,71.0685664158,26.7303979094,23.1607138392,77.356871087,78.4310799814,31.9509094783,31.868560846,71.4961921107,62.8053968136,32.0221207894,18.0019118492,80.7852560612,66.1861748139,3
74.4432274192,8.26865983806,73.4945690152,10.1244651488,71.8562420635,18.2361207667,86.6399384951,29.975682883,60.511454353,28.3439730956,91.3652414031,22.096579945,61.3242681936,26.1353670194,86.0360033233,20.6575377693,65.8660561947,3
66.8596912956,31.7950292074,15.575337041,86.259515333,69.0772428917,28.0796505325,14.3940132906,62.0654916626,78.2364520772,38.6061166657,24.8981384242,58.616344519,67.141960878,40.4884989623,16.8985729956,59.5571416231,69.3286368424,3
65.8181276979,31.4501046911,14.7085908472,80.2758533946,66.4887658207,32.9850070618,23.4188665048,74.9111562167,76.9923556988,33.8892754424,27.4893366363,66.4994987392,64.3116511607,35.3083694191,5.68647810777,58.6643213251,67.3368297391,3
63.4518450298,18.8055407645,18.8341631037,87.0169382841,68.1858832407,29.5264990096,21.8566804488,72.3169518584,79.6800665081,31.6057145726,35.6977275407,74.0779254326,68.0260789511,25.8292794195,20.3494333704,77.9808574781,66.6561975594,3
64.6280844606,71.818383954,15.2997814746,36.3173166553,69.3544098627,62.9340539557,19.5688163634,29.5182853927,82.7164995257,65.3863972891,36.9439148378,31.8022232713,65.7649042357,62.5018070752,34.9786535296,23.7244421774,66.609433095,3
74.4319846158,11.0538002899,65.0503283368,29.5921733718,73.0540382273,3.99538469033,87.808686749,27.3482562514,88.0813706827,28.8630219953,64.8944108771,44.351285538,59.7463066251,19.5133773275,77.3951247876,45.4711776487,58.4305846459,3
72.3124289813,85.799440873,26.7813502073,25.111472211,70.5294666885,71.5431027202,29.232058668,22.9380335146,81.1027559011,72.83297498,46.9271373006,21.6957653787,61.2826351157,61.6810599555,45.1371892932,17.3289599514,64.7825270859,3
62.6843965639,73.3372118478,19.5777453525,32.9234934907,67.5496363012,63.9137306155,24.2861066166,25.7332667305,79.571769043,66.1156043368,40.306615178,30.1448174142,68.9164972919,62.4720367449,35.6189128176,24.7616853871,70.3330731516,3
63.3368194073,16.1064212849,20.4988237171,87.1117623637,68.8904535907,29.8227594456,22.4989699277,74.3938333475,80.7225795125,30.687853413,35.9622885127,72.7641012544,67.7406248662,26.9307198612,15.6153090764,77.0916721365,66.5880374694,3
45.809691388,30.4672139161,33.1002507905,98.3916411266,100.0,59.6108214112,16.537285821,47.7524200748,71.4416559732,31.9159722625,65.8702306383,22.5002169668,39.5777649396,16.1428137956,53.4269159255,43.7065258101,60.0619706907,4
19.4452374956,44.0783466944,30.5018210118,55.960699862,7.79409691969,45.1619736317,38.2696416945,29.7002634341,69.7605828673,38.3955430837,40.1763505422,66.3543100287,91.0554191027,76.4676084467,64.1879649822,20.092295762,17.6826054463,4
0.0,61.8099736549,25.5355326581,65.1389745529,21.0735352115,49.1828319778,32.9345730272,47.4336024472,54.1019073337,31.4828058949,34.8003011595,62.4715171863,88.6437112915,81.3723608801,67.3720687332,20.2246417913,0.0,4
46.2508984319,27.5111395486,48.6255382229,36.6352080181,30.1798783516,46.292161505,30.833831481,64.0282784394,33.5681504398,26.8769538986,72.4501406614,100.0,84.5482169009,45.5670934934,20.2526928487,30.8451007757,44.300461899,4
21.7242070746,49.2858310643,9.89412044615,62.3643814429,27.7456359563,30.2407643142,56.0436017653,18.2050301106,59.4642062993,46.6980255263,33.2994092703,60.7181420178,86.8896366746,79.21868522,64.8221142186,15.7485657559,20.6282226205,4
49.8042949155,31.0145479925,4.2623441239,53.7850643,80.0165398162,97.9034679522,70.8824792364,27.0546113858,31.2060907317,51.8444764419,54.8167805025,43.8230745123,37.9998817455,21.2860903374,64.3293245417,30.8388679518,51.1887517031,4
42.2430717139,15.8356293587,47.2332747551,39.4576928274,35.3486892812,47.3409987468,21.3499910261,34.745360585,74.9609779487,97.7402717462,100.0,53.5181305684,10.4866417655,28.484823156,66.8660050898,23.7778573985,44.2514759313,4
51.5682585697,30.1765425376,3.54386636949,47.6283414631,69.8882595169,100.0,84.5340572431,42.8450610165,6.88778860403,36.6245453541,78.2365927846,37.0981338049,49.111740854,19.035587972,68.5792557977,31.0828988451,50.1781021041,4
20.0132970937,47.825528169,14.4349258936,65.6240310687,21.3562972102,31.4417434322,56.8045070865,21.9264165373,60.6222723099,44.046209165,32.1605194558,60.5079736526,85.6165712541,81.4196440117,69.0183140526,20.6161571239,18.7512464773,4
