@relation i10
@attribute i1 real
@attribute i2 real
@attribute i3 real
@attribute i4 real
@attribute i5 real
@attribute i6 real
@attribute i7 real
@attribute i8 real
@attribute i9 real
@attribute i10 real
@attribute class {-1,100,101,200,201,300,301,302,401,501,601,701}
@data
45.45162,651.064873,307.842695,542.584353,246.278606,92.720283,34.832996,43.595178,49.139203,15.126677,100
50.542975,649.085713,495.595869,536.398005,250.625844,83.618892,24.96971,17.24972,99.175003,91.19695,100
49.568534,655.377864,578.329521,535.11417,252.674821,82.255404,25.099854,46.765181,76.475552,30.470814,100
46.259029,656.522783,228.343313,533.269018,251.349472,61.055866,52.618001,21.953025,84.236852,23.102155,100
52.883286,653.452028,617.444805,534.972778,243.767813,39.444765,95.150041,39.132758,50.664923,50.087655,100
46.310143,646.143962,516.39594,531.336893,252.511401,10.808914,8.913455,23.464568,11.725739,63.232335,100
48.255246,650.20577,678.647745,539.761142,249.11248,13.090402,4.446022,98.065331,56.68558,53.585226,100
41.07206,648.119733,86.205125,536.010036,252.518248,13.192008,40.304472,78.554936,30.441728,39.479475,100
50.960484,645.02483,718.120441,546.595414,248.415777,69.751886,12.697132,64.579329,16.517068,89.172684,100
53.517335,653.033963,547.774866,527.691726,250.092268,95.050143,77.572934,41.790685,17.003168,61.809786,100
45.814749,653.183394,906.334303,531.343496,257.368737,64.89284,56.447933,56.959827,4.025598,7.112856,100
46.915135,646.722706,560.289417,525.91266,254.547837,7.047482,14.834512,16.02631,30.51205,26.560251,100
45.326953,650.638988,579.909582,538.457617,252.933909,79.258645,43.602452,31.006274,77.323976,0.288033,100
48.128269,641.202678,340.611037,538.854439,255.952148,84.591499,90.515984,40.592505,63.146435,20.957712,100
47.226338,649.788115,650.501873,555.349644,245.764169,80.07198,32.898321,33.654844,44.651308,49.415389,100
45.662103,641.499184,830.450617,544.882782,251.973301,22.827528,39.701451,26.988323,64.618213,56.704618,100
42.315942,643.613222,215.360535,517.391643,250.554575,88.798109,29.511053,13.152551,45.757936,33.536651,100
44.133555,646.108182,939.603112,547.795895,250.503046,20.265407,52.805418,48.371164,36.291717,83.317469,100
45.71446,642.734993,142.263288,546.320378,249.466373,74.931415,15.550362,26.919921,5.937688,92.874339,100
44.83353,650.648418,464.40661,512.149499,247.390791,27.207954,90.529188,83.390323,67.800459,53.675623,100
45.726636,648.560188,791.679562,510.175061,244.575752,4.348035,47.872438,86.573945,38.002879,92.523746,100
46.535046,649.393276,158.551722,508.413303,247.807754,35.989334,60.830408,32.225197,62.977656,25.448621,100
49.34607,650.068372,934.828927,523.21719,248.573313,88.929816,51.775765,54.959674,2.082366,97.533702,100
43.491919,647.593328,515.541886,546.771409,239.980715,88.496326,22.347773,50.33912,36.867489,58.63949,100
50.539242,644.264917,318.66908,549.218165,244.794081,33.656589,11.798904,74.189852,60.57651,17.736593,100
51.839256,647.0018,878.384641,542.46279,249.597219,67.064191,87.784464,8.265781,50.454514,55.584922,100
41.959101,652.25519,854.057869,560.571439,252.231369,61.941404,54.802549,3.457361,48.515348,92.805428,100
46.2637,652.078214,593.081074,555.819165,247.833895,95.981107,84.504682,53.635836,28.206304,47.482338,100
41.684301,645.741557,16.928995,502.927145,248.249652,79.084457,17.13612,99.258104,34.044132,19.218486,100
41.625623,647.095125,47.490492,517.276639,252.513734,96.791805,22.540457,41.566259,47.130925,59.407947,100
41.640236,648.895661,153.90727,515.85618,256.179753,0.205749,80.787514,71.206851,74.395602,41.364024,100
41.46035,649.361995,456.96317,519.937997,242.006721,88.943444,41.459793,29.148488,97.209225,91.914307,100
49.148219,655.406011,234.159641,558.64151,250.655463,84.733411,59.150628,46.716856,88.190771,7.665977,100
48.553307,656.422155,528.436784,519.654085,250.162828,39.522284,84.171878,92.170659,93.15812,12.378182,100
45.81113,659.972204,854.414265,542.247692,246.141142,39.652997,72.242577,29.514302,38.911101,6.286709,100
44.929596,654.850646,791.156593,548.125862,242.576958,48.732788,35.702906,28.827166,90.299047,82.833831,100
50.702354,658.814958,854.138611,527.491837,245.416553,88.235113,90.504796,63.621346,59.441964,64.900398,100
43.865447,656.787085,67.683023,570.289658,246.984822,4.98537,48.385408,6.36019,34.133858,45.594633,100
40.625906,653.884527,905.671795,543.992115,240.398107,98.274497,18.867269,4.745261,44.991353,7.05804,100
39.835165,651.411959,820.246376,504.500619,242.059072,12.411238,84.513637,91.229918,4.581896,77.671757,100
47.647255,647.962197,481.106021,510.704369,244.582054,3.6081,44.234893,49.914334,33.122402,83.145994,100
41.435408,651.711288,496.574796,564.492917,247.854416,56.201043,81.85519,18.8489,85.028209,72.154237,100
39.853656,645.731348,545.754054,551.565884,250.5768,1.682731,73.263323,62.659033,65.304077,32.705287,100
37.979601,654.748277,305.002275,556.623026,245.632365,27.559431,70.289447,81.090695,33.919621,4.423306,100
43.855753,651.624606,66.131119,549.694218,251.872936,26.685328,32.194118,23.290574,31.43059,77.185471,100
38.259108,649.642718,499.764497,509.286259,254.654725,30.348615,43.841827,61.699107,21.578533,48.423724,100
41.769544,654.57502,781.900266,562.497487,242.532557,39.370864,25.186633,92.658617,89.285198,58.309035,100
39.453152,651.784029,851.145187,576.571655,249.139562,75.804611,45.486241,40.164225,94.653511,30.51445,100
41.798328,651.348217,727.723394,547.268325,247.281722,12.318462,96.336242,3.777773,74.977495,61.640319,100
39.350145,644.44592,645.378522,511.87943,245.378787,36.48306,48.599363,27.82781,61.090274,51.469298,100
39.269115,646.443875,620.829831,498.317001,246.206141,2.536925,20.209127,16.43317,27.878554,52.505272,100
50.550034,644.662076,453.371295,560.531449,240.657092,31.929766,15.5091,23.930808,57.951499,9.49234,100
51.741124,659.501332,392.147756,568.390436,248.038022,17.573756,0.559179,66.898662,31.633151,13.817658,100
52.990807,653.385589,211.027566,525.933079,247.117765,36.456547,99.451678,51.231886,39.903716,68.219746,100
46.5037,651.929741,262.319564,552.742701,237.481799,36.353071,49.596932,76.002421,37.297158,95.903571,100
41.468762,647.442674,965.873137,535.114556,260.422702,44.259084,83.190299,72.492878,45.863759,77.829284,100
39.609955,639.82318,650.758681,511.085114,254.538608,68.650665,17.464534,82.240396,21.281957,12.041708,100
46.494168,638.403874,801.790602,509.776511,243.829814,59.643646,38.412257,87.868425,43.515318,47.23156,100
35.9776,650.752355,908.284606,568.731159,257.320562,75.689674,14.74987,23.007834,89.350343,77.69627,100
43.573365,649.150343,836.208249,572.105335,252.840425,45.836135,26.389083,47.289737,94.654894,21.600657,100
54.58473,659.602145,490.112854,557.182301,246.967552,89.992261,11.260552,16.90799,81.462382,20.817293,100
44.993487,645.960889,461.178592,504.209456,240.900179,19.531501,8.203292,0.50287,5.978655,67.393187,100
46.533988,644.415723,481.614556,524.398103,254.092373,7.535242,44.669029,65.4608,9.957539,17.552929,100
43.909488,643.669258,660.972099,510.460957,238.748228,11.570793,89.679881,94.666468,21.157567,17.696753,100
45.866617,660.352794,903.87409,558.445216,255.54689,67.955225,3.122444,17.56993,76.709304,11.468971,100
52.821931,651.134989,776.898173,515.54158,246.597246,46.906106,27.444255,24.318716,5.263086,48.584162,100
46.479359,654.016323,562.326725,580.414285,252.069382,36.757426,30.461715,16.820341,41.984265,87.598086,100
46.082122,657.290725,440.508904,573.619512,251.056241,60.613842,62.315809,51.646232,49.66986,22.965829,100
48.049017,655.372868,786.623976,562.380157,240.930215,36.191304,4.28677,94.521222,32.441909,97.197185,100
