@relation D10
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute class {999}
@data
445.133648641,684.425644127,557.239697826,54.8928015987,153.792185038,7.74905442138,454.812749293,944.684234425,156.953576291,442.358572831,999
441.519063437,245.640074434,548.934211549,49.9448866549,150.492523013,564.086799279,447.0665398,941.976296077,159.495183204,443.350600812,999
441.630344213,467.618848281,552.482092307,48.7700394884,159.093473697,486.300939517,448.888741891,942.333686933,161.269719194,451.968369779,999
437.759472453,749.82595195,557.665317397,54.3798363248,160.91860041,499.760775862,448.07938267,944.284837087,158.730184671,436.278829022,999
447.850570996,646.046766555,568.428014984,64.4291222965,155.409735281,310.334754308,446.949579222,943.471403837,158.525221488,432.393230105,999
436.545165766,108.135045229,563.983451232,49.710236566,154.659631871,424.803120816,453.327210476,941.111328528,156.3206466,444.075629646,999
441.796466856,590.636645477,555.257053393,60.0528033202,157.646580405,782.076647351,451.870951793,947.105981244,155.4088686,454.506352175,999
435.682991614,452.498737463,562.115461132,68.9212007532,155.226867781,790.156031094,444.297631614,949.036990943,154.725767592,431.283140679,999
439.216729215,126.565458583,561.099033703,67.4856617651,157.147276501,132.089994448,444.872774837,947.134933571,161.331564091,416.901715796,999
442.600736484,213.312715983,568.920324439,69.2153066905,149.621939863,371.074435279,451.801655997,948.968884785,153.874911959,435.720968947,999
440.85214061,261.221028776,563.042606515,58.5207551805,149.33322292,956.635739511,439.052677638,947.173231794,151.381026704,439.72726751,999
443.279499016,139.631880987,559.046948983,57.9526338336,159.951094801,236.649197153,461.421883375,941.792263631,149.374257125,440.499379677,999
453.295759701,32.5306589066,549.414769226,48.1754775475,157.538889769,664.379218447,456.80604447,943.564391132,165.490503875,439.157112806,999
449.098101382,436.769371107,562.717686383,76.398813381,150.300381385,12.6825817986,442.947046836,951.072989003,156.413201579,423.90777638,999
445.480327679,522.988306401,574.697649479,77.9849697292,155.365997195,153.776473036,449.987720769,945.803724018,154.118901589,425.963934864,999
446.501684513,713.777606091,550.898132302,48.4087190003,146.329482191,849.802760675,455.243466794,946.604583288,149.987568302,449.376039379,999
442.948738168,657.769463308,547.676533508,48.2181731688,152.380909428,672.856322928,450.279236567,953.718514696,152.394422543,445.120490346,999
449.870634883,336.111069777,551.412216325,51.2232745804,158.577246916,970.433838575,461.047832004,949.472706135,158.532798591,433.765324795,999
442.715764137,547.320812226,565.23342854,69.2094378153,145.994851738,772.614816389,448.577355746,953.958999508,148.896888787,426.500199167,999
433.847404768,653.196169138,554.339977315,50.6994150316,157.017407262,904.338916729,452.596961151,939.425466134,152.962752932,441.400738884,999
432.205225872,940.171353065,551.337915019,64.3223735861,149.488247584,805.910417401,450.127339776,945.900266659,149.547446166,433.049363083,999
452.593705456,563.518984643,571.166015132,71.858963201,161.215247741,522.871587384,455.384479734,937.025840707,155.888749791,436.703004137,999
453.178270381,227.746127327,568.346471923,66.4661346908,161.44087754,554.303139759,452.481640191,938.141550726,154.868383104,436.889572513,999
430.504289422,912.651104927,560.04363239,53.6925938676,158.145048546,440.353865346,446.523646555,947.750017797,152.8303155,444.300530576,999
444.800813462,479.556024833,571.244898968,72.6562466633,148.380214818,726.932076992,447.135634177,956.793411615,149.627049837,418.823031526,999
441.60856688,182.672769444,575.876269506,83.3277197057,157.260321292,316.759155444,450.326239112,951.490945588,147.616147522,431.942048111,999
443.55179218,593.503699837,547.216876595,56.8540586349,148.989202084,653.715521172,451.426162351,951.640134562,145.131610429,440.627285514,999
450.538934542,741.483454117,560.238742979,51.5593371682,148.214616642,428.8240162,453.377996454,950.605507219,156.949653054,460.01610542,999
449.361501396,782.699061967,572.186081069,58.1536901104,146.354408418,192.382261968,460.598546329,953.391807744,149.639127766,425.324956182,999
446.976074573,860.272792472,581.371318972,88.4196016962,151.129489887,31.1246614076,459.632957384,955.483740624,148.72796816,439.511494088,999
446.245576865,229.175140875,580.744521063,88.6609218533,148.912785847,215.234188282,454.923737003,946.75586375,149.960132672,443.222672809,999
447.629474707,393.308622635,574.996396693,53.4907463941,147.132542334,589.242979826,453.689746199,950.016394981,157.378355465,434.035380069,999
448.887911589,342.430849477,554.721395798,63.25838183,146.77711163,544.825167816,455.720490865,958.325401102,150.0715701,434.463980057,999
446.992410939,10.1724933262,560.09346483,51.8808527196,144.825381088,822.131943755,461.154505197,944.954776021,154.293438443,447.692331117,999
449.246528731,311.81904756,545.071351665,54.7850543232,146.017545971,55.5695947018,459.551607687,949.519349352,152.182868434,444.329740176,999
448.535092922,839.040074308,548.10874243,59.2418899248,144.804927674,730.944927567,453.208121339,939.9808609,155.342504144,455.531070616,999
455.519668838,131.787972515,562.690328806,57.5639218793,152.483262461,650.158565434,452.085664204,956.103448675,154.921388239,452.449803303,999
456.509887122,727.555660771,563.598797117,51.1352791344,148.584816475,701.182331485,455.78382421,946.28487285,151.105383135,420.547329732,999
451.54305556,571.966444399,579.441800289,59.1100686504,150.503356092,357.421596839,458.793461346,946.780067852,151.140874233,431.110311621,999
453.382424172,717.195463267,550.44707843,67.2407091835,152.118552912,285.142807757,461.160864997,952.572684131,153.251357861,431.58335671,999
451.465722503,917.140441239,562.567986765,63.9643622499,149.558307267,364.365976836,465.139618675,947.145049461,155.186931763,417.759496162,999
447.573734633,59.4365000488,582.264467329,91.0974674032,155.192058697,944.527352175,458.308931175,949.229218,154.276234303,433.493277672,999
455.084363139,633.314015885,552.831987146,39.2401941957,151.481673455,12.9120474026,459.035643707,948.593734445,162.723304336,457.860110082,999
455.897382151,404.400770283,575.286100273,62.1650790488,153.465316621,112.743781533,461.135517937,948.633576794,156.472841038,448.946365517,999
447.761809379,480.66039033,590.516897186,94.3223232777,154.992469113,456.900311335,457.412182277,942.150226866,153.285442322,437.542946615,999
452.029351048,619.378705298,586.295903683,69.4058537698,149.441190494,2.25796206898,458.604004519,953.90649116,151.993767796,438.741856564,999
444.926642405,286.712022956,539.16104633,43.8330918124,154.884655385,912.089899736,458.360236493,955.421051734,160.537433014,430.351407276,999
455.932673256,851.967812169,554.99977253,42.1473379037,149.119329067,111.164398013,455.250663541,942.969165215,160.928423014,411.449821965,999
448.201203259,668.598524855,570.858668821,53.2186953528,156.060020659,584.904588765,455.66143676,948.5978876,158.431221034,415.170703292,999
447.095527448,134.485345385,546.484569536,44.2795620404,155.842967647,14.5514034549,455.170069034,943.345541242,161.379435608,465.039390295,999
446.858461839,183.975713028,548.520968775,53.4082544615,154.289007513,935.832496347,454.128159582,948.119068669,161.980861406,418.85227567,999
449.850339687,774.964402229,583.526168571,101.200667242,156.03478897,434.001122054,454.38527532,940.14944476,161.066873132,444.299044699,999
451.570094436,863.070477013,579.078367027,64.2677851105,148.499513427,999.81800323,463.990610026,945.959398284,161.876650975,438.637853389,999
446.932981316,828.583353409,563.371198981,53.2245788118,154.296955218,788.945415918,451.435956445,943.698752266,167.046442308,471.253414141,999
444.01386815,402.381175353,575.187262401,57.5419993273,150.015941765,253.285799728,460.165492399,946.9513133,159.151120864,405.908071769,999
443.612210146,827.112968318,564.117561855,53.0742124366,154.0799404,126.069019888,458.259111573,944.213037339,163.052078807,427.391158332,999
446.055208694,324.592839072,529.031642397,54.0250610947,148.614678768,824.202365114,462.346762288,950.603802442,162.328237631,422.650035788,999
445.488054784,799.358034465,573.137868037,63.5441909693,152.309444644,631.391682715,455.537293982,943.728635513,164.220834112,413.805732456,999
447.910852677,997.200001778,543.078746958,62.3151114235,154.336845919,525.559110567,455.900947358,942.761194793,150.240056731,430.617475395,999
452.023134223,859.543855563,580.315597664,61.1680475442,158.704479634,283.453543644,460.048972641,954.718692289,161.472603108,420.270688106,999
450.957495316,637.899605417,526.476344945,51.0012308894,158.443562308,698.659448361,453.722738183,950.743930002,167.485676723,422.850694102,999
443.670407852,979.795395242,568.2738062,60.236807118,159.586034623,779.30039345,456.343012449,947.062825742,161.623627404,466.432707603,999
447.613030174,347.809834023,553.111916579,56.3703826206,162.058601541,815.542288796,449.126667534,944.515550281,168.522991253,414.08421722,999
447.065984561,939.894769796,571.305159582,65.1132590299,160.775741538,762.536930686,453.204266367,949.616382591,169.379001587,480.707377957,999
444.474568693,677.817804216,577.976802382,98.9439643586,161.892417555,579.220154799,451.162461264,942.733396829,164.556354332,437.433470522,999
442.441301159,512.48133044,573.115497883,57.8746466641,162.015892,169.665919236,457.220462056,942.80973716,164.144671948,421.468684031,999
449.199203985,328.468290757,570.962758428,48.5179511449,157.665088228,991.829307726,465.322159969,950.017180424,163.358035587,452.904266835,999
449.438101978,927.006325912,538.871205381,49.62345819,153.178459452,579.317613687,460.662340161,947.820991531,169.451029435,427.993434662,999
448.731594496,322.093614918,563.960852604,52.7513691398,152.849850658,929.637782453,460.757492558,954.31860227,157.041685138,460.257186527,999
445.391746726,61.635997662,539.203952122,59.1247007157,160.807584136,119.771193706,457.734490332,948.485494817,161.321641247,430.053255953,999
447.686821332,399.431028866,557.800972108,32.9855257528,154.985252881,359.642143468,456.101812042,955.71472539,167.203411605,454.87295402,999
438.642928832,36.8288746723,575.331493425,57.7655105809,154.970830089,699.798797766,451.768740766,949.928573299,163.289033983,404.336993108,999
