@relation D15
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute class {999}
@data
166.592304046,357.807679959,255.71896348,941.652466902,753.314540291,653.63585349,53.5385691062,659.467086763,157.048488998,645.190002282,356.439069883,786.956694292,54.6208557662,952.564766192,33.0700539325,999
234.22093037,360.788114152,248.24515497,937.069856871,758.523237515,647.297039324,48.166338964,668.463084797,160.395513039,636.771273366,362.319800347,845.866722188,49.4928109839,947.087508424,351.878707945,999
900.561853225,362.325861855,260.403915717,935.848253626,758.774466761,652.638466577,48.2947987189,663.900084499,150.525145973,637.815598207,349.406955758,472.688024495,50.0271620832,958.66650087,755.052372014,999
805.240372856,358.94064616,266.421321207,944.063881504,766.635083876,649.640501843,48.8418388747,658.261446635,150.92070586,637.898710363,365.045461266,743.364448546,47.239727656,958.071450517,3.25555185808,999
470.891322933,358.47524575,259.598856024,929.858940292,756.168464004,638.917913339,40.7579286892,673.181309935,157.261259557,629.377089157,356.789159945,216.180547613,45.8346353152,955.416183738,692.177090256,999
614.788955665,360.531612564,268.442645042,939.721314651,767.101302239,652.18686333,46.4900163146,656.770549414,159.25101967,640.927403711,346.990108306,630.537798985,57.2693344881,948.649483001,515.009999796,999
164.041533233,363.9085178,252.712466726,944.176528218,750.187485693,645.39595981,57.8262792822,669.760464081,162.68284251,652.250344765,354.656418753,711.509740793,52.0228691941,951.390141192,308.983153447,999
994.888172851,355.132463304,271.489242156,938.658225606,760.420635438,645.00537606,55.9145513788,674.469005464,157.226477119,639.226644828,350.737442568,513.468295623,43.6854350023,960.136112218,317.078056634,999
449.200417852,353.87546426,247.04060382,935.645385594,749.937956879,641.876281703,47.9523860586,648.745933597,160.074901001,651.293617783,349.196484719,671.813576719,45.6985631564,965.467891313,434.572811421,999
586.769303391,365.607371064,243.29837471,936.125567167,745.488183684,654.482239291,47.9303615272,674.115191453,157.816249476,645.801870342,351.609077771,200.791681625,50.1334599214,950.172625385,228.280797824,999
123.101815136,359.593587858,254.783775903,931.715208473,758.889561233,637.439389714,55.6925885513,640.530243821,154.26578894,664.256599393,355.076070164,566.547171779,48.7836031926,958.28677902,244.614897237,999
784.497269514,362.718391281,247.613652674,933.764662329,763.716929232,631.751416247,49.6734220887,649.833989993,158.828144931,673.957540926,350.578471813,92.6911285254,43.7897984154,950.67779861,66.8059076482,999
43.9068946625,364.609525647,256.683665435,941.688000771,752.431667702,637.444798505,43.5331191397,677.021347899,157.403372081,645.499479065,356.092808449,925.222620028,52.7506351813,938.635439113,312.235303396,999
432.275961316,361.170827889,255.573323732,927.728199143,752.999942261,657.902815627,50.3648188339,647.03172782,156.482928776,655.34600595,350.10717368,906.67953014,40.251537363,954.13684615,758.799511982,999
554.808589287,357.635828815,246.434802814,936.08519004,769.122380046,633.359256263,49.9944309292,653.859007749,162.273732331,668.208936705,350.448007723,272.075782532,46.8078758878,966.858492883,751.50944091,999
475.703357409,360.516352162,252.547765304,942.6597124,751.934619301,655.565474651,53.9646723733,657.90236862,161.066799197,663.583840182,348.784506742,742.215282784,51.0337894207,962.81465468,713.542284767,999
616.624217388,352.487673579,265.129265997,943.474408275,757.778918714,638.511850069,53.0024376329,662.323385751,161.451114169,654.985877606,352.06378859,790.070294871,50.1396356287,943.056046169,761.496562682,999
443.152379151,360.400235391,245.742656877,937.690028624,762.998276516,645.343068439,57.0671542693,679.782892374,164.6469527,660.929258376,349.492322464,532.299820742,47.3347667912,956.455057831,437.255914184,999
801.978259869,355.98931875,240.911056118,940.853910641,757.642295593,641.482158024,48.5052845572,660.13106332,161.781361357,668.967486205,347.160306546,593.527857296,48.2821671994,956.093141585,745.80689538,999
390.352558242,357.216941333,279.751466067,934.078731852,766.785688873,651.308117479,52.8187616143,682.219687137,162.197702782,645.299951655,356.555368033,443.224390298,39.0706961841,951.495405058,402.2146461,999
618.231163923,361.928749727,267.228477873,924.666641868,762.775723802,637.867045962,49.4611406249,678.145308367,162.195792585,636.466484458,361.050812956,444.379698464,49.1906222469,949.166017771,646.980663546,999
85.743532541,358.335948965,255.833082282,938.623641706,747.478058086,641.376331684,44.8500863425,643.162847315,151.868330205,649.998331156,351.628142487,788.455619833,40.568829143,974.360793005,798.519245962,999
555.422481934,362.863922512,267.870954806,931.37557066,743.23719611,653.219842203,45.6028930772,646.016992048,154.194018133,643.86651515,347.009675655,777.245218424,41.672408944,966.804028206,187.168785418,999
711.525117892,357.34139575,259.09232477,934.623507273,748.353153138,656.144345443,58.1105240757,645.26459343,161.28799491,663.172019399,345.375660166,635.901764896,45.7494209226,965.86770022,314.19191959,999
936.823610725,355.823009593,244.544073793,932.827750111,761.590662859,648.466501534,43.5860485791,644.959668241,155.388078079,645.05184182,352.179588208,71.2364794872,40.5003840391,951.67147386,338.288543494,999
845.499614135,356.233944865,261.950300581,935.081971677,750.450422946,648.470639412,47.8592823824,653.044954033,157.471326138,643.882758352,342.124162265,205.230386383,44.3318496795,952.068658406,553.570839563,999
109.577990999,354.778793472,254.405518209,933.009808454,759.627850618,642.862268922,50.2974430242,692.159331567,158.020782518,666.039592246,346.063769916,142.070955857,39.7908116061,969.48777344,500.986994434,999
843.871063492,356.76029036,239.238508064,927.991067094,762.212471867,632.101972274,54.7276691614,660.318666831,162.868377251,667.121047311,343.348117243,86.7107057998,38.1383241408,955.737670052,385.337466196,999
360.501591925,358.738596159,244.731889586,929.13521744,751.625720909,633.450797971,42.8441000762,646.122379032,156.804096908,658.783862673,341.152312554,462.621324791,48.0937463245,959.30014437,556.436109383,999
965.969766117,358.844728986,242.12453255,925.231532092,755.032899366,632.394346178,44.8977870636,651.404365558,160.489651283,678.589253898,349.666876115,188.915616973,48.4978566907,957.104196251,305.172448938,999
927.971647562,356.139695797,251.135238488,932.369031223,758.162472243,663.377518364,42.6120727098,657.124290399,164.005207459,664.031191695,343.589844912,293.764409545,45.787798544,949.736591004,347.195231714,999
436.756821834,357.179696453,240.592731668,931.730222366,755.554357732,643.73061197,52.5028993471,691.701356036,161.093602639,661.12764543,354.310787903,877.985907208,54.0919735105,967.370718859,468.809578172,999
403.763686352,354.974524684,260.379245929,934.952911287,746.549736784,646.572004442,47.7085172648,657.117384544,166.964890189,648.77507171,350.38268674,352.736982622,56.8368330469,948.84264927,537.043086773,999
436.564390032,359.89886079,245.753456431,927.374965479,759.168782746,643.071048035,49.9093870483,642.226113014,153.044318882,648.032703732,354.165779647,25.5945667362,51.3390189029,968.006106047,211.304195412,999
264.954408629,370.419801977,249.126062898,929.227896852,752.218644819,648.55035185,45.4249717307,682.325902397,157.863314261,655.355250731,356.43354501,255.006997759,48.5985790712,959.200114289,944.355703589,999
236.411014447,367.359846389,241.381386041,930.84400893,770.720816203,635.105711437,43.6106714927,643.234464677,164.038779547,679.857252415,347.146160196,512.133841201,50.1076687016,960.166928483,380.364352076,999
555.843225927,361.513254823,256.492669418,936.537164638,764.459799543,642.584419677,42.1838127009,696.581062264,163.420492761,671.476978115,349.783379132,876.059188183,44.5361542946,977.237678836,127.431701149,999
202.44071504,362.837457622,246.036776808,929.682406953,746.792164013,655.084892023,47.1294025603,694.973253637,157.581921909,655.915001997,348.037014611,895.055517828,47.9815904775,975.917112271,498.199967162,999
593.960139038,359.064915966,251.256881909,929.487241044,772.826249406,638.683966532,52.3832677424,651.342156838,168.265006961,661.252424366,350.517038657,510.560258744,42.014817005,961.830131794,271.998563257,999
350.180029947,363.600924668,242.619218875,923.667284406,746.438639966,647.095518498,47.4147120362,647.472972472,157.133171385,674.82504495,353.635726755,161.062696915,50.7297554426,962.59842477,786.227097139,999
906.353874787,364.027104241,231.762092822,930.53322993,755.51345716,656.278376682,47.9282106155,639.188329025,158.819039756,647.555041226,346.180201635,97.9858231395,34.1074523161,943.213253008,9.99948702283,999
728.74570368,359.465263605,254.36901709,926.731740219,766.471809441,635.45897754,50.1102099449,640.712782551,149.634773225,635.245952062,345.257050669,886.49827362,39.3838014645,953.534072316,345.944331662,999
711.258641201,359.156240987,277.349503659,938.276558509,755.216020914,645.581682498,48.992556774,655.007574012,156.855402982,652.546263835,344.227791531,0.928779250179,35.8379098992,972.28411517,910.905495688,999
421.49730674,360.947337888,248.758665833,933.138869697,753.967737847,670.588629325,39.9684309411,656.435846658,160.332296253,672.345548131,349.808703192,407.741756311,52.2240501248,941.877391567,984.260041368,999
619.515816364,354.955907682,255.82013254,932.964898618,771.080710601,640.998053393,47.9725906377,711.132060792,165.882249812,682.366814383,354.739673769,270.567128377,40.7888281241,983.019645073,951.268274019,999
584.733950076,362.267091333,262.262662012,941.364581702,733.553533484,649.753188448,44.4752248613,650.118125436,159.802711028,654.85471605,347.504264688,482.145098149,34.0419207651,986.687640145,696.367037676,999
832.698799941,359.091356104,253.906066953,936.700811777,745.578409915,656.540169087,50.2205993284,640.507368676,154.029944421,665.07084153,343.139790175,49.0086796675,37.4931607939,980.871687097,642.576309507,999
296.796794723,366.860286372,222.354774215,933.782598905,754.071211971,661.422842546,40.6053475824,629.515095877,164.064949301,642.585141725,345.008539668,727.204793212,36.2457279164,942.666495045,586.006857096,999
734.790896296,362.235752975,288.786971819,932.779519812,765.296085331,637.903568167,41.475248451,659.532509454,152.964918156,657.392008278,352.558012465,324.554091911,38.275466039,964.109031728,104.362435218,999
612.503277257,365.407421213,255.387524048,942.260625881,753.596345737,624.581234058,40.8193095663,646.042731878,150.01867054,680.185753833,352.714867392,938.37379085,41.3473794143,938.088897145,958.943462278,999
268.501349223,360.35262262,254.927423248,933.498017022,739.190897594,652.094784232,44.7059981446,644.458569904,148.403825386,659.277698291,347.691230179,615.364477737,44.7518409017,975.132603935,854.335623203,999
235.228158559,368.451933917,240.905807296,939.417611758,764.204630747,673.345281026,44.5710466344,667.363176215,154.140522874,667.073909208,347.494560947,5.91612659376,43.320694525,945.485278822,513.898112029,999
325.193583862,368.746622874,293.764089745,931.041379814,774.878750504,633.065629938,44.7453186131,655.775689886,148.130586453,647.426692625,348.505809586,990.559763638,36.5572665775,971.338371512,810.452716209,999
