@relation D25
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute dim20 real
@attribute dim21 real
@attribute dim22 real
@attribute dim23 real
@attribute dim24 real
@attribute class {999}
@data
443.594025388,666.279746366,550.77029809,156.241744952,45.2354887301,859.527884536,35.7946047345,250.11525186,55.2707976574,348.092036587,784.468557764,843.631704214,50.9043694361,947.612624776,259.105174237,756.266035093,66.890799795,151.40976562,356.109564719,542.740492295,754.967052557,855.943008564,244.217476664,142.775479381,842.878611352,999
451.043285751,131.196483284,540.789011353,149.778452526,49.4784160116,870.210649378,898.254926877,242.911459795,54.5444069135,355.13870688,570.051308182,850.089075106,45.1640869695,951.232488772,261.641928132,750.181350569,210.173167293,157.697502755,912.122372941,541.14109226,749.854699137,862.049287574,248.242258222,135.722710906,837.977296959,999
432.508617081,187.819853041,565.324278251,146.748151199,55.3333594626,850.805170679,227.066455234,244.107142747,56.6602744761,355.07239391,278.096510247,850.755517686,35.7752437848,952.328081027,252.552848951,748.394869259,914.018769012,156.430300221,591.929494058,537.462531403,757.260558619,842.667548085,254.764308027,135.213948479,848.783948112,999
438.43840139,476.818753556,558.629469466,158.721472988,56.1754256395,870.909308084,223.036874574,245.992089401,59.5285702781,338.877361672,535.770213993,841.581801601,66.5488292353,949.052488996,252.744256145,748.628684375,194.235362963,149.969373739,467.885316475,538.532642214,764.80063505,868.081883534,247.716960007,145.426270574,846.060706103,999
447.716757517,916.452369971,554.178623668,155.870056812,53.1490626525,881.705365095,824.984511747,237.932850751,63.5844180876,358.536631761,944.319125372,853.687692223,54.8629153653,957.686259574,260.216542132,751.301244105,995.907038277,152.849797974,649.539105722,536.705405653,753.070128284,866.741957818,252.678813733,143.588272236,850.705855372,999
449.215251272,500.897932319,545.681927169,144.78318059,54.1705748551,860.198335975,45.6104789342,248.232471383,48.8718730745,352.842370719,843.286854238,853.060602465,40.3384813879,960.779798834,263.693372111,744.611212578,163.64549663,152.168934312,655.197889769,534.339532187,743.9578517,850.797183496,251.111542096,143.401472528,848.010340841,999
437.667884805,725.258703936,559.078731016,155.670832549,49.7925370666,864.076000236,452.810058968,241.056314593,49.420941414,344.936640721,140.545793016,849.572362693,60.2919088703,944.362043648,254.798861081,761.908104036,565.778020984,160.045224533,467.756933336,536.12504549,761.080059403,859.032127109,236.90025726,135.469251598,850.123636349,999
447.351392671,418.324197766,545.879043662,145.318947364,58.3925414399,871.536832691,917.495552204,250.791571288,49.8328284339,345.90221456,654.165233886,843.239159075,50.1665069229,942.876603039,254.165805842,751.238369559,420.160050598,151.821550166,322.47094653,531.560072991,741.22377132,869.046411619,239.841933476,133.300249852,845.508777009,999
435.344401052,774.480843149,555.797097052,149.194538774,59.2452450242,849.002919508,897.688457943,255.59540889,46.9268990414,339.15648407,513.740603147,848.664262733,48.6272122005,947.503813501,247.751455889,744.449211057,483.35093148,149.796755299,475.656906784,532.695206382,754.587647428,853.056135907,247.344276644,147.221986133,845.41734246,999
451.133757553,680.94161483,541.311755249,162.847805021,45.9043313505,854.293743539,389.163444049,253.873855346,48.0103396112,340.879540267,828.984982682,848.440143037,51.600811761,940.688564536,254.727711075,751.257767929,772.989563719,149.541018308,377.548805012,549.467244755,747.049439431,856.757025174,249.20851315,141.836317542,849.070507442,999
