@relation db_C10D50
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute dim20 real
@attribute dim21 real
@attribute dim22 real
@attribute dim23 real
@attribute dim24 real
@attribute dim25 real
@attribute dim26 real
@attribute dim27 real
@attribute dim28 real
@attribute dim29 real
@attribute dim30 real
@attribute dim31 real
@attribute dim32 real
@attribute dim33 real
@attribute dim34 real
@attribute dim35 real
@attribute dim36 real
@attribute dim37 real
@attribute dim38 real
@attribute dim39 real
@attribute dim40 real
@attribute dim41 real
@attribute dim42 real
@attribute dim43 real
@attribute dim44 real
@attribute dim45 real
@attribute dim46 real
@attribute dim47 real
@attribute dim48 real
@attribute dim49 real
@attribute class {999}
@data
46.4247449019,661.338614861,541.194369894,142.653844159,704.789011205,145.132735136,50.0053341646,442.434184819,939.053425267,46.6805730145,646.78812681,276.495657572,646.127657797,542.505477642,544.609781074,759.067243083,654.973227314,155.710056048,457.935469442,98.2202593637,150.777765187,754.291342152,341.040343506,260.404480126,842.571020633,456.170050134,943.503412464,246.964077392,52.5475693154,451.795465738,642.177241143,756.210146277,849.868803151,643.083725629,555.973835837,360.729383873,730.770116424,851.067995958,545.67099428,506.568190821,624.820679328,660.062787911,279.232712677,447.22861673,527.206232139,144.240216159,944.890774539,155.44259283,907.90409484,238.523386122,999
57.0524014675,674.37068431,548.065655917,136.792965771,659.588165766,136.029892959,913.441012484,449.516640588,941.350043039,56.7494835663,637.83883934,125.687937865,654.157121272,550.137962951,535.264191987,753.924932678,664.600634946,160.387461783,467.119315796,167.061765506,156.520657932,756.486097734,336.656646644,269.253237055,851.306927336,465.036686132,939.234071007,241.70074195,58.621705903,445.614449982,630.887762653,757.428340604,849.242250534,636.587453155,547.960317393,364.695294238,278.133665414,843.027369455,551.022242929,339.313780435,360.193659837,663.791510729,502.605598261,442.055273553,927.401538715,154.596375555,936.968215423,146.967289668,771.618991283,246.135445629,999
39.9373168801,660.417809731,547.899307859,132.356231564,404.635886124,149.195883061,143.330630024,447.008942083,939.479995485,42.3052166674,638.022506307,465.008168672,639.081327671,541.20733074,542.770731699,756.149295555,651.713792603,147.171607416,466.31679309,703.045271608,144.284154177,762.287534332,334.759537281,271.516824253,844.381861718,460.038960132,936.613918413,256.109071782,59.5957069371,460.433405545,634.534331348,751.46694429,838.872661048,651.778557434,545.538867821,358.611863323,303.281488815,853.957884005,552.83938809,865.657125416,288.014203168,667.758520789,97.7173972301,437.011820458,24.0919757621,150.552134915,937.843919742,151.142024019,669.863123757,236.956749219,999
55.9359051776,670.280920908,535.180187204,133.07315371,992.688241423,139.353136134,989.910668818,450.759734828,945.874392853,55.4992355875,656.859466267,266.18096039,652.287973463,533.429984769,547.086692005,752.668452283,661.763765082,161.660420103,462.238097681,524.166122334,158.447129213,761.331115505,337.96169346,255.024837284,836.510451968,455.506903838,952.977195684,244.0188967,60.0105944117,445.579265293,648.983669101,759.567218589,847.520926225,649.163510144,558.436350809,356.031337611,902.771189973,842.184164792,539.939217733,393.032189284,642.538314394,654.502005322,396.375948076,449.031871471,705.797206146,145.566747066,942.14663239,159.806417194,759.264731744,237.676414273,999
40.8143116193,657.137517377,540.132726452,144.941138087,684.165094597,137.297101356,989.960312926,446.010714927,932.561111286,46.4645134107,643.454807464,795.036299144,645.118516874,541.341797557,533.513384603,765.491553207,657.822301293,153.37475386,465.605801653,304.654312355,161.84712271,750.170263967,332.610105603,253.581388996,848.047266344,461.802867395,948.807738655,258.327560495,46.2278227117,443.939839185,647.084143051,763.107835247,840.249199833,653.278449628,552.96300836,366.275708505,958.964438395,840.999931631,536.6887182,61.7000729,490.038349276,666.613672151,932.3618871,448.545905927,855.011142642,144.780085064,940.32118489,156.896777958,597.905347539,240.547115152,999
46.5364963552,667.948890542,532.056590283,134.530843971,174.199169075,136.879624064,268.92209619,451.601304887,943.01719025,39.8352394308,645.843078084,57.7329625509,651.331671371,545.403759811,552.464505746,766.087381603,645.69234247,152.530459003,468.353072296,437.490614783,157.36217392,758.132416182,347.834109377,255.268239473,853.698741342,464.483882814,936.267968799,253.810282303,56.6952094711,442.842172806,635.878507373,765.320863057,845.340448766,632.721046079,565.365025632,353.682735738,16.139112997,842.058262293,555.697008302,964.975135346,712.217225097,649.890497586,135.349186182,439.368570716,802.515296266,137.363151648,952.23912175,152.801723824,358.100945569,247.2929023,999
44.4058753324,681.783270596,543.578616513,130.173848752,542.859044456,134.241474527,852.333000691,447.771043074,958.53564435,40.8976072589,640.169478332,907.726703967,660.651003102,521.328839309,543.107467492,758.954054425,652.516113782,159.135973298,452.585625921,447.192686266,154.440908415,771.966706751,343.204971724,259.831377653,839.382634905,452.22387599,948.990717873,242.477944166,53.3519360918,441.021292911,659.144894512,765.650408939,842.846878694,643.578486298,544.099809359,352.472389423,588.169496433,851.795767131,542.951454057,614.280698998,594.48911172,643.096904522,602.031085197,450.886392896,311.445904358,133.864477514,926.382845862,151.948310592,226.924341813,250.297090449,999
42.2091996139,653.493116852,536.903429581,118.508502576,767.071924743,146.456425804,278.791965144,457.413828549,953.028715224,41.9910576188,640.362057625,358.58484756,661.059052681,523.156278531,553.997342946,759.127690807,659.360642476,158.604370244,450.48654515,948.948950543,150.800922832,755.485575375,341.3512741,246.018654589,840.685388561,459.031666091,946.801540398,239.27509721,52.3876045779,450.400236045,659.538720711,765.305248202,853.973821357,652.803259023,568.845978587,368.249868952,208.621728021,844.663477059,537.764439249,282.441981012,349.17353465,659.978877414,306.456312184,456.078963698,563.913631391,132.49590559,953.369073084,162.11360674,998.38118863,250.786362402,999
66.3312711519,657.445877529,527.514273249,130.490615298,162.322704396,143.688855199,479.647510639,444.712966807,937.841764261,49.1985587328,668.46198062,726.159230714,657.02195511,548.163005949,542.15541325,746.268284088,668.752618798,167.110854752,455.194286503,863.009653487,151.290896541,756.333501022,332.053984685,258.897133595,839.582064716,452.830715885,948.844043916,244.836580715,64.236952827,437.282280449,638.742752396,758.271189006,840.184533614,643.514968727,549.538972626,376.484018471,172.752058438,837.553391235,531.67309494,535.460999074,686.182025702,644.46283352,991.863178521,457.120432734,261.669112523,149.368761921,926.760358514,151.073208677,820.448666712,224.421225932,999
28.1796177118,680.415241891,535.54721322,111.889714891,885.579828988,125.688537995,421.380712261,442.637319802,947.752204418,44.6649085918,650.005790178,833.460219772,656.730416281,529.380488187,548.68197942,752.770110351,655.713967184,165.845272085,460.594567889,511.676699488,158.828430924,768.303717528,348.908459729,255.923431606,838.486016229,458.643677263,944.434973345,249.523471605,44.6615054408,445.698223851,670.918068438,760.60329414,839.524050054,651.752877696,553.043881161,366.342481113,948.370081839,847.024250449,544.8659829,509.50589878,236.58648991,647.526444162,303.541760801,457.957884465,215.605562684,136.303593621,916.005761159,133.840232391,271.438057007,240.379407737,999
