@relation db_C10D75
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute dim20 real
@attribute dim21 real
@attribute dim22 real
@attribute dim23 real
@attribute dim24 real
@attribute dim25 real
@attribute dim26 real
@attribute dim27 real
@attribute dim28 real
@attribute dim29 real
@attribute dim30 real
@attribute dim31 real
@attribute dim32 real
@attribute dim33 real
@attribute dim34 real
@attribute dim35 real
@attribute dim36 real
@attribute dim37 real
@attribute dim38 real
@attribute dim39 real
@attribute dim40 real
@attribute dim41 real
@attribute dim42 real
@attribute dim43 real
@attribute dim44 real
@attribute dim45 real
@attribute dim46 real
@attribute dim47 real
@attribute dim48 real
@attribute dim49 real
@attribute dim50 real
@attribute dim51 real
@attribute dim52 real
@attribute dim53 real
@attribute dim54 real
@attribute dim55 real
@attribute dim56 real
@attribute dim57 real
@attribute dim58 real
@attribute dim59 real
@attribute dim60 real
@attribute dim61 real
@attribute dim62 real
@attribute dim63 real
@attribute dim64 real
@attribute dim65 real
@attribute dim66 real
@attribute dim67 real
@attribute dim68 real
@attribute dim69 real
@attribute dim70 real
@attribute dim71 real
@attribute dim72 real
@attribute dim73 real
@attribute dim74 real
@attribute class {999}
@data
945.643309027,356.081813498,242.665916069,638.405345476,655.106572579,560.032706534,848.723166179,943.582284114,145.127756243,944.10493283,356.553224672,259.480744466,647.051057741,912.772841138,238.961819139,855.623069069,542.037416406,701.296052337,49.7150772488,859.5130368,49.0123270745,948.269851628,646.130489832,456.94886861,554.315833656,441.7985835,644.769201251,145.366768781,260.332062412,44.1632226873,141.717418553,714.902096632,749.211398416,942.471418421,994.315869994,844.254915813,848.463039431,238.537104909,744.681693321,843.121067862,756.981496931,52.1196585837,859.801529376,52.6782485543,740.766256019,57.0160351926,342.518812081,652.571285154,415.261520614,89.8948083564,796.587596285,648.894838322,261.181370216,845.677975436,47.1363793034,68.2867986234,263.945418573,958.572554116,555.480457661,152.611439142,154.073265494,445.30503547,47.384444874,251.548494854,846.459293088,153.85360547,240.342253991,857.796442593,240.320734686,651.717931158,247.579959567,354.110825582,590.272131001,445.570062215,554.911388551,999
938.953596907,365.090502223,231.234791566,628.306105587,652.054172358,569.813956758,855.450041187,936.319045579,151.391201304,941.454545297,361.767322264,247.750584211,644.151458711,8.57463800955,939.665573606,847.642201742,535.235960504,952.292230776,47.3306427923,852.459592458,42.312584058,948.384399559,640.456260839,454.659863312,546.152404146,451.699116308,632.005793979,140.676848858,252.87101535,46.5346793029,129.857339822,11.4060770021,744.678150704,936.977923099,89.2045573051,840.629537202,378.246197123,249.03181519,750.412885242,833.323185906,747.542134347,51.5564891764,869.008294776,391.518247429,747.649676454,68.9642525272,331.132219502,655.317575477,415.314583152,525.274311719,167.156717492,645.966966568,253.175275279,857.865318669,37.3404258228,388.656893709,828.594893657,957.532201054,552.318683606,163.034258967,146.088493251,444.383614014,44.1941285714,249.354216843,852.067407002,158.293156443,252.364025727,914.319562598,552.345748152,649.448735437,258.820167105,358.571297567,149.214330124,441.077462271,566.040975834,999
934.36090554,371.561045401,227.216953843,637.498050234,643.398573095,568.933472624,862.751390286,942.680856647,138.364881794,931.682597279,350.927482866,250.00737075,649.461718494,778.606882125,113.352050431,840.526073422,528.060955061,559.93435183,42.1619224383,857.440359577,33.8421600204,953.628100981,650.494388576,449.832537969,551.853693217,447.86109952,629.259202208,152.88573207,245.346868512,54.8547721166,124.396954402,499.601971621,739.904372728,944.952414876,300.986743663,829.631841816,596.104721878,257.378630579,740.708627142,840.504075454,756.328640285,43.2507776965,866.665775248,499.679243654,755.005474755,77.2630536974,324.980858164,665.303203575,406.032394102,124.198768452,583.927424772,643.339951144,261.451774699,858.733017762,43.2416013365,600.804487881,367.499719675,960.282623819,559.334783928,156.332255746,150.986973152,448.695232581,47.5437905988,240.205987118,859.792220218,143.922403462,246.112981643,605.742408802,67.298686498,658.006045767,261.558168788,348.501544279,937.923912273,433.76545946,557.304002636,999
936.50208514,358.53132653,225.109497763,620.254625104,655.73273371,579.998791054,850.292384981,942.79036622,159.076114964,954.352058651,358.232588525,244.452757,639.245756826,818.369215315,621.455121587,854.63275259,539.042741456,13.4001752849,53.7141888334,849.225113752,33.6514009511,933.900148924,652.55796086,462.487951159,539.798560614,458.806250483,635.444349711,145.481820862,243.874008256,40.4710062548,124.073292961,668.045994637,735.93278157,939.425724376,637.478920904,840.23854707,736.415851385,257.303364881,759.251091916,840.146241848,746.017577356,39.8684480873,878.732909216,463.59431223,754.89203869,71.609698352,333.071855804,645.874603989,329.900261866,398.19095659,554.080890953,658.744307563,260.576770482,862.164006502,42.9373028042,759.891494031,652.093988778,950.155887404,546.039898951,158.126361972,141.642557804,450.591035484,55.1644421779,239.965645383,861.576135882,146.206600793,248.860774001,600.851029784,497.965027689,659.166523056,253.213402912,357.963291524,262.281538426,443.234287648,563.679766566,999
932.782768683,359.520377954,227.61792677,622.096940068,655.810116744,576.465454844,858.083436211,927.318262529,161.327417939,935.300393895,364.96853264,240.189536389,651.223528016,477.572109697,356.39304757,853.241540991,543.465957299,707.19275988,38.4926388447,845.000567831,37.6659625392,958.974927801,634.725676705,459.28482845,552.991026655,444.090207133,632.598640664,143.276855209,247.23679516,47.4883506937,122.625976148,561.950614119,738.224448699,929.848932347,342.733085182,829.746503747,957.06974242,257.577440819,743.943710916,840.366648935,748.3960016,47.6538003246,878.470859091,481.287842753,754.523600273,71.0679958258,323.476377764,665.477729836,500.971811889,933.101281193,854.746266933,654.144676048,259.611941148,863.353494197,31.9967607145,574.099097278,822.728939819,952.051705597,544.227637855,169.768640699,155.492507221,437.267845105,49.1619019991,246.699897979,858.281101256,164.94000783,252.890029439,672.040929223,85.4402123491,642.610260968,255.425689166,361.900289084,562.734829988,446.417580295,562.19014582,999
929.326556249,352.20624497,216.925231777,626.039766506,652.495702745,571.022701159,858.640237621,926.199625715,157.681059519,934.21960495,366.259733903,243.096343734,660.66657915,591.459780427,251.5461906,865.435833572,545.919404375,861.31138544,36.7684959233,840.351641165,34.1792913255,961.97335767,632.718841779,449.703772746,564.394342917,450.635804424,637.364988991,147.053767125,244.990563493,60.4614727778,115.219607551,568.557823136,738.83094822,920.846108591,725.087466952,827.463442478,101.71007152,267.876898042,747.467394817,830.148544505,737.411454211,50.0147565715,887.277827241,425.353022462,753.047033422,63.6483264516,331.977316736,665.48944398,818.084056765,238.138703356,413.042953268,656.026777748,270.232954026,870.38438666,26.211078734,696.449695471,795.48222149,952.704733717,554.983439831,177.0175702,165.472493335,434.476841993,48.3238689395,247.960279553,869.830945499,168.64439091,263.992555018,350.185142093,950.721134562,644.063928537,260.974102235,363.947299823,534.283339415,435.337476205,570.805027595,999
935.32180735,366.499752875,221.455162718,617.236748816,662.143603247,583.37761149,859.851187324,921.840652236,168.249405929,936.619631153,360.530658175,230.07690281,663.292104528,326.84334568,268.04340605,840.730674159,552.513700929,206.273536209,44.5949059793,851.602962856,31.6568333523,962.817768994,639.122680227,454.628397301,559.181690769,449.717893948,637.189158224,142.444731927,244.344837745,55.9214453412,127.98217806,966.815922167,731.470410043,925.549507408,898.718608438,833.442790278,765.567501115,266.43210744,738.971041807,846.079060084,742.258795171,45.6051431108,871.188471121,895.943176083,745.724125665,76.9743465025,320.445075058,669.787327137,369.294333118,825.951979944,329.396558208,653.533549371,257.948412396,853.885942526,25.0994547307,651.02442171,850.601513647,942.117112246,540.652496321,177.866041921,142.979722587,441.021565352,44.0609190323,252.093156504,862.622808337,162.72121709,265.15668718,835.197823403,397.582990516,636.878592832,241.311880935,354.924445554,669.820255316,440.42619025,566.772353107,999
925.785170707,353.294758026,218.810935026,632.323905176,657.393079291,565.994755396,856.703718389,926.954263358,159.220594982,932.958588523,367.744031376,232.611296276,657.964647254,698.731464554,714.414614271,842.349936033,555.604935239,72.6253761648,38.772796254,832.908394968,35.8831690279,956.468488752,636.443204721,463.98421219,560.674398878,456.982249524,628.432957204,144.830590245,238.091705945,37.8185967056,133.222557407,450.677168988,736.191179447,924.967388099,701.001253962,831.587606446,988.620656393,263.161671049,741.884251061,833.106392186,744.697207553,45.6558892705,887.382394332,155.060615975,743.995855736,81.986237472,319.678795747,664.455852442,966.981047748,169.895996527,53.2595376452,652.828183471,262.953272945,856.704981017,18.1191921892,788.919208925,647.535865818,941.64328173,538.744919082,163.068529966,148.97922552,437.735085741,45.9350587053,244.004873304,852.70331889,167.208903997,242.167927364,313.019181144,535.039418161,644.081650882,266.901484525,369.353899681,783.913798989,441.216716437,553.472198632,999
940.413218587,362.112547625,236.677636995,610.283491875,660.882541917,584.886790422,863.5659743,933.502997845,170.461874857,940.500837916,365.180806538,232.932045556,659.789474549,573.553998955,206.144602291,855.55795211,538.677715222,676.415274712,44.0066639558,838.792702285,44.6013918386,961.793443144,625.781259449,464.959033011,561.223049783,436.333641498,640.524605219,149.772180004,251.117715796,37.6290718015,115.114600489,301.331942393,739.872374327,923.846623701,251.26304027,824.531523637,920.824010164,252.975310243,732.420518189,832.296756408,739.040215723,51.9393064958,888.639536062,4.31765823131,751.587860851,64.1134277682,326.407663267,658.947385732,194.683567732,313.593362677,969.683879031,663.610214693,253.081768596,871.230493235,24.1681232883,569.432700045,667.819499614,940.477282213,535.464420782,176.708716093,163.435470968,435.863908702,56.1295308888,238.148015816,849.946950836,153.119999581,244.606246987,174.288698833,883.241284782,632.460177019,258.981871875,355.399462536,36.4237695212,452.043140113,569.232471646,999
938.934388704,354.239975435,226.737575928,619.418901042,670.565831134,579.117215328,875.700097604,918.130143942,164.394857515,948.137627798,349.808660155,246.594023903,655.596341062,514.4705053,314.531023404,860.663978157,540.377746446,594.141911457,24.6849104825,837.41429429,25.1134902151,943.875329246,639.160403548,442.767909235,554.346967773,458.073398045,634.695578489,128.662838529,254.449730064,55.0001401244,108.968178849,187.835250242,761.620167412,928.263189827,482.108497727,836.802700159,713.378381882,271.489143591,765.69245677,833.382913121,730.335369805,59.0631855354,881.588978696,337.346060809,763.546912392,61.3175276152,325.970771779,652.052363314,411.64121869,893.810949325,402.821457428,673.235425758,263.603017254,864.371024877,20.9088074661,324.161481501,925.093583842,958.659037673,544.708855766,184.33152678,169.996554481,421.783186801,60.5950971862,250.053919695,861.395294319,153.600219696,262.467194651,25.5242689794,822.039949746,662.578684827,264.49298215,356.298503306,715.050046024,443.118849525,564.867005671,999
