@relation db_C10D20N70
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute class {999}
@data
55.7365413038,650.830371728,250.017605908,949.810727281,643.164008592,352.530775136,849.233582824,121.202255791,354.858894894,386.373303019,542.863176585,543.808875948,486.007062527,549.480371755,545.484113798,158.776791543,563.895794264,346.267787834,240.047569384,947.289539701,999
58.6981985074,656.720943882,256.105297204,939.383834021,641.889278698,349.340107232,848.29238478,445.823006963,349.902776847,333.527530692,540.745806679,546.641421144,191.3612226,546.145565387,550.4001191,155.787499209,630.252983947,352.207999624,233.596515385,939.010910652,999
59.0679691882,663.455690412,239.275275358,935.861541146,636.895902238,362.98624671,841.952844675,146.595726148,362.689031984,678.823483049,537.895891144,541.08494027,993.29958531,545.536983494,542.686354199,153.983804384,749.966590314,343.290535912,234.869490366,951.360388249,999
57.6561787508,661.359403253,253.100945425,952.499831461,651.955585266,360.060190606,845.669122358,143.000746663,350.419510945,132.389899343,541.411225388,549.701214872,107.192573328,548.206611512,540.857413987,148.881508908,230.429732022,354.395672319,247.03439825,953.366901011,999
57.7897476232,635.749327744,250.669949196,944.371828076,649.255002602,350.895062733,853.164358871,973.955914898,355.324915601,804.851604388,534.298679266,550.505120757,538.870053294,541.502837369,551.091872528,165.73284862,453.222087081,337.920006653,236.328034232,942.62534817,999
47.9801813581,655.098512233,241.913442887,939.116773822,651.068098138,358.961468016,857.786425781,478.085067567,348.88039556,65.5313106283,535.959820029,539.467824089,635.929219298,548.834064238,540.913881444,155.975197841,944.896470879,343.411054001,248.664514933,954.489499217,999
57.7244204161,658.156115009,234.038364745,961.819679587,646.641659965,339.487697462,842.808372828,482.210755597,348.632339976,546.076392386,545.839869602,538.515475756,721.407475592,542.902326468,547.817533653,150.552931615,420.992757181,352.746957459,241.165093296,943.468771819,999
54.5247971728,650.220882003,225.61506288,971.926857398,653.436413343,350.359911663,852.643195137,107.962349717,354.678087637,229.70836437,535.979687329,546.145136154,225.507401904,553.830817741,557.76840265,157.082687356,475.40332547,344.753692619,238.975216705,946.781853687,999
59.8076230236,650.75448369,224.800735658,965.782940936,658.817853494,354.068240125,845.969341938,42.6322120073,352.771407613,228.06154237,530.395923995,550.275154185,777.541903268,554.884258935,550.157151938,149.822986204,523.085059336,351.879853729,243.221352649,940.414525421,999
62.6228228713,664.551714285,243.046499337,973.33971409,644.942393454,346.722905414,839.92645017,980.176163568,354.547029282,960.87732103,541.661933882,548.456861975,968.030442067,539.344713666,553.747204462,151.94597729,477.676526333,352.049804291,242.774279161,938.756032171,999
64.8509627145,634.832341489,236.922827096,953.921486326,648.24669052,361.701841084,855.978409654,806.436319974,362.263620491,392.082683208,532.97319651,535.710482463,930.686481626,537.996713857,548.438978705,155.957055979,806.325222774,353.264579202,245.35144098,943.667549098,999
66.3508432927,644.388429048,216.074109297,955.06152076,653.295906675,344.891601161,859.158553877,204.254894921,349.64830131,754.655679215,546.444376129,541.609776989,166.558944737,550.520707065,548.466509206,148.136194674,287.416330592,358.788845482,247.9181507,940.946174076,999
64.2613435437,668.155302653,223.045000102,971.55362082,648.58392447,350.487580889,848.904015593,976.667987262,346.702694435,251.772361824,548.520357309,545.927805139,38.444548013,536.606428039,548.864461186,157.902089846,397.239403402,347.64241435,249.202034402,939.45842037,999
58.3943188567,670.046802321,240.453908253,969.167494144,636.473157398,337.009540291,836.936305673,5.45799924294,349.433038271,9.62766883327,550.958898917,541.434117722,968.852713241,534.758848371,549.075486341,144.215470908,698.931703997,355.880782098,245.548917647,941.374657207,999
54.4069283774,668.043473357,236.858023173,975.495142131,650.49198112,352.903187536,850.65873904,154.240588289,338.822706037,360.282809259,536.75713457,540.872503343,647.065694475,535.743220096,545.875735388,147.378803049,375.273384445,350.585338905,238.105601426,945.934897329,999
52.2050945548,660.702436705,236.329356927,969.12215888,664.020240927,354.762259122,856.238341447,89.3291776634,345.037219122,863.17584503,528.806019984,542.640687036,392.725798646,547.255891779,551.395157501,149.971564176,512.190198153,346.521038693,234.023947204,952.399353148,999
47.9881106948,656.049386453,218.600790988,987.601591445,657.735357753,360.902197496,848.678967671,320.048268904,350.812896069,250.080227833,530.787566212,539.804844933,734.310670203,541.997205867,546.194005419,161.621101285,457.300054746,342.153373246,239.959349055,943.016856611,999
53.6909298617,642.391899454,253.707564144,928.649647452,653.510587234,339.807944719,845.06213111,949.028352303,349.758180477,214.187313194,526.129376781,554.191379303,247.213963084,552.800102138,544.791241291,161.623817887,880.446226442,343.912393759,239.301447808,950.129817475,999
54.6890951487,639.882426485,230.397822127,960.751075833,652.516593471,356.915522432,843.812411602,761.731641131,355.741415378,668.097483725,530.992157618,537.778178442,419.53991172,550.345607242,549.094941353,162.17014506,150.647836919,355.899072994,238.194403762,937.91254097,999
54.47475536,666.213272527,236.374067188,974.714626706,649.790802134,344.296181262,842.085190603,849.737988045,346.329094462,438.904734124,547.227802559,555.824393998,396.742477712,536.315599278,562.212345038,159.11600526,15.0715714983,343.845272895,239.489411984,941.948005239,999
62.7590888527,661.521132105,215.796221843,971.66686772,653.435015488,358.261803617,852.544852939,395.266106531,348.168270465,745.244839626,537.739664107,553.437169261,492.169904312,562.708161582,558.777967451,151.437624176,746.75617867,358.28656326,244.771794594,943.877023919,999
66.4367476888,645.320650271,220.274986057,947.360391707,645.64469541,378.132338209,864.175891673,409.595003382,360.778098047,588.555843581,531.120336253,543.129496237,958.054445899,544.312095045,546.546115349,161.602189301,985.071072175,345.38233874,239.616247019,936.553716431,999
57.0259835302,640.270211631,267.050652438,939.979218578,658.880580253,353.141677959,832.475926969,199.040363728,355.106623622,323.198256105,524.427379561,547.975220461,241.697702853,564.126650218,547.939810091,163.742234127,172.792082389,346.029667858,243.428364776,942.878789109,999
64.8202435339,650.932100781,257.082763632,949.269308787,649.97663506,348.719388089,825.539034471,199.54123834,361.629499855,797.584787457,526.71030735,541.535447005,812.785448244,554.569364384,542.658121003,159.278248664,25.4596428155,352.809373599,238.067422507,939.864474294,999
67.2695341529,656.732524101,264.949947548,948.67437964,644.647140502,350.728157415,820.332005663,417.433492225,355.845938297,725.995065773,534.974536938,536.890860641,896.353391813,561.17944188,545.371826903,157.123888594,309.148242452,347.107879398,242.955812595,934.665625132,999
60.5531264973,664.317325982,271.484174082,950.381232734,649.27606282,336.47951676,815.688218244,539.166036486,361.743627885,1.997901385,531.27703858,543.387390675,394.539145313,549.375058328,538.895587236,163.673574287,952.035309531,344.697502992,239.290055057,940.064352002,999
68.2771216015,639.986710354,230.217488106,962.543013778,644.053111993,354.365721451,849.607327002,47.4074331732,365.856381007,578.426687209,526.416542855,529.779417156,541.721892718,541.166871787,542.43558069,159.11266313,692.611530704,348.101010462,246.299125456,937.703995211,999
71.340188588,634.68564313,229.722621942,934.114441374,654.189554828,392.500300854,859.097480242,827.854377217,357.787275036,245.053177859,525.94885724,536.568736553,103.771958733,558.552773511,553.80535607,156.231204067,341.312644445,349.832876424,238.155674555,941.736897872,999
69.6738957453,634.062381427,258.674269108,951.830164991,646.475921541,340.636339605,838.297850793,703.291125977,356.729156085,849.636982187,524.56722916,538.905856859,921.70908154,564.862661253,551.456115532,164.799396592,345.119816715,344.900863584,247.200980896,935.20162979,999
71.9695367206,636.716103805,239.641296162,946.859866816,656.774216342,366.684947575,856.079686121,453.819121653,356.083934315,139.266633925,526.526223558,528.659715379,222.514077711,533.611665553,549.84149997,160.499909865,362.085804787,346.584369606,239.346226142,947.540961053,999
73.6642442941,641.837371428,216.536353134,939.800775562,650.886692421,375.286202065,870.506101116,419.681976532,353.855982326,991.475619068,519.703496541,535.548750473,176.525780577,546.154974334,540.990922702,158.445359215,256.736740181,342.173073905,244.499080312,932.923067228,999
61.3399159434,642.393507778,214.973812589,931.814384288,650.787629718,369.239965179,842.300028402,718.988566081,359.012126142,155.327325545,523.277353823,545.412957543,220.533527124,541.122027844,543.821424951,167.030711199,938.620578255,349.77605928,245.844277271,929.499015727,999
59.5731850286,670.869950973,272.816039387,942.062917097,652.986625499,349.688834936,816.808982015,282.456942934,356.801079633,493.14013606,536.19873708,540.539738684,981.035601008,533.282149868,547.031354992,165.147954214,752.19691036,350.426405831,247.057704607,933.774814756,999
59.7936560642,646.864921221,221.717974915,949.34261337,651.416275907,373.604147403,878.236450683,708.772984307,362.325323493,820.398847587,521.451790086,542.260830734,588.248824544,548.255914743,552.461276207,156.029134557,504.746252034,347.614035724,247.125548195,932.490576145,999
62.6723741118,641.675592544,214.149478468,955.831774105,639.291055902,367.872885286,859.883699086,44.0083038218,355.084080584,333.455318776,527.703763503,550.632474666,191.354548438,554.535921056,551.296265529,166.612944937,994.360493551,342.305126631,244.579076702,937.490266462,999
68.0859569536,676.58197051,260.116338686,960.58762405,644.50466235,332.270961349,823.098847108,32.3213624157,364.459343963,30.0648325202,533.727567152,546.970882246,437.645315691,568.888160465,547.826777198,167.047253073,174.203873511,348.981089445,236.315147749,943.326727074,999
68.1663845774,640.525403895,262.693102929,932.846440023,649.51799646,358.128778328,839.267037789,117.771819454,364.837938878,435.614565491,523.158655579,538.244645394,35.9005260842,565.319746213,537.112994554,167.719016635,859.891098046,344.907878031,234.795800891,940.805395337,999
62.9333509648,637.349715346,229.804870313,959.032566574,641.913440811,378.798752207,868.805491529,542.824912281,367.282600223,694.212459264,527.931995477,546.593140512,782.817175013,540.174874019,545.581085939,160.138773079,725.088666583,344.818015849,243.072290365,936.61859172,999
56.778909254,643.753258925,229.354488314,952.610104854,645.715033338,371.927374534,861.919854627,856.172161355,358.89358735,917.039439471,526.137863823,541.056101203,778.199815013,543.892082919,539.858936813,164.800268032,145.230657287,339.78384374,236.868048946,944.852968511,999
55.9986477313,632.300286598,205.216700014,962.115114634,643.929194735,371.379805847,860.763562,477.800585809,361.943081341,918.62280959,536.215000326,545.63393299,732.878253325,551.556109594,548.994786507,169.586503486,649.447883052,348.868269096,236.103681197,939.787646066,999
49.705203968,668.359812493,206.56266058,998.684760626,652.778076894,353.424415179,841.59924374,985.083839998,357.867850434,466.625572765,532.797810779,547.209160709,599.339500722,532.065389478,543.240125029,169.027437196,102.131534145,339.064433838,242.489618978,946.561736351,999
58.050550445,647.414948847,214.877519315,949.991853799,654.160186186,396.112701416,874.018933049,84.8332877145,364.554755912,78.5568364087,523.017004443,545.055425469,606.32997594,548.09434295,552.020998921,172.107981749,740.347667974,354.615841008,238.273809828,942.041815752,999
60.3308921525,675.750231907,236.363960541,933.382223401,642.812422616,350.727253433,831.945051417,579.719623257,366.317643447,737.851032049,535.189242319,547.551156168,608.922395829,525.08568519,549.199878207,159.601802177,388.911632996,336.949756031,236.093068336,953.229057559,999
57.5894073432,652.619977402,229.58711391,960.996759354,658.320658837,360.260249289,845.868470062,576.195029718,334.419089508,107.410707313,524.598085212,543.278099356,642.144416942,535.010004675,563.482895609,140.106549063,250.012162152,340.410441335,240.700493373,955.639805464,999
43.5413405781,643.966353846,246.721497565,928.406980288,645.004176035,338.267608093,841.914131096,615.816990418,355.670048747,115.041724128,523.946369973,548.528246964,917.622157649,550.536522035,540.473224659,161.185490555,737.000709901,347.619098851,231.239223224,944.515872933,999
51.8795867213,634.248220575,242.749882044,920.933293083,644.745745263,329.65669577,837.251793498,989.221456276,353.435544519,903.348222806,514.278998701,551.800697454,855.237935057,540.5007507,536.155493334,154.12723456,961.706904878,342.922565025,236.0478056,945.597158855,999
65.9321514118,667.16721622,223.029439939,970.647567003,646.358185009,359.06419514,847.089989195,634.875362558,339.581004532,732.350557849,542.33390487,561.865218549,516.183557697,559.832230155,566.287565093,156.895304412,176.334719167,364.272588137,239.467418906,938.342419305,999
70.4348867218,665.049176179,205.47405648,961.262426869,660.778322864,365.877233741,865.33991469,380.810196613,340.993742181,285.677638593,545.26546782,546.651084207,574.556391345,569.797300933,562.661290255,139.628393627,481.323700704,351.805410979,241.648775329,946.879028255,999
68.5920479032,664.728637144,257.884100295,953.09915866,640.93367226,344.025319314,814.573818348,517.299559528,357.584312952,406.968132583,528.345337957,544.745417978,458.536125667,551.559880503,541.418899738,166.553927059,664.40673885,340.464474927,244.047133457,927.147044952,999
70.3800379085,644.67575863,270.402596616,939.518891785,652.569082299,343.172976037,811.060494111,50.1007112415,353.016017586,978.341436157,532.797106621,538.926917308,222.612460676,567.793542494,540.77586786,150.717673456,154.31508188,342.238389715,240.556248919,939.466541185,999
75.1528072915,626.234730807,219.63705931,940.471382787,660.432380619,401.52952787,869.807044115,492.624922364,351.026016526,673.753133785,528.683098794,543.035262266,383.05607177,555.752622451,561.073325655,149.026368021,451.70158126,352.029132452,230.551055686,935.397827693,999
75.3049311763,634.731315137,264.543386338,960.830714558,640.427030439,333.235119322,838.776324539,337.205429748,350.545053567,815.546263794,520.274115912,543.826247437,813.315661493,556.392114286,544.800619108,167.021638465,944.982647917,337.956808602,238.701245066,929.96677955,999
70.6108062049,640.792414026,270.556593814,939.734129387,650.916139306,327.278219344,850.078183528,377.944109861,358.282896304,348.359156913,530.827698888,539.502597937,189.404506818,555.955428733,556.175993098,172.141256369,404.928333888,351.601312066,244.542615733,944.762036849,999
67.3726183674,674.382078954,279.624669221,933.108532872,663.396759619,345.015925028,813.333902429,445.607150827,351.01831431,524.284672395,542.215545781,548.061344711,47.0127942578,525.780505919,550.878999207,170.470185732,821.312203266,344.246594811,240.488446184,936.157910409,999
53.3052329117,670.033017463,267.997859416,932.73388944,658.544011393,343.616621117,809.727315642,153.895309091,365.611921391,651.844250928,535.210856242,546.947019458,849.710972816,528.920939159,553.711601322,159.053569437,324.287385944,342.65739044,250.597011442,938.333015691,999
52.1084781797,678.861743884,261.332216373,927.544825111,656.970967649,361.774342664,804.496556748,710.423005774,357.824864832,818.33655117,530.458854524,542.959553636,92.5676237843,521.441054656,541.503362265,172.955814227,416.363257652,350.824333602,254.333681459,929.434612924,999
67.9315909294,670.293043508,229.163092492,964.21592385,640.669958817,336.465117662,846.244502821,697.55803484,343.914170511,845.124830493,542.382519942,545.317835042,308.903587639,550.080281476,535.61370656,154.672468104,528.872717788,359.893112373,239.479393681,949.467206908,999
60.0699580549,649.262224669,232.040627393,972.860099146,656.945911515,361.199508257,852.639532564,97.9364457941,361.216071277,868.833873524,528.133168954,540.270263142,322.117526522,552.721313478,564.302025121,151.111908806,623.93002735,340.970217835,230.684696702,939.813122658,999
63.3680577204,661.117056804,212.349837259,967.520515603,651.487621525,355.800268846,835.867368885,301.341483268,362.614818362,602.60689597,537.726435505,548.579967809,74.5831431779,560.934391837,557.213816358,156.890347859,959.466102131,355.584473238,252.609352148,932.969713717,999
64.6235828642,645.955436242,209.934907473,957.856034113,658.472616667,344.107660012,851.248614175,95.1743985548,356.703039927,375.773709897,552.263112026,536.063018378,23.3818427928,551.950212703,552.52687045,156.303023398,883.256886533,354.616557156,257.351741179,947.913702519,999
46.0577049041,642.673509663,254.523276137,925.528699104,659.130418869,336.42390536,845.236991939,529.902233294,355.076766942,179.959245765,528.343974199,551.311775975,831.59080965,541.300923387,538.964256195,158.202227335,498.807039471,337.79773891,243.799816373,945.015728087,999
52.309541177,638.225816664,254.698397903,954.603787497,649.324948831,344.212819797,846.76273014,108.374026622,344.236263056,418.556178188,516.800825313,545.047176817,698.356063152,564.377855415,546.719578773,155.1157816,364.140210852,337.656879511,238.725679799,938.097495232,999
70.7412575297,657.552440149,257.288202034,950.450694692,654.327960281,347.011839741,822.804966145,248.500606083,354.228503921,484.093500414,535.803767437,533.565071513,882.78725498,560.052574128,536.916462365,163.587916252,136.778821793,349.9850475,231.775675518,936.230466442,999
63.7613469531,623.360667848,221.062368962,937.254209088,650.910034182,380.369648486,856.58780123,197.117304058,367.235344663,894.44532125,527.628698343,528.043547101,625.149472405,561.208308024,548.917422509,151.114155529,240.825227673,345.951175576,234.839888382,929.635001863,999
59.6111946309,641.160001264,223.717030665,926.637584701,649.480245996,365.947119034,834.948312962,391.291418494,358.819411459,580.182103671,515.456570267,546.389087769,846.361610741,545.387537176,540.902958929,172.304319927,735.195801474,342.756893786,251.792827463,922.947947751,999
52.0859591423,661.672638641,266.96102477,935.798674389,659.483462779,359.238910357,803.403701365,59.2784631617,360.581087533,393.349089913,528.543034101,545.235467992,830.395946959,524.517856909,552.296411472,158.704235511,722.731506958,339.455387713,254.930330518,929.657500341,999
64.6264240898,650.023069168,202.724550119,943.897567846,638.751365702,361.522985262,853.296907888,549.299699936,360.863822249,733.885178848,522.912862996,542.839905015,200.758131315,547.038550493,542.516327171,160.853642298,921.811694418,340.294592653,251.909432193,945.183684707,999
75.8105028523,689.582296237,247.328974169,966.085630351,652.331407281,339.955787763,818.231763305,606.996875243,365.653775966,525.232024644,539.07465287,558.676836964,181.872505292,581.048776663,557.972675629,158.594382156,883.383500104,353.785153587,238.718583758,949.435243091,999
63.5528629418,678.622652917,254.844121743,954.743263933,633.940368161,328.924313211,826.851646909,875.824168109,358.141193758,341.17934153,540.152823721,540.442482978,489.176527524,570.257653299,553.28454656,171.98589955,72.127331362,353.035272005,227.298121105,951.138383107,999
65.6462661679,672.738217718,271.942127231,966.256048621,639.430729246,335.760296103,836.940024613,829.64550755,358.58038253,300.348685942,527.312564215,551.858225948,253.731653314,554.879546274,550.583104122,168.386436442,583.719519803,344.615000637,232.912596533,949.565967997,999
69.1253463881,670.627565577,268.662508866,969.618647908,650.713960857,341.863892299,839.20216836,764.662515738,362.087767659,879.416137931,523.022200302,540.747957017,949.216986329,559.829128246,554.075076571,177.140452265,323.261612521,354.323673745,241.793929736,947.864793038,999
63.293744329,644.337025769,262.974682121,923.84877179,642.009201621,348.638844111,840.320115369,541.060779685,357.976907351,837.216719514,534.039665251,545.029321606,220.879773722,571.532419906,541.803946289,173.8083988,33.8783518427,337.476678367,240.731281916,941.651701868,999
61.398002096,632.898477961,275.131355818,926.105606173,644.100326622,364.391672168,847.561121927,923.170106717,362.212111912,863.073013561,517.336313797,549.544814895,280.05118348,565.383271825,544.224471177,159.622397809,973.566458414,342.640293045,231.172618149,951.005093571,999
60.1560328589,645.742261838,257.204001758,940.353684228,657.049439337,367.368899645,830.611276541,826.117980967,370.103030302,616.321802199,514.475724507,548.90709602,8.03499805516,560.670723164,544.571832775,175.231166126,903.842007573,338.636525595,228.757124172,943.946691717,999
51.6624316774,645.438839696,214.956395938,959.413760336,642.10779824,367.559913157,856.253431855,671.234024951,360.111695046,345.793290834,539.83300529,541.974360074,751.233901931,564.464225804,554.939030079,171.625666658,123.473075582,343.527568211,228.631732861,934.397506155,999
59.8279493251,644.205750479,210.16293965,966.414676228,638.457597699,366.68726693,847.227743325,200.290900586,367.081753256,775.112622595,538.735678572,553.29240313,633.696944059,560.91193806,544.36621302,161.768091441,530.678197527,351.142944016,244.283950691,946.69177252,999
49.8532801531,628.510392775,192.228269353,965.151835991,652.464096855,380.714715426,856.011797364,897.362042333,354.961066055,746.167846808,530.826256681,551.360371113,749.319820833,542.019936742,554.995878248,167.256788982,789.544307496,343.977622591,233.574604747,946.220108917,999
57.0224268603,676.567933253,201.299934255,999.686706849,645.180314697,351.751003383,840.373753304,447.990231403,361.572437389,487.412538786,527.440623573,538.756901803,927.019539711,534.861303556,539.975248997,161.910419896,629.203836239,334.923653327,233.414592156,951.704309933,999
57.9427387585,663.397413014,211.859327316,1002.67532803,656.489897741,353.739560935,834.934195379,962.708143384,360.231581234,623.66739715,539.694287718,540.021663643,343.427681516,532.270534676,550.353511073,176.96999266,678.222286389,347.258497732,248.611305397,941.098338018,999
43.6593557288,667.612977725,200.795396478,989.089965919,655.874973345,354.097743629,848.942300494,588.078768467,365.693011798,859.915658607,526.505586891,551.290564584,323.776414265,522.914279174,533.212445801,163.919153089,407.206840678,327.255309341,238.196925081,950.081511685,999
56.1703010879,664.456104459,201.392294013,1002.45753192,642.377791911,354.014856329,841.923201449,556.586068334,355.841049092,383.813855899,536.620481716,553.799244435,432.278033867,535.4510685,548.941332236,177.773442928,737.880602612,344.216170187,248.978143207,950.939301529,999
50.2683892535,672.266730288,247.064438029,964.180683442,657.723006174,369.099851045,852.347613759,13.8381265405,360.345084014,114.54235123,540.255344191,544.642945489,413.697622639,543.436016373,544.417563354,140.60919162,41.9836542491,354.657188383,255.505008312,947.184513919,999
59.9637526462,639.284962543,259.304742966,938.2279096,646.824463366,356.912935437,857.799670553,670.3933009,360.517735882,25.144854993,538.158614537,556.600394762,139.897168143,551.10373332,558.449435258,172.751369464,982.962535695,334.274825412,229.789490774,936.386144312,999
53.4296664212,626.959618531,239.880814141,941.154996183,655.288673798,360.311675755,845.673950662,305.614877734,363.724158763,147.418036877,528.745653693,543.698122694,67.6551945546,539.266963864,541.358301194,158.403751112,596.83937003,331.358228727,232.28146013,953.137362751,999
43.0750883121,651.776958792,250.75177851,954.766511913,654.93466479,346.836867899,866.031380459,448.759821552,355.573646534,287.75493713,530.132346933,537.934420787,855.371693388,553.192276646,537.267895185,163.842597469,352.969285096,344.293760436,246.774275423,955.775301817,999
52.6971719753,662.55063664,235.702414126,943.197134368,654.490142564,358.969316041,860.585499304,116.52727419,355.091863147,38.2028869536,544.559918848,543.740603859,682.013065764,552.138862581,537.256553761,161.886633898,24.0875091104,336.612776976,257.56312326,962.716753841,999
62.5959946007,643.034284139,236.099786253,958.594096038,658.640166144,358.911534399,849.179136934,922.426319023,344.405296994,449.815376638,530.400892314,543.193436162,293.153407133,557.441575188,562.072325128,162.222510199,463.175656358,337.861497315,234.380107808,955.58811369,999
54.3754307516,672.248629415,248.419726973,973.057022834,639.773656714,350.080429389,837.23592615,146.569965591,360.786075681,668.458530391,547.896066141,541.18401278,482.175227115,537.348497411,555.888220595,158.819858485,377.107011091,347.244971908,249.412549786,932.471776414,999
