@relation db_C10D20S350
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute class {999}
@data
741.531575647,43.7012159938,54.0324542488,492.346990545,58.4406839747,456.811954592,242.602804321,953.53783176,151.047292866,554.725025526,254.338331902,994.876727741,843.653133639,243.854228523,257.991262956,255.770795031,944.762149063,639.070704348,489.816107239,854.79275608,999
735.566958064,50.6996882182,56.8925663174,838.903634145,66.0718401072,460.468280348,239.742895111,472.495036981,146.383670807,548.211452273,260.550635722,563.067297657,837.754237998,249.299917833,255.360489977,262.161708195,940.835919393,639.469041392,870.49434699,858.4183211,999
738.92646879,46.0074513979,47.6308444504,22.6444305234,75.5913631846,465.172939798,246.700355201,337.690217228,142.46085196,548.106394096,258.518526087,49.1013418471,839.829499246,259.35158564,271.406106203,257.756078828,940.900905001,644.781598299,454.297471538,856.938814102,999
737.598088487,40.93838276,46.4839022839,346.830940979,68.1247903318,454.491273298,238.167053934,637.224845303,147.518420406,551.694272987,262.135725073,12.3516656819,841.734221274,230.141828195,246.249886779,261.241253896,940.007216873,648.029779713,837.035415307,852.791675065,999
745.972697719,40.7634617005,48.862528684,157.212390309,63.4238153841,468.972388137,236.963729714,406.753804687,153.512894402,563.179089826,262.233662161,117.844486736,836.567723762,254.653543975,247.248596081,261.824771688,935.188987934,645.502366373,849.063490167,850.593361954,999
743.545124775,54.2511430544,56.0864030498,982.527904912,66.7023194809,466.039693008,248.202737772,552.514211401,149.546349016,551.813789282,265.756106257,173.960635448,837.114322139,257.628312414,260.343997923,258.583138543,947.52109557,647.746069451,61.956094494,850.670206592,999
738.538376502,38.5040531945,49.659580833,860.795035555,50.7680643922,452.568776426,238.510004712,589.43790449,155.60197266,558.612210005,261.294741299,597.378446744,847.755621785,249.328392111,260.435864787,261.884121307,938.604737728,631.860409939,289.261069804,858.108438723,999
737.597896373,48.4777107211,55.0126042411,712.653711835,79.6484944017,471.909437059,242.858117559,963.610032889,137.65945413,541.100170542,253.872404119,987.618511744,833.8103669,265.607826783,273.970296982,260.401781908,943.677086846,635.139085858,86.1231379882,857.984287129,999
736.149018623,51.6543632566,51.8992307795,493.774176179,89.4004001833,471.126238464,258.521598382,870.356986439,134.083431898,540.533416248,256.335520215,940.74393856,842.187644333,264.328862358,257.571223772,262.031869541,942.180152219,654.756635075,924.227470782,864.136066842,999
734.188133047,44.801627166,58.3591496421,374.805948937,96.6232938208,463.470472455,265.744897741,296.509953067,139.712725184,544.065346637,261.446408015,781.538363547,833.351759152,269.899628182,255.954487593,260.075871135,936.893064442,650.81182139,222.312563696,857.567332897,999
736.585761379,38.7666453404,53.1013909138,87.7312749659,83.7464755673,459.922109465,247.449374884,667.858478687,137.40379792,538.047937099,266.392726163,625.372806936,838.005935674,261.781214469,273.668731035,267.532067704,950.28777485,637.973433191,988.298703085,865.063035612,999
