@relation i05
@attribute i1 real
@attribute i2 real
@attribute i3 real
@attribute i4 real
@attribute i5 real
@attribute class {999}
@data
45.4516201947,651.064872817,307.842694742,542.584352926,246.278606396,999
50.5429754801,649.085713392,495.595868883,536.398005208,250.625843801,999
49.5685335042,655.377863975,578.329520739,535.114169683,252.674820967,999
46.2590287552,656.522782685,228.343312914,533.269017545,251.349472155,999
52.8832857761,653.452027596,617.444805367,534.972778333,243.76781321,999
46.3101425902,646.143961889,516.395940199,531.336893368,252.511400725,999
48.2552460124,650.205769651,678.647745163,539.761141732,249.112480021,999
41.0720604529,648.119732603,86.2051250083,536.010035706,252.518248414,999
50.9604838314,645.024829863,718.120441335,546.595413545,248.415777254,999
53.5173346925,653.033963315,547.77486636,527.691726471,250.092268008,999
45.8147486142,653.183393934,906.334302992,531.343496086,257.368736918,999
46.9151351454,646.722706218,560.289417074,525.912660108,254.54783656,999
45.3269528595,650.638988149,579.909582231,538.457617096,252.933908526,999
48.1282691984,641.202678437,340.611037032,538.854438682,255.952147633,999
47.2263376846,649.788114941,650.501872919,555.349644075,245.764169153,999
45.6621033149,641.499183835,830.45061708,544.88278219,251.973300763,999
42.3159423939,643.613221729,215.360534926,517.391643123,250.554574817,999
44.1335554388,646.108182414,939.603112454,547.7958951,250.503045636,999
45.7144598972,642.734993022,142.263287888,546.320377783,249.466373499,999
44.833529536,650.648418341,464.40660973,512.149499317,247.390791482,999
45.7266363454,648.560187885,791.679562139,510.175061007,244.575751611,999
46.5350461381,649.393276347,158.5517217,508.413303308,247.80775391,999
49.3460699969,650.068371818,934.828927486,523.217190244,248.573313261,999
43.4919193709,647.593327969,515.541886326,546.771408855,239.980714977,999
50.539241673,644.264916655,318.669079785,549.218164741,244.794081058,999
51.839256221,647.001800169,878.384640882,542.46279048,249.597218864,999
41.9591009821,652.255190205,854.057869321,560.571438605,252.231369354,999
46.2636998814,652.078213602,593.081074094,555.819165175,247.833894766,999
41.6843005355,645.74155668,16.9289954803,502.927145407,248.249652237,999
41.6256228369,647.095125193,47.4904919089,517.276638726,252.513733716,999
41.640236296,648.895661211,153.907270003,515.856179625,256.179753486,999
41.460349795,649.3619953,456.963170102,519.937996946,242.006720719,999
49.1482186693,655.40601117,234.159641338,558.641510049,250.655463318,999
48.5533071372,656.422155145,528.436784396,519.654085479,250.162827741,999
45.8111299252,659.972203603,854.414265389,542.247691625,246.141142072,999
44.9295961035,654.850646481,791.15659322,548.125862286,242.576957863,999
50.7023542741,658.8149583,854.138610584,527.491836639,245.416553249,999
43.8654474084,656.787085424,67.6830227039,570.289657792,246.98482215,999
40.6259059107,653.884527214,905.671794738,543.992115225,240.398107151,999
39.8351651878,651.411958568,820.24637558,504.50061894,242.059072185,999
47.6472550438,647.962196591,481.106020632,510.704369397,244.582054171,999
41.4354078631,651.711287642,496.574796443,564.492916827,247.854415578,999
39.8536563134,645.731347629,545.754053943,551.565883952,250.576799861,999
37.9796009856,654.748276987,305.002275306,556.623026231,245.632365454,999
43.8557526599,651.624606188,66.1311189172,549.694217531,251.872936336,999
38.2591077408,649.642717561,499.76449678,509.286258634,254.654724953,999
41.7695435146,654.575020457,781.900266479,562.49748675,242.532556958,999
39.4531522536,651.784029175,851.145187151,576.5716554,249.139562317,999
41.7983280753,651.348216919,727.723394372,547.268324971,247.281721941,999
39.3501447288,644.445919807,645.37852222,511.879430452,245.378786766,999
39.2691151631,646.443875472,620.829831176,498.317000754,246.206141141,999
50.5500336991,644.66207565,453.371294853,560.531448948,240.657091624,999
51.7411238473,659.501332475,392.147755535,568.39043604,248.038021882,999
52.9908068244,653.385588628,211.027565521,525.93307875,247.117764806,999
46.5037000104,651.929741352,262.319563725,552.742701194,237.481799282,999
41.4687623951,647.442674306,965.873136524,535.114556358,260.422701601,999
39.6099551919,639.823180271,650.75868084,511.085113715,254.538608079,999
46.494167695,638.403874478,801.790602395,509.776510686,243.82981414,999
35.9775996097,650.752354719,908.284606112,568.731158558,257.320561815,999
