@relation db_C10D20N10
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute class {102,100,101,201,200,202,501,401,701,801,601,301,-1}
@data
440.94206224772194,241.47474389926515,440.6840001564589,348.44623108044476,736.8664238499528,364.64122278686375,245.64770038845595,649.5291246083926,459.5841675829175,732.0562070840368,797.9309220093917,853.9012980415597,141.0971837699823,352.56817213411694,361.75374858673786,346.6471225709329,855.9898577583283,643.945607461732,519.9539578578942,445.4472876055386,100
453.86565317618465,250.8892645441181,437.084178734186,341.9612463057553,745.0218498724862,363.38185414792224,243.19149700215368,473.97118058805063,453.12712789858773,717.4584858207633,700.2087097823027,860.0504000798906,130.34385431496668,358.6293002698698,352.8557313398878,348.53476073387424,851.4465595729539,648.9696441830378,868.7489285487509,442.3734746265284,100
446.9937647937828,249.63752824429145,430.90819077915705,346.93430772590244,739.4140990519218,364.9524277618496,245.4016184895368,186.89054113550475,456.92937579418543,326.28871396395584,434.22897251833206,865.8277196709088,135.84362977421844,351.90248512143546,362.4432619311533,355.0751957060742,859.3083479756601,654.0269529555421,713.7190083853188,446.00274304601754,100
451.115198026617,245.64068090956096,437.5570882361376,351.51021401404137,729.612367956014,369.3553213377095,253.5848871840265,465.8490722700399,455.53618259472614,931.4511843315489,992.6273171674579,851.7285323334365,130.74018345034273,348.29298704822196,355.63938201464885,342.2183109098394,862.3328738234701,645.4830639382368,308.7405826596912,453.43004251013764,100
445.93903833212187,240.0644804916926,433.8132653442932,341.8741794685561,733.9379520697698,373.0605147642165,250.23350902141954,891.7427680089891,467.0676846946568,85.12663665682064,373.77767542305907,859.4098416851633,136.22036043427536,344.490905712145,364.5562901547714,343.09704673092386,861.5890048298448,651.1746614712165,258.8757891885231,441.0175294843369,100
442.43547959833705,247.31655084676703,443.1584236664706,356.35009233650254,731.054815646365,361.70627140336813,239.31504216220713,456.9222678684527,471.2066330164311,502.88634172023205,961.7460490783321,851.4321486652335,141.7152089636961,347.32735745718884,358.80380577157456,339.61445918403507,851.9125003999301,652.7000571868997,880.0342730653617,448.12120488861706,100
429.2071339832193,258.5230871062075,450.22896026826623,350.2129875669818,732.0372820631308,354.5649024402797,242.53737943185115,741.3678126170714,458.72824906112237,492.1259980430713,237.03215495989426,860.9844480938706,148.92828432598432,361.7405961994487,354.69988148793544,341.61140713749603,850.8951404048919,651.4051410503283,72.32264644469588,435.9952534880841,100
443.8187042716586,251.22268252791434,448.4791471797169,352.48533038549283,731.1300583132041,359.17915142536606,234.92732617728257,640.7902131536325,460.37159951033715,729.2115866985664,114.66549823325234,856.0698196171011,152.35137207058483,340.25307991772877,353.37067487870996,345.64144432786065,845.3816268331263,658.3941553072598,400.3665526314839,442.0609821189293,100
437.77074240963077,260.88034016208405,445.094882328026,351.70399326145287,718.774219805604,352.74792990257816,244.14453818566733,144.02188224191048,465.4221851638644,482.5815598027082,446.7047118909121,848.308902535179,147.87992910692805,353.84933408803,350.13572954195433,348.5031444684592,856.3175444415293,642.9436745319946,274.92096968884397,442.9457970909134,100
449.23930298447976,251.00822358288158,434.98756321086415,343.5952266175437,754.1554010541743,351.49684474335646,241.84143444718123,451.78918293393986,467.9686970557568,239.4740994871729,382.80807742936116,850.4006974471496,131.64594131916198,345.8422286623078,367.0364771334998,352.31989678338124,857.1655881671875,639.8569732831515,776.630311858659,440.02611206350656,100
447.1363913144382,239.03450121348726,441.47348708633973,346.5858325053655,734.8057019407768,369.0264400493582,245.7272189003925,905.8718613406827,459.67423282710865,750.9635339928225,152.25300622157724,856.4388182930566,143.17267741056526,361.94960759489095,344.5545250599959,357.3953322141675,852.6496847841429,641.8270927071947,723.7508686132951,437.59038601723915,100
431.10034786415696,234.30022344125936,448.45977136114425,355.20466946449704,749.8900267329432,374.5972885393545,244.0690129389175,807.9887322384253,462.3709759876203,255.46277450432842,220.43916758453375,846.7981846452387,148.2883331309615,348.4075687302931,357.5078203013485,350.92012703389435,851.6258700750641,651.1526620746563,251.46890114349208,454.57220763477443,100
437.47646225382664,235.8766057093625,448.1275567440498,354.46115290424433,729.3943296484497,355.4898126780259,243.2537083240847,496.91779938482784,464.4579620126666,35.814293583930734,492.4740351757997,846.9261425914711,128.2458491849311,342.0226648641446,365.50041423031587,341.23405503771625,850.8458387606488,645.6335603278403,169.00705690627737,455.74865658147803,100
454.4454089057939,239.30462956250594,434.8302449003453,351.7691119452447,760.002801081197,345.7728930177717,248.7259588118853,993.4212939118814,459.8772337375905,877.0846693213551,919.0944864155404,858.3351847493217,119.90407732962029,345.1030485467044,358.28681095665337,350.7458908730578,847.1085040300841,642.9554758182489,460.3894266323351,447.55382984715254,100
453.1683275398589,232.87939458356564,442.9862155281504,341.72733963833207,743.417640416204,365.87501012574035,251.56122149349898,743.3749703407885,464.80981003730864,734.8998618235047,653.9201462776043,850.697310033606,149.34192222717124,355.9119764404662,351.03045553236433,363.03003921581234,849.7556295992392,648.3149158099706,384.26437254795576,443.76766774630727,100
447.46001096041937,234.68729297736266,445.992716762951,346.9160165352445,745.4398388685414,366.4737237810684,241.9285518516503,905.7535225047454,459.67425193647335,920.9669417219416,118.91629567212547,844.0523814966582,152.61580912000363,347.96591559382347,346.7870292600307,355.0368282686866,858.8532187947033,647.7540465319237,543.0291693508094,449.5663404962006,100
445.28684129646376,242.15069100213836,455.0478977204644,348.5486497186036,754.1331415342975,366.6787719531199,248.45569180098022,509.2136940239379,458.2284211628609,166.1747297782361,67.6950676449315,850.5949773339981,141.7706490296913,343.3936399163212,366.79959291468515,352.8395671352722,852.8270903304704,644.3793110930173,339.6089119684182,449.2342274368531,100
435.46871032125125,238.70243615022545,453.8445688509814,354.43349025133097,741.2086903596975,365.06015180952403,250.3466888092756,665.9477922063033,454.0768021522748,502.0896731897555,298.41311884188895,852.2419343079015,156.16849542209349,341.5381648728485,362.20188973256256,346.7209817929961,845.336486030277,651.6218805802719,684.0336757764969,450.5815185602902,100
443.8746327679031,228.63389281873324,440.9099292013061,356.41497471740655,728.3168199697898,354.66920161430255,250.88102746169614,355.8631694676505,469.8056774901876,842.319150458031,309.7018692511213,849.4277607251834,131.08866758523135,346.80111569045744,360.45711773882977,347.05610596205753,856.0874990203376,640.3145402897624,606.1104950792486,445.6040559500284,100
