@relation db_C10D20S150
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute class {100,701,101,201,801,200,202,601,501,401,301,-1}
@data
709.6050372317507,743.6168472704597,458.12184542995226,252.62962803672303,342.8000799229569,456.22838260672285,843.1911597063516,852.2823109026597,942.2954115126508,756.2463089700195,803.3795001889825,41.828718765705595,849.3077039309836,753.2589615103085,158.43129381498122,546.9081537763411,357.73858089257686,845.3075808542727,144.06860574334388,458.42603879589507,100
937.7496015812882,748.6882265221802,461.0359132528462,245.13841714066743,747.4501699655456,460.5043802667825,838.8971071678588,852.8726100911598,941.3473920421931,760.1597787109033,397.4081577120574,535.6852586220042,843.0925951662978,756.5576701458951,150.1112846500275,539.5026575503008,361.9026842730369,850.8312531928206,138.14182313422643,463.4099238124762,100
867.9020848214064,743.8307533127603,462.8810246747524,253.95473114569205,161.28259308598425,463.6559048282604,845.8531886207907,854.3277227192546,944.1331284639057,759.3444275505447,913.222492842964,656.998913557952,860.36233465975,756.3531148084379,151.85111945997772,542.0244149507549,362.06481080787955,847.1730648564034,135.5627776552501,466.52229993083927,100
299.2690115081701,745.810864148275,467.56404943412326,255.05856964847607,720.8519488196855,462.84089638706826,836.5580358794992,855.5207562480496,944.9192250678726,755.7200999082223,470.5427624114332,632.4257787939619,851.1002420243916,759.3649792433243,151.71049561886477,545.6768908922421,364.9105585879559,844.1198000615934,129.54462610725437,468.8880159000712,100
893.9905242340774,753.2170155016863,462.45537332739326,248.13059828485507,726.5296849734434,462.6084036721894,841.4046293178026,852.3345313176371,943.9038688822617,754.8402443004567,934.5391363093266,251.33834834719727,850.9326684084076,758.6332798333738,141.8580037943207,532.5642900506407,353.69492797327524,841.841883992284,134.39393770479106,455.52274610166506,100
641.5439565484412,749.3537114331778,453.52300906432544,256.88275346850264,64.96946643821988,467.774132920627,834.0132606668676,847.3000901076541,930.5137853597225,753.3664922543018,282.0056136956032,278.2057966646736,848.2110831890811,747.0060820514549,143.5898750809223,547.0255299745476,359.18305469107895,840.3514967797336,144.15703341504266,461.1834076782957,100
131.1686338132092,746.1887355293541,473.5008394015971,262.8176266094042,741.146004622283,455.3230398198382,839.6896144972777,855.2229299433372,945.1923629795162,748.7985241562693,279.74669675714733,583.9746228639364,851.7918115341664,761.447729773669,157.10958066433506,535.1981408689184,357.6057650318917,836.2658335126179,138.51804628418284,472.66672231813044,100
393.9101067480547,752.0561709835835,454.5807419626872,243.47243363411874,145.09289961011805,464.20460173748154,833.3147941487633,853.2302753373976,939.672607128266,760.2107319240516,647.2619370315797,402.970075536468,857.8592171997102,753.8846442798492,147.1131158186954,529.3898156319617,359.91219321923256,833.172823363791,139.1730725609545,452.19711943733984,100
733.5702120941553,735.7998535506373,459.8417074972474,253.68590329588193,567.5395400409063,465.43841827070935,845.4922299300467,858.2534416199551,936.0065767810748,752.6695654974054,581.6468774907842,575.8170627971258,855.403163827174,757.8342553679155,148.39416562771078,543.474384102662,367.40493273896533,836.2824904876155,140.60628440337547,458.9132446712032,100
975.4251633742936,752.7660116555429,455.5572190569154,247.619121684645,258.95822185245567,465.67259684494485,840.6886167969541,843.3453896958213,957.019959744955,765.6481890862232,288.7888644765804,629.8707440448343,852.1195820515359,764.2102014418425,141.91963290600518,549.2926692061621,365.3363402914227,853.5053603354773,139.78588496028132,456.7486443370174,100
