max_value,0.7626262626262627,0.7291666666666667,0.5514018691588785,0.5797101449275363,0.803309314117961,0.7875,0.3303030303030303
clusters_found,1,2,5,1,11,9,14
index_set,4,468,204,5,275,17,484
mean_value,0.511010101010101,0.4142395833333334,0.4144485981308412,0.44610434782608693,0.3804141980250867,0.34783749999999997,0.15755353535353536

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.26262626262626265,0.34635416666666663,0.42056074766355145,0.4434782608695652,0.10408326661329059,0.50625,0.16868686868686866,0.922583,0.069058,0.361671,39,0.00846597,0.843969,0.0537833,0.433231,56,0.00752996,0.197804
1,0.29292929292929293,0.38151041666666663,0.44859813084112155,0.3739130434782608,0.28289298105150784,0.55625,0.22525252525252526,0.878992,0.09425,0.448231,32,0.00934843,0.764789,0.0746372,0.300184,99,0.00535874,0.271556
2,0.2828282828282829,0.35677083333333337,0.43457943925233644,0.4057971014492754,0.2975713904456899,0.6375,0.23939393939393938,0.922248,0.0624906,0.421014,75,0.00101227,0.21354,0.0134563,0.200606,51,0.00651033,0.246558
3,0.2272727272727273,0.27734375,0.4299065420560748,0.39420289855072466,0.6950894048572192,0.68125,0.2707070707070707,0.900002,0.0256067,0.277277,79,0.00924093,0.796745,0.0765858,0.0781664,40,0.00948744,0.253832
4,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5043478260869565,0.10408326661329059,0.125,0.09090909090909094,0.756734,0.0747004,0.359362,46,0.00235671,0.998907,0.0327828,0.245188,33,0.00991962,0.213331
5,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.722896,0.0262019,0.424418,51,0.00597542,0.603664,0.0868754,0.231884,63,0.00763101,0.286384
6,0.43939393939393945,0.29166666666666663,0.4439252336448598,0.4492753623188406,0.6833466773418735,0.35624999999999996,0.21010101010101012,0.84856,0.0197537,0.23519,23,0.00817166,0.818787,0.0336958,0.138585,65,0.00155983,0.393979
7,0.7626262626262627,0.40494791666666663,0.3551401869158879,0.5246376811594202,0.6622631438484121,0.125,0.09090909090909094,0.798221,0.0206639,0.422584,60,0.00308521,0.284652,0.0878165,0.487922,37,0.00954382,0.0456108
8,0.7626262626262627,0.40234375,0.44859813084112155,0.4521739130434783,0.669602348545503,0.125,0.09090909090909094,0.811252,0.038796,0.464743,87,0.00257101,0.838272,0.0281392,0.0990515,17,0.00595551,0.138116
9,0.2727272727272727,0.31770833333333337,0.383177570093458,0.4260869565217391,0.4835868694955965,0.6375,0.18888888888888888,0.943327,0.0682624,0.0143393,3,0.00490525,0.0211233,0.0152971,0.448627,51,0.000780463,0.363832
10,0.2727272727272727,0.19661458333333337,0.40654205607476634,0.35942028985507246,0.5495062716840139,0.725,0.304040404040404,0.92006,0.0474532,0.0586277,89,0.0039211,0.343703,0.0967995,0.494291,3,0.00881099,0.179816
11,0.7626262626262627,0.52734375,0.3551401869158879,0.5014492753623188,0.4767814251401121,0.125,0.09090909090909094,0.768206,0.0897021,0.353226,83,0.00681984,0.887499,0.022948,0.12468,49,0.00182503,0.226412
12,0.2727272727272727,0.41276041666666663,0.42056074766355145,0.42028985507246375,0.08580197491326391,0.54375,0.0828282828282828,0.970104,0.0689694,0.015306,87,0.00701573,0.207683,0.0714839,0.233586,14,0.00237909,0.106767
13,0.31313131313131315,0.27473958333333337,0.397196261682243,0.255072463768116,0.42540699226047507,0.73125,0.2797979797979798,0.94591,0.0498453,0.175656,42,0.00279962,0.121748,0.0283733,0.368573,72,0.00226732,0.345478
14,0.7626262626262627,0.5286458333333333,0.4252336448598131,0.5014492753623188,0.5651187616760075,0.125,0.09090909090909094,0.76997,0.0665291,0.0421091,70,0.00835576,0.593022,0.0905092,0.461,57,0.00980464,0.0864046
15,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.7229783827061649,0.125,0.09090909090909094,0.747691,0.0108734,0.440584,47,0.00984231,0.871329,0.0504934,0.404718,38,0.00758808,0.0930268
16,0.7626262626262627,0.47265625,0.5233644859813085,0.5217391304347826,0.5631171603949827,0.24375000000000002,0.2525252525252525,0.827416,0.0932509,0.00316747,7,0.00264419,0.7494,0.0477952,0.219268,48,0.00550773,0.128726
17,0.24747474747474751,0.26822916666666663,0.37850467289719625,0.3710144927536232,0.5527088337336536,0.7875,0.2898989898989899,0.912158,0.0543474,0.149027,22,0.00904568,0.411525,0.0308868,0.322162,68,0.00452197,0.234594
