max_value,0.7626262626262627,0.7122395833333333,0.5841121495327103,0.5797101449275363,0.8035761942887644,0.7625,0.3424242424242424
clusters_found,1,2,3,1,10,9,9
index_set,0,135,193,0,259,37,204
mean_value,0.5106363636363637,0.4236875,0.4139065420560748,0.44704347826086954,0.3756180944755804,0.34955,0.15615151515151515

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.715153,0.0794996,0.0299269,15,0.00241072,0.181055,0.0925607,0.224799,87,12.7274,0.202444
1,0.7626262626262627,0.5494791666666667,0.49065420560747663,0.47536231884057967,0.5705898051774754,0.25,0.23333333333333328,0.831016,0.0607105,0.252935,94,0.000181549,0.0803448,0.0135978,0.204612,13,8.32128,0.0550302
2,0.28787878787878785,0.37760416666666663,0.44859813084112155,0.41159420289855075,0.10408326661329059,0.7,0.1454545454545455,0.918028,0.0690289,0.394692,90,0.00356526,0.978895,0.0503976,0.290688,83,3.54239,0.103946
3,0.3282828282828283,0.30078125,0.4439252336448598,0.4521739130434783,0.10408326661329059,0.56875,0.2535353535353535,0.914078,0.0927723,0.0964335,10,0.00997476,0.865466,0.0960752,0.470576,36,4.57923,0.105375
4,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.705228,0.0122483,0.0722558,70,0.00891228,0.197515,0.0321709,0.110692,75,4.14558,0.374982
5,0.398989898989899,0.34895833333333337,0.43457943925233644,0.518840579710145,0.10408326661329059,0.55625,0.17272727272727273,0.907188,0.0994629,0.23576,34,0.0049169,0.514054,0.088424,0.310523,73,11.7179,0.0703617
6,0.4292929292929293,0.29817708333333337,0.46261682242990654,0.4608695652173913,0.5286896183613558,0.6625,0.25757575757575757,0.861494,0.0592387,0.255977,42,0.00829448,0.0842963,0.0543248,0.270241,10,7.48425,0.145172
7,0.7626262626262627,0.5221354166666667,0.5046728971962617,0.5565217391304348,0.710968775020016,0.125,0.09090909090909094,0.807397,0.0603652,0.113805,58,0.00842809,0.896596,0.0396092,0.185725,96,3.19499,0.161834
8,0.7626262626262627,0.43489583333333337,0.48130841121495327,0.5217391304347826,0.6658660261542567,0.125,0.09090909090909094,0.795798,0.0175083,0.224464,1,0.0087666,0.860335,0.0306765,0.456148,70,5.69851,0.168506
9,0.7626262626262627,0.41276041666666663,0.40654205607476634,0.4318840579710145,0.6366426474512943,0.125,0.16666666666666663,0.825269,0.058686,0.432477,86,0.00314895,0.426036,0.0720095,0.351739,8,7.45508,0.346992
10,0.7626262626262627,0.35416666666666663,0.3551401869158879,0.45797101449275357,0.737256471844142,0.125,0.09090909090909094,0.786666,0.0190278,0.208154,35,0.00922296,0.800681,0.0674712,0.0638221,99,4.90274,0.38514
11,0.2828282828282829,0.3203125,0.43457943925233644,0.4405797101449276,0.2875633840405658,0.7375,0.3090909090909091,0.921511,0.0497462,0.422474,43,0.00700956,0.345271,0.0781982,0.0873789,73,7.99247,0.150818
12,0.4292929292929293,0.2890625,0.4112149532710281,0.47246376811594204,0.5300240192153722,0.68125,0.304040404040404,0.883925,0.0112707,0.314657,44,0.00220977,0.403302,0.086676,0.00338196,51,9.48841,0.367574
13,0.3282828282828283,0.27083333333333337,0.383177570093458,0.4405797101449276,0.6567921003469442,0.68125,0.2919191919191919,0.873223,0.0347127,0.420296,41,0.00753039,0.34543,0.0631573,0.177026,28,11.5667,0.27976
14,0.7626262626262627,0.5611979166666667,0.3551401869158879,0.5014492753623188,0.6976247664798505,0.125,0.09090909090909094,0.785141,0.0142074,0.497952,68,0.000398725,0.93499,0.0900087,0.222216,18,13.8553,0.189099
15,0.29292929292929293,0.32552083333333337,0.383177570093458,0.3652173913043478,0.655324259407526,0.59375,0.2666666666666667,0.896085,0.0351818,0.0625921,16,0.00860989,0.289264,0.0493595,0.30006,66,3.8186,0.0750061
16,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5420289855072464,0.10408326661329059,0.125,0.09090909090909094,0.765572,0.0883355,0.270462,2,0.00508069,0.606858,0.0943139,0.207983,23,13.0849,0.042336
17,0.14141414141414144,0.13802083333333337,0.44859813084112155,0.336231884057971,0.5801974913263945,0.66875,0.2535353535353535,0.968253,0.0267801,0.496621,64,0.00849583,0.452591,0.0561871,0.195509,68,10.8185,0.249369
18,0.23737373737373735,0.30078125,0.4719626168224299,0.48985507246376814,0.10408326661329059,0.4625,0.16161616161616166,0.926124,0.0860803,0.0605189,100,0.00881302,0.132813,0.0458655,0.337074,21,3.77295,0.0227425
19,0.26262626262626265,0.19270833333333337,0.47663551401869164,0.33333333333333337,0.10034694422204427,0.54375,0.14242424242424245,0.967337,0.0564569,0.411371,21,0.00231279,0.811462,0.0629253,0.407129,5,10.7568,0.014151
20,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.46837469975980783,0.125,0.09090909090909094,0.76343,0.0812431,0.417018,95,0.00160117,0.00952799,0.0806248,0.0913376,16,13.8043,0.094805
21,0.7626262626262627,0.6510416666666667,0.5,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.73128,0.0368577,0.167798,33,0.00749512,0.486981,0.0677191,0.049771,37,3.0891,0.287102
22,0.4444444444444444,0.31770833333333337,0.4672897196261683,0.47246376811594204,0.10408326661329059,0.39375000000000004,0.28181818181818186,0.851858,0.0999399,0.100889,48,0.00669916,0.209912,0.0272096,0.367734,9,10.8525,0.351589
23,0.7626262626262627,0.5169270833333333,0.3551401869158879,0.5072463768115942,0.5459033893781692,0.125,0.09090909090909094,0.785699,0.0737132,0.202696,78,0.000339025,0.27669,0.074267,0.232428,57,11.7605,0.222469
24,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.702628,0.0930313,0.103425,31,0.00385419,0.112834,0.0683374,0.234502,54,8.02423,0.0840119
25,0.7626262626262627,0.53125,0.3551401869158879,0.45507246376811594,0.7189751801441153,0.125,0.1575757575757576,0.80262,0.0280333,0.457687,94,0.000272228,0.333786,0.078472,0.085297,40,5.39088,0.153957
26,0.2222222222222222,0.28125,0.4392523364485982,0.4608695652173913,0.10341606618628241,0.65,0.09090909090909094,0.936673,0.08405,0.32744,77,0.00142345,0.0918757,0.0984846,0.241524,26,8.45829,0.348604
27,0.7626262626262627,0.53125,0.3551401869158879,0.5101449275362319,0.5575126768081131,0.125,0.09090909090909094,0.776837,0.0872152,0.395548,64,0.00421659,0.160603,0.0625184,0.167908,64,8.14178,0.220438
28,0.7626262626262627,0.42317708333333337,0.4252336448598131,0.5014492753623188,0.6886842807579396,0.125,0.09090909090909094,0.816194,0.03007,0.434125,67,0.00566925,0.924061,0.0187239,0.463558,24,8.04044,0.289737
29,0.297979797979798,0.32421875,0.383177570093458,0.43768115942028984,0.5427008273285294,0.66875,0.25757575757575757,0.897268,0.0327443,0.459309,51,0.00821981,0.316361,0.0490067,0.193587,96,10.9331,0.0787045
30,0.5808080808080809,0.359375,0.485981308411215,0.47246376811594204,0.6981585268214572,0.125,0.15353535353535352,0.819023,0.0591326,0.499222,53,0.00578705,0.3691,0.0914678,0.0577232,50,14.4597,0.297433
31,0.7626262626262627,0.41276041666666663,0.4719626168224299,0.4782608695652174,0.30784627702161727,0.125,0.23333333333333328,0.831911,0.0957767,0.460138,80,0.00787273,0.157033,0.0966098,0.2057,12,5.9757,0.01157
