max_value,0.8266613290632506
clusters_found,10
index_set,369
mean_value,0.5605906058179877

experiment,pendigits_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.29143314651721375,0.817366,0.077525,0.394218,72,0.00238486,0.846441,0.0698054,0.342784,90,11.219,0.273348
1,0.20362957032292506,0.857308,0.0971848,0.268939,18,0.00552621,0.192166,0.0393586,0.186946,12,7.43703,0.306393
2,0.20149452895649855,0.870176,0.0753202,0.42586,69,0.00538778,0.497645,0.0597321,0.184021,20,7.48379,0.114158
3,0.6760074726447824,0.810668,0.0121908,0.377074,40,0.00527797,0.139171,0.0371052,0.183621,60,10.5239,0.190283
4,0.7244462236455831,0.805464,0.0589954,0.404538,93,0.00480624,0.13626,0.0572554,0.222613,25,12.457,0.338608
5,0.6654657058980518,0.874666,0.0359259,0.467386,81,0.0048903,0.0406229,0.0522874,0.160598,34,8.71463,0.267916
6,0.6836135575126768,0.824714,0.0430359,0.0791543,12,0.00141974,0.677285,0.0995538,0.407781,49,7.54034,0.122316
7,0.10408326661329059,0.875666,0.0745823,0.470747,43,0.00772795,0.277976,0.0230611,0.330208,37,11.4121,0.111175
8,0.6067520683213237,0.818356,0.0143552,0.226548,32,0.00610618,0.144114,0.047495,0.129396,28,5.37961,0.187877
9,0.5080064051240993,0.819785,0.0831904,0.391086,3,0.00945134,0.588746,0.0779222,0.373398,2,5.94699,0.124574
10,0.8098478783026422,0.826404,0.0485568,0.0255704,11,0.00513995,0.391422,0.0876647,0.434871,32,3.48198,0.336787
11,0.3988524152655458,0.843669,0.0954206,0.0532238,16,0.000121243,0.899536,0.0331886,0.324834,32,3.06643,0.243797
12,0.7119028556178275,0.819668,0.0390403,0.476182,32,0.00326903,0.356492,0.0759638,0.406444,70,5.54041,0.281602
13,0.6917534027221777,0.834516,0.0352427,0.0542942,90,0.0035857,0.435346,0.0429934,0.363022,92,9.18894,0.246796
14,0.39204697091006135,0.827344,0.0910082,0.221232,79,0.00263424,0.152001,0.0892917,0.0204162,5,12.3859,0.163773
15,0.617827595409661,0.832992,0.0706732,0.197461,28,0.00764428,0.0893864,0.0874537,0.192433,15,7.13639,0.284667
16,0.5591139578329329,0.831478,0.0724587,0.274572,71,0.00412076,0.477753,0.0150999,0.0789085,83,8.97441,0.352365
17,0.770483053109154,0.821533,0.0600827,0.13383,5,0.00368002,0.52901,0.0415824,0.331227,8,5.27232,0.322934
18,0.5360288230584467,0.845437,0.0722117,0.384637,35,0.000678456,0.341554,0.0742086,0.105854,86,12.065,0.140265
19,0.5346944222044302,0.854033,0.0113257,0.195189,93,0.00937849,0.98166,0.0266338,0.461962,25,4.26335,0.0127059
20,0.6849479583666933,0.870417,0.0483475,0.232309,7,0.00286386,0.835872,0.0433949,0.180224,62,7.30346,0.049441
21,0.7018948492127035,0.850619,0.0428709,0.065482,37,0.00573575,0.166513,0.0929701,0.481103,90,5.75086,0.195404
22,0.6199626367760875,0.867702,0.0456237,0.127961,50,0.00386523,0.589664,0.0333611,0.383175,77,14.9837,0.0500106
23,0.6390445689885241,0.812599,0.0177274,0.477555,39,0.00411442,0.934016,0.0334237,0.453068,18,9.23664,0.327755
24,0.6210301574593008,0.846667,0.0141932,0.0869713,39,0.000511863,0.247738,0.0975611,0.38145,86,12.0938,0.233563
25,0.2061649319455564,0.81468,0.0950084,0.283318,55,0.000356317,0.236753,0.0100752,0.414845,12,12.7707,0.0222643
26,0.7188417400587137,0.827065,0.0471509,0.254962,1,0.00454967,0.875619,0.0349398,0.433639,84,7.90236,0.160967
27,0.3638911128903123,0.862284,0.0715308,0.324296,42,0.00907115,0.893343,0.0283395,0.164945,21,9.38698,0.374416
28,0.7323191886842808,0.811921,0.0262143,0.0840291,25,0.00889739,0.774162,0.0294239,0.486665,93,3.56722,0.35388
29,0.6462503336002134,0.831597,0.0420837,0.185115,22,0.00858312,0.437774,0.0259908,0.32578,29,12.1131,0.0704514
30,0.5463037096343741,0.824121,0.074977,0.313741,91,0.00230343,0.856315,0.0383769,0.302646,45,13.0303,0.333116
31,0.20643181211635975,0.828711,0.0902076,0.457046,92,0.00176472,0.633998,0.0859442,0.339225,84,5.73211,0.235303
32,0.7692820923405391,0.800516,0.0397376,0.43715,6,0.00440204,0.617157,0.0539174,0.49929,40,4.99866,0.348774
33,0.6969575660528422,0.815104,0.0516646,0.246391,62,0.00727586,0.385838,0.0851856,0.473124,63,5.97874,0.0659976
34,0.3921804109954631,0.838622,0.0918233,0.342029,36,0.00662697,0.75691,0.0269604,0.0421987,46,3.6201,0.0403101
35,0.4907926341072858,0.815756,0.0855886,0.348106,33,0.0087653,0.736561,0.0978122,0.240764,62,13.8539,0.291735
36,0.5014678409394182,0.810418,0.0756587,0.216206,44,0.00250115,0.417508,0.0404743,0.154989,93,11.3038,0.0115172
37,0.6886842807579396,0.861209,0.0387021,0.409552,46,0.00776553,0.457324,0.016161,0.420801,90,5.82788,0.142553
38,0.6164931945556444,0.804609,0.0617017,0.321582,72,0.00665908,0.984237,0.0258235,0.0826332,95,10.5002,0.381598
39,0.39831865492393914,0.827016,0.0785005,0.42286,72,0.0080292,0.541776,0.0747546,0.271443,26,13.3809,0.107886
40,0.6251668001067521,0.878341,0.0232144,0.307953,46,0.000754674,0.99337,0.0896962,0.304267,31,8.41367,0.245346
41,0.2954363490792634,0.83581,0.0965647,0.335989,79,0.00212964,0.416542,0.0971434,0.0229344,31,10.7539,0.322399
42,0.4426207632772885,0.86649,0.0743003,0.46139,84,0.000543612,0.450808,0.0948588,0.10797,53,6.33183,0.321204
43,0.6990926074192687,0.8219,0.0490175,0.287093,74,0.0010042,0.390909,0.0672736,0.217289,95,10.5796,0.135422
44,0.6941553242594075,0.866376,0.0357405,0.375079,70,0.00520782,0.803148,0.0438718,0.353653,24,5.35017,0.179544
45,0.5298905791299706,0.816999,0.0660031,0.200841,65,0.00601548,0.568705,0.0848,0.115923,55,14.8753,0.100398
46,0.6948225246864158,0.850974,0.0220543,0.458468,96,0.00784628,0.44865,0.0557326,0.384232,15,14.133,0.382842
47,0.5756605284227382,0.820869,0.0920246,0.165336,3,0.00871591,0.316384,0.0464155,0.413807,98,10.589,0.136953
48,0.7271150253536163,0.835052,0.0289773,0.311799,66,0.00906456,0.130076,0.0302989,0.411851,59,5.77271,0.382676
49,0.5939418201227649,0.818814,0.0100783,0.350648,35,0.00806536,0.0735189,0.0320626,0.465819,92,11.3868,0.0247231
50,0.5611155591139578,0.869115,0.068002,0.332286,37,0.00815536,0.303402,0.0589652,0.377709,28,4.19482,0.29381
51,0.7259140645850013,0.801656,0.0619629,0.0628659,68,0.000116175,0.878364,0.0585297,0.112152,24,9.42104,0.0550565
52,0.5564451561249,0.863507,0.0243748,0.392636,66,0.00408985,0.853259,0.0169879,0.449102,82,13.4963,0.30046
53,0.3801708033093141,0.857505,0.0978442,0.431067,4,0.00242095,0.816967,0.0774109,0.268998,95,3.16886,0.315733
54,0.5581798772351214,0.807799,0.0654745,0.489221,99,0.00576104,0.108324,0.0768561,0.0700176,36,14.7708,0.338377
55,0.5568454763811048,0.83236,0.0280309,0.452062,98,0.00624699,0.151661,0.0239407,0.0324155,69,10.7927,0.145143
56,0.39618361355751264,0.867537,0.0931681,0.227624,5,0.00500713,0.98927,0.0493086,0.191089,13,9.35866,0.208677
57,0.2946357085668535,0.856997,0.0961209,0.260723,23,0.00948367,0.702535,0.0960298,0.453583,22,8.14308,0.114555
58,0.36162263143848417,0.816281,0.0814366,0.287924,44,0.00543812,0.938686,0.0106258,0.467874,84,5.55829,0.123315
59,0.5416333066453163,0.874859,0.024492,0.281696,55,0.00400477,0.7772,0.0629345,0.0213101,94,14.5795,0.166066
60,0.6965572457966374,0.806227,0.0419605,0.40736,2,0.00109443,0.17895,0.0268701,0.290668,43,5.48877,0.152492
61,0.6094208700293569,0.834568,0.0579573,0.115593,36,0.00695125,0.804762,0.0190469,0.284015,33,14.3052,0.0632284
62,0.3808380037363224,0.806398,0.0945209,0.242065,48,0.00503027,0.029082,0.0499857,0.469595,79,5.90553,0.355554
63,0.691619962636776,0.817682,0.0647251,0.349992,67,0.00293587,0.699277,0.0628137,0.292011,73,6.70629,0.105984
64,0.20576461168935145,0.844105,0.0916956,0.315929,87,0.00444542,0.234352,0.0455429,0.260747,85,5.8855,0.0930089
65,0.3893781692020283,0.85831,0.0872176,0.0967615,75,0.0019068,0.214519,0.0604816,0.47626,7,14.3621,0.358804
66,0.8045102748865759,0.827465,0.0514909,0.208906,7,0.00183254,0.455848,0.0610041,0.484586,38,3.74965,0.345886
67,0.6262343207899653,0.848736,0.0690157,0.484455,5,0.00606971,0.561917,0.0684055,0.0103937,79,12.8857,0.345212
68,0.7123031758740326,0.840955,0.0299307,0.445972,25,0.00845439,0.576154,0.0704099,0.402859,1,5.80065,0.118475
69,0.2939685081398452,0.833321,0.0936466,0.474135,64,0.00730632,0.0956786,0.0696339,0.0953465,34,11.9074,0.329527
70,0.6132906325060048,0.868413,0.0492395,0.412988,95,0.00427509,0.995142,0.0450484,0.00632606,95,4.21237,0.0728636
71,0.6094208700293569,0.839643,0.0109861,0.267152,60,0.00591904,0.573205,0.0220251,0.219802,41,10.0277,0.310625
72,0.2951694689084601,0.860803,0.0903145,0.0390126,45,0.00145615,0.762324,0.0178081,0.0817403,54,7.97449,0.257903
73,0.6334400854016546,0.855717,0.0256539,0.00480222,12,0.00704686,0.482517,0.0406993,0.224012,51,13.5718,0.333995
74,0.6918868428075794,0.853809,0.0197824,0.495537,13,0.00598465,0.85946,0.0307866,0.0472878,37,4.50241,0.397177
75,0.7204430210835335,0.84829,0.0307789,0.205661,18,0.00399618,0.580456,0.0917534,0.371854,68,3.68326,0.3855
76,0.6522551374432879,0.86513,0.0127754,0.0990211,46,0.00333283,0.929811,0.0167687,0.0610173,94,13.4824,0.386555
77,0.6167600747264479,0.810075,0.069094,0.0329303,8,0.00128541,0.343734,0.0662438,0.276721,42,5.14563,0.0365423
78,0.2946357085668535,0.811658,0.0998085,0.317876,49,0.0028441,0.788223,0.0418846,0.0639255,67,5.17079,0.139894
79,0.3803042433947158,0.82338,0.0807088,0.346939,98,0.000823062,0.961611,0.015449,0.209611,56,3.54104,0.36995
80,0.6218307979717107,0.837522,0.0119652,0.00703887,56,0.00225483,0.943183,0.0787839,0.24605,34,11.9449,0.0482922
81,0.6506538564184681,0.850734,0.0700505,0.162246,10,0.000288684,0.977086,0.0797148,0.0604617,83,4.93531,0.36884
82,0.8014411529223379,0.810925,0.0454003,0.357667,68,0.00374404,0.849691,0.0754938,0.054202,68,9.8025,0.375434
83,0.7336535895382973,0.822307,0.0537304,0.218775,25,0.00505595,0.80761,0.0850586,0.199903,18,10.5488,0.0741947
84,0.6055511075527089,0.830084,0.0683196,0.100316,55,0.00241213,0.168968,0.0586045,0.0235313,79,8.59933,0.29061
85,0.10408326661329059,0.865902,0.0884266,0.0647554,68,0.00107359,0.679799,0.0539646,0.285357,90,9.63473,0.317963
86,0.7639444889244729,0.844779,0.0614266,0.175551,24,0.00981244,0.844518,0.0888482,0.0503937,72,6.65678,0.139328
87,0.5561782759540966,0.818951,0.0622785,0.261935,78,0.00156598,0.798587,0.0862161,0.0555939,80,13.3134,0.113466
88,0.3759007205764612,0.844548,0.0847571,0.0233892,77,0.00757448,0.406564,0.0506541,0.243263,99,13.1932,0.373916
89,0.7089671737389912,0.851394,0.04443,0.00998372,53,0.00555079,0.789381,0.0304447,0.436545,56,7.80603,0.204643
90,0.6865492393915131,0.814503,0.0182467,0.00888276,37,0.00856245,0.594368,0.0520027,0.0805698,75,12.9376,0.217621
91,0.6247664798505471,0.847036,0.0310411,0.452796,20,0.00589392,0.462789,0.0564935,0.458128,46,14.1651,0.143536
