max_value,0.9318317422434368,0.9955563151598017,0.9945753517545347,0.9974229018125591,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,0.9991978045176272,0.9905701562909281,0.9986228084114624,0.9986328421692238,0.9995864106351551,0.9997110174593619,0.9312760882528325,0.8536918869644485,0.8079087214754611,0.7478207677014834,0.7401662049861496,0.6797645125958379
clusters_found,10,10,10,10,10,10,10,10,10,16,58,10,10,10,10,10,10,9,8,8,8,9
index_set,49,85,85,14,85,7,7,49,313,158,143,85,248,85,248,248,49,301,401,370,264,264
mean_value,0.49412378793608547,0.5566026082908064,0.606669007990407,0.6729682531238881,0.7242381160544937,0.7415138435096482,0.7533099425221501,0.6619819484086049,0.487193021281944,0.3414858452092247,0.1760193727993228,0.692782210671803,0.7095889692905594,0.6965925102054364,0.6811357657360299,0.663645873851517,0.49488650253434424,0.4776241092379431,0.4204787099735181,0.37306819130453156,0.3261563317908511,0.2876375636377896

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.18532607041782057,0.22595473147268175,0.21405377795614577,0.27024127378905916,0.28171249915304275,0.32632089974917067,0.45940563004783186,0.1946829534226039,0.07214576088553659,0.042243839861202725,0.02196474663442627,0.26764114125033334,0.26020108894424854,0.28923879029197763,0.2621593762810078,0.22790807475239916,0.16487532826163465,0.17939292996008382,0.14443258626823197,0.15376095303731419,0.11027613658675905,0.09359455115940918,0.903279,0.00533364,0.4502,91,0.000296009,0.0470297,0.0439789,0.351951,44,13.6714,0.222402
1,0.41448308718437354,0.5522897506399924,0.5065181731848398,0.7402377992413376,0.7795981125072902,0.7856035586708904,0.7551362359188514,0.7426380464502341,0.6345718901453958,0.7117100820067535,0.24917086935006683,0.7614605007047452,0.6929466681368766,0.6782039047790989,0.7743323340275077,0.7860970667878582,0.4146241830065359,0.46751983236042505,0.435845356492506,0.3037650910579087,0.2750494862852295,0.2567879098360656,0.939754,0.0156211,0.0721753,94,0.00630525,0.0357766,0.0476998,0.0531324,6,10.3495,0.366861
2,0.5206522713018547,0.6902885583930793,0.7030276401981147,0.8971565445835266,0.776284877121664,0.9484905199772153,0.9607110061655516,0.8610260894913278,0.8103051679190308,0.8695688020446863,0.697387827340959,0.7364938558859886,0.9251189950439178,0.7654421610292833,0.8624152520772799,0.7895389350832567,0.5200858906683368,0.5291458706092853,0.48919290860519715,0.40693844690038794,0.4553504302063319,0.4845512056477491,0.955414,0.0292435,0.12814,8,0.00474105,0.0653575,0.0103495,0.403376,52,11.629,0.0686444
3,0.343180584632085,0.3501625621286296,0.4699903618680452,0.485208654824835,0.5881111414595386,0.6375953209446954,0.7013487840149718,0.4343890381272715,0.05758719416970326,0.05693998585341964,0.031127435721845287,0.5558306681797861,0.6242368244650978,0.6093012948364833,0.5175156848889746,0.4655351859895266,0.3532549234135668,0.3426226970119214,0.3430009767826283,0.3445543059853574,0.31665619984648663,0.2944273448890329,0.912893,0.077172,0.296773,25,0.00471629,0.0507633,0.0174095,0.161634,66,11.4757,0.299496
4,0.3551449687322342,0.3592020472975056,0.49115414666815493,0.5638871351561362,0.6906042317356691,0.74289356277884,0.7633018917087915,0.4552986512524084,0.3629334947677938,0.27201832774498946,0.03263607490964848,0.6178857360710202,0.6176653671002195,0.6595435164283923,0.6061952451762008,0.5445470524962615,0.35609644872598756,0.3401364444189646,0.3350203542743976,0.35956997504319443,0.3273860282059692,0.3020492030876881,0.9121,0.0399779,0.471559,82,0.00671209,0.0624946,0.0183376,0.40807,76,4.39833,0.353615
5,0.5424256577923089,0.4215512137359384,0.353161752173172,0.5453449315304453,0.5492042981501633,0.42793411118737135,0.3402972167224233,0.33525179856115106,0.01762632197414804,0.011217002614489324,0.0,0.34517408550022033,0.30790855566753306,1.1407494724036127E-4,0.32048705520747134,0.5314720689904368,0.6290198492075704,0.3076682316118936,0.4741123103394338,0.3921811976419485,0.40143862871135594,0.2994560994560994,0.97758,0.094549,0.316699,38,0.00974966,0.0163104,0.0358089,0.281652,58,11.2139,0.27023
6,0.40753543034911854,0.43777550202591387,0.49740103958416637,0.6078986481704296,0.6830343189348003,0.675186201489612,0.6814875203812869,0.6205286063050632,0.07052896725440805,0.06306880232981438,0.03906870795147532,0.7069581490302824,0.6746511854815104,0.7020884632922937,0.6262032497368895,0.640519700010563,0.410443864229765,0.4065867747219588,0.4085409252669039,0.38127215071814957,0.35998591053187745,0.3563950444948526,0.927861,0.0828545,0.284274,21,0.000913764,0.0670658,0.0205349,0.430679,22,5.077,0.357125
7,0.7940927077444884,0.9260731319554849,0.9656023699802502,0.8773068172242353,0.9899017099771106,0.9978597722797705,0.9987044865675713,0.987628521273928,0.8178206103643588,0.008278425409697587,0.0,0.9512031525111092,0.830635216330386,0.9888688327316486,0.8127268970809598,0.8092740091921938,0.7938683243854197,0.7037363930567815,0.6793023926203516,0.49351651744365543,0.49366893143916,0.30921766072811774,0.980732,0.0565416,0.492402,97,0.00478547,0.0796761,0.0403227,0.167817,69,8.7308,0.352897
8,0.33652751991375696,0.29636988050974933,0.37154699385347245,0.4522711451444483,0.5992642049325521,0.6581831926420563,0.7176636491834599,0.42563039584633033,0.27163009819230866,0.1807876396003023,0.02890618977877124,0.47412643059423787,0.5027600736019627,0.4963645019584082,0.4804131082423039,0.4546204214257582,0.3358035020617941,0.3335561050591459,0.3274835276229092,0.2790075768830783,0.2905050048068767,0.30336027790767583,0.904616,0.0464669,0.421349,71,0.00188337,0.0203208,0.0139592,0.387625,65,14.5078,0.0223436
9,0.34497789783889976,0.3289009344738997,0.4386214114832536,0.4831512897978155,0.6369641967553987,0.7001441614608361,0.7508586661198544,0.40472030966327543,0.3290749641622397,0.1925405985479791,0.031860662701784226,0.5355433949295476,0.544208065121381,0.5894662797854568,0.5413067127407691,0.48794047814946284,0.34597623299057945,0.34728059332509276,0.3450626381724392,0.31983377940555,0.32292703740577444,0.33590387374461983,0.907072,0.049161,0.16994,69,0.0059682,0.00894846,0.0268243,0.485209,96,11.97,0.289982
