max_value,0.9423744154472771,0.999313775947847,0.9957569585879158,1.0,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,1.0,0.9978889963937022,1.0,0.9988604421484464,1.0,1.0,0.9736596009975063,0.9450832072617247,0.9541171018075081,0.7454545454545455,0.6680868609125894,0.6185867895545315
clusters_found,10,10,10,10,10,10,10,10,10,11,42,10,10,10,10,10,10,10,10,8,9,8
index_set,87,256,54,54,43,9,6,11,49,95,38,407,54,54,95,95,256,34,238,423,316,81
mean_value,0.6777275428865657,0.7164485649525084,0.7330434097981445,0.7624722402386697,0.7889816528779316,0.8007810595936847,0.8076632085759942,0.7814935196767288,0.6506790230785836,0.48033846100220007,0.2886328058813257,0.7518331077209098,0.7792303094363442,0.7570665419972017,0.7551438917150113,0.7561956163009023,0.6689085827138048,0.6159369511254603,0.49180970638521665,0.3691272470718319,0.2607806148552431,0.18564920581742975

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.6436951696438009,0.5869121724119893,0.4036716908350596,0.39812748353383054,0.7174280879864636,0.5669776447808484,0.6297675224035673,0.4027670482477702,0.7126048354889251,0.647610554154622,0.7565936138834586,0.47484353771798926,0.733331956804526,0.5832477334643383,0.7771958004516144,0.5702374329494021,0.5252033958259639,0.6861971830985916,0.26380477377983613,0.25110315544084594,0.1643277071875593,0.1177286920319186,0.992587,0.00421702,0.385978,27,0.00013558,0.0709273,0.0117254,0.398351,16,12.7186,0.121961
1,0.659816815406294,0.8464724260698976,0.7768117221290494,0.9001472982401737,0.7428426653154294,0.9032158078264239,0.8964271103231966,0.8130237564388406,0.9573482817450646,0.8924597276342747,0.9987339635381499,0.8276792879550594,0.7092464598786243,0.9003629391220982,0.8138740559003224,0.9624417499362438,0.7317359031123845,0.5642979114672271,0.633234859675037,0.4736658932714617,0.3698443048347446,0.21835943111621892,0.991559,0.0198548,0.333379,56,0.00138568,0.0877448,0.042918,0.218969,48,9.12232,0.123864
2,0.6477839741708248,0.7083367556468172,0.6332068203704753,0.6363792954956506,0.7410811177428107,0.7377792997174899,0.6887417218543046,0.7421921286500212,0.2046291202978886,0.1266627128696094,0.11104100946372242,0.7325694138386954,0.8107150412523799,0.8114741641337386,0.6010757772786381,0.730349529063185,0.7132486388384756,0.6000311866521129,0.4194393099199014,0.39612403100775195,0.4901626646010845,0.3318925594319234,0.983557,0.0756931,0.336446,27,0.00852968,0.0926276,0.0136369,0.165515,65,6.91424,0.0176104
3,0.6480659480025365,0.6178019222732971,0.8070980743394537,0.6363792954956506,0.7410811177428107,0.6338366506520248,0.7409654984317469,0.7421921286500212,0.06761325219743075,6.777363605557918E-4,0.0,0.7311648351648352,0.7335172121147828,0.7318983875874658,0.734365764274737,0.730349529063185,0.6488888888888888,0.5157619560202984,0.5333228048010108,0.36098689282960683,0.39062994618550173,0.002233567326100805,0.985774,0.0865297,0.0617946,34,0.00540685,0.0854416,0.0329925,0.112701,66,5.42959,0.0962635
4,0.7567097415506958,0.7800991027186286,0.8195751927716542,0.8464370329870603,0.957977718418138,0.8836595757584946,0.8367801645338209,0.8655043586550436,0.8588608286870012,0.9742468014857615,0.9379731282945583,0.7076232333133082,0.7470676810905057,0.9503089877489068,0.9517326732673267,0.6954649779698783,0.7121523027815777,0.5983454881898335,0.32810830067687924,0.3975026014568158,0.2348289218850872,0.20920972907469926,0.985957,0.0109111,0.114674,47,0.00160736,0.0486809,0.0274111,0.282986,27,3.01759,0.262628
5,0.7151956323930846,0.799869834038399,0.8306559571619813,0.8398286937901499,0.9200487837929399,0.9192706103929458,0.6381511572335632,0.842721225898796,0.743041412084182,0.007394262052647149,0.0,0.8098585361567525,0.9132436912875299,0.8114741641337386,0.734365764274737,0.730349529063185,0.7153041104201425,0.7634106694251515,0.6737991919796499,0.3918683752570796,0.4933271260086902,0.29908890983349046,0.983859,0.0684467,0.446731,11,0.00372002,0.0570346,0.0114528,0.113384,1,3.39834,0.256707
6,0.7928176795580111,0.7342062749766176,0.789079775472019,0.8896009570195677,0.9974561611776278,0.8694461090660046,0.9987044865675713,0.8721766348024702,0.8202475835170426,0.8176912049919892,0.0,0.8465176268271711,0.8501981505944518,0.8914893617021277,0.8917069718060635,0.8887418493299006,0.8559025133282558,0.6875580315691736,0.4855572998430141,0.19540047581284692,0.1810003049710277,0.1501332079611346,0.989978,0.0517974,0.299333,49,0.000362102,0.0430975,0.0473737,0.461923,49,5.65438,0.140596
7,0.14417129262490092,0.12858724346419148,0.15391170956195666,0.25837567823615537,0.2661180631120783,0.25780713795470145,0.2624655788443595,0.09793597304128054,0.12729124236252543,0.12660907859078596,0.0,0.12919896640826878,0.13313531003023393,0.0,0.13328998699609884,0.13260906222147284,0.2882324916626965,0.10939955988682804,0.21188026192703457,0.006038455426664591,0.011419508326724781,0.06408668730650158,0.983485,0.0980031,0.126748,95,0.00782682,0.0213889,0.0308529,0.0419384,51,5.93062,0.0244582
8,0.7639721169132934,0.8005839646464646,0.848731796701707,0.8557950985811682,0.9615799627243894,0.904337031577314,0.9987044865675713,0.9569901182569254,0.9516272308810466,0.9946068930648015,0.9223038594713284,0.9182517199514366,0.9480777450906439,0.9560095979059114,0.9552525338076282,0.8144754654790167,0.8035360865549545,0.8009996054189136,0.7978968596946125,0.5534616412723871,0.4879729919819946,0.43290931473122696,0.98914,0.0253753,0.417946,70,0.00997098,0.0227804,0.0170113,0.111798,78,8.77596,0.269885
9,0.8767358402246841,0.9955563151598017,0.8921851161213765,0.8943389743149214,0.8966267682263329,0.9978597722797705,0.9209736806218465,0.8950486669487939,0.8209436524100475,0.22968736761840214,0.0,0.8117843931654043,0.9200710479573713,0.8920994601171014,0.8936044449698546,0.8895123419626731,0.8767358402246841,0.8763256394260761,0.6922116435149055,0.4868629313073758,0.2957568081063965,0.0,0.99606,0.054012,0.15457,1,0.0099491,0.0190493,0.0238239,0.368559,45,9.10095,0.118404
