max_value,0.772727272727,0.80303030303,0.848484848485,0.833333333333,0.742424242424,0.833333333333,0.833333333333,0.712121212121,0.833333333333,0.76171875,0.72265625,0.7734375,0.74609375,0.73828125,0.73046875,0.7265625,0.75,0.75390625,0.597222222222,0.577464788732,0.577464788732,0.597222222222,0.605633802817,0.647887323944,0.625,0.676056338028,0.647887323944,0.669565217391,0.669565217391,0.739130434783,0.713043478261,0.660869565217,0.678260869565,0.713043478261,0.669565217391,0.713043478261,0.902722177742,0.876301040833,0.885108086469,0.880304243395,0.875900720576,0.864291433147,0.880704563651,0.912730184147,0.879103282626,0.740740740741,0.849056603774,0.88679245283,0.87037037037,0.811320754717,0.77358490566,0.851851851852,0.77358490566,0.792452830189,0.5,0.463636363636,0.481818181818,0.466666666667,0.442424242424,0.454545454545,0.548484848485,0.430303030303,0.454545454545
index_set,147,4,340,376,370,90,47,218,52,177,317,134,312,137,121,416,338,31,33,341,234,192,166,67,205,60,304,400,55,117,147,179,57,299,465,467,23,178,23,103,337,199,18,18,23,54,308,278,390,54,54,265,51,419,432,432,432,168,432,199,268,268,391
num_nodes,8,7,6,7,11,5,5,4,7,10,6,4,5,5,11,8,23,7,7,8,6,18,9,10,14,8,11,8,6,4,7,5,4,3,14,9,31,24,33,33,17,26,19,18,31,11,10,13,12,11,10,15,11,17,37,35,34,24,38,28,42,41,37
num_noisy_samples,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,1,4,4,4,5,1,6,1,0,4,0,0,0,0,0,0,0,1,50,12,50,30,0,66,0,1,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
num_unlabeled_samples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_correct_samples,51,53,56,55,49,55,55,47,55,195,185,198,191,189,187,186,192,193,43,41,41,43,43,46,45,48,46,77,77,85,82,76,78,82,77,82,2255,2189,2211,2199,2188,2159,2200,2280,2196,40,45,47,47,43,41,46,41,42,165,153,159,154,146,150,181,142,150
num_incorrect_samples,15,12,10,11,16,11,11,19,11,60,71,58,64,67,69,64,64,63,28,26,26,25,23,24,21,22,25,34,38,30,33,39,37,33,38,32,193,297,237,269,310,273,298,217,257,14,8,6,7,10,12,8,12,9,165,177,171,176,184,180,149,187,180
mean_value,0.578363636364,0.629575757576,0.618121212121,0.622212121212,0.565818181818,0.612848484848,0.666727272727,0.562303030303,0.618848484848,0.5866953125,0.570109375,0.6161875,0.60184375,0.6013828125,0.5937578125,0.5835078125,0.5893203125,0.613703125,0.380694444444,0.448197183099,0.386422535211,0.406888888889,0.384169014085,0.459943661972,0.410666666667,0.416366197183,0.47,0.524939130435,0.525739130435,0.530452173913,0.546330434783,0.537043478261,0.536260869565,0.508173913043,0.53852173913,0.523686956522,0.404089671737,0.417143314652,0.397735788631,0.403225780624,0.401039231385,0.398804643715,0.401646116894,0.401807045637,0.389580464371,0.604296296296,0.65558490566,0.689735849057,0.674851851852,0.57758490566,0.637773584906,0.689259259259,0.635094339623,0.570566037736,0.243957575758,0.229739393939,0.218593939394,0.224266666667,0.225024242424,0.21976969697,0.235290909091,0.213418181818,0.224563636364
std_value,0.0907956823842,0.0930588514618,0.107444390464,0.109538409129,0.0732186191701,0.106399808068,0.108371259097,0.0817644315571,0.0962859807954,0.102399103103,0.0914758419117,0.105847045947,0.109759219933,0.0896953932027,0.100766478279,0.0878225472539,0.110405422935,0.103159854313,0.092961705367,0.0647098924259,0.067417177847,0.07104912859,0.0745866235763,0.0744343518331,0.075957359897,0.0915717170754,0.0676632068777,0.0758731613367,0.0612977385072,0.0692190984337,0.0670961226695,0.0601788062705,0.0667171518362,0.0767438379444,0.0555779407106,0.0673009926444,0.314825706076,0.313339808168,0.308621664529,0.311011040771,0.319013349656,0.303414410824,0.304899220545,0.312858192401,0.308289067082,0.072005404907,0.095734915599,0.1097629231,0.0853160954095,0.0925212436406,0.0781622265218,0.0775186275472,0.0827242751126,0.10066941246,0.119002061725,0.122188460405,0.108634900449,0.113856810768,0.114270288492,0.110659118904,0.118784546629,0.108089573222,0.108789332855

experiment,test_breast_x1_k1,test_breast_x1_k2,test_breast_x1_k3,test_breast_x2_k1,test_breast_x2_k2,test_breast_x2_k3,test_breast_x3_k1,test_breast_x3_k2,test_breast_x3_k3,test_diabetes_x1_k1,test_diabetes_x1_k2,test_diabetes_x1_k3,test_diabetes_x2_k1,test_diabetes_x2_k2,test_diabetes_x2_k3,test_diabetes_x3_k1,test_diabetes_x3_k2,test_diabetes_x3_k3,test_glass_x1_k1,test_glass_x1_k2,test_glass_x1_k3,test_glass_x2_k1,test_glass_x2_k2,test_glass_x2_k3,test_glass_x3_k1,test_glass_x3_k2,test_glass_x3_k3,test_liver_x1_k1,test_liver_x1_k2,test_liver_x1_k3,test_liver_x2_k1,test_liver_x2_k2,test_liver_x2_k3,test_liver_x3_k1,test_liver_x3_k2,test_liver_x3_k3,test_pendigits_x1_k1,test_pendigits_x1_k2,test_pendigits_x1_k3,test_pendigits_x2_k1,test_pendigits_x2_k2,test_pendigits_x2_k3,test_pendigits_x3_k1,test_pendigits_x3_k2,test_pendigits_x3_k3,test_shape_x1_k1,test_shape_x1_k2,test_shape_x1_k3,test_shape_x2_k1,test_shape_x2_k2,test_shape_x2_k3,test_shape_x3_k1,test_shape_x3_k2,test_shape_x3_k3,test_vowel_x1_k1,test_vowel_x1_k2,test_vowel_x1_k3,test_vowel_x2_k1,test_vowel_x2_k2,test_vowel_x2_k3,test_vowel_x3_k1,test_vowel_x3_k2,test_vowel_x3_k3,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,seed
0,0.666666666667,0.590909090909,0.5,0.469696969697,0.560606060606,0.469696969697,0.727272727273,0.515151515152,0.636363636364,0.66796875,0.53515625,0.70703125,0.51171875,0.59375,0.640625,0.62890625,0.63671875,0.6015625,0.319444444444,0.450704225352,0.295774647887,0.291666666667,0.366197183099,0.549295774648,0.347222222222,0.549295774648,0.450704225352,0.652173913043,0.469565217391,0.547826086957,0.539130434783,0.617391304348,0.513043478261,0.547826086957,0.495652173913,0.582608695652,0.460368294636,0.431144915933,0.236188951161,0.589271417134,0.417534027222,0.193354683747,0.326661329063,0.256605284227,0.440752602082,0.574074074074,0.698113207547,0.754716981132,0.62962962963,0.547169811321,0.641509433962,0.740740740741,0.660377358491,0.603773584906,0.227272727273,0.269696969697,0.254545454545,0.221212121212,0.227272727273,0.187878787879,0.257575757576,0.206060606061,0.293939393939,0.97248,0.0268912,0.0657058,17.0,0.185962,0.986069,0.0160392,0.305365,81.0,0.328343,2576.32
1,0.621212121212,0.545454545455,0.636363636364,0.787878787879,0.69696969697,0.575757575758,0.681818181818,0.515151515152,0.606060606061,0.58203125,0.56640625,0.61328125,0.67578125,0.5546875,0.53515625,0.6640625,0.69140625,0.54296875,0.305555555556,0.549295774648,0.464788732394,0.486111111111,0.267605633803,0.464788732394,0.5,0.408450704225,0.323943661972,0.513043478261,0.521739130435,0.591304347826,0.452173913043,0.504347826087,0.530434782609,0.460869565217,0.486956521739,0.547826086957,0.244995996797,0.519215372298,0.31545236189,0.417534027222,0.189351481185,0.420736589271,0.465972778223,0.454763811049,0.452361889512,0.574074074074,0.584905660377,0.660377358491,0.814814814815,0.622641509434,0.660377358491,0.722222222222,0.698113207547,0.641509433962,0.245454545455,0.263636363636,0.3,0.172727272727,0.181818181818,0.181818181818,0.184848484848,0.224242424242,0.29696969697,0.895619,0.0116494,0.312034,76.0,0.621762,0.825664,0.0150031,0.408326,32.0,0.703322,8401.71
2,0.318181818182,0.5,0.227272727273,0,0.227272727273,0.530303030303,0.287878787879,0,0.19696969697,0.07421875,0.171875,0.46875,0,0.09375,0.3671875,0.1640625,0.12890625,0,0.430555555556,0.492957746479,0.30985915493,0.305555555556,0.30985915493,0.380281690141,0.402777777778,0.323943661972,0.450704225352,0,0.408695652174,0.330434782609,0,0.460869565217,0.434782608696,0,0.278260869565,0.313043478261,0.0,0,0.0,0.0932746196958,0.0832666132906,0.080064051241,0.0,0.0,0.0,0.5,0.471698113208,0.433962264151,0.555555555556,0.377358490566,0.509433962264,0.611111111111,0.358490566038,0.358490566038,0.0636363636364,0.0181818181818,0.0424242424242,0.0363636363636,0.0454545454545,0.0272727272727,0.0,0.0151515151515,0.0181818181818,0.98386,0.0481152,0.233925,96.0,0.473315,0.616829,0.0616942,0.402688,62.0,0.106804,8779.46
3,0.454545454545,0.469696969697,0.530303030303,0.560606060606,0.5,0.590909090909,0.621212121212,0.5,0.621212121212,0.421875,0.33203125,0.1171875,0.45703125,0.359375,0.39453125,0.14453125,0.328125,0.40625,0.208333333333,0.492957746479,0.422535211268,0.416666666667,0.492957746479,0.535211267606,0.319444444444,0.394366197183,0.521126760563,0.582608695652,0.504347826087,0.573913043478,0.44347826087,0.495652173913,0.608695652174,0.547826086957,0.495652173913,0.539130434783,0,0.0268214571657,0.0,0.0,0.00600480384307,0.0,0.0,0.0,0.0,0.481481481481,0.471698113208,0.547169811321,0.481481481481,0.528301886792,0.660377358491,0.722222222222,0.471698113208,0.471698113208,0.0,0.0030303030303,0.0,0.0212121212121,0.0151515151515,0.0363636363636,0.0121212121212,0.0727272727273,0.0545454545455,0.981559,0.0241105,0.466611,62.0,0.593151,0.488379,0.0452278,0.373176,37.0,0.740351,7641.95
4,0.69696969697,0.80303030303,0.454545454545,0.727272727273,0.681818181818,0.530303030303,0.787878787879,0.621212121212,0.681818181818,0.6171875,0.62890625,0.61328125,0.5546875,0.5234375,0.48046875,0.6015625,0.578125,0.6640625,0.430555555556,0.450704225352,0.394366197183,0.486111111111,0.422535211268,0.507042253521,0.416666666667,0.43661971831,0.56338028169,0.6,0.573913043478,0.55652173913,0.6,0.55652173913,0.608695652174,0.504347826087,0.530434782609,0.382608695652,0.321857485989,0.512009607686,0.434347477982,0.366693354684,0.413931144916,0.310248198559,0.263811048839,0.455564451561,0.383907125701,0.611111111111,0.641509433962,0.811320754717,0.685185185185,0.622641509434,0.679245283019,0.796296296296,0.603773584906,0.698113207547,0.290909090909,0.287878787879,0.284848484848,0.254545454545,0.327272727273,0.284848484848,0.266666666667,0.278787878788,0.3,0.908016,0.0231614,0.471611,56.0,0.560274,0.265409,0.0344486,0.422828,69.0,0.385702,3596.86
5,0.621212121212,0.651515151515,0.742424242424,0.469696969697,0.515151515152,0.575757575758,0.727272727273,0.530303030303,0.545454545455,0.61328125,0.6171875,0.52734375,0.4453125,0.6640625,0.609375,0.6015625,0.67578125,0.53125,0.361111111111,0.521126760563,0.30985915493,0.361111111111,0.281690140845,0.478873239437,0.208333333333,0.521126760563,0.450704225352,0.634782608696,0.591304347826,0.434782608696,0.547826086957,0.530434782609,0.617391304348,0.504347826087,0.565217391304,0.565217391304,0.685348278623,0.593274619696,0.515212169736,0.515612489992,0.530824659728,0.639311449159,0.690552441954,0.562449959968,0.530824659728,0.648148148148,0.641509433962,0.754716981132,0.574074074074,0.528301886792,0.679245283019,0.703703703704,0.584905660377,0.622641509434,0.321212121212,0.30303030303,0.242424242424,0.266666666667,0.348484848485,0.330303030303,0.351515151515,0.233333333333,0.287878787879,0.942131,0.0361663,0.102433,60.0,0.0837382,0.918444,0.0130364,0.114051,83.0,0.639705,6438.74
6,0.621212121212,0.575757575758,0.651515151515,0.621212121212,0.590909090909,0.409090909091,0.757575757576,0.636363636364,0.621212121212,0.67578125,0.56640625,0.6875,0.6484375,0.59765625,0.66015625,0.60546875,0.65625,0.6484375,0.291666666667,0.450704225352,0.366197183099,0.333333333333,0.366197183099,0.549295774648,0.416666666667,0.394366197183,0.492957746479,0.417391304348,0.469565217391,0.513043478261,0.452173913043,0.44347826087,0.460869565217,0.44347826087,0.452173913043,0.469565217391,0.00680544435548,0.000400320256205,0.0732586068855,0.100080064051,0.00720576461169,0,0.0,0.0960768614892,0.0,0.555555555556,0.603773584906,0.603773584906,0.685185185185,0.509433962264,0.679245283019,0.722222222222,0.679245283019,0.339622641509,0.0151515151515,0.0454545454545,0.0,0.0545454545455,0.0727272727273,0.0212121212121,0.0212121212121,0.0424242424242,0.0727272727273,0.956552,0.043852,0.493193,31.0,0.468344,0.230633,0.0812786,0.145772,76.0,0.875127,9684.55
7,0.393939393939,0.636363636364,0.469696969697,0.424242424242,0.530303030303,0.666666666667,0.560606060606,0.560606060606,0.712121212121,0.55859375,0.546875,0.65234375,0.65234375,0.55859375,0.578125,0.6015625,0.58203125,0.6328125,0.416666666667,0.450704225352,0.507042253521,0.347222222222,0.352112676056,0.521126760563,0.305555555556,0.521126760563,0.535211267606,0.573913043478,0.486956521739,0.460869565217,0.6,0.55652173913,0.504347826087,0.626086956522,0.530434782609,0.521739130435,0.0816653322658,0.068454763811,0.0532425940753,0.0,0,0.0480384307446,0.0128102481986,0.0,0.00400320256205,0.5,0.603773584906,0.641509433962,0.555555555556,0.490566037736,0.641509433962,0.666666666667,0.584905660377,0.452830188679,0.0484848484848,0.0181818181818,0.0363636363636,0.0727272727273,0.0272727272727,0.0,0.0333333333333,0.0757575757576,0.0666666666667,0.980995,0.0406398,0.211249,79.0,0.182512,0.879058,0.0415866,0.00190432,38.0,0.919924,5274.94
8,0.621212121212,0.575757575758,0.575757575758,0.5,0.560606060606,0.681818181818,0.772727272727,0.560606060606,0.606060606061,0.6484375,0.4609375,0.5,0.58984375,0.64453125,0.64453125,0.61328125,0.5234375,0.734375,0.361111111111,0.464788732394,0.43661971831,0.361111111111,0.211267605634,0.549295774648,0.472222222222,0.450704225352,0.521126760563,0.539130434783,0.486956521739,0.591304347826,0.4,0.434782608696,0.591304347826,0.4,0.478260869565,0.6,0.744195356285,0.640512409928,0.770616493195,0.750600480384,0.776621297038,0.633706965572,0.6645316253,0.768214571657,0.698558847078,0.611111111111,0.660377358491,0.660377358491,0.777777777778,0.584905660377,0.566037735849,0.666666666667,0.698113207547,0.490566037736,0.263636363636,0.29696969697,0.272727272727,0.339393939394,0.312121212121,0.206060606061,0.275757575758,0.287878787879,0.278787878788,0.930095,0.0143663,0.0164254,5.0,0.653763,0.335725,0.0757691,0.0230072,58.0,0.658116,5073.19
9,0.666666666667,0.681818181818,0.636363636364,0.590909090909,0.515151515152,0.590909090909,0.742424242424,0.621212121212,0.621212121212,0.60546875,0.58984375,0.453125,0.58203125,0.62890625,0.578125,0.6015625,0.578125,0.578125,0.444444444444,0.43661971831,0.352112676056,0.5,0.295774647887,0.535211267606,0.472222222222,0.478873239437,0.478873239437,0.565217391304,0.547826086957,0.573913043478,0.652173913043,0.547826086957,0.55652173913,0.565217391304,0.478260869565,0.573913043478,0.0212169735789,0.0864691753403,0.139711769416,0.103682946357,0.18454763811,0.177742193755,0.00560448358687,0.0456365092074,0.156925540432,0.611111111111,0.77358490566,0.698113207547,0.648148148148,0.641509433962,0.698113207547,0.555555555556,0.660377358491,0.641509433962,0.212121212121,0.181818181818,0.172727272727,0.0757575757576,0.184848484848,0.115151515152,0.145454545455,0.142424242424,0.127272727273,0.947234,0.0338974,0.0420525,45.0,0.529687,0.310153,0.0437181,0.1638,5.0,0.368867,7287.84
