max_value,0.7626262626262627,0.73046875,0.5373831775700935,0.5797101449275363,0.737256471844142,0.70625,0.31313131313131315
index_set,0,38,388,0,478,172,17
mean_value,0.5272222222222223,0.4653541666666667,0.4130373831775701,0.46997101449275364,0.34224659727782225,0.27975,0.14791717171717172

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7626262626262627,0.6510416666666667,0.4299065420560748,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.737286,0.0200958,0.166167,67,0.00126615,0.666104,0.0684894,0.402512,31
1,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.700542,0.0969142,0.468491,80,0.00447294,0.0185101,0.0340224,0.0638679,93
2,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5420289855072464,0.10408326661329059,0.125,0.09090909090909094,0.763938,0.0639582,0.0286861,84,0.00449706,0.0318173,0.0994684,0.260202,89
3,0.7626262626262627,0.42578125,0.43457943925233644,0.47246376811594204,0.47824926607953033,0.25,0.12929292929292935,0.842737,0.0810514,0.337107,50,0.00758049,0.450774,0.0488759,0.287124,21
4,0.5252525252525253,0.43098958333333337,0.47663551401869164,0.48985507246376814,0.433546837469976,0.23124999999999996,0.1646464646464646,0.851712,0.0271615,0.422159,13,0.00295915,0.959562,0.0287158,0.22406,29
5,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5333333333333333,0.10408326661329059,0.125,0.09090909090909094,0.708119,0.0744686,0.388662,18,0.00324102,0.829908,0.0523412,0.396373,70
6,0.7626262626262627,0.70703125,0.3551401869158879,0.5304347826086957,0.41166266346410463,0.125,0.09090909090909094,0.797237,0.0698398,0.0118203,16,0.00896751,0.97661,0.0113269,0.244535,81
7,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5304347826086957,0.10408326661329059,0.125,0.09090909090909094,0.740493,0.019426,0.346635,7,0.000636065,0.226935,0.016749,0.00569072,57
8,0.7626262626262627,0.5572916666666667,0.43457943925233644,0.5333333333333333,0.20709901254336804,0.125,0.09090909090909094,0.781237,0.0417058,0.00446236,72,0.00735118,0.870809,0.0829226,0.335759,59
9,0.3434343434343434,0.33984375,0.5280373831775701,0.3623188405797102,0.6206298372030958,0.45625000000000004,0.24949494949494955,0.902714,0.0483974,0.480899,88,0.0089291,0.452734,0.0748558,0.499787,28
10,0.16161616161616166,0.14583333333333337,0.40654205607476634,0.4144927536231884,0.607419268748332,0.6625,0.2828282828282829,0.961312,0.029589,0.212098,44,0.00420713,0.979588,0.0333651,0.221859,97
11,0.7626262626262627,0.6197916666666667,0.4299065420560748,0.5478260869565217,0.2068321323725647,0.125,0.09090909090909094,0.768876,0.0624748,0.272407,27,0.00715621,0.103206,0.0163593,0.322825,44
12,0.7626262626262627,0.5325520833333333,0.3551401869158879,0.527536231884058,0.3945823325326928,0.125,0.09090909090909094,0.799882,0.0919479,0.311946,8,0.00726852,0.681307,0.0704884,0.33016,36
13,0.7626262626262627,0.5546875,0.3551401869158879,0.5333333333333333,0.10408326661329059,0.125,0.09090909090909094,0.733904,0.0175392,0.1233,58,0.00490913,0.545726,0.0989791,0.0825883,42
14,0.5454545454545454,0.43229166666666663,0.4439252336448598,0.5014492753623188,0.46837469975980783,0.125,0.09090909090909094,0.82775,0.0371098,0.492043,41,0.000786293,0.343151,0.0425671,0.18988,37
15,0.7626262626262627,0.71484375,0.4532710280373832,0.5159420289855072,0.39111289031224983,0.125,0.1636363636363637,0.820746,0.0325762,0.0175079,8,0.00267523,0.129997,0.0145935,0.363887,2
16,0.6868686868686869,0.5703125,0.4579439252336449,0.5101449275362319,0.3584200693888444,0.125,0.09090909090909094,0.803909,0.097464,0.0537749,18,0.000452406,0.00828898,0.0530712,0.215428,90
17,0.28787878787878785,0.32291666666666663,0.4392523364485982,0.41159420289855075,0.6265012009607687,0.475,0.31313131313131315,0.94492,0.035175,0.0861131,87,0.00404885,0.00217034,0.0364127,0.215914,78
18,0.29292929292929293,0.27734375,0.47663551401869164,0.3884057971014493,0.43448091806778755,0.51875,0.24141414141414141,0.923332,0.0118494,0.471094,41,0.00940961,0.637734,0.0821721,0.439529,6
19,0.7626262626262627,0.5377604166666667,0.3551401869158879,0.5391304347826087,0.2061649319455564,0.125,0.09090909090909094,0.785836,0.0788149,0.365857,40,0.00524411,0.73787,0.0682135,0.287405,37
20,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.713936,0.0463282,0.160583,6,0.00171379,0.460762,0.0879406,0.00421689,54
21,0.18686868686868685,0.22005208333333337,0.397196261682243,0.30434782608695654,0.41553242594075257,0.575,0.14040404040404042,0.98539,0.0406291,0.118381,19,0.00208661,0.924735,0.0834261,0.155719,54
22,0.7626262626262627,0.4453125,0.48130841121495327,0.5420289855072464,0.4973311982919669,0.25,0.13434343434343432,0.834036,0.0188611,0.327915,33,0.00045696,0.160282,0.0314788,0.310313,40
23,0.7626262626262627,0.5338541666666667,0.46261682242990654,0.5304347826086957,0.5979450226848145,0.125,0.18686868686868685,0.841302,0.0605823,0.176623,5,0.0065059,0.186734,0.0744824,0.128968,71
24,0.7626262626262627,0.5455729166666667,0.3551401869158879,0.45507246376811594,0.20656525220176136,0.125,0.09090909090909094,0.78253,0.036821,0.0317407,14,0.00477004,0.57069,0.0861695,0.321846,85
25,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5304347826086957,0.10408326661329059,0.125,0.09090909090909094,0.76116,0.0667703,0.289774,10,0.00141683,0.518303,0.0600834,0.0156763,38
26,0.38888888888888884,0.42057291666666663,0.5,0.4057971014492754,0.6960234854550307,0.4375,0.18484848484848482,0.893841,0.0259751,0.490277,90,0.00286892,0.674143,0.0824358,0.109462,58
27,0.3535353535353535,0.37109375,0.46261682242990654,0.4492753623188406,0.5282892981051508,0.44375,0.24242424242424243,0.904087,0.0247134,0.299706,60,0.00471794,0.623202,0.0472832,0.296674,25
28,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5304347826086957,0.10408326661329059,0.125,0.09090909090909094,0.746966,0.0976551,0.106041,19,0.0073893,0.230371,0.0642153,0.175156,85
29,0.5707070707070707,0.44270833333333337,0.5186915887850467,0.5014492753623188,0.4474246063517481,0.23124999999999996,0.18181818181818177,0.867911,0.0946287,0.435795,80,0.00530196,0.221191,0.0377343,0.266447,23
30,0.38888888888888884,0.3984375,0.4392523364485982,0.4956521739130435,0.5076060848678943,0.23750000000000004,0.18484848484848482,0.869886,0.090676,0.304001,98,0.00967004,0.659503,0.081071,0.197872,91
31,0.7626262626262627,0.53515625,0.4299065420560748,0.527536231884058,0.30717907659460897,0.125,0.09090909090909094,0.783333,0.0227166,0.263706,1,0.00850791,0.857507,0.0349318,0.0854185,20
32,0.2676767676767676,0.37109375,0.49065420560747663,0.5304347826086957,0.20483053109153992,0.4625,0.2212121212121212,0.902871,0.0917298,0.406637,61,0.00939576,0.239469,0.0606546,0.326814,17
33,0.24242424242424243,0.28385416666666663,0.4439252336448598,0.4405797101449276,0.4659727782225781,0.56875,0.24545454545454548,0.929849,0.0567815,0.328865,83,0.00453335,0.687571,0.0807259,0.442029,81
34,0.33333333333333337,0.4453125,0.48130841121495327,0.5246376811594202,0.3917800907392581,0.44999999999999996,0.24444444444444446,0.917323,0.0891897,0.113388,33,0.00623279,0.34203,0.071197,0.353682,39
35,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.527536231884058,0.10408326661329059,0.125,0.09090909090909094,0.765456,0.0234733,0.335187,72,0.00280324,0.206842,0.0777368,0.0692085,43
36,0.24242424242424243,0.26432291666666663,0.49065420560747663,0.42898550724637685,0.5361622631438484,0.575,0.25757575757575757,0.935277,0.0330699,0.224637,7,0.00741263,0.530136,0.0360992,0.344394,53
37,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.728957,0.06094,0.120271,47,0.00526993,0.325492,0.0715679,0.115034,22
38,0.7626262626262627,0.73046875,0.44859813084112155,0.5420289855072464,0.3875100080064051,0.125,0.09090909090909094,0.800546,0.0316035,0.191617,77,0.000218086,0.411837,0.0114916,0.274485,94
39,0.7626262626262627,0.6510416666666667,0.43457943925233644,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.731542,0.0618468,0.0745608,3,0.00496437,0.0771282,0.0205226,0.192207,15
40,0.2828282828282829,0.35807291666666663,0.49065420560747663,0.5217391304347826,0.43021083533493465,0.29374999999999996,0.2212121212121212,0.91523,0.0956572,0.10527,37,0.00430325,0.734574,0.0481713,0.116699,46
41,0.7626262626262627,0.7135416666666667,0.3551401869158879,0.5246376811594202,0.2066986922871631,0.125,0.09090909090909094,0.766395,0.0487918,0.382983,25,0.0069311,0.395456,0.0171611,0.474318,92
42,0.7626262626262627,0.7161458333333333,0.43457943925233644,0.536231884057971,0.3039765145449693,0.125,0.09090909090909094,0.792016,0.0108723,0.322156,95,0.00232013,0.49131,0.0251257,0.484097,5
