max_value,0.7626262626262627,0.71875,0.5420560747663552,0.5797101449275363,0.7530024019215372,0.74375,0.3161616161616162
index_set,0,271,356,11,105,15,16
mean_value,0.5216767676767676,0.4388385416666667,0.419196261682243,0.47124057971014494,0.3463295970109421,0.28266250000000004,0.1528929292929293

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5246376811594202,0.2068321323725647,0.125,0.09090909090909094,0.744605,0.0159965,0.0436661,78,0.0492937,0.497849,0.0621396,0.490007,33
1,0.38383838383838387,0.46614583333333337,0.5233644859813085,0.41159420289855075,0.6232986389111289,0.24375000000000002,0.18787878787878787,0.879388,0.0527144,0.0602439,83,0.00624287,0.145129,0.018025,0.175201,70
2,0.43434343434343436,0.41145833333333337,0.4719626168224299,0.4608695652173913,0.388310648518815,0.33125000000000004,0.2343434343434343,0.888151,0.0843709,0.0844543,74,0.074104,0.291843,0.0400438,0.0737756,29
3,0.4040404040404041,0.38932291666666663,0.4392523364485982,0.4347826086956522,0.5492393915132106,0.25,0.1777777777777778,0.873573,0.0555378,0.0824722,50,0.047482,0.095395,0.061427,0.226819,12
4,0.7626262626262627,0.60546875,0.3551401869158879,0.5391304347826087,0.2061649319455564,0.125,0.09090909090909094,0.749218,0.0242154,0.046279,15,0.0457994,0.312717,0.0237855,0.462066,11
5,0.38888888888888884,0.421875,0.4299065420560748,0.33913043478260874,0.09474246063517477,0.44375,0.1393939393939394,0.966976,0.0975277,0.0567511,25,0.0245435,0.183192,0.0299574,0.2902,19
6,0.7626262626262627,0.515625,0.4392523364485982,0.46376811594202894,0.3916466506538564,0.125,0.16767676767676765,0.827591,0.0981888,0.0177058,14,0.0276991,0.458817,0.0925546,0.275822,75
7,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.527536231884058,0.20576461168935145,0.125,0.09090909090909094,0.742534,0.0935334,0.064788,27,0.0236917,0.149786,0.0321464,0.426546,54
8,0.4545454545454546,0.31510416666666663,0.49065420560747663,0.527536231884058,0.46196957566052843,0.35,0.1717171717171717,0.882986,0.0893074,0.0559465,42,0.0997089,0.121332,0.0928151,0.499523,38
9,0.7626262626262627,0.5377604166666667,0.485981308411215,0.5391304347826087,0.47064318121163595,0.23124999999999996,0.16767676767676765,0.839777,0.0933536,0.0494086,69,0.00550233,0.134214,0.0607608,0.289022,55
10,0.7626262626262627,0.5377604166666667,0.3551401869158879,0.45797101449275357,0.3903122497998399,0.125,0.09090909090909094,0.782047,0.0832534,0.0803926,32,0.0406573,0.376427,0.0571245,0.353161,10
11,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.70499,0.0762663,0.0324353,88,0.0677,0.174202,0.0390316,0.330229,18
12,0.5707070707070707,0.42838541666666663,0.43457943925233644,0.4956521739130435,0.5645850013344009,0.25,0.12929292929292935,0.847662,0.0574042,0.0571422,57,0.016696,0.0316771,0.0351563,0.137366,11
13,0.6060606060606061,0.46484375,0.4392523364485982,0.45507246376811594,0.4418201227648786,0.125,0.18181818181818177,0.847823,0.0881328,0.0448029,12,0.0740365,0.31416,0.0371184,0.483929,4
14,0.7626262626262627,0.5325520833333333,0.3551401869158879,0.5304347826086957,0.2060314918601548,0.125,0.09090909090909094,0.745182,0.0650798,0.0328398,27,0.0570663,0.0530438,0.0327974,0.296898,76
15,0.18181818181818177,0.24739583333333337,0.5,0.4057971014492754,0.4651721377101682,0.74375,0.2595959595959596,0.944204,0.0191483,0.0656534,5,0.0791144,0.429899,0.0612112,0.348727,12
16,0.2272727272727273,0.18880208333333337,0.4392523364485982,0.4,0.19228716306378435,0.65,0.3161616161616162,0.950464,0.0567165,0.0916017,87,0.0684081,0.495748,0.0853946,0.432425,37
17,0.7626262626262627,0.5013020833333333,0.4392523364485982,0.527536231884058,0.29783827061649315,0.125,0.09090909090909094,0.783501,0.0422982,0.0636569,59,0.0359378,0.341942,0.0655434,0.0213323,7
18,0.14141414141414144,0.25130208333333337,0.3037383177570093,0.327536231884058,0.12356551908193225,0.31875,0.042424242424242475,0.990704,0.0686276,0.00125652,60,0.067942,0.244011,0.0666864,0.433545,42
19,0.26262626262626265,0.26822916666666663,0.5186915887850467,0.42028985507246375,0.10408326661329059,0.55,0.19191919191919193,0.91748,0.0667473,0.0983062,66,0.0871267,0.0645452,0.017261,0.46571,38
20,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.708023,0.0897416,0.0159372,96,0.00650346,0.0554182,0.0132816,0.399313,89
21,0.3484848484848485,0.359375,0.43457943925233644,0.4521739130434783,0.5665866026154256,0.55625,0.1656565656565656,0.91085,0.054919,0.0617655,89,0.0171183,0.0734978,0.0193509,0.436488,91
22,0.3232323232323232,0.34114583333333337,0.5186915887850467,0.4492753623188406,0.5569789164665065,0.33125000000000004,0.13535353535353534,0.863561,0.0764953,0.0458585,89,0.0654354,0.413513,0.0433055,0.0105851,64
23,0.5909090909090908,0.5013020833333333,0.4953271028037384,0.4869565217391304,0.5140112089671738,0.24375000000000002,0.17575757575757578,0.851421,0.0509641,0.0207226,73,0.0868905,0.244256,0.076024,0.0654721,77
24,0.1717171717171717,0.14192708333333337,0.4532710280373832,0.35652173913043483,0.5561782759540966,0.65625,0.24949494949494955,0.962104,0.0279747,0.0871491,48,0.0400585,0.110371,0.0836764,0.472469,67
25,0.7626262626262627,0.4140625,0.48130841121495327,0.5478260869565217,0.4583666933546837,0.125,0.17575757575757578,0.835936,0.0851226,0.0429825,80,0.0328776,0.302262,0.0597128,0.301424,63
26,0.2676767676767676,0.27604166666666663,0.5046728971962617,0.43768115942028984,0.5942087002935682,0.475,0.19797979797979803,0.909135,0.0212144,0.0736197,97,0.0674126,0.126519,0.0602417,0.239476,18
27,0.20707070707070707,0.27083333333333337,0.42056074766355145,0.4231884057971015,0.09514278089137973,0.54375,0.29494949494949496,0.95638,0.062256,0.0720509,96,0.0398508,0.432435,0.0314481,0.369042,76
28,0.20707070707070707,0.19401041666666663,0.4252336448598131,0.3797101449275362,0.433947157726181,0.7,0.2666666666666667,0.942861,0.0402172,0.0980223,90,0.049495,0.232828,0.0206989,0.0812079,82
29,0.10606060606060608,0.13932291666666663,0.3598130841121495,0.24347826086956526,0.46637309847878305,0.56875,0.2090909090909091,0.985866,0.0239227,0.0230397,16,0.0237911,0.0423994,0.0667997,0.200039,7
30,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.20736589271417138,0.125,0.09090909090909094,0.743249,0.0690002,0.0283926,64,0.00805236,0.488108,0.0720191,0.146873,8
31,0.18181818181818177,0.32552083333333337,0.383177570093458,0.22318840579710142,0.14318121163597541,0.54375,0.033333333333333326,0.985672,0.0546899,0.0452301,70,0.0949492,0.0282224,0.0700814,0.0753425,19
32,0.4191919191919192,0.40234375,0.44859813084112155,0.45797101449275357,0.548305310915399,0.24375000000000002,0.18181818181818177,0.874311,0.0726204,0.0791307,92,0.0292922,0.18022,0.0741761,0.36544,72
33,0.2828282828282829,0.30598958333333337,0.4953271028037384,0.3449275362318841,0.6355751267680811,0.39375000000000004,0.2858585858585858,0.920538,0.0544628,0.0141377,40,0.0769145,0.292532,0.0999055,0.215263,35
34,0.5656565656565656,0.43619791666666663,0.5186915887850467,0.5072463768115942,0.5928742994395517,0.33125000000000004,0.20101010101010097,0.868078,0.0134736,0.0292106,23,0.00180693,0.320043,0.0341009,0.288337,30
