max_value,0.7626262626262627,0.7200520833333333,0.5420560747663552,0.5797101449275363,0.7522017614091273,0.725,0.30707070707070705
index_set,0,357,488,2,73,411,70
mean_value,0.5228484848484849,0.4495104166666667,0.4182990654205608,0.4738608695652174,0.3472650120096077,0.27526249999999997,0.15043434343434345

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7626262626262627,0.5690104166666667,0.3551401869158879,0.536231884057971,0.2066986922871631,0.125,0.09090909090909094,0.759525,0.0902154,0.084997,14,0.0973061,0.47035,0.094746,0.0212187,46
1,0.7626262626262627,0.5091145833333333,0.4392523364485982,0.536231884057971,0.385241526554577,0.125,0.09090909090909094,0.800505,0.0611789,0.0618534,50,0.0359749,0.154391,0.0699041,0.012987,100
2,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.724909,0.0238039,0.0729986,83,0.0154028,0.340835,0.0725635,0.140032,51
3,0.7626262626262627,0.55078125,0.4299065420560748,0.536231884057971,0.4163330664531625,0.125,0.12929292929292935,0.814283,0.0174986,0.0959088,52,0.0690776,0.0421309,0.0959492,0.089091,6
4,0.7626262626262627,0.5950520833333333,0.43457943925233644,0.536231884057971,0.3943154523618895,0.125,0.18181818181818177,0.807098,0.0420212,0.0485162,13,0.0450492,0.33623,0.0398799,0.479214,75
5,0.7626262626262627,0.5442708333333333,0.43457943925233644,0.5478260869565217,0.3844408860421671,0.125,0.09090909090909094,0.793439,0.0671418,0.0759703,68,0.0639391,0.367227,0.0785826,0.0744232,62
6,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.711812,0.0506513,0.0341537,64,0.012248,0.00549634,0.0390494,0.23889,33
7,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.2066986922871631,0.125,0.09090909090909094,0.747059,0.0910749,0.055051,10,0.0412489,0.181311,0.0179665,0.405768,85
8,0.7626262626262627,0.6510416666666667,0.4299065420560748,0.5217391304347826,0.10408326661329059,0.125,0.09090909090909094,0.727916,0.0550315,0.0772575,95,0.0555386,0.266341,0.0342703,0.283978,16
9,0.7626262626262627,0.5338541666666667,0.43457943925233644,0.5391304347826087,0.40819322124366164,0.125,0.1636363636363637,0.818309,0.0382192,0.0660159,23,0.0078665,0.205558,0.0843715,0.368174,85
