max_value,0.7626262626262627,0.6510416666666667,0.4252336448598131,0.5797101449275363,0.11942887643448097,0.7125,0.12222222222222223
clusters_found,1,1,3,1,10,15,12
index_set,1,3,116,3,142,271,7
mean_value,0.5160505050505051,0.4296458333333334,0.33881308411214955,0.4803710144927536,0.09710248198558846,0.29719999999999996,0.09486060606060606

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.30808080808080807,0.40885416666666663,0.3411214953271028,0.5101449275362319,0.114758473445423,0.38749999999999996,0.09999999999999998,0.891275,0.0656301,0.342262,58,0.00464748,0.255845,0.03513,0.122196,75
1,0.7626262626262627,0.5325520833333333,0.36448598130841126,0.4869565217391304,0.1160928742994396,0.125,0.09595959595959591,0.817199,0.0519726,0.394095,38,0.00900886,0.716074,0.0691643,0.0938485,34
2,0.3434343434343434,0.25520833333333337,0.3691588785046729,0.518840579710145,0.10515078729650384,0.49375,0.10202020202020201,0.926265,0.0848671,0.00438322,6,0.00640137,0.600131,0.080053,0.216863,27
3,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.71039,0.04424,0.0989254,20,0.00296381,0.113667,0.0570204,0.113386,47
4,0.24747474747474751,0.25390625,0.3551401869158879,0.3652173913043478,0.08700293568187889,0.53125,0.10303030303030303,0.92806,0.0478691,0.247733,20,0.00733887,0.84795,0.0426755,0.448849,84
5,0.1515151515151515,0.09114583333333337,0.22429906542056077,0.3971014492753623,0.05257539364825192,0.61875,0.0949494949494949,0.972805,0.0210015,0.398726,59,0.0026506,0.209863,0.0123324,0.0237956,53
6,0.7626262626262627,0.5611979166666667,0.383177570093458,0.5420289855072464,0.10701894849212701,0.125,0.09090909090909094,0.77082,0.0604712,0.0430166,30,0.00171696,0.800692,0.0510537,0.405006,73
7,0.2525252525252525,0.32682291666666663,0.25233644859813087,0.4782608695652174,0.06418468107819586,0.68125,0.12222222222222223,0.963352,0.0966098,0.226812,48,0.00355074,0.668281,0.0417182,0.0800159,50
8,0.202020202020202,0.24348958333333337,0.35046728971962615,0.4869565217391304,0.08553509474246068,0.5375,0.101010101010101,0.919139,0.0579747,0.472551,71,0.00242921,0.40504,0.0474141,0.181243,76
9,0.13131313131313127,0.1171875,0.2757009345794392,0.38550724637681155,0.055244195356285,0.6625,0.101010101010101,0.971515,0.0322532,0.282501,38,0.00322417,0.760673,0.0914828,0.155784,47
10,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5420289855072464,0.1068855084067254,0.125,0.09090909090909094,0.739021,0.0394577,0.145554,23,0.00199891,0.648,0.0280877,0.0857966,60
11,0.2828282828282829,0.23307291666666663,0.3411214953271028,0.48115942028985503,0.09647718174539632,0.38749999999999996,0.10404040404040404,0.910222,0.0308831,0.242204,63,0.00166238,0.480971,0.0606502,0.248615,63
12,0.7626262626262627,0.5442708333333333,0.3551401869158879,0.5681159420289855,0.10728582866293035,0.125,0.09090909090909094,0.787261,0.0472559,0.123846,74,0.00561113,0.966337,0.0328782,0.325229,99
13,0.7626262626262627,0.6510416666666667,0.36448598130841126,0.5014492753623188,0.10408326661329059,0.125,0.09090909090909094,0.722091,0.0145353,0.360799,11,0.00035733,0.380336,0.0673071,0.398493,95
14,0.7626262626262627,0.5442708333333333,0.3551401869158879,0.4608695652173913,0.11315719242060318,0.15625,0.09898989898989896,0.800335,0.0430407,0.0237505,47,0.00577073,0.634069,0.0461652,0.297247,88
15,0.26262626262626265,0.21744791666666663,0.23831775700934577,0.35942028985507246,0.0545769949292767,0.65625,0.11313131313131308,0.956477,0.081603,0.307845,57,0.00729813,0.56507,0.0822823,0.0899057,13
16,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.71568,0.0919638,0.35355,10,0.00919435,0.741026,0.0978104,0.140133,52
17,0.398989898989899,0.44661458333333337,0.3738317757009346,0.41159420289855075,0.11395783293301309,0.35624999999999996,0.09999999999999998,0.899239,0.0856998,0.0867566,41,0.000991929,0.47358,0.0362454,0.299504,26
18,0.303030303030303,0.40885416666666663,0.35046728971962615,0.47536231884057967,0.11062183079797172,0.38749999999999996,0.10505050505050506,0.891598,0.0941782,0.0452074,54,0.00248493,0.315905,0.0680078,0.318607,68
19,0.2525252525252525,0.18098958333333337,0.3691588785046729,0.49855072463768113,0.08233253269282093,0.6125,0.10808080808080811,0.947042,0.0416575,0.44534,32,0.00177766,0.158503,0.0948775,0.389856,99
20,0.11616161616161613,0.12369791666666663,0.24766355140186913,0.2202898550724638,0.05764611689351484,0.61875,0.07474747474747478,0.984169,0.0337909,0.0258948,36,0.0080774,0.656778,0.0317472,0.0559319,95
21,0.48484848484848486,0.5494791666666667,0.36448598130841126,0.527536231884058,0.114758473445423,0.26875000000000004,0.09595959595959591,0.852439,0.0266126,0.0015572,18,0.000666009,0.469917,0.0292893,0.379895,5
22,0.30808080808080807,0.27604166666666663,0.3551401869158879,0.4956521739130435,0.09274085935415,0.4125,0.10909090909090913,0.917155,0.0878016,0.263106,56,0.0016731,0.585329,0.0654776,0.438315,78
23,0.21212121212121215,0.31510416666666663,0.35046728971962615,0.4782608695652174,0.09687750200160128,0.56875,0.10303030303030303,0.922458,0.0475313,0.197977,19,0.00981793,0.651214,0.0997584,0.259825,77
24,0.7626262626262627,0.5416666666666667,0.3551401869158879,0.5014492753623188,0.10595142780891376,0.125,0.09090909090909094,0.783178,0.0631301,0.323674,8,0.000603852,0.554811,0.0959301,0.101474,16
25,0.303030303030303,0.22135416666666663,0.36448598130841126,0.5101449275362319,0.08620229516946887,0.55625,0.11313131313131308,0.940769,0.0776404,0.39974,42,0.00366687,0.164618,0.0652638,0.340265,64
26,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5652173913043479,0.10675206832132378,0.125,0.09090909090909094,0.761986,0.0891409,0.2145,95,0.000413032,0.423903,0.0611477,0.37581,49
27,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10728582866293035,0.125,0.09090909090909094,0.710806,0.0375277,0.263502,53,0.00622997,0.691385,0.0624479,0.315724,9
28,0.23737373737373735,0.24479166666666663,0.33644859813084116,0.4608695652173913,0.07846277021617298,0.5,0.1070707070707071,0.925186,0.0832086,0.25009,64,0.00481049,0.622639,0.0565197,0.0661424,69
29,0.30808080808080807,0.3046875,0.33644859813084116,0.42898550724637685,0.09887910328262606,0.41874999999999996,0.10202020202020201,0.895352,0.0159428,0.338753,19,0.00651415,0.782509,0.032478,0.0128442,93
30,0.5505050505050505,0.41666666666666663,0.3551401869158879,0.408695652173913,0.1175607152388578,0.25,0.09898989898989896,0.856741,0.0166252,0.0820798,33,0.00798188,0.635183,0.0825585,0.283062,48
31,0.7626262626262627,0.53125,0.3457943925233645,0.5681159420289855,0.11235655190819327,0.125,0.101010101010101,0.82471,0.0510519,0.103912,25,0.00908921,0.864256,0.0802569,0.183181,46
32,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.724983,0.0559481,0.239556,5,0.00559951,0.51797,0.0882302,0.336864,31
33,0.7626262626262627,0.5572916666666667,0.3551401869158879,0.5478260869565217,0.10701894849212701,0.23124999999999996,0.09090909090909094,0.789175,0.0869602,0.0178255,38,0.00462123,0.262457,0.0642378,0.484542,72
34,0.7626262626262627,0.41536458333333337,0.3878504672897196,0.5681159420289855,0.11275687216439823,0.125,0.09999999999999998,0.833557,0.0150609,0.195666,42,0.00250726,0.965482,0.0400084,0.288269,89
35,0.2727272727272727,0.22526041666666663,0.28971962616822433,0.49275362318840576,0.07205764611689347,0.58125,0.11717171717171715,0.938292,0.0910878,0.469055,71,0.00311216,0.377435,0.0346281,0.289887,16
36,0.7626262626262627,0.53515625,0.3551401869158879,0.5681159420289855,0.1076861489191353,0.125,0.09090909090909094,0.766076,0.0965241,0.457273,91,0.00697057,0.452398,0.0656764,0.0385119,28
37,0.23737373737373735,0.3671875,0.3457943925233645,0.4173913043478261,0.10154790499065924,0.41874999999999996,0.09898989898989896,0.898315,0.0463236,0.231723,69,0.00398071,0.782039,0.0778784,0.1996,63
38,0.31313131313131315,0.29817708333333337,0.32242990654205606,0.5333333333333333,0.11315719242060318,0.49375,0.1070707070707071,0.905279,0.0880429,0.214382,24,0.00626726,0.99229,0.0634994,0.35898,61
39,0.2525252525252525,0.1484375,0.2757009345794392,0.336231884057971,0.06618628235922075,0.65625,0.1070707070707071,0.968592,0.0570378,0.431287,64,0.000139345,0.81843,0.0996209,0.20343,97
40,0.5252525252525253,0.42708333333333337,0.3551401869158879,0.527536231884058,0.11595943421403787,0.25,0.10202020202020201,0.872854,0.0658177,0.489885,11,0.00674285,0.558788,0.0701327,0.338862,14
41,0.202020202020202,0.1796875,0.3130841121495327,0.4956521739130435,0.08299973311982922,0.60625,0.11212121212121207,0.93648,0.0313339,0.342196,43,0.00788144,0.661642,0.079079,0.429663,24
