max_value,0.8748074499369836,0.8976038215579012,0.904641216537304,0.9776037719962953,0.9444408760999422,0.9835456923466375,0.9904317544037596,0.9531300419490158,0.9550206661804036,0.9571810883140054,0.8923831070889894,0.9046328044015629,0.955889063529889,0.9408565601631543,0.9930734914299131,0.9295134457356531,0.8748074499369836,0.7752483443708609,0.6898373418601418,0.6713339167395924,0.6630180789570779,0.5241733631932552
clusters_found,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,11,13,7
index_set,202,465,375,202,466,123,313,395,37,104,421,421,123,421,202,439,202,429,189,224,294,37
mean_value,0.45609739071744776,0.4265367429906193,0.4612163523706764,0.5603285350471064,0.4960831429352904,0.5215594813242967,0.5217169781486202,0.4836203515934436,0.37004112427514796,0.25527624193583215,0.14629046307867685,0.5171987611949702,0.5249477833337999,0.4634752232566523,0.5087869817457349,0.469175268112224,0.4565785267366697,0.4133583116331215,0.3612321138576902,0.3330893774099163,0.2972968057863644,0.26085078638102016

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.8043229315774406,0.749823003153762,0.5834738048681816,0.6529599232873622,0.4303725110355997,0.2860224245556837,0.6124864096345237,0.5560949298813376,0.5565053128689492,0.7280634117755914,0.7122617118825192,0.5458840445745391,0.5098791117638259,0.44010657797766395,0.5778745570214765,0.5581129589545717,0.7183297947629158,0.4622047244094488,0.3278252748042244,0.3941569695469176,0.13933004137194716,0.14210259749656318,0.982018,0.0119029,0.044907,16,0.000542345,0.0505443,0.033085,0.449195,55
1,0.6147385532376051,0.5913126949844012,0.5795412987827178,0.7310338968651771,0.5383909140369967,0.7403740374037404,0.4134108606208984,0.6376480541455161,0.436178775683118,0.12639499492729123,0.07634674145075548,0.6275011018069634,0.7204222788496542,0.6257225433526011,0.5204750930686048,0.5974382433668801,0.5482162764771461,0.5734673074122616,0.49917750859877374,0.49917750859877374,0.2085692425401683,0.30025950236605103,0.967045,0.0726995,0.372058,98,0.00092817,0.00756797,0.0281835,0.352583,82
2,0.41142674752633257,0.10300429184549353,0.1171116837545918,0.10329689248515106,0.21340788988570725,0.1821715184893784,0.3516806368729203,0.1564223798266351,0.3329938900203666,0.12660907859078596,0.16293605878874906,0.1322168356104011,0.07976906168065889,0.16025835866261395,0.22679985813925996,0.21236060598762008,0.41142674752633257,0.0,0.19324908014717646,0.0023931078493937274,0.20047132757266295,0.11173620878262225,0.989571,0.0747039,0.270622,42,0.00450125,0.0741678,0.0283692,0.0223325,95
3,0.36767641697769293,0.4020985055051255,0.5443502336044299,0.4980720583540045,0.7455066291479706,0.7301396320805497,0.7550906929478084,0.5817951750887134,0.38644799151628184,0.3136807383467164,0.049193341271508984,0.6856891416192797,0.6752023494019053,0.710105014677844,0.6049861939253272,0.5657374789401133,0.36767641697769293,0.36767641697769293,0.3676069823967003,0.35359202119370425,0.32635597682991047,0.351057235346787,0.919367,0.0472862,0.00177732,98,0.00692029,0.0880931,0.0259421,0.412714,80
4,0.4823043821902169,0.5527876631079478,0.714906580016247,0.8247034590524895,0.7785043017868961,0.8790346907993967,0.8612842526167235,0.7386221555388848,0.7097085039749458,0.7994445949607153,0.3602679251027554,0.8021064301552107,0.8638654692082112,0.8772643869891577,0.7720178881080588,0.7819952529857213,0.4823043821902169,0.47310524036379387,0.4117370892018779,0.3531073446327684,0.31127982646420826,0.4013885709925994,0.939567,0.0217313,0.319883,89,0.00145255,0.0200653,0.0438424,0.1874,90
5,0.07075913776944709,0.10369098712446356,0.0,0.07957970889673582,0.0,0.31165290173263793,0.4674066003903945,0.0,0.07729549951585057,0.06497268664128453,0.0,0.10653583318731386,0.0,0.0,0.0,0.053177909973266546,0.07075913776944709,0.09784172661870505,0.11565475261432812,0.013359647791103657,0.006976038823172548,0.11565475261432812,0.970189,0.096275,0.0502201,76,0.00246147,0.0982987,0.0360495,0.0967634,88
6,0.6507974291835277,0.6481216335992364,0.3402208522457828,0.6960613872070021,0.4309367681498829,0.26992007148885466,0.2512076705377183,0.6397898954892511,0.8093122989738092,0.20537151571634327,0.0,0.6338852317308332,0.47402893068544005,0.5700098774660296,0.6260905605636722,0.5574838049778383,0.6481635194023656,0.6089076723016905,0.5851185194574724,0.4,0.48297635260616567,0.37851997380484614,0.986174,0.0274545,0.220458,93,0.00970087,0.0905148,0.0431368,0.120133,59
7,0.5114691425450573,0.4985663542602816,0.5895494891977893,0.7485172769468799,0.6382002307396488,0.7312491237908314,0.7030626480225806,0.7311262376237624,0.7973475877934908,0.7932656764567512,0.68833098701705,0.5955863965991498,0.5915130598478312,0.6266190032121024,0.8600040666937779,0.7773101285801469,0.5713849908480781,0.4943052391799544,0.5393343419062027,0.482032991529202,0.46486753332236297,0.47298452188775997,0.954802,0.0278634,0.245042,75,0.00497566,0.0500238,0.0134809,0.313909,15
8,0.5644999282536949,0.5722235664166465,0.606400172395216,0.8273563412370264,0.47218443960826983,0.3370767252464638,0.4921826995289138,0.5108101287120383,0.30957230142566194,0.0,0.0,0.2802115469369767,0.4526600541027953,0.10617584423486459,0.34673916255429804,0.31874352612434664,0.5355056870581002,0.4066523605150214,0.39990928333837317,0.39101089124098787,0.09525311465068598,0.018829436686019108,0.973485,0.0731345,0.280354,19,0.00134327,0.0197008,0.0217173,0.169115,52
9,0.5291494106403314,0.2852978996999571,0.14778804083616914,0.21075638123487628,0.30756437107305656,0.20583764062024934,0.3062694824632026,0.1877564979480164,0.38340389500423366,0.3114675767918089,0.22906112799729816,0.3187258007743752,0.43627673557175295,0.1076847028404122,0.3984061393152303,0.401969044122957,0.5291494106403314,0.21771099744245526,0.16948611554420678,0.0395232120451694,0.34150827713059473,0.21749845964263714,0.992374,0.0599939,0.170623,96,0.00432007,0.0816873,0.0493275,0.217132,82
