max_value,0.6859744990892531,0.6899206443207391,0.6266823328348643,0.9504358858920313,0.8671600861026745,0.9570257976583412,0.9207220609959246,0.6714403432500782,0.8594872542941541,0.7144673123486682,0.6199182732606874,0.8081635560621171,0.8247517389212127,0.7724235169709343,0.983104525314157,0.7081289926394705,0.6859744990892531,0.540818976711973,0.5382997035478627,0.3531107651502047,0.47621153165900243,0.3191813973063973
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,17,70,14
index_set,486,425,254,202,470,123,335,202,429,0,462,465,123,15,202,123,486,153,224,472,294,265
mean_value,0.34074830803160533,0.2820160434318897,0.2525373641170867,0.2999256514250466,0.25439801924564165,0.23961358057785978,0.2254841332061796,0.23793995010748983,0.18231181092178236,0.15712053774773285,0.1388524765267553,0.24534140706595445,0.2537741906401938,0.21665673106909367,0.21806982918372878,0.21314873854012795,0.33960251154292687,0.28690855630527834,0.23985794383490638,0.21122227059547216,0.18047831462242725,0.15515096361761746

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.4834381551362683,0.665448106471697,0.5603872555368475,0.6409072050891993,0.31495919439767495,0.0918428353771934,0.6031750389501644,0.17670856920649403,0.5483353109513506,0.7144673123486682,0.31845522438269525,0.17722547235391983,0.5059538274605103,0.16536388733421792,0.5745920152155823,0.5553652891677481,0.45461331740818156,0.3338912133891213,0.2570576211259047,0.30889266126926085,0.1079696890514763,0.11486486486486491,0.982018,0.0119029,0.044907,16,0.000542345,0.0505443,0.033085,0.449195,55
1,0.3752920353982301,0.318406265962881,0.36377923057581096,0.5161418200738337,0.3210803525998047,0.28689432463165976,0.054848807741372574,0.25592067435477395,0.3872997293145073,0.3440756774090108,0.4475754595657765,0.4423862944603879,0.5198031403796579,0.412339973112847,0.30734267179042185,0.3946027642060037,0.36366520718319695,0.26834299184755916,0.250999800039992,0.21749648135116117,0.165718927701056,0.16970523087408418,0.967045,0.0726995,0.372058,98,0.00092817,0.00756797,0.0281835,0.352583,82
2,0.407891930323498,0.19706348607231827,0.025999470857853813,0.02412890195622841,0.04893572032703697,0.04827408009952627,0.05370200381778922,0.02392573869083936,0.13568897334497454,0.1635460036129912,0.18181068057297511,0.04207296197202748,0.10880310310090413,0.13885456600027457,0.14058907361211537,0.15340473403336308,0.407891930323498,0.21578017664376836,0.12915154898130055,0.09999720130978706,0.11942282134042148,0.06729546089168814,0.989571,0.0747039,0.270622,42,0.00450125,0.0741678,0.0283692,0.0223325,95
3,0.3165137614678899,0.33473164004137457,0.26178034470113676,0.22893834183886885,0.23744277490250543,0.1512632347782078,0.15438585781896497,0.23547880690737832,0.09935721979904288,0.04462953438298756,0.018571866909729562,0.17332857199539742,0.17160229191413057,0.15921935404206544,0.1194651804888025,0.13914998709867665,0.32428244669076955,0.29478354855224986,0.29330579761245157,0.27791007811011625,0.3220199647680564,0.25343022013250693,0.919367,0.0472862,0.00177732,98,0.00692029,0.0880931,0.0259421,0.412714,80
4,0.3707936507936508,0.3429698539802166,0.3998591485301468,0.39993111168518036,0.5460183070610297,0.7878976327921157,0.7914088882885317,0.37001659829006295,0.24499215168556843,0.15579564279067315,0.04772689230694771,0.3638416599846177,0.40038226705601276,0.4133323902262671,0.35340996328655805,0.3040911255173424,0.37105279878010033,0.2887730884325663,0.27300150829562597,0.2721550855991943,0.22558333333333336,0.19972741433021812,0.939567,0.0217313,0.319883,89,0.00145255,0.0200653,0.0438424,0.1874,90
5,0.27757042566426726,0.26321140507444474,0.299224779844276,0.32462430977843015,0.18406689700065093,0.044859606967094345,0.048065777439203594,0.20854845684732626,0.25093162411362624,0.3022032184143485,0.32358008148978645,0.21977276909814714,0.295166151317077,0.2070999625903247,0.23082459281998802,0.2733141305242367,0.27757042566426726,0.21695615911810562,0.17962167655640426,0.17644772638942863,0.131787522994118,0.10955187007674705,0.970189,0.096275,0.0502201,76,0.00246147,0.0982987,0.0360495,0.0967634,88
6,0.40134918085448124,0.4707423975419095,0.08110455405856809,0.5136587847552478,0.06713039851070235,0.048569361192749905,0.048605997092090125,0.4176239793573928,0.6790464563387522,0.29128465838279394,0.1815183543235822,0.1949028062911774,0.13013332228929175,0.1784937852750178,0.22117128747495673,0.2244686085682306,0.40049931016358975,0.42640283966467785,0.2265460404015367,0.1876394466755913,0.15695573622402892,0.16297191180912107,0.986174,0.0274545,0.220458,93,0.00970087,0.0905148,0.0431368,0.120133,59
7,0.2583721639158647,0.2194924355182094,0.3035283162033524,0.4187237418633585,0.3535040269263132,0.3259580751247232,0.22189174312853166,0.2697026764823375,0.14615360764007312,0.21399303792878377,0.15594667791271577,0.25931132215631825,0.3548265672933958,0.2776519530981908,0.28337053150818015,0.2646421651374875,0.27219342111299716,0.2620943334730177,0.239886298096729,0.18354792079873605,0.19137493658041604,0.1426711511337746,0.954802,0.0278634,0.245042,75,0.00497566,0.0500238,0.0134809,0.313909,15
8,0.3175386060712818,0.3727330688580335,0.39575307075193766,0.5417473463198413,0.18897918218020526,0.048966718482346905,0.06679406524139508,0.17645521412836496,0.2156168519280911,0.2738911220056228,0.29762720466945825,0.21566186045185387,0.30030951467741795,0.2079005537993488,0.27598670999306296,0.28623042262649667,0.3173150266971777,0.2242243874597415,0.2136790344210997,0.2009481058858078,0.11765526866713194,0.07776764298503425,0.973485,0.0731345,0.280354,19,0.00134327,0.0197008,0.0217173,0.169115,52
9,0.3916358595194085,0.1268579517613111,0.028264925373134298,0.023842322772067437,0.04990870796612845,0.05113087704044539,0.04938765251565147,0.0628916911383659,0.0478955466766291,0.06237355787631915,0.1812298739088264,0.05395246269311249,0.07842035140311432,0.023851543666498998,0.09543950828887104,0.06451201656551453,0.3916358595194085,0.213882254823913,0.1655946601941748,0.13914786500093235,0.11387466471592289,0.08065348237317282,0.992374,0.0599939,0.170623,96,0.00432007,0.0816873,0.0493275,0.217132,82
