max_value,0.47687022900763354,0.32254263913824055,0.41486352708244945,0.502847491392564,0.43996289757936624,0.6271697841034765,0.515145771385924,0.3941223563946894,0.5025910050540592,0.4331614584289043,0.5339078644587827,0.5084935681950608,0.45281614026660266,0.42661648158212806,0.4617515608474634,0.406422400078322,0.4602063097658309,0.3573221757322176,0.32907876463196883,0.31046491380811425,0.289080459770115,0.25203893712181
clusters_found,70,20,59,70,70,70,70,70,70,70,70,70,70,70,70,70,70,11,15,14,13,11
index_set,308,3,195,309,160,248,498,488,384,15,280,164,55,418,55,116,202,325,498,58,402,200
mean_value,0.3279917946367797,0.2383958069075516,0.24312475617503157,0.27350927523770563,0.2462133356211713,0.22961797560542369,0.20865007949933123,0.22661511668119927,0.19646544805957633,0.1653229595593648,0.157569219159085,0.2574153635153495,0.24780522000955252,0.2324396669781514,0.22183204382685287,0.22005051849621482,0.3251949989754064,0.2667736289610323,0.22033444350031553,0.1980427251751856,0.1720670520909102,0.14245724856785888

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.355711194624758,0.20462289668739242,0.13734432110464334,0.07322798318859092,0.06893247843207007,0.14384113724628123,0.11350211947835354,0.13654618473895586,0.17063670195050606,0.06005715770329956,0.21380624994353548,0.0863039201725656,0.19212545126353786,0.14155747677135255,0.12830947992561526,0.14369058394526935,0.3652789147468133,0.22388475466592384,0.16873656172780083,0.1433132793331765,0.09619008226480996,0.09567606306736742,0.982018,0.0119029,0.044907,16,0.000542345,0.0505443,0.033085,0.449195,55
1,0.3687286034706646,0.28540554284261377,0.31956498057300553,0.3903710054297578,0.24078668336976905,0.1099633508519654,0.03332271552652355,0.247245560984797,0.30527706536100097,0.3472032240509494,0.4833643103694778,0.356503158093203,0.34254826254826254,0.2440486686651384,0.28577921270510953,0.3230897947271135,0.35104592450108196,0.2383325176847444,0.20164670103475135,0.18774733069513927,0.15478903390649812,0.14936677427365286,0.967045,0.0726995,0.372058,98,0.00092817,0.00756797,0.0281835,0.352583,82
2,0.35871375251220217,0.1550212239358092,0.03058057679206727,0.13686195098107679,0.14591202277877857,0.08435391689226934,0.06707948691037358,0.02402226325600121,0.12338654443917607,0.047515411529490126,0.03074461000168982,0.054446581779697634,0.04126737243490042,0.05474131234139523,0.024380858470769984,0.0247349476520079,0.3787208244922704,0.22407045009784732,0.13203058169375537,0.10705493423366397,0.09013896113546849,0.08148841412250696,0.989571,0.0747039,0.270622,42,0.00450125,0.0741678,0.0283692,0.0223325,95
3,0.3412613575628006,0.32254263913824055,0.22843904528287196,0.207517157563626,0.2738736053940286,0.20177721382412495,0.2577103460906992,0.22304867803777573,0.1041293321861646,0.05353307888906278,0.02657420081454087,0.2827872427932251,0.22021831434228278,0.1971208281662803,0.1700476682271289,0.17073667282908445,0.3255473327166204,0.2785107847636531,0.24277904107600756,0.24488362291012977,0.25832255592278586,0.19062489939151994,0.919367,0.0472862,0.00177732,98,0.00692029,0.0880931,0.0259421,0.412714,80
4,0.3339831850859023,0.29503380859523387,0.3661306762631831,0.3689953838876474,0.40738637150733514,0.4221934063068219,0.41242890127836906,0.34300063868083375,0.27512140455734035,0.24184590311581922,0.1419863449285449,0.3593376413570275,0.34919752914918645,0.33728171154820463,0.36553970474642006,0.34171437508488733,0.3400084444176368,0.2874579124579124,0.2590800319064078,0.23323974817083548,0.20433923458482883,0.18050333638180405,0.939567,0.0217313,0.319883,89,0.00145255,0.0200653,0.0438424,0.1874,90
5,0.30875302723273856,0.2686932054061534,0.32529986877853145,0.33072234248604304,0.18037402093977517,0.024118705356347636,0.04274933389028601,0.17919978159315664,0.24625415334461787,0.31250082738717744,0.35572457123960977,0.1684208963643652,0.32123292922924884,0.2024716073147257,0.23938420613246925,0.26257847214535335,0.3205562397372742,0.2665499124343258,0.18043218043218046,0.18655738806220823,0.14761521153365376,0.10501963997397401,0.970189,0.096275,0.0502201,76,0.00246147,0.0982987,0.0360495,0.0967634,88
6,0.35429900181488205,0.19965724078834624,0.06032021024349776,0.06491041972809641,0.023881069112762887,0.09408099688473526,0.06707948691037358,0.06063819733926945,0.13648985496015598,0.04758974572912533,0.1816033211323158,0.06186687324822604,0.05043445662797397,0.09974687008278027,0.08199683714044248,0.050353247677430435,0.3672761479216885,0.22627764356067648,0.17077459628967495,0.10047109456787251,0.08691199063574506,0.06864649080217944,0.986174,0.0274545,0.220458,93,0.00970087,0.0905148,0.0431368,0.120133,59
7,0.2854988346053654,0.2147980161144606,0.29049348077240467,0.38678192508203,0.30609419724173825,0.2643995209233114,0.19525037825011826,0.29784713118886763,0.28180263771477765,0.2535117487864599,0.2691979570711954,0.3038093325299591,0.38581807019339,0.299824980474206,0.34245403802458385,0.28270233275562073,0.2971456452793364,0.2696623778659185,0.2680583613916947,0.19642670202742785,0.1744789932751848,0.15844006331846305,0.954802,0.0278634,0.245042,75,0.00497566,0.0500238,0.0134809,0.313909,15
8,0.29787335494945644,0.29375733755295796,0.3345045543949434,0.3251060493637038,0.15697829591433665,0.025729167260489794,0.04150345412819301,0.16298125336239366,0.21920458350385064,0.2708197097458842,0.3143527518938124,0.19973064091617299,0.190526251945899,0.20023182240720405,0.22568993980223118,0.27750908306955946,0.29954447374730275,0.23697275647711624,0.1931518876207199,0.15906459828664044,0.1346966795534198,0.07931936180695043,0.973485,0.0731345,0.280354,19,0.00134327,0.0197008,0.0217173,0.169115,52
9,0.33495978552278816,0.12478211355660396,0.10047768077746666,0.12241583911061149,0.1455541312201375,0.07302827380952381,0.02361529242800553,0.0751644221735045,0.05146312224456773,0.02493225423467682,0.028759954919355235,0.049778517703719105,0.12652450717189534,0.024243904673211136,0.02501202797892943,0.02514366382664568,0.3452907362370108,0.1952128514056225,0.11894477563988148,0.13207460068322407,0.09866244786423128,0.05700483091787445,0.992374,0.0599939,0.170623,96,0.00432007,0.0816873,0.0493275,0.217132,82
10,0.3366183963529096,0.24609729821077764,0.21042031523642735,0.25027752330656894,0.2906244749923411,0.5094162968742381,0.4342423006097763,0.2623194680343247,0.10764938931476664,0.07022898899314434,0.0314406607467449,0.2549753340300487,0.23064342962722528,0.21794733657679466,0.19052230906101486,0.16397833003833517,0.34688070047427944,0.3422680412371134,0.2864409653535297,0.24717432555069718,0.21116483896036609,0.22632095534107644,0.924747,0.0327324,0.12066,56,0.00759685,0.077838,0.0328938,0.280174,19
11,0.3971392244119517,0.2949008647964565,0.10047768077746666,0.13121637580370027,0.1455541312201375,0.07864772390361952,0.07093601764231838,0.06220258327668249,0.1956716036772217,0.11799571066484693,0.08871028601614972,0.12810281556976433,0.1328508242862887,0.08323964497041425,0.0750349666383876,0.07810817564344286,0.40507067825184806,0.22101013571551276,0.12951337874538094,0.16295693613064455,0.06950776961012373,0.03258728737690242,0.992,0.0557401,0.163257,70,0.00502252,0.00115686,0.014306,0.336744,58
