max_value,0.7626262626262627,0.7330729166666667,0.5747663551401869,0.5797101449275363,0.7304510274886575,0.6875,0.25656565656565655
clusters_found,1,2,13,1,20,19,12
index_set,2,432,252,6,361,136,252
mean_value,0.6407575757575757,0.5380520833333333,0.3593551401869159,0.5126086956521739,0.16029276754737123,0.177475,0.09772323232323234

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.101010101010101,0.16145833333333337,0.3738317757009346,0.2811594202898551,0.3251934881238324,0.63125,0.14949494949494946,0.986368,0.0819038,0.0340078,11,0.00886472,0.0284674,0.13648,58,0.741542,0.306307,0.00628574
1,0.6565656565656566,0.5598958333333333,0.3271028037383178,0.5217391304347826,0.03522818254603688,0.125,0.07373737373737377,0.930036,0.00866757,0.243797,45,0.00329633,0.0443323,0.214653,17,1.61758,0.00257915,0.00783132
2,0.7626262626262627,0.6510416666666667,0.35046728971962615,0.5652173913043479,0.09607686148919137,0.125,0.09090909090909094,0.833246,0.0260411,0.0248167,83,0.00139696,0.0580553,0.442218,41,3.25462,0.670866,0.00842004
3,0.5303030303030303,0.5208333333333333,0.4532710280373832,0.5565217391304348,0.5092073658927141,0.36875,0.1777777777777778,0.885557,0.18932,0.314951,60,0.00235781,0.0499326,0.440373,48,1.21457,0.627681,0.000457036
4,0.7373737373737373,0.6484375,0.35046728971962615,0.5565217391304348,0.09033893781692015,0.125,0.09090909090909094,0.88121,0.0431206,0.454008,60,0.00238525,0.0843294,0.168181,1,1.87204,0.272709,0.00630886
5,0.5606060606060606,0.41666666666666663,0.4719626168224299,0.3913043478260869,0.5461702695489725,0.5875,0.21313131313131317,0.942968,0.0744998,0.391979,56,0.00049791,0.0429045,0.469779,49,0.917509,0.697725,0.00187347
6,0.7626262626262627,0.6510416666666667,0.35046728971962615,0.5797101449275363,0.10368294635708564,0.125,0.09090909090909094,0.754685,0.0402581,0.457031,23,0.00277346,0.0210279,0.433679,99,2.82512,0.695561,0.0057288
7,0.005050505050505083,0.0026041666666666297,0.13551401869158874,0.04057971014492756,2.668801708033408E-4,0.09375,0.0060606060606061,0.996414,0.150892,0.295606,74,0.00773409,0.0898868,0.067053,87,2.17775,0.234614,0.00436739
8,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.731231,0.0964036,0.227038,95,0.00693689,0.081601,0.46811,77,0.249142,0.586094,0.0077814
9,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.719744,0.131469,0.0728254,11,0.00325653,0.0638451,0.27152,11,3.92866,0.184111,0.00820505
10,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5768115942028986,0.10048038430744599,0.125,0.09090909090909094,0.792548,0.174198,0.0126825,71,0.00125512,0.080486,0.356832,47,1.62654,0.406848,0.00970677
11,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.735014,0.192663,0.35469,14,0.00137725,0.0511934,0.156317,66,0.835579,0.0406056,0.00346045
12,0.7474747474747474,0.6497395833333333,0.35046728971962615,0.5739130434782609,0.09674406191619966,0.125,0.09090909090909094,0.811497,0.047268,0.20152,77,0.00995049,0.039393,0.392383,16,0.542412,0.0289759,0.00370872
13,0.505050505050505,0.125,0.3271028037383178,0.48985507246376814,0.011475847344542323,0.11875000000000002,0.03131313131313129,0.966441,0.0358241,0.023715,61,0.00834286,0.0241231,0.41217,57,3.25034,0.250951,0.00200344
14,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.704842,0.0642944,0.394367,97,0.000526712,0.088203,0.187267,12,1.38464,0.589272,0.00785276
15,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.744825,0.178995,0.288262,49,0.00477106,0.0385575,0.373212,43,1.2351,0.257303,0.00225092
16,0.7424242424242424,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.09607686148919137,0.125,0.09090909090909094,0.828124,0.117933,0.401759,14,0.00355008,0.0281376,0.188556,33,3.96339,0.148304,0.00518434
17,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.728429,0.0392801,0.280936,51,0.00063714,0.0745001,0.461845,3,3.51523,0.437293,0.00867162
18,0.35858585858585856,0.08463541666666663,0.2850467289719626,0.3826086956521739,0.008406725380304292,0.11875000000000002,0.02626262626262621,0.9727,0.147897,0.34726,44,0.00515153,0.0476203,0.074317,88,1.94584,0.548712,0.00768133
19,0.16161616161616166,0.02864583333333337,0.2429906542056075,0.24927536231884062,0.002935681878836416,0.11250000000000004,0.015151515151515138,0.985413,0.058981,0.276258,96,0.0054763,0.0403256,0.351909,25,2.84126,0.485379,0.00751639
