max_value,0.7626262626262627,0.72265625,0.5560747663551402,0.5797101449275363,0.6798772351214305,0.68125,0.31313131313131315
index_set,2,173,400,29,407,57,382
mean_value,0.6057979797979798,0.5241692708333334,0.386,0.5078666666666667,0.2629842540699226,0.24352500000000002,0.1292707070707071

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.5656565656565656,0.59765625,0.35046728971962615,0.5304347826086957,0.5158793701627968,0.55,0.18787878787878787,0.963228,0.109933,0.0213195,100,0.000161599,0.0619708,0.340795,77,3.39556,0.449141,0.00457858
1,0.398989898989899,0.40234375,0.5233644859813085,0.43768115942028984,0.5021350413664265,0.375,0.18484848484848482,0.901269,0.0821976,0.320837,48,0.00902279,0.0161634,0.402511,55,2.03839,0.730504,0.00915395
2,0.7626262626262627,0.5338541666666667,0.43457943925233644,0.5449275362318841,0.4057912997064318,0.125,0.13434343434343432,0.809701,0.114939,0.394717,81,0.00814753,0.0165764,0.189644,43,0.755475,0.439387,0.00532187
3,0.7424242424242424,0.6484375,0.3457943925233645,0.5652173913043479,0.20202828929810512,0.125,0.09090909090909094,0.879359,0.118329,0.209628,62,0.00409095,0.0595972,0.00625946,8,0.433105,0.063854,0.00744695
4,0.3535353535353535,0.5286458333333333,0.44859813084112155,0.4782608695652174,0.5269548972511342,0.5375,0.19292929292929295,0.926719,0.0516086,0.343789,23,0.0013388,0.0622348,0.0486469,88,0.458851,0.636107,0.00528184
5,0.6262626262626263,0.6184895833333333,0.35046728971962615,0.5333333333333333,0.4412863624232719,0.44375,0.09090909090909094,0.930979,0.126485,0.371202,85,0.00864758,0.0239419,0.203177,3,1.79396,0.402796,0.00697081
6,0.23232323232323238,0.25520833333333337,0.49065420560747663,0.4231884057971015,0.38564184681078195,0.65,0.2595959595959596,0.957061,0.155885,0.311379,48,0.0096405,0.03528,0.332679,16,0.324906,0.474101,0.00446981
7,0.4191919191919192,0.43489583333333337,0.4252336448598131,0.4521739130434783,0.4311449159327462,0.51875,0.1444444444444445,0.974381,0.115439,0.369822,13,0.00502573,0.084693,0.188927,69,1.11767,0.0140431,0.00593719
8,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.792833,0.1376,0.478362,57,0.00507901,0.0291772,0.471403,28,2.51736,0.372735,0.00619598
9,0.5303030303030303,0.47265625,0.4953271028037384,0.5159420289855072,0.5784627702161729,0.525,0.2090909090909091,0.967769,0.110259,0.468427,42,0.00182469,0.0105681,0.238953,44,1.04638,0.0580004,0.00998445
10,0.7373737373737373,0.640625,0.3457943925233645,0.5594202898550724,0.10408326661329059,0.125,0.09090909090909094,0.887176,0.191797,0.202827,54,0.00417136,0.0469379,0.248166,64,3.55732,0.404288,0.0010876
11,0.7626262626262627,0.55078125,0.4392523364485982,0.536231884057971,0.39911929543634905,0.125,0.09090909090909094,0.794725,0.067312,0.340001,47,0.00775942,0.079712,0.401282,86,2.36029,0.686365,0.00280088
12,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.805976,0.0629492,0.0426596,4,0.000359139,0.073511,0.419573,43,3.3432,0.671143,0.00192279
13,0.7626262626262627,0.6497395833333333,0.3457943925233645,0.5710144927536231,0.10408326661329059,0.23750000000000004,0.09090909090909094,0.807163,0.0384441,0.47243,59,0.000132652,0.0895329,0.0791267,99,1.86008,0.270728,0.00684096
14,0.7626262626262627,0.38932291666666663,0.4112149532710281,0.46376811594202894,0.20309580998131838,0.125,0.14747474747474743,0.815371,0.0250483,0.14931,19,0.00170198,0.0752115,0.455973,87,3.9889,0.490252,0.00845621
15,0.41414141414141414,0.40234375,0.4532710280373832,0.45507246376811594,0.5679210034694422,0.35,0.18686868686868685,0.877596,0.117573,0.386336,65,0.0039656,0.0851659,0.375419,40,1.26803,0.549716,0.00699962
16,0.7626262626262627,0.44140625,0.3551401869158879,0.4695652173913043,0.10408326661329059,0.125,0.09090909090909094,0.761752,0.0371857,0.306304,15,0.00889462,0.0170766,0.423129,17,1.46546,0.288358,0.00970621
17,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.15745930077395254,0.125,0.09090909090909094,0.862223,0.17431,0.14196,73,0.00564268,0.0571942,0.454147,2,3.37355,0.426532,0.00420467
18,0.7373737373737373,0.640625,0.3457943925233645,0.5594202898550724,0.24953295970109424,0.125,0.09090909090909094,0.886045,0.128214,0.177295,24,0.0033588,0.0159805,0.0414639,2,1.13379,0.0528239,0.00520261
19,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.4782608695652174,0.440485721910862,0.25,0.1515151515151515,0.855068,0.0560661,0.1601,64,0.00602893,0.0354641,0.211426,60,3.05414,0.553384,0.00925136
20,0.7575757575757576,0.6497395833333333,0.35046728971962615,0.536231884057971,0.13437416599946628,0.125,0.09090909090909094,0.861378,0.132718,0.0598405,66,0.00185362,0.0976223,0.279001,56,1.63973,0.41734,0.00486452
21,0.19696969696969702,0.12109375,0.4299065420560748,0.23188405797101452,0.27822257806245,0.625,0.1767676767676768,0.980326,0.169737,0.346326,83,0.0018814,0.0218261,0.16522,34,0.254329,0.633941,0.00574159
22,0.7626262626262627,0.5703125,0.3551401869158879,0.4492753623188406,0.10408326661329059,0.125,0.09090909090909094,0.761532,0.0178138,0.475252,48,0.00620374,0.065793,0.313273,21,3.85799,0.0519202,0.00535377
23,0.7626262626262627,0.7200520833333333,0.4439252336448598,0.5478260869565217,0.40272217774219377,0.125,0.09090909090909094,0.815956,0.0835316,0.316927,85,0.00645442,0.0407755,0.282453,72,1.30767,0.495311,0.00544544
24,0.5353535353535354,0.40625,0.48130841121495327,0.4492753623188406,0.6357085668534828,0.31875,0.18686868686868685,0.89538,0.0942857,0.482585,17,0.00606129,0.0707028,0.395093,51,1.15623,0.430561,0.00181075
25,0.7626262626262627,0.55078125,0.46261682242990654,0.536231884057971,0.2060314918601548,0.125,0.09090909090909094,0.764281,0.0503534,0.227664,76,0.00804499,0.0753834,0.00809407,25,0.403585,0.592496,0.00957162
26,0.7373737373737373,0.6393229166666667,0.3457943925233645,0.5594202898550724,0.19228716306378435,0.125,0.09090909090909094,0.892923,0.196106,0.32538,22,0.00324027,0.0392838,0.485733,5,2.13831,0.255836,0.00126143
27,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5710144927536231,0.10408326661329059,0.125,0.09090909090909094,0.793764,0.0898103,0.485683,67,0.00617942,0.0112728,0.162111,16,3.25296,0.396234,0.00145753
28,0.5303030303030303,0.48697916666666663,0.383177570093458,0.5101449275362319,0.2754203362690152,0.33125000000000004,0.11717171717171715,0.926088,0.0499374,0.0911124,70,0.00305154,0.0115802,0.0965358,21,3.85298,0.329213,0.00800868
29,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.737204,0.105112,0.378219,67,0.00598555,0.0679311,0.448938,65,0.551291,0.105501,0.0099567
30,0.7373737373737373,0.6393229166666667,0.3457943925233645,0.5449275362318841,0.29770483053109154,0.23124999999999996,0.14141414141414144,0.91104,0.0669332,0.189426,89,0.00613667,0.0600762,0.178451,11,1.3787,0.0784117,0.00359279
31,0.4242424242424242,0.42708333333333337,0.49065420560747663,0.49275362318840576,0.6650653856418468,0.31875,0.18787878787878787,0.893298,0.152751,0.113371,69,0.00317236,0.0783766,0.416988,92,3.27966,0.752247,0.0029365
32,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.70243,0.181502,0.210855,18,0.00510337,0.0737304,0.357238,23,2.34909,0.793096,0.00917091
33,0.7626262626262627,0.58984375,0.3551401869158879,0.5014492753623188,0.10408326661329059,0.125,0.09090909090909094,0.733587,0.00810189,0.0294964,71,0.00442114,0.0663353,0.355939,51,1.95937,0.0239145,0.00860115
34,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.781484,0.0764417,0.309884,34,0.0069011,0.0405256,0.420855,98,3.53361,0.00647789,0.00988893
35,0.6262626262626263,0.36979166666666663,0.42056074766355145,0.4608695652173913,0.47824926607953033,0.23124999999999996,0.15454545454545454,0.860149,0.0427401,0.0675511,38,0.0062213,0.0386629,0.399196,12,2.63463,0.638829,0.00473827
36,0.6313131313131313,0.5989583333333333,0.3271028037383178,0.49855072463768113,0.28436082199092605,0.28125,0.09090909090909094,0.948905,0.105456,0.435542,57,0.000719819,0.0785882,0.0786268,52,3.49728,0.121011,0.00574663
37,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.743213,0.0359319,0.134557,77,0.00659253,0.0635404,0.264267,20,3.66426,0.503258,0.00472513
38,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.10408326661329059,0.125,0.09090909090909094,0.837552,0.148146,0.409007,49,0.00158319,0.0245657,0.107844,75,3.50612,0.642904,0.000972697
39,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.756642,0.0483342,0.416457,17,0.00772569,0.0953342,0.0546738,76,2.10517,0.462419,0.00219401
40,0.09090909090909094,0.07942708333333337,0.3598130841121495,0.16231884057971013,0.24886575927408594,0.54375,0.1525252525252525,0.990724,0.136281,0.107551,23,0.00807156,0.0261402,0.479159,59,0.903901,0.54467,0.0047649
41,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.719744,0.140878,0.131515,96,0.00525413,0.0578915,0.00792861,42,3.08995,0.272919,0.00182896
42,0.7626262626262627,0.45182291666666663,0.485981308411215,0.536231884057971,0.4831865492393915,0.125,0.11818181818181817,0.840606,0.106803,0.26655,59,0.00566331,0.0764521,0.422102,63,0.586282,0.356893,0.00465847
43,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5710144927536231,0.10408326661329059,0.125,0.09090909090909094,0.810182,0.190126,0.13824,24,0.00810366,0.0838127,0.404844,97,3.82387,0.0291554,0.00634678
44,0.7626262626262627,0.6015625,0.43457943925233644,0.5391304347826087,0.4871897518014412,0.125,0.18181818181818177,0.829142,0.171497,0.0417123,58,0.00437583,0.0483699,0.395487,41,1.08649,0.508158,0.0080421
45,0.2828282828282829,0.33203125,0.4953271028037384,0.46376811594202894,0.5280224179343475,0.575,0.19292929292929295,0.941284,0.124734,0.00323135,73,0.00691609,0.0536461,0.38093,51,0.596469,0.798077,0.00324063
46,0.2727272727272727,0.53515625,0.3271028037383178,0.5159420289855072,0.5577795569789165,0.64375,0.2212121212121212,0.969346,0.112779,0.487587,81,0.0024649,0.0699669,0.288764,40,1.27566,0.195506,0.00354771
47,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.702281,0.199949,0.379492,68,0.000465549,0.0527973,0.32292,54,2.22847,0.755213,0.00780647
48,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5710144927536231,0.10408326661329059,0.125,0.09090909090909094,0.813779,0.101064,0.0602875,48,0.00285347,0.0952319,0.338535,9,3.51806,0.447022,0.00688873
49,0.5303030303030303,0.5559895833333333,0.3457943925233645,0.5652173913043479,0.19735788630904727,0.25,0.1515151515151515,0.864037,0.0460689,0.184723,100,0.00523702,0.0729999,0.311482,29,2.08611,0.221276,0.00810935
50,0.7626262626262627,0.6510416666666667,0.36448598130841126,0.5217391304347826,0.10408326661329059,0.125,0.09090909090909094,0.745793,0.0647479,0.0626729,35,0.00862766,0.0735943,0.0408373,4,1.35868,0.523758,0.00710819
51,0.21717171717171713,0.1875,0.37850467289719625,0.31304347826086953,0.3397384574326128,0.56875,0.24545454545454548,0.954967,0.0064247,0.0988671,16,0.000312992,0.0931372,0.133533,5,1.31468,0.0934249,0.00210447
52,0.41414141414141414,0.5403645833333333,0.44859813084112155,0.5420289855072464,0.5445689885241527,0.125,0.18181818181818177,0.8477,0.196734,0.490371,84,0.00654939,0.0805166,0.447257,57,2.09921,0.785224,0.0041441
53,0.7626262626262627,0.5052083333333333,0.4392523364485982,0.5449275362318841,0.2986389111289032,0.125,0.1383838383838384,0.792424,0.0736686,0.489842,76,0.000268884,0.0417204,0.328312,32,1.23287,0.540946,0.000231456
54,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.783207,0.108517,0.376379,91,0.00972254,0.0377164,0.377539,83,2.26223,0.525201,0.0068137
55,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.751474,0.098412,0.475001,94,0.00288509,0.0532546,0.349699,4,2.88155,0.00474772,0.00543994
56,0.7626262626262627,0.5299479166666667,0.4532710280373832,0.5333333333333333,0.4942620763277289,0.125,0.13737373737373737,0.839866,0.111438,0.235319,53,0.00328393,0.09894,0.482684,50,0.540485,0.349032,0.00244657
57,0.2222222222222222,0.17057291666666663,0.44859813084112155,0.40289855072463765,0.30784627702161727,0.68125,0.24848484848484853,0.950944,0.0155435,0.213937,18,0.00340184,0.0609505,0.36571,9,3.94773,0.724991,0.0075125
