max_value,0.6336257000951073,0.8047894940131325,0.8179832544594102,0.9124199442065145,0.9269076811548523,0.9141243824013803,0.787515031107858,0.9372521021735681,0.9784531074853655,0.9751724707729169,0.9712315836992654,0.884462461994231,0.9691315187498394,0.9747382077657307,0.96823670806387,0.9848405769595748,0.660842047330765,0.6450194699158397,0.5659551176792557,0.4237402317434654,0.37403223759360327,0.3630694833290914
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69
index_set,232,92,14,75,351,280,30,14,92,295,33,14,92,229,44,27,276,468,468,468,418,205
mean_value,0.2810022173888187,0.27309998586124196,0.283809499245157,0.317900080676694,0.32547721721831563,0.3592164168028584,0.32990064873640473,0.31034542167874946,0.2570740416636212,0.2252426310596374,0.1766252514811132,0.3149521663454693,0.2873336625046995,0.2667253572443128,0.2620786303985786,0.2533668152381649,0.28115547096121835,0.23221406960838942,0.19579337993205592,0.17114449060624393,0.15140662645512243,0.13930489135710633

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.00605867346938771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00605867346938771,0.00605867346938771,0.005106926268751977,0.0025567273889421926,0.0012791813239526606,0.0012781594503914473,0.994037,0.00892948,0.349246,25,0.00953326,0.0341729,0.235864,19,3.61478,0.569158,0.00685937
1,0.27969066470263304,0.19330188311435148,0.1850623124855758,0.20815828142138704,0.14535497654772722,0.16561456172103772,0.1092793071450665,0.20054062842973863,0.11356942392177471,0.10032220607346909,0.036988142185727435,0.18929349370205517,0.1838502318750188,0.1879488156205471,0.15273385804833883,0.15754216957095835,0.27969066470263304,0.20661097508281723,0.13029809035863993,0.15662135183952852,0.09942750892988206,0.10528202141481113,0.926192,0.165054,0.197383,29,0.00823996,0.0339017,0.139506,92,2.68381,0.476741,0.00491546
2,0.29038613081166276,0.16389854512681856,0.19130884932846337,0.19878688806676414,0.46477478963867347,0.2551333421396387,0.09116102988851937,0.33134449518011166,0.16302986645979944,0.11124940312644327,0.06018106745919838,0.3780776759039868,0.23766691952943442,0.20167614946947565,0.1706704284522792,0.1746446509141537,0.29038613081166276,0.23636363636363633,0.1408028010503939,0.10974358974358978,0.10224574594380686,0.112371484408191,0.928228,0.0560133,0.303743,90,0.00741315,0.0307581,7.256e-05,55,0.679491,0.132623,0.00339567
3,0.15074237787600586,0.17750290728406803,0.11990499331131066,0.1684423305588585,0.24215446249721795,0.18722782595749432,0.19966335865443574,0.19100993537185296,0.10917812599936039,0.12642607683352736,0.04892518586774042,0.1857737718743412,0.21550550761243248,0.1697461432027183,0.21286493034524534,0.14950171133257273,0.15074237787600586,0.13882683875237856,0.12493427970557303,0.07700839803517667,0.08136936204794798,0.08881287216520972,0.908602,0.109268,0.188015,27,0.00100806,0.0145734,0.443094,81,3.81803,0.233586,0.0048638
4,0.20483073411943709,0.1297221442604547,0.13531626506024097,0.16256582923249585,0.21844466600199397,0.20056577373106488,0.1771993769716712,0.1206316103083569,0.16873832447190684,0.06752335167346046,0.0644039123649317,0.2003341190470742,0.2298387818276164,0.1261669853054047,0.17158192873695255,0.14810911050529385,0.20483073411943709,0.14677563815494854,0.12922284502348125,0.1084152334152334,0.1017092809718887,0.06800425026564161,0.914737,0.134689,0.137293,83,0.00788871,0.0394949,0.251203,86,3.2805,0.144067,0.00810052
5,0.26701039641619473,0.2738202584911331,0.28543726559836347,0.33817204301075265,0.37969305209042115,0.47276053918823047,0.5545300350243408,0.33679354094579006,0.14285618130296363,0.09844122891844176,0.039349830552809384,0.3203861331246127,0.3164768774164003,0.36803097975089283,0.28206175571525405,0.2507815707844978,0.26701039641619473,0.26178051250097356,0.2773780008465865,0.22212401730474018,0.24431902569434127,0.23064017660044145,0.922062,0.00799468,0.468412,93,0.00190448,0.0118508,0.455977,31,0.488464,0.0600526,0.00854652
6,0.11414968999114261,0.1361825883543023,0.1368472975829751,0.1553287667433928,0.16658089969552725,0.09838328075709779,0.13271968978622695,0.11718985193902409,0.08407770469145914,0.057450975651038516,0.05104555583430481,0.13675687666370895,0.09570378937342672,0.08918582970789313,0.13806286515901278,0.06478466460911181,0.11414968999114261,0.09149184149184153,0.10826210826210825,0.11509893635985502,0.07103422892896583,0.06504791294461587,0.900438,0.155991,0.425446,32,0.00424234,0.0171451,0.421559,23,2.3472,0.02806,0.00546125
7,0.307265625,0.20817744521646175,0.1512570965125709,0.13889201877934276,0.07476842338212508,0.11337038039584091,0.07362517895008769,0.1328301036502929,0.15975194634491596,0.11212939641307318,0.08825986783806361,0.12672892776923983,0.15341904653544203,0.10724059870932867,0.12442285942385733,0.1803653707120736,0.307265625,0.21916488959207536,0.1633804563492064,0.13450765232457407,0.1018980411242244,0.15508575375052758,0.957525,0.116708,0.0724624,12,0.00231552,0.0176794,0.41232,51,1.11093,0.245057,0.00751115
8,0.3007425742574258,0.22702192685578326,0.2291675831023915,0.23756788414439356,0.2579778905916402,0.3299776567167926,0.32410127934715527,0.1904081875520648,0.09535947950426671,0.04574292036941585,0.022939216794305994,0.218408285846296,0.21247867096407247,0.1557437004527915,0.13537215740874098,0.11954064692991928,0.29709154792114,0.2767374115688722,0.29203583872573424,0.26877593360995855,0.25087535810104133,0.17753634565265175,0.908057,0.0656741,0.180879,61,0.00573981,0.0361079,0.318043,73,1.40428,0.548528,0.00444879
9,0.41895930722660746,0.5912861671275376,0.6077917030991936,0.7373613312202852,0.7400831926693996,0.7119301965261355,0.21958907183229515,0.7808165504270825,0.6262914143213395,0.7788184438040346,0.6594002167891124,0.5764815263966367,0.9339179217628626,0.9567400400218301,0.9080442804428044,0.8709011102504518,0.41889510382346185,0.3018992024993834,0.3041521323281198,0.08577135471742448,0.0564465995275395,0.08600427350427353,0.993391,0.0644105,0.396588,26,0.000890838,0.0444584,0.396229,96,1.00751,0.563899,0.00238295
