max_value,0.6362478777589133,0.8047894940131325,0.8181108915010923,0.9197924505881887,0.92781423523473,0.9140813701809969,0.8361273381158069,0.9586206896551724,0.9784531074853655,0.9785276073619632,0.9779977540240402,0.8851870635508914,0.9691315187498394,0.975425190570692,0.9821913235315461,0.9848288950833284,0.6373976825768045,0.6954209365676483,0.5392014758202661,0.45818643350726274,0.42992269213278766,0.4298629749964684
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69
index_set,232,92,14,134,351,280,53,44,92,295,295,14,92,229,44,162,232,468,468,242,0,153
mean_value,0.29014265070125905,0.2822023995804084,0.29674460392680435,0.33311087344895596,0.3382223466099267,0.3801061230135775,0.3455467474638859,0.3255114761489035,0.2668291801173485,0.2353741228625774,0.18664387779865454,0.3297282019214115,0.3005922405341558,0.2804940971183881,0.2753435721215695,0.2623446753234381,0.2896469293418383,0.24327130384298654,0.20300601665630288,0.1788299655460749,0.15744437171868086,0.1451357186493682

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.3412926391382406,0.42699712705287085,0.4737713267125032,0.6460990124910078,0.49407884874831365,0.6298790561588035,0.688394380989891,0.6828544949026877,0.6749502299718542,0.7312372170416335,0.8609029929784646,0.66276616784231,0.6338644113510702,0.6548753839820123,0.6007259719080436,0.5005669964768311,0.3618931757617889,0.3147248207994169,0.3596429709913931,0.3941330235259948,0.42992269213278766,0.19266055045871555,0.994037,0.00892948,0.349246,25,0.00953326,0.0341729,0.235864,19,3.61478,0.569158,0.00685937
1,0.27969066470263304,0.19330188311435148,0.1850623124855758,0.20815828142138704,0.14535497654772722,0.16561456172103772,0.1092793071450665,0.20054062842973863,0.11356942392177471,0.10032220607346909,0.036988142185727435,0.18929349370205517,0.1838502318750188,0.1879488156205471,0.15273385804833883,0.15754216957095835,0.27969066470263304,0.20661097508281723,0.13029809035863993,0.15662135183952852,0.09942750892988206,0.10528202141481113,0.926192,0.165054,0.197383,29,0.00823996,0.0339017,0.139506,92,2.68381,0.476741,0.00491546
2,0.29038613081166276,0.16389854512681856,0.19130884932846337,0.19878688806676414,0.3684075001755659,0.2551333421396387,0.09116102988851937,0.24696055278579554,0.19118375433382861,0.10884768579985793,0.049684090625945476,0.3780776759039868,0.23766691952943442,0.20167614946947565,0.1706704284522792,0.1746446509141537,0.29038613081166276,0.23636363636363633,0.1408028010503939,0.10974358974358978,0.10224574594380686,0.112371484408191,0.928228,0.0560133,0.303743,90,0.00741315,0.0307581,7.256e-05,55,0.679491,0.132623,0.00339567
3,0.15074237787600586,0.17750290728406803,0.11990499331131066,0.1684423305588585,0.24215446249721795,0.18722782595749432,0.19966335865443574,0.19100993537185296,0.10917812599936039,0.12642607683352736,0.04892518586774042,0.1857737718743412,0.21550550761243248,0.1697461432027183,0.21286493034524534,0.14950171133257273,0.15074237787600586,0.13882683875237856,0.12493427970557303,0.07700839803517667,0.08136936204794798,0.08881287216520972,0.908602,0.109268,0.188015,27,0.00100806,0.0145734,0.443094,81,3.81803,0.233586,0.0048638
4,0.20483073411943709,0.1297221442604547,0.13531626506024097,0.16256582923249585,0.21844466600199397,0.20056577373106488,0.1771993769716712,0.1206316103083569,0.16873832447190684,0.06752335167346046,0.0644039123649317,0.2003341190470742,0.2298387818276164,0.1261669853054047,0.17158192873695255,0.14810911050529385,0.20483073411943709,0.14677563815494854,0.12922284502348125,0.1084152334152334,0.1017092809718887,0.06800425026564161,0.914737,0.134689,0.137293,83,0.00788871,0.0394949,0.251203,86,3.2805,0.144067,0.00810052
5,0.2992371705963939,0.27191178661898374,0.2570418027014916,0.3255840889536038,0.411583344384034,0.5425428910236186,0.5207653114276801,0.2718681851223649,0.181725688685214,0.10939231461098498,0.03475643400465056,0.37883853053469974,0.3010184448834048,0.3225467000467688,0.2652099065806689,0.22872567126012222,0.2992371705963939,0.3112582781456954,0.2760674090394807,0.21952902216907366,0.17185825294748125,0.21556224517014055,0.922062,0.00799468,0.468412,93,0.00190448,0.0118508,0.455977,31,0.488464,0.0600526,0.00854652
6,0.11414968999114261,0.1361825883543023,0.1368472975829751,0.1553287667433928,0.16658089969552725,0.09838328075709779,0.13271968978622695,0.11718985193902409,0.08407770469145914,0.057450975651038516,0.05104555583430481,0.13675687666370895,0.09570378937342672,0.08918582970789313,0.13806286515901278,0.06478466460911181,0.11414968999114261,0.09149184149184153,0.10826210826210825,0.11509893635985502,0.07103422892896583,0.06504791294461587,0.900438,0.155991,0.425446,32,0.00424234,0.0171451,0.421559,23,2.3472,0.02806,0.00546125
7,0.307265625,0.20817744521646175,0.1512570965125709,0.13889201877934276,0.07476842338212508,0.11337038039584091,0.07362517895008769,0.1328301036502929,0.15975194634491596,0.11212939641307318,0.08825986783806361,0.12672892776923983,0.15341904653544203,0.10724059870932867,0.12442285942385733,0.1803653707120736,0.307265625,0.21916488959207536,0.1633804563492064,0.13450765232457407,0.1018980411242244,0.18000902300867216,0.957525,0.116708,0.0724624,12,0.00231552,0.0176794,0.41232,51,1.11093,0.245057,0.00751115
8,0.295800365185636,0.22819234414273348,0.25279186307603085,0.23331608328470288,0.25793268529059754,0.3222446816377844,0.32413352824707165,0.2080616203242881,0.09555046522470656,0.04415348789360962,0.022557054883608374,0.20539568345323744,0.2101291277381746,0.1588119302208305,0.12698804378419437,0.11878063366075997,0.2934447300771208,0.28540191586838815,0.29052245464459203,0.26877593360995855,0.2507610522967877,0.170740706576884,0.908057,0.0656741,0.180879,61,0.00573981,0.0361079,0.318043,73,1.40428,0.548528,0.00444879
9,0.4177541729893779,0.6707408671901673,0.7121944218533225,0.7867352999406059,0.8183662640072417,0.7510862108392408,0.21958907183229515,0.8933552734681085,0.7213386479340147,0.909681323114159,0.7903001553938006,0.6360524814603536,0.9490486204362918,0.9616031595114459,0.9141529441960365,0.8712896862671426,0.41769079047185553,0.3609260208440116,0.3329585066906555,0.10474728389230048,0.05976095617529875,0.10531245818279134,0.993391,0.0644105,0.396588,26,0.000890838,0.0444584,0.396229,96,1.00751,0.563899,0.00238295
