max_value,0.5792034052903619,0.6352235550708834,0.6628614020634733,0.7112605416651188,0.6672734443736537,0.7744880604122729,0.7825052925543894,0.7273430699293936,0.6920163255718355,0.7217619855607679,0.7326336660741146,0.6721293404372588,0.726074609839567,0.7326534586852216,0.8238540122803303,0.8654501445256504,0.5777395875454914,0.399390759857844,0.30462732058742037,0.3000065303990074,0.289151157512483,0.21260901635787743
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,40,13,12,16
index_set,105,158,298,165,89,221,367,447,280,491,374,258,409,357,357,357,105,77,466,356,195,436
mean_value,0.16112763487015805,0.141645951865721,0.15131075445171632,0.19917963939784758,0.17648435162963375,0.2003547301213202,0.18911361264634366,0.20139644873493875,0.16481447108069175,0.15200543893957083,0.12273547326761532,0.18631756391929305,0.17984818819705004,0.1875700633397024,0.18046748627811263,0.2039792700853759,0.16164040686970504,0.12843894282937177,0.10671836777588907,0.09584506904189684,0.0774452475311647,0.061312266204796406

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.024027821688270667,0.006166495375128478,0.0036862700618158772,0.058067013634995,0.002242914429416154,6.862240521530172E-4,6.826171541690629E-4,0.07869684789507092,0.010154002369267223,0.0029627121513522425,0.0020686452484485196,0.006067801081651503,0.002649989400042352,0.014220166091539976,0.015475997464884261,0.02821512081060018,0.024027821688270667,0.0060422960725075026,0.00509310838771293,0.00509310838771293,0.0019154030327214189,3.198976327575265E-4,0.994037,0.00892948,0.349246,25,0.00953326,0.0341729,0.235864,19,3.61478,0.569158,0.00685937
1,0.07297096053611318,0.02721202003338896,0.04668508287292816,0.07313736058708897,0.04448569629064869,0.04768321234272621,0.04857024821071676,0.07710967947188418,0.061487362281270275,0.05972743432747385,0.04224994560092843,0.059408454280032164,0.058293452805213364,0.06437299970904864,0.03748528920336491,0.08618951028687338,0.07297096053611318,0.06399546934730282,0.06021871893196984,0.059693007390562824,0.04393451797957182,0.040250914793518056,0.926192,0.165054,0.197383,29,0.00823996,0.0339017,0.139506,92,2.68381,0.476741,0.00491546
2,0.07292289300657506,0.026918575489048635,0.04508990318118944,0.07273633080084696,0.04415618883322825,0.04771857670200752,0.04861638875229113,0.07651493996090475,0.06043866774979689,0.058460926625571674,0.04194106177109014,0.05722521300495953,0.05740967544396813,0.06449967203556595,0.0370860541892698,0.08627551079604123,0.07292289300657506,0.061236115066932495,0.0590922066799886,0.05908377336948767,0.043404735062006816,0.03937111903818202,0.928228,0.0560133,0.303743,90,0.00741315,0.0307581,7.256e-05,55,0.679491,0.132623,0.00339567
3,0.1237935375577004,0.06179499754781759,0.05947833678926118,0.07348951911220714,0.05180025507701369,0.047894894995158754,0.10415604283528812,0.07808276544713899,0.06597070614853329,0.06456947557972881,0.04370657359674679,0.06767386689973776,0.06420713911546805,0.06333870101986039,0.038829366506076046,0.09020309280684669,0.1237935375577004,0.07010817472271669,0.07011777595179403,0.07011777595179403,0.05235738473560825,0.04709206498704965,0.908602,0.109268,0.188015,27,0.00100806,0.0145734,0.443094,81,3.81803,0.233586,0.0048638
4,0.07900943396226412,0.08955104007710224,0.09347300564061245,0.07371979879607482,0.05022171128264086,0.04807627857094976,0.04825880029731855,0.07799668427343176,0.06363563595613542,0.06352038879185962,0.044474168199297726,0.10036315615714753,0.10317382332711011,0.06363930536080253,0.038994800693240905,0.08512489410902768,0.07900943396226412,0.07087699944842807,0.06777316735822958,0.06082986437491611,0.04745023179710939,0.04453688975896242,0.914737,0.134689,0.137293,83,0.00788871,0.0394949,0.251203,86,3.2805,0.144067,0.00810052
5,0.07261904761904758,0.05714757618300437,0.09211806681803436,0.07323430841160161,0.04798889513170501,0.048223350253807085,0.04846904666399254,0.07747754844808574,0.06242438906363412,0.06268413707551557,0.04318398138682267,0.06078514140987756,0.06129996453721065,0.0640897981352403,0.038623809316689184,0.0856317007727121,0.07261904761904758,0.06171621812033257,0.061434408905171156,0.061434408905171156,0.04406262990162113,0.041794087665647295,0.922062,0.00799468,0.468412,93,0.00190448,0.0118508,0.455977,31,0.488464,0.0600526,0.00854652
6,0.07998828010547909,0.06671005532053365,0.06326718217703997,0.07338252680500634,0.054758504284601384,0.04935241538282942,0.05519973588643112,0.07759550645389279,0.06696846706212922,0.06474668908976244,0.04236532286835537,0.0687013468429507,0.1139580634326568,0.06746319305749482,0.03856591915440655,0.09116120951869744,0.07998828010547909,0.07228590694538095,0.0881024096385542,0.0713031735313977,0.05245213742460009,0.048923458460151004,0.900438,0.155991,0.425446,32,0.00424234,0.0171451,0.421559,23,2.3472,0.02806,0.00546125
7,0.06281599509728819,0.035961505993584386,0.02828339400728086,0.06564440501837532,0.024468336085740283,0.035866736960255774,0.03337470382488994,0.07772020725388606,0.03987704577552542,0.03900414937759333,0.03052254598730264,0.040195358084453514,0.03571894146786603,0.0658739462959862,0.030238656841056644,0.08558484154888035,0.06281599509728819,0.04727491719361643,0.038532110091743066,0.04727491719361643,0.02447231569287245,0.02042042042042047,0.957525,0.116708,0.0724624,12,0.00231552,0.0176794,0.41232,51,1.11093,0.245057,0.00751115
8,0.28379588182632054,0.26008991650610147,0.3097520527444081,0.3134172723452602,0.3560715576436574,0.44715573354858074,0.46276645061234123,0.2640832666132906,0.16909150263364536,0.09733608318295095,0.04045963057213986,0.35149396477804895,0.30649836195583413,0.28341553498637484,0.2712259025859125,0.24456152955733845,0.28752608765451915,0.27781253910649484,0.25784281121826846,0.24933357028612047,0.22422241708361268,0.1705618696974548,0.908057,0.0656741,0.180879,61,0.00573981,0.0361079,0.318043,73,1.40428,0.548528,0.00444879
9,0.4608081996135428,0.2780172413793104,0.13214340826089188,0.17495942682975107,0.14361718774449972,0.21989443767762895,0.21982629529799336,0.2047526528172171,0.13689177935519692,0.21217847364158726,0.1296920115495669,0.22275989337707602,0.22672267226722675,0.23033269875804552,0.21470830231555849,0.3082851637764933,0.46593611960584436,0.2024059897366871,0.19647209005454336,0.06422694338695811,0.04453125000000002,0.04972685250035014,0.993391,0.0644105,0.396588,26,0.000890838,0.0444584,0.396229,96,1.00751,0.563899,0.00238295
