max_value,0.6261401222812468,0.6352235550708834,0.6612897132711268,0.8033348323935379,0.7266329578047843,0.8218984896134482,0.785357283163822,0.744834677548922,0.7030606765706103,0.7730041260069422,0.8087069436850738,0.7151862825442854,0.726074609839567,0.7326534586852216,0.8238540122803303,0.8654501445256504,0.6245750849830034,0.4288775342014175,0.5671957671957673,0.3491751767478397,0.40482505999747376,0.3499711149624495
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
index_set,105,158,298,144,89,128,205,447,484,491,374,177,409,357,357,357,105,77,153,352,273,346
mean_value,0.28667327078753235,0.25794611400795553,0.25410831325330047,0.2965914521164591,0.2928083217951118,0.3401683893913754,0.31733241417224195,0.2931874620871956,0.2532524924862404,0.2211128045691734,0.16837190146861167,0.29449372276959424,0.2764955012911268,0.26182451980969673,0.26775750136576165,0.25968786455101733,0.28750685865383024,0.2362132644238466,0.19564125841121344,0.16810071572308463,0.1496245894303588,0.135542023740891

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.2783892382948987,0.40830279739029407,0.28513630032499837,0.486235057403243,0.48992954510644815,0.5153559503595401,0.4923395473905824,0.5042257929883138,0.4617618350414836,0.37520351275346586,0.429474216380182,0.43216893182073457,0.38423344282331373,0.44865629968588827,0.3571399541324354,0.34970827520899306,0.2783892382948987,0.28672574896445424,0.21942277691107648,0.16681915218054288,0.18989227595691038,0.06668986314080261,0.994037,0.00892948,0.349246,25,0.00953326,0.0341729,0.235864,19,3.61478,0.569158,0.00685937
1,0.28459748720335043,0.19402050559599282,0.1992862045298559,0.20812108253149697,0.138744561839652,0.14622915642183376,0.07362436760027125,0.20851971071443498,0.11336064516769007,0.10023392532857278,0.03699888547401131,0.18484679406704796,0.1855224289673234,0.17605498379687334,0.15255392863934247,0.15785376102156445,0.28459748720335043,0.201614065427295,0.13152952224439485,0.1563612205191477,0.10040082119464266,0.1051548236978701,0.926192,0.165054,0.197383,29,0.00823996,0.0339017,0.139506,92,2.68381,0.476741,0.00491546
2,0.2902946273830156,0.16431277988287973,0.18692700475803647,0.19900636613902267,0.17033962858868956,0.1470982891647098,0.0733676795289665,0.2353234168760896,0.13484537940043695,0.10421338853702011,0.04917592988079311,0.18502828258514858,0.23570724198475124,0.1961941903213127,0.16843816495902175,0.17542566108201463,0.2902946273830156,0.23625768857235352,0.15404205302337726,0.10886663271657326,0.10106295319709957,0.11175231676495367,0.928228,0.0560133,0.303743,90,0.00741315,0.0307581,7.256e-05,55,0.679491,0.132623,0.00339567
3,0.10548162617507018,0.13264766665064642,0.16587201072785518,0.16264204545454541,0.17343213525142331,0.17462497776548014,0.14810649909045803,0.18153065418222758,0.11600568402015243,0.12712268326229348,0.04890490297240624,0.15100968113920998,0.20155532359081418,0.1836624758313533,0.1689655695664709,0.16470049866417225,0.10548162617507018,0.13305012744265077,0.10371763344423546,0.09059233449477355,0.06905413710263142,0.08291300379497524,0.908602,0.109268,0.188015,27,0.00100806,0.0145734,0.443094,81,3.81803,0.233586,0.0048638
4,0.19295047098146456,0.1321186995417849,0.10669965284705318,0.14158981115502856,0.21456653112573854,0.2011957544001075,0.12895450436878575,0.15533052177324436,0.13650890275452743,0.07077058727985708,0.07165613892930145,0.16395512745213203,0.20183426775123958,0.1237618527265677,0.1271206258769505,0.12861716537372248,0.19295047098146456,0.11805441055234955,0.1094883720930232,0.09079547125422727,0.09043143207426008,0.09936831875607388,0.914737,0.134689,0.137293,83,0.00788871,0.0394949,0.251203,86,3.2805,0.144067,0.00810052
5,0.33961787728305703,0.21317371050662548,0.282188309184067,0.2923957043926265,0.3221795794355161,0.12719698530927082,0.25336488071147645,0.2890405866648643,0.14725771518825725,0.08769638560417925,0.04583896225634809,0.18379928315412186,0.19861620653749967,0.16674829106109412,0.14424350357309135,0.15857341720850737,0.33961787728305703,0.26958177922387117,0.21688825311342985,0.2532725964996404,0.23695266144051275,0.23419706931373818,0.922062,0.00799468,0.468412,93,0.00190448,0.0118508,0.455977,31,0.488464,0.0600526,0.00854652
6,0.17886270956048933,0.09352869352869353,0.10571481412983175,0.12300223067838867,0.1952055551869789,0.1581325630757785,0.09080910967479949,0.15124199954724127,0.08808520549685561,0.06737688593277347,0.05445017096982008,0.15257600000000004,0.08204674007125745,0.11900974007393761,0.13188549024690555,0.12038443213626349,0.17886270956048933,0.08772285251215561,0.10859061501924494,0.10313868613138688,0.06893819334389861,0.07894048967500222,0.900438,0.155991,0.425446,32,0.00424234,0.0171451,0.421559,23,2.3472,0.02806,0.00546125
7,0.3061894341981869,0.20693536284703618,0.11639224961339034,0.12701407494056827,0.07441992972682088,0.07380790521511116,0.07359428460760475,0.13254415633220595,0.15700694959854256,0.11212939641307318,0.08853388693384645,0.11145953240979634,0.15147297081441258,0.10590949182441145,0.12446260531604803,0.17986232493903886,0.3061894341981869,0.20242858145574505,0.1541529501139529,0.1411196461824954,0.10264109320424042,0.10440012336794491,0.957525,0.116708,0.0724624,12,0.00231552,0.0176794,0.41232,51,1.11093,0.245057,0.00751115
8,0.30276501057853655,0.26998258651558626,0.3279771076381246,0.33145483054662883,0.38438330256225517,0.48067351689812954,0.5252273056504734,0.2814850087025057,0.1771013460084636,0.09943303876060416,0.0415695447358555,0.37379328522948174,0.3302375561269525,0.30136264139266766,0.2714876723777685,0.24416936742287842,0.3081432192648923,0.3123904718634387,0.28901105193838406,0.2681648812296227,0.2497697738667758,0.19728622843668553,0.908057,0.0656741,0.180879,61,0.00573981,0.0361079,0.318043,73,1.40428,0.548528,0.00444879
9,0.43989092950517283,0.27857759861790954,0.13122541758185624,0.17495942682975107,0.21182641578481898,0.22062537680663508,0.21982629529799336,0.2047526528172171,0.13689177935519692,0.2109824373034742,0.21367687697038107,0.22275989337707602,0.22698372966207758,0.23033269875804552,0.21470830231555849,0.3082851637764933,0.44456151726373805,0.2355490147984629,0.19690625726913236,0.06372608748629216,0.0440948942753997,0.049615653389238346,0.993391,0.0644105,0.396588,26,0.000890838,0.0444584,0.396229,96,1.00751,0.563899,0.00238295
