max_value,0.8451826243799789,0.9040819494024522,0.8690895095667472,0.9586756388556331,0.9490737752533402,0.976639742601468,0.9639037873054522,0.9731087592142651,0.9626271290283054,0.9772313296903461,0.9330915112565548,0.9586378807723183,0.9765610836290176,0.9962115472041219,0.9563595251554551,0.9726114052762288,0.8546007604562738,0.7691991786447638,0.6112379502790461,0.5520466415644358,0.4582400753916833,0.43448472737653443
index_set,249,261,64,208,338,384,270,241,416,347,172,416,208,309,429,41,138,201,246,433,86,59
mean_value,0.503638090816759,0.5389237965746444,0.5708846297409673,0.6121300096362621,0.6586856782049553,0.6733930541962064,0.6510460529043618,0.6813116901587285,0.544467256369244,0.4701878293509384,0.34403753825958777,0.6788958010453708,0.6880720962647905,0.7085079606089887,0.695395201985919,0.679037995589174,0.5041843019612338,0.47614838068111703,0.4134438220666968,0.3545892319557639,0.3048051094723444,0.2712952370043443

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7088481749751456,0.7113066920393276,0.7677870395267545,0.6937139994991235,0.6679994712841186,0.6712855399735905,0.576817650759414,0.7960694021873201,0.7934385892966989,0.7801759579016609,0.7317276692584866,0.7865978501962123,0.7970788502520921,0.8009857940702425,0.8052050588493311,0.7785760087396395,0.7100583297766396,0.7040485258851742,0.4928194427396587,0.4424199118732881,0.2572562121528503,0.18360995850622408,0.987538,0.144499,0.115695,67,0.00206823,0.0491869,0.0114312,0.169835,55
1,0.35953808572063073,0.3734641674005116,0.41474317523686355,0.5006617841701226,0.5696646132785763,0.6389956054282635,0.6096439954837485,0.5141942058523803,0.3085491554785621,0.21139495728449975,0.10338114393610653,0.5619444614724454,0.49361066458830594,0.4960549463283085,0.5567880811504775,0.5220485865527074,0.35053533190578157,0.35852253473398843,0.33720094465550876,0.3213124445758203,0.32879746835443036,0.3007842534214977,0.91472,0.0729388,0.419999,20,0.00184312,0.0175265,0.0476548,0.162104,96
2,0.4467614533965245,0.5018964583025467,0.5708987161198289,0.6628938072237041,0.6808188021228203,0.7249520575937627,0.6528848625032125,0.7116180478449581,0.44968100432187696,0.3455525606469003,0.1790540853043744,0.7003262329687201,0.7172416732371556,0.7351798470986339,0.7309601749066883,0.7052495040439493,0.44484144707458684,0.4364377974167233,0.4155711810863141,0.4063988403396148,0.3287409108304631,0.30243902439024395,0.937198,0.11309,0.426986,40,0.00218584,0.0364675,0.0154214,0.296453,78
3,0.6329531051964512,0.6697694713111774,0.7029117379435851,0.7389087405147148,0.8528765352294764,0.7655534161078281,0.7675516289099891,0.8553423550797818,0.8198473873804083,0.8121198121198121,0.6994281629735526,0.7727882037533512,0.7846539721539721,0.8597706203510315,0.8607256216462417,0.8627116664720308,0.592896174863388,0.5938772990988767,0.5338753387533876,0.41552636380222585,0.31283604695191214,0.2884907379289402,0.971268,0.084968,0.0544135,28,0.00419758,0.053798,0.0303948,0.493819,29
4,0.5513220182426972,0.5918262434134429,0.6401638966898393,0.6508006229285629,0.7311329617335756,0.758178530330429,0.6641104629568941,0.8111528725933881,0.6404891753429185,0.5446986520683779,0.30963420917053064,0.7432631665165041,0.7402237402237402,0.8182452224857023,0.8240712981385081,0.8171902654867257,0.5687682570593964,0.5039257673090649,0.5689902124612078,0.3847148970046771,0.3624223080799597,0.3764478764478765,0.956563,0.133946,0.293682,71,0.00752621,0.0862602,0.0194208,0.0587503,85
5,0.532689144736842,0.6692731701063966,0.660884030418251,0.7954918815663801,0.7468253206666027,0.9504240052185258,0.7641968276224695,0.8922031338493487,0.7465385702175755,0.6261261261261262,0.4458582988448947,0.7838569880823402,0.8187501520348343,0.8255576665962987,0.8298841741230718,0.8337076369217574,0.5614804814939813,0.6236403995560489,0.45683701657458564,0.4899031060400254,0.3262696645355937,0.2844123192960403,0.962991,0.0548117,0.472879,64,0.00348668,0.0776175,0.0363226,0.128039,88
6,0.7497998398718975,0.8356942777110844,0.8396926615095128,0.7632288856609255,0.7711209459013145,0.7643100991017865,0.6962436082339059,0.8689043178176739,0.8734416010498688,0.8696763553906411,0.7502703537772285,0.8344037274902405,0.8807997278413106,0.8822379305158671,0.8854917120599778,0.8837977197411081,0.7507014028056113,0.767203713817586,0.518239901071723,0.3447593935398814,0.2990750256937307,0.1890669550683315,0.989622,0.0514587,0.229597,90,0.00821453,0.0653702,0.0343017,0.0319777,95
7,0.46636573819222726,0.6012234533702678,0.5155221903289909,0.6620853421601784,0.6948809523809524,0.7348863889862647,0.8623999057936882,0.7567759078830824,0.5057684384013186,0.4122670505388476,0.16623211135071558,0.7279718269368981,0.8101151598487453,0.7676126605054387,0.7600422301543411,0.7528183716075156,0.5395236451501553,0.4578130911842603,0.4234426754995192,0.4184409642794299,0.31048646907216493,0.27344639918997593,0.943331,0.0732966,0.259865,7,0.000446712,0.0504055,0.0119698,0.487715,74
8,0.6087581699346405,0.6708427416417801,0.6860568383658969,0.6780645425170764,0.7567742771943472,0.7636267302470362,0.6683369940729131,0.7749449669801881,0.757556773688332,0.6888396684767076,0.5392525431225121,0.7609580135061449,0.7800422359616315,0.8543859010304774,0.788872813739955,0.7830267753201396,0.6255347593582887,0.5855239891547801,0.5293859649122807,0.3993273338787383,0.413102119460501,0.3106349206349206,0.967213,0.144272,0.254275,82,0.00832049,0.0247779,0.0269734,0.190392,60
9,0.4391835888934936,0.4135692690734484,0.4867504463191795,0.5523612593383138,0.6163378658073306,0.6917663932589306,0.6850560716460121,0.6074361570480369,0.32749641863992585,0.2413400157102238,0.10496336266865991,0.6111882562983535,0.6074537540805223,0.655072463768116,0.6429290627550317,0.6110081691184763,0.42350706900189916,0.42621396054628224,0.3880903490759754,0.33835832021866974,0.32517185448366415,0.2822384428223844,0.927377,0.0618914,0.245697,31,0.00699636,0.00745067,0.029899,0.325762,64
10,0.46300715990453456,0.5356963298139769,0.5628643134715026,0.6489527977492966,0.696809621870057,0.6476290322580645,0.6614126248874521,0.7624369142033165,0.5492223669984198,0.44039417094659483,0.25266844563042024,0.6683201058201058,0.6032987647329486,0.7712332369182224,0.7555883198180751,0.7440975020145044,0.40230936321024346,0.4346701164294955,0.4553582071760639,0.39244254915896704,0.3073580806649665,0.333680591728305,0.939799,0.195386,0.410609,43,0.00249955,0.00883243,0.0312569,0.499885,81
11,0.3621210542764871,0.34930969563853154,0.37358127842064404,0.44772633197327183,0.5200811660191532,0.566069947807424,0.6282953338971766,0.42441995629329987,0.2658711217183771,0.17015051428226702,0.0702043399931832,0.5016171714201705,0.48370588519287405,0.525909987448449,0.4594295804953331,0.45126360393866416,0.3455930768507196,0.33345392059328927,0.31327927456622195,0.32332972547476135,0.3004280597536473,0.258609805709476,0.9107,0.0507861,0.111311,67,0.00220821,0.0129269,0.0173509,0.00391843,54
12,0.5951929907648591,0.7527784957353321,0.7384507042253521,0.7277327535085986,0.7537935042293537,0.7554463554463554,0.9578210829191734,0.8288985269409604,0.7921218877740617,0.7937724873062308,0.5509350139477218,0.7944776878251008,0.9283990742108632,0.8468923698837797,0.8519222912528353,0.8585507583241327,0.6022508038585209,0.45137569197719574,0.33760103459424506,0.3409075808916351,0.2244679222171183,0.18600350399065602,0.968873,0.0281621,0.0964631,8,0.0099019,0.00794691,0.0432698,0.117674,5
13,0.38039351052813253,0.44916532827176714,0.5349580943978827,0.5552074109393093,0.6389055758833488,0.6920320815531069,0.6356766110033982,0.5867194705148375,0.33004374505442,0.2384933527005001,0.11620346689400396,0.6535314157271801,0.560379241516966,0.6588420284157915,0.6057862537256572,0.5667126542500192,0.4000943841434639,0.3839247993240389,0.3977104510016777,0.333016717325228,0.32582759200134426,0.3038235518583531,0.926603,0.0687778,0.112528,47,0.00176984,0.062796,0.0274041,0.168666,97
14,0.3625397521658077,0.3625110521662246,0.40801273341356414,0.5145312028941815,0.611856237229528,0.662180157218746,0.6158315177923022,0.49544974609080394,0.31704228918713595,0.20713527243956775,0.108826646660236,0.5750450935096991,0.5585737922507682,0.6170596047389252,0.5467293150282652,0.5044616090008112,0.3600422832980973,0.3512899896800825,0.346377123199312,0.31278833733161104,0.3137044967880086,0.30601240226476134,0.916105,0.0900052,0.118277,5,0.00140889,0.036665,0.0400973,0.464234,34
15,0.49202183497795504,0.5752184769038702,0.6535269709543569,0.6653887884267631,0.7061029456239036,0.7449643832076112,0.6652227992842491,0.7735111435878699,0.5639480630282347,0.3709298422289359,0.1912078074980783,0.7380770211680694,0.7696599666140724,0.771474132403952,0.7756124436244363,0.7727629144057961,0.4649324991768192,0.48202796602899545,0.48259524269967125,0.45204800158682934,0.30880460292225,0.29852138004529105,0.947268,0.0595558,0.0635489,49,0.000508943,0.0651248,0.0299494,0.364806,8
16,0.7335761107064822,0.7450835184728051,0.6970292704237658,0.6765561127733997,0.6771866546438232,0.6810160518546171,0.5772252632998752,0.7330611571611201,0.7822654367156985,0.7913669064748201,0.6116022564620696,0.7723388724290438,0.7993743482794577,0.8009900804440361,0.7814714296193062,0.8038887627424501,0.7113740022805017,0.6104294478527608,0.4920532368523065,0.41031726205345986,0.2435897435897436,0.12200987216808001,0.991592,0.186083,0.0127634,78,0.0071389,0.0394304,0.0386143,0.480615,88
17,0.555763514257404,0.6692302762289304,0.6813229571984436,0.7949853070259131,0.843128477329411,0.763591896090161,0.7640461744025584,0.8212914485165794,0.721556886227545,0.5962466217069535,0.41258260437755456,0.7845552070020526,0.8322741771964096,0.8298203423397934,0.8417360318476657,0.8386690422960382,0.5748592439388717,0.5779610958346064,0.43788746762928665,0.2856757921965941,0.25270263411663196,0.17766184686164965,0.965226,0.0239342,0.256282,35,0.00638983,0.0281707,0.0406757,0.129259,36
18,0.5639738501050666,0.5758293838862559,0.6281906482945561,0.6511397815418711,0.7293287102114766,0.7571330071904653,0.7555969543037249,0.8091357741306094,0.6297028419585858,0.5077450604258584,0.3041758619701356,0.7390490148184334,0.7991926866912027,0.8148919913870946,0.8192258728567946,0.8133753192988638,0.48973105134474326,0.5078834209268992,0.5324265505984767,0.4085431461157736,0.3639352148813342,0.327416918429003,0.955752,0.0998162,0.345893,7,0.00620517,0.0407661,0.0144773,0.228405,7
19,0.3559843103996607,0.36674453962250153,0.42834738969819475,0.4685404920194115,0.5880045521683334,0.639354695887985,0.6098456428878685,0.4849360297152291,0.29733801278018734,0.2109727431857964,0.09425385889437454,0.4849096441656834,0.5222604878571047,0.5766140715960277,0.5026511488311602,0.496366454769117,0.3470915722787483,0.35157759175788794,0.31915523536958457,0.30705783109944695,0.32209222298692364,0.29189579013792477,0.913377,0.0726212,0.0188538,98,0.00160614,0.0167936,0.0335521,0.00903474,74
20,0.3201561123001385,0.29971970746480237,0.3367428480102286,0.31854761141391474,0.3644739566387648,0.40383167011862175,0.40869835232014284,0.33050277325120725,0.1741067974685503,0.10834163694215393,0.04558711853062691,0.33671392656188537,0.332106466235326,0.3762634966694187,0.32361680733032794,0.2679300519000932,0.31008980454305335,0.32570639936079027,0.32196220236064677,0.2833435771358328,0.32932098765432094,0.158985060182665,0.908886,0.00792031,0.383559,37,0.00617465,0.0955369,0.0305212,0.041918,35
21,0.4265188042430087,0.4361869504858862,0.4960387635283299,0.5575030335715249,0.6006211602548117,0.7091492646461364,0.6846390694491961,0.5891285874838957,0.34854109052189475,0.2320352415389374,0.09706551788138984,0.6393721633888048,0.6250207125103562,0.639436657429348,0.5899912967798085,0.48637715900092027,0.4115983026874116,0.4206136431337504,0.42039660056657224,0.35482582294662834,0.349507149798695,0.3435275879078289,0.928826,0.0492788,0.0959555,12,0.00929834,0.011432,0.0179549,0.472648,57
22,0.4816148110053998,0.5440923989386608,0.6292606817090735,0.639920035846,0.7220764791210148,0.8460253353445899,0.7990257747003351,0.7697907188353048,0.5636141387389223,0.34706175378830484,0.22289107950872655,0.7536997099724846,0.7646463965482371,0.7738531051086706,0.7652125520154813,0.7752081018178768,0.43958913649025066,0.4515118983718017,0.308339751347783,0.24016563146997927,0.15230038680461655,0.20343594527363185,0.958085,0.0157528,0.193244,4,0.00655957,0.0959544,0.0293638,0.308472,25
