max_value,0.7695035460992907,0.7847648261758691,0.9042383765733367,0.9199017588337823,0.8685684168917583,0.9729549248747913,0.9894504554205744,0.9502935735542508,0.8916464891041163,0.8737461598252951,0.8665724825366925,0.8466939730836747,0.9530622045850922,0.9575064632414522,0.902617248277395,0.8874606568799404,0.7934817170111288,0.8086040386303776,0.7982768865121807,0.7031270106807361,0.6230804492321798,0.5631929046563193
index_set,171,171,391,320,391,320,391,320,87,320,34,34,320,320,94,338,171,397,338,391,381,172
mean_value,0.3162705847120483,0.33807429892175134,0.3524005887549192,0.3607710599799582,0.4026749608495383,0.3699394718106737,0.3538066471813962,0.36656934800709245,0.34442528201708855,0.3123005856662582,0.2526742322667766,0.381904050616948,0.39310421305951837,0.3874331303760248,0.39056103561853106,0.3736053906907696,0.31932870903747573,0.3095313974456395,0.2783609661387651,0.2492249711776108,0.22759316241139507,0.20494288988384046

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.18561291220258802,0.30761551625784367,0.15853405315614622,0.3123637035668083,0.30552184466019416,0.22341361395588166,0.3646432374866879,0.42801528368538677,0.4061777983151459,0.2900314795383001,0.1770240158455063,0.3265356164943398,0.33954994969448604,0.21021661110200218,0.37078356920952704,0.3023981364005075,0.2036124794745484,0.2628892291985707,0.16839298533483749,0.1552171095268956,0.17771467737197688,0.13586840418713952,0.959341,0.171421,0.049548,88,0.0096537,0.0454534,0.326971,17,3.3393,0.0222357,0.00448079
1,0.16062351745171133,0.2945870740799076,0.32585185185185184,0.3415634191995721,0.4168044796471988,0.2006455144727538,0.16613637218398591,0.2723459379433718,0.16540819802429885,0.19218422889043962,0.05732404251052736,0.23767820103381287,0.255645324176934,0.1681850129757786,0.18990693432446482,0.2857714032938614,0.21696851829342412,0.18828664230613068,0.19819408974826702,0.15742772636198832,0.11553661371561408,0.07214319744095832,0.926415,0.0633373,0.0654112,8,0.00651004,0.0171609,0.312239,88,1.89911,0.295854,0.00452897
2,0.4320022736961774,0.428534819655327,0.23694375363775866,0.3244416873449132,0.2415542188262071,0.45283404653064796,0.30921317188686837,0.3393467527535131,0.4339341576046477,0.452539443198117,0.4011874469889737,0.33199432892249525,0.3783277332644094,0.3677603177344154,0.3483696592860852,0.28695613754100713,0.29906909663039205,0.3853977479113694,0.2786800721835525,0.33721309692157075,0.1639634019546683,0.12770020288817285,0.974076,0.110081,0.320587,11,0.00723414,0.0354338,0.185681,38,3.98376,0.079166,0.00733082
3,0.17722455016021688,0.3166096541239073,0.23740421455938698,0.3139783305356325,0.42254638671875,0.37886131919225685,0.43779573052287646,0.29531204432779234,0.362290611608882,0.24378791413905743,0.1230144070927226,0.22605965463108324,0.4186494234833742,0.37453848833159176,0.4447112264763141,0.2902188804625724,0.14448857994041708,0.22226886346940922,0.14162862299607182,0.17202247191011233,0.17768931511806751,0.17494908350305494,0.947211,0.147352,0.475624,96,0.00532213,0.0410253,0.11705,80,2.25694,0.254535,0.00532262
4,0.2770753816793893,0.11648969394128672,0.18881204231082183,0.3206774788287866,0.11642575558475687,0.15052095487803208,0.057398865283158296,0.1873899371069182,0.10737407231959573,0.11987856317670131,0.034399447768062585,0.06561360874848121,0.17090030815357704,0.11194870969158477,0.15458503299527215,0.15309402367433356,0.2168792934249264,0.14304978087425557,0.19456366237482114,0.07895726281488913,0.12959501557632402,0.06597222222222221,0.920832,0.195774,0.407614,27,0.00516495,0.0420979,0.296232,49,2.47755,0.580124,0.00073746
5,0.34389371486969855,0.21185449621468577,0.36127670603917506,0.336997226074896,0.2966062440169225,0.2660669919477954,0.45788287462894417,0.3883398575370596,0.3084114914642445,0.3065898552760995,0.11836130809652567,0.2785289777033225,0.4296928247432372,0.33786614356485023,0.11992168379833579,0.35189626076916247,0.25978876867594025,0.16209537929330364,0.26615135031968695,0.13082537900056146,0.1472960586617782,0.25408488833027165,0.944486,0.111723,0.263246,64,0.00380039,0.0345734,0.225947,89,3.39675,0.371377,0.00663601
6,0.2105114439107092,0.27073422957600823,0.18216941949193466,0.23059613530021073,0.495587198646553,0.3106641074856046,0.35599019982839364,0.08187134502923976,0.14361022887266295,0.18294139149506516,0.09023303987571207,0.23808996233104363,0.2143859320924142,0.36828043332262683,0.24068955484434096,0.27995192668819946,0.2947598253275109,0.24395353266044562,0.2745121803417767,0.17630662020905918,0.2263310745401742,0.1416795069337442,0.917265,0.0921653,0.287062,14,0.0061539,0.0181409,0.208836,39,0.171321,0.636232,0.00983247
7,0.29722251782483766,0.27527732636190205,0.2457085156512958,0.43740760911849375,0.42584135268852286,0.356988386063276,0.19974009220086886,0.30140146087442776,0.3460179554011005,0.27098192889966455,0.07177772712306563,0.3995431419374935,0.3454129616120192,0.4001362462571886,0.47437496141737145,0.3148776374617617,0.197280534351145,0.26837930626257844,0.1704774714189644,0.21637823775590992,0.14025500910746813,0.07593571351526263,0.93631,0.128689,0.251872,18,0.00257209,0.041991,0.240897,58,2.12248,0.624227,0.00201943
8,0.15870213000772537,0.10625762963749275,0.05502944640753826,0.052695864596056574,0.21649871103820018,0.06527226338122327,0.054859998370495044,0.09267771591350515,0.04706437903352745,0.05259983413334679,0.042276818292386276,0.05461985312922435,0.11789258486306908,0.06318072942558861,0.11224453527634615,0.07022816380814201,0.19723018147086913,0.17299955297273129,0.10181285478850033,0.11019097515632925,0.05000862217623725,0.05617537678606377,0.900312,0.157306,0.334994,46,0.00406542,0.0203886,0.113271,90,1.0859,0.314653,0.00427394
9,0.2600711470050957,0.27508221603845184,0.2715051704327843,0.26102898040596034,0.3139250289836404,0.21036297095564926,0.1398942223049232,0.19402589134125636,0.15956471383071136,0.12717233741062262,0.0549820710637835,0.38997426298549365,0.28275887077765494,0.28706224894184884,0.32995641533166276,0.18993096480889038,0.21962433965955785,0.24773413897280971,0.28043157506455185,0.16415308168424725,0.21465493787974965,0.15688242180966716,0.922456,0.0289544,0.369277,73,0.00773991,0.0337114,0.0987651,31,1.72814,0.546543,0.00143226
