max_value,0.8013977868375073,0.8907975460122699,0.9385698288273876,0.9296236989591673,0.9675593867210633,0.9627488229949616,0.9586883242971997,0.9234797561356886,0.9801621958827199,0.9891058409452778,0.9972189448845441,0.963563784610158,0.9658051791706155,0.9796952423531164,0.9894001198882992,0.9877110125031228,0.7700972072211079,0.7870732014615094,0.7229885057471264,0.6456452936349784,0.553111168966415,0.5315614617940199
index_set,143,269,395,160,160,171,416,157,157,395,270,395,395,204,395,204,35,387,10,408,450,250
mean_value,0.35977839548962626,0.4114930670341846,0.41972187417490814,0.4725103603064717,0.5175427391383877,0.5485198687966772,0.5580208945177718,0.4765846740452653,0.4333982725653253,0.4083232930155033,0.329647353228862,0.4927003283057104,0.49183778099793146,0.4830175185409814,0.4967731004968354,0.48067944228523185,0.35230175213785864,0.33309861190924495,0.30588047386090356,0.2786098044997823,0.24933699768816736,0.22129751042884777

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.24694921926256397,0.3292568203198495,0.1878865429729153,0.2912045395924684,0.2699055741699665,0.2232880583863942,0.3833728655297135,0.297751740404002,0.33904459321456937,0.4259988928327201,0.2546168876189676,0.37497069625693524,0.24835011320391154,0.20834794808839008,0.3227704275815918,0.30685183294189733,0.10072849537685624,0.1775292454042936,0.18038358824957512,0.10343119038771209,0.1274545676301988,0.14058693887020068,0.959341,0.171421,0.049548,88,0.0096537,0.0454534,0.326971,17,3.3393,0.0222357,0.00448079
1,0.2714675147660155,0.3260476878612717,0.3301567544439691,0.3546530459698517,0.5165531872903099,0.5030579080414245,0.5248278684149661,0.3782369613139217,0.23281182911120657,0.16362716647586595,0.07932224291645018,0.3914096194103256,0.4055705016616553,0.43523703290574456,0.3802508046711812,0.4274761639526883,0.22834263528269838,0.2346525096525096,0.18378818737270874,0.2770347268038146,0.2533886378786756,0.2715066148884354,0.926415,0.0633373,0.0654112,8,0.00651004,0.0171609,0.312239,88,1.89911,0.295854,0.00452897
2,0.49274954244685343,0.3985954318718824,0.3140754077525948,0.33851156069364163,0.3416185872446593,0.35051023745666254,0.3554634904194718,0.45298440017289476,0.5867490381769754,0.5349857068607069,0.5447449121828827,0.4362712855367975,0.3237051591079423,0.4210793099078549,0.24145247818079907,0.3723177158613329,0.33642400701666453,0.23890552681731558,0.20500760824457043,0.30504115226337447,0.27064476477818755,0.21167794970986464,0.974076,0.110081,0.320587,11,0.00723414,0.0354338,0.185681,38,3.98376,0.079166,0.00733082
3,0.29169308814204187,0.33355659745478905,0.32365866615154293,0.5293339486232888,0.5497730711043873,0.4359367829279486,0.6524362544686062,0.5534268018784455,0.5314702114029468,0.4227016344847462,0.326894095081518,0.327836804079898,0.4173314672264987,0.48751631718964294,0.4185578546468256,0.5178585547122074,0.20010735373054211,0.3205026455026455,0.29561696045736063,0.12152317880794705,0.21890857990475443,0.19507441530829195,0.947211,0.147352,0.475624,96,0.00532213,0.0410253,0.11705,80,2.25694,0.254535,0.00532262
4,0.286980306345733,0.36449561010571585,0.3823270312394118,0.46909871244635193,0.48686362960392604,0.6076405198058557,0.6712579310084754,0.4320600560764569,0.3289221360330321,0.18519228924906495,0.09339167935058346,0.4722808074721302,0.5440493997622061,0.5223295826884734,0.5156380681928695,0.4683860449385585,0.2870782940802037,0.3263987736778714,0.3222325967424007,0.15839939599848996,0.32252352995992917,0.23132137030995104,0.920832,0.195774,0.407614,27,0.00516495,0.0420979,0.296232,49,2.47755,0.580124,0.00073746
5,0.1698536355051936,0.4194300518134715,0.383030143246331,0.4250337357306977,0.5497594802274005,0.6009091609523076,0.5681944085386121,0.44915644878768324,0.41631444468323897,0.3752020182112027,0.25660771888666467,0.5062568206620589,0.573397556195004,0.409586647384912,0.521711521976103,0.49659338409128984,0.3295632294549392,0.2821293702034352,0.3134412227466846,0.2238420181968569,0.35905897381307217,0.22806261668820915,0.944486,0.111723,0.263246,64,0.00380039,0.0345734,0.225947,89,3.39675,0.371377,0.00663601
6,0.33135141830794,0.23862870070261688,0.2490239990315649,0.2922676919247099,0.3479910613854853,0.386259462976106,0.41168410343266115,0.23625335056225372,0.10135674381484439,0.056472059352031034,0.027165171695427648,0.27072454080851127,0.24454804419754927,0.20206751222615404,0.15982117773516225,0.1279103646534756,0.33142686922847786,0.2692793266701736,0.25159684388502723,0.20186657449014866,0.13800366754225113,0.16697442784399308,0.917265,0.0921653,0.287062,14,0.0061539,0.0181409,0.208836,39,0.171321,0.636232,0.00983247
7,0.3245735944409349,0.4183073093460059,0.4130372900654711,0.5193421857569542,0.603480714957667,0.5975946457740066,0.6851363740545496,0.5523227171298577,0.38355729749906686,0.38947187666946503,0.15627523896585693,0.6092820443482964,0.568023267239177,0.5882837949258614,0.5915404781468874,0.5853235126354686,0.2755298651252408,0.38227146814404434,0.3120107128141739,0.28443142996583703,0.34103619288804476,0.2748454588682834,0.93631,0.128689,0.251872,18,0.00257209,0.041991,0.240897,58,2.12248,0.624227,0.00201943
8,0.3134478256502963,0.2145082943818165,0.22258898795344717,0.20318683242864644,0.4904187722019313,0.06527226338122327,0.4436717899891186,0.23457838143746468,0.2500345679012346,0.10896172543787841,0.061478872613107804,0.2885476268121313,0.3359620076681771,0.38427299703264095,0.3793502354102286,0.18605857079361943,0.3166439719283545,0.29251081265649903,0.21082024432809776,0.2514741588622962,0.2006821134690342,0.1692493946731235,0.900312,0.157306,0.334994,46,0.00406542,0.0203886,0.113271,90,1.0859,0.314653,0.00427394
9,0.35437039265834214,0.2805485925029533,0.362660104032664,0.3667019507031605,0.467016433917136,0.4748782442512792,0.5336311776005589,0.30685766534593106,0.17673530936336646,0.10977588553548678,0.043604028076815404,0.4386044404168554,0.4250583616298812,0.3323097657536239,0.3499359349008677,0.30880803176574645,0.3353326439158911,0.34147092799383905,0.2891580502215657,0.2766771282856022,0.2451822511015177,0.2267767960046101,0.922456,0.0289544,0.369277,73,0.00773991,0.0337114,0.0987651,31,1.72814,0.546543,0.00143226
