max_value,0.7626262626262627,0.7213541666666667,0.5186915887850467,0.5855072463768116,0.72337870296237,0.6875,0.26969696969696966
clusters_found,1,2,4,3,17,16,14
index_set,0,22,244,25,137,179,47
mean_value,0.6319595959595959,0.5805182291666666,0.39744859813084116,0.5356289855072464,0.30486042167066985,0.24375,0.11403838383838387

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.22818254603682941,0.125,0.09090909090909094,0.840236,0.114771,0.166434,87,0.00238447,0.522863,0.0324855,0.341018,52
1,0.7171717171717171,0.6393229166666667,0.44859813084112155,0.5536231884057972,0.4630370963437417,0.24375000000000002,0.09090909090909094,0.912114,0.151439,0.382399,16,0.00754041,0.994898,0.0627811,0.386214,52
2,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.763235,0.164501,0.224171,34,0.00628761,0.67206,0.0546846,0.105166,53
3,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.1982919669068588,0.125,0.09090909090909094,0.847586,0.132492,0.088342,38,0.00151722,0.140537,0.0919735,0.309141,25
4,0.7626262626262627,0.6497395833333333,0.3598130841121495,0.5594202898550724,0.19282092340539103,0.125,0.09090909090909094,0.861773,0.0935794,0.259229,80,0.000183071,0.13955,0.0802237,0.0627717,67
5,0.11111111111111116,0.19921875,0.4018691588785047,0.3826086956521739,0.4342140378969842,0.5625,0.16060606060606064,0.990718,0.192967,0.326174,36,0.0083898,0.402591,0.0182818,0.186768,5
6,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.718408,0.179955,0.140279,41,0.00491867,0.52886,0.0903919,0.0936395,13
7,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.710338,0.147018,0.0815902,56,0.00468328,0.84623,0.0480346,0.147327,80
8,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5710144927536231,0.20523085134774488,0.125,0.09090909090909094,0.801708,0.0962681,0.274658,40,0.00462118,0.628844,0.0375029,0.311332,31
9,0.7575757575757576,0.5924479166666667,0.3598130841121495,0.5565217391304348,0.23352014945289568,0.125,0.09090909090909094,0.846626,0.0558197,0.281975,91,0.00869039,0.172129,0.0196909,0.33109,45
10,0.06060606060606055,0.15364583333333337,0.383177570093458,0.2753623188405797,0.2662129703763011,0.5375,0.16969696969696968,0.99176,0.059588,0.145188,63,0.00677841,0.498138,0.0867932,0.15966,23
11,0.6111111111111112,0.62109375,0.49065420560747663,0.5304347826086957,0.678142514011209,0.5125,0.18484848484848482,0.953953,0.125037,0.0608795,26,0.00171337,0.205966,0.0651718,0.0759501,3
12,0.505050505050505,0.6588541666666667,0.4439252336448598,0.5217391304347826,0.38791032826261007,0.125,0.09090909090909094,0.841211,0.0177933,0.122342,13,0.00260093,0.48977,0.042914,0.345852,40
13,0.7373737373737373,0.6393229166666667,0.4439252336448598,0.5507246376811594,0.4794502268481452,0.24375000000000002,0.09090909090909094,0.909368,0.124354,0.366681,17,0.00671366,0.881888,0.0571926,0.242138,5
14,0.6616161616161615,0.61328125,0.4719626168224299,0.5304347826086957,0.707099012543368,0.4125,0.15050505050505047,0.953164,0.178652,0.153827,19,0.00528729,0.044856,0.0675521,0.0806405,98
15,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.78798,0.16917,0.118833,58,0.00809944,0.463931,0.0766167,0.264917,23
16,0.5858585858585859,0.5481770833333333,0.3551401869158879,0.5217391304347826,0.4709100613824393,0.125,0.09090909090909094,0.862076,0.0327204,0.404707,97,0.0038293,0.0283406,0.0168526,0.4887,63
17,0.02020202020202022,0.05729166666666663,0.29439252336448596,0.1768115942028986,0.07672804910595143,0.4125,0.05959595959595965,0.996687,0.167473,0.272113,11,0.000122604,0.835038,0.0110432,0.479062,12
18,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.758997,0.127337,0.0215302,80,0.00305684,0.6179,0.0105477,0.217176,99
19,0.16666666666666663,0.20052083333333337,0.4439252336448598,0.4173913043478261,0.34667734187349875,0.5875,0.16969696969696968,0.988666,0.0834404,0.0100741,30,0.0091262,0.657852,0.020695,0.333423,48
20,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.20523085134774488,0.125,0.09090909090909094,0.822081,0.142156,0.237057,21,0.00404758,0.661164,0.0566784,0.0877283,67
21,0.10606060606060608,0.15104166666666663,0.3598130841121495,0.2753623188405797,0.34681078195890047,0.5375,0.13434343434343432,0.992656,0.163682,0.044572,24,0.00488009,0.833278,0.0297439,0.137651,87
22,0.595959595959596,0.7213541666666667,0.48130841121495327,0.5478260869565217,0.5765946090205498,0.15000000000000002,0.1717171717171717,0.864786,0.00644117,0.324501,5,0.0030843,0.260398,0.0662785,0.296984,77
23,0.7222222222222222,0.6380208333333333,0.44859813084112155,0.5565217391304348,0.5248198558847077,0.24375000000000002,0.09090909090909094,0.91544,0.184458,0.392679,73,0.00324079,0.0204257,0.0686983,0.0169225,31
24,0.297979797979798,0.4296875,0.49065420560747663,0.5101449275362319,0.5884707766212971,0.6,0.21818181818181814,0.975157,0.147641,0.11147,84,0.00729194,0.317738,0.0817044,0.413485,35
25,0.6868686868686869,0.6197916666666667,0.4672897196261683,0.5855072463768116,0.6188951160928743,0.4,0.13030303030303025,0.937057,0.102173,0.0849077,73,0.00117472,0.137022,0.0195373,0.178711,5
26,0.4696969696969697,0.6119791666666667,0.44859813084112155,0.5043478260869565,0.536696023485455,0.125,0.13030303030303025,0.853856,0.00464108,0.153201,21,0.00368168,0.0806923,0.0928879,0.481065,60
27,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.729545,0.0763859,0.459332,79,0.00439447,0.928967,0.0229233,0.4656,25
28,0.16666666666666663,0.23828125,0.4158878504672897,0.4608695652173913,0.426207632772885,0.6625,0.23232323232323238,0.967063,0.024158,0.312862,41,0.00923327,0.560604,0.0134354,0.209432,75
29,0.7575757575757576,0.6497395833333333,0.3738317757009346,0.5536231884057972,0.28369362156391775,0.125,0.09090909090909094,0.840851,0.0403401,0.155127,49,0.00166354,0.277481,0.0416572,0.289597,40
30,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.748608,0.100492,0.348355,12,0.00705231,0.218197,0.0978466,0.383759,34
31,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.20483053109153992,0.125,0.09090909090909094,0.817911,0.132122,0.469914,29,0.00210375,0.114107,0.0422392,0.00523304,30
32,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5768115942028986,0.10408326661329059,0.125,0.09090909090909094,0.759831,0.181769,0.047225,64,0.00866586,0.0606714,0.0914884,0.183767,2
