max_value,0.7626262626262627,0.7278645833333333,0.5841121495327103,0.5797101449275363,0.7057646116893515,0.6875,0.32020202020202015
index_set,1,428,39,22,479,377,156
mean_value,0.531030303030303,0.467359375,0.42261682242990656,0.47539130434782606,0.3630587136375767,0.2814,0.15151717171717172

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.1515151515151515,0.18229166666666663,0.4158878504672897,0.4,0.31345076060848676,0.64375,0.23030303030303034,0.977405,0.177127,0.21,41,0.00538694,0.652708,0.042023,0.212651,15
1,0.7626262626262627,0.5260416666666667,0.43457943925233644,0.5333333333333333,0.2979717107018949,0.125,0.09090909090909094,0.786807,0.0683557,0.289105,78,0.00786967,0.87635,0.0701869,0.329112,19
2,0.7626262626262627,0.5325520833333333,0.4672897196261683,0.48115942028985503,0.46704029890579135,0.125,0.1636363636363637,0.839156,0.01344,0.477311,80,0.000682982,0.0267683,0.0992018,0.461556,22
3,0.19191919191919193,0.12630208333333337,0.48130841121495327,0.2579710144927536,0.32345876701361087,0.61875,0.2525252525252525,0.961575,0.0317199,0.245392,54,0.00700188,0.922381,0.0436815,0.0377613,71
4,0.31313131313131315,0.40104166666666663,0.46261682242990654,0.45507246376811594,0.5050707232452629,0.4625,0.23737373737373735,0.926215,0.0922324,0.357187,35,0.00831309,0.233814,0.0204933,0.259887,73
5,0.5808080808080809,0.42708333333333337,0.44859813084112155,0.4608695652173913,0.6725380304243395,0.25625,0.17272727272727273,0.879472,0.0872738,0.118543,70,0.00601833,0.633175,0.0958003,0.0114365,45
6,0.4040404040404041,0.32161458333333337,0.5186915887850467,0.4144927536231884,0.6090205497731518,0.4,0.18484848484848482,0.911551,0.133922,0.238936,21,0.00856945,0.90354,0.023148,0.480094,42
7,0.5707070707070707,0.53515625,0.49065420560747663,0.48985507246376814,0.4669068588203896,0.125,0.16868686868686866,0.858976,0.174046,0.0832463,86,0.00568895,0.342296,0.08022,0.261971,8
8,0.41414141414141414,0.5377604166666667,0.47663551401869164,0.49855072463768113,0.6192954363490792,0.125,0.12828282828282833,0.860564,0.139097,0.250877,20,0.00641917,0.408604,0.0905047,0.313175,77
9,0.40909090909090906,0.30338541666666663,0.5280373831775701,0.5304347826086957,0.5465705898051775,0.39375000000000004,0.16161616161616166,0.919329,0.19271,0.362972,29,0.00774356,0.241131,0.0248017,0.230621,62
10,0.16161616161616166,0.12369791666666663,0.40654205607476634,0.28695652173913044,0.2818254603682946,0.5625,0.19999999999999996,0.981577,0.197553,0.219482,71,0.00825271,0.553881,0.0774561,0.228451,86
11,0.0505050505050505,0.07161458333333337,0.3411214953271028,0.19130434782608696,0.2642113690952762,0.525,0.14242424242424245,0.991121,0.0158387,0.0779758,78,0.00155872,0.739517,0.0404478,0.340955,88
12,0.7626262626262627,0.5286458333333333,0.3551401869158879,0.5217391304347826,0.10408326661329059,0.125,0.09090909090909094,0.742253,0.130756,0.0890185,57,0.00567077,0.134544,0.056865,0.240428,25
13,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5449275362318841,0.10408326661329059,0.125,0.09090909090909094,0.72331,0.144691,0.358178,51,0.00268411,0.446644,0.0286388,0.296627,42
14,0.28787878787878785,0.4296875,0.49065420560747663,0.4318840579710145,0.5048038430744596,0.36250000000000004,0.18787878787878787,0.913325,0.0654328,0.329433,66,0.0039846,0.68896,0.0881304,0.434062,30
15,0.31818181818181823,0.29036458333333337,0.5046728971962617,0.4869565217391304,0.5565785962103016,0.41874999999999996,0.19292929292929295,0.935028,0.111552,0.141298,13,0.00318744,0.437414,0.0402448,0.421848,23
16,0.40909090909090906,0.7161458333333333,0.43457943925233644,0.4869565217391304,0.5500400320256205,0.24375000000000002,0.18686868686868685,0.870774,0.0973094,0.283361,35,0.00867691,0.963847,0.0134501,0.0679887,54
