max_value,0.965948575399583,0.9717560714138457,0.9688089961421653,0.957091438508513
index_set,33,73,73,113
mean_value,0.5491821462239413,0.4497280441028175,0.41311160079428416,0.32049538037521547

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.36682667358588483,0.15424118265876752,0.10924104257916278,0.0533239917228987,0.932293,0.169472,0.0894398,21,0.00332958,0.0725721,0.0188332,0.11184,7
1,0.23771386967601016,0.11437851573306557,0.0740352092923493,0.03529820682917362,0.920281,0.174824,0.337943,49,0.00977869,0.0892858,0.0170146,0.201804,29
2,0.5070660594394103,0.3382742191635786,0.2623284364438927,0.12038757632067953,0.944979,0.0661012,0.0632249,98,0.000481565,0.0732721,0.0416304,0.0287476,41
3,0.7744223457151214,0.77677503533761,0.8213925327951564,0.5766962530529576,0.969578,0.0740487,0.456088,20,0.00965382,0.0313956,0.011318,0.394238,32
4,0.47386429662785945,0.31021037984100963,0.21956414573121386,0.10951866266642751,0.944251,0.193802,0.4202,54,0.00684336,0.0150135,0.0323123,0.499628,38
5,0.863511785126987,0.8464896471624814,0.8647392244015821,0.8645591765328126,0.985755,0.0824504,0.303809,41,0.00321404,0.08531,0.0470197,0.262616,28
6,0.8406872315501757,0.7766594869786567,0.7994040475106567,0.6481111699743266,0.998682,0.0594374,0.217612,87,0.00718915,0.0857199,0.0146435,0.45663,53
7,0.7534965034965035,0.7292173267938837,0.7549043549043549,0.6993880149505072,0.998266,0.0486332,0.451906,62,0.00819399,0.023836,0.0421122,0.401092,27
8,0.19635985252827892,0.09376862459439772,0.06502581844321809,0.024942585505845716,0.911882,0.104078,0.0191668,16,0.00228386,0.0610894,0.030724,0.154196,14
9,0.3017964071856287,0.13945019015653015,0.09997203765595664,0.047594870821236035,0.9292,0.0861931,0.298071,39,0.00666226,0.0261493,0.0427433,0.0114842,31
10,0.6971406713206465,0.8455608820709491,0.6758885216468764,0.7579141892977663,0.99212,0.144036,0.414976,31,0.00152894,0.0168181,0.0355672,0.230837,55
11,0.16221083351128196,0.09947951029983138,0.07230614621384934,0.03697541165814544,0.906188,0.191123,0.282448,72,0.00532015,0.0926159,0.0238376,0.491433,19
12,0.6303083442934385,0.4984117415196272,0.399281802675285,0.211524757814456,0.950987,0.109381,0.228201,22,0.000737049,0.0380352,0.0404278,0.339401,12
13,0.9566027042344749,0.7544191664988926,0.7589622833015306,0.6881798113586193,0.981334,0.0756739,0.0945715,96,0.00933171,0.0123105,0.0391405,0.446407,78
14,0.9346940390016217,0.7931214953271029,0.8409753821024385,0.581832336600729,0.974113,0.17856,0.19375,42,0.00985358,0.0721039,0.0385113,0.0202918,83
15,0.8673720472440944,0.8608316702643262,0.7426210622492353,0.735839922543166,0.98465,0.159413,0.177971,28,0.00798991,0.0691293,0.0247978,0.0959831,24
16,0.16120740195120487,0.10331901387254772,0.0652965811668349,0.03137139651869847,0.901418,0.186754,0.357598,82,0.00115881,0.0213809,0.0201808,0.0434007,17
17,0.8136491977136561,0.7655710586881472,0.7550295857988165,0.5686180422264875,0.965969,0.0712712,0.124,70,0.00971238,0.0444673,0.0494187,0.453318,21
18,0.8730720709722053,0.9271075095393573,0.7438616071428572,0.7384530647572587,0.980473,0.182845,0.350102,5,0.00387803,0.0544791,0.0120549,0.0906715,68
19,0.2768693325405084,0.12083375994912948,0.08006109590784705,0.036787851860492604,0.924969,0.029555,0.290411,4,0.00572812,0.0928201,0.0498003,0.414882,73
20,0.35916839254420907,0.15036126786561888,0.10554537143615028,0.050399482235315096,0.930164,0.147464,0.0108441,77,0.0086324,0.0558621,0.047534,0.061705,99
21,0.5789867065292831,0.3787263221050827,0.2878809048992087,0.15206398313020675,0.949782,0.195224,0.0517365,99,0.00680273,0.0838645,0.0334711,0.216425,86
22,0.595480042272986,0.3716385587367631,0.31469790070164094,0.15826388137244296,0.95046,0.151512,0.382725,56,0.00585284,0.00153784,0.033424,0.135443,62
23,0.9617811062721315,0.9638081217028586,0.7667864727985623,0.7653044610875936,0.986605,0.076344,0.127203,94,0.00404705,0.0798865,0.0264798,0.197707,46
