max_value,0.8390324025683142,0.9299169859514687,0.9151003504300733,0.9691986644407345,0.973001588141874,0.969830096683474,0.9715334357761146,0.9721879371348638,0.98355729905684,0.9824780455321097,0.967380640941792,0.9760819065645703,0.9938061727418888,0.9905077595299081,0.9911825878079503,0.9964475168622933,0.8298626495347807,0.7725835281176956,0.6801580812210412,0.5240114756143195,0.47283279822178315,0.4354139829019792
index_set,359,88,257,160,257,257,490,260,107,426,312,75,274,2,75,326,228,260,190,286,286,237
mean_value,0.503147071580604,0.5395905051251156,0.5743700399841929,0.615368848570167,0.6628236455119729,0.677126410183087,0.6578593781970217,0.6842900527122288,0.558576660700704,0.48736449836951756,0.3636611298644427,0.6809579813084023,0.6932858303974726,0.7112335624470693,0.6997131940079594,0.6856289452779565,0.5062071545599898,0.4742314185320401,0.4093625012377113,0.35095655022403843,0.3068581358386395,0.270927221070877

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7112726236283312,0.6581824114863762,0.7239571958943001,0.6702310563173565,0.6687315731937589,0.6732869244317705,0.5782786145936682,0.7746137409598948,0.7775979415670651,0.7728990388564857,0.7902312114472746,0.7704597603467324,0.7962703236195522,0.8018767007600638,0.8051932861570852,0.8027449576321757,0.7181294964028777,0.5763446342085139,0.4906976744186047,0.4655257936507936,0.39145907473309605,0.26195449049137076,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.4170825878142951,0.46045395460453953,0.46909629155498656,0.6049682113128401,0.6293261455525607,0.7036710093753805,0.6994175029826655,0.5886526714502921,0.337017615473985,0.235542688054157,0.08881232014431406,0.6184005948759548,0.6160632573122964,0.6225111096371958,0.6325875974871127,0.6207426461990746,0.4433953174679641,0.392988433605308,0.38824763903462745,0.41609759840405125,0.374326881094455,0.3052555795536357,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.7223910840932117,0.7024675509912994,0.7026823387582881,0.7689734476270124,0.8057202224530954,0.6256120080641063,0.5773403787870253,0.8859810280829366,0.854736317995104,0.8827788240217619,0.5124266846702392,0.8511407083735978,0.8769671704012506,0.9905077595299081,0.8880404135338346,0.7984479367069454,0.7821547884187082,0.5918015845676886,0.4476263066202091,0.31380893717101577,0.13153340256143997,0.0958121827411168,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.5752457002457003,0.6091400685834871,0.6374789072832581,0.7163446556559676,0.7528698568296144,0.8558883281997509,0.7652530659704702,0.8376279562301447,0.7584475698771587,0.6694800916193404,0.4714023930149833,0.7770915646936976,0.8263462765696333,0.8439073514602216,0.8535697145922141,0.8477524930859182,0.6021217316759537,0.5535792709705754,0.35741867923293413,0.34931718469999384,0.22686596518831748,0.17668776371308015,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.4106664501988798,0.5090528864674482,0.5406929268577205,0.6271902911297471,0.7276336467150064,0.7780293101394019,0.791677957426309,0.6981560003944385,0.41068734363362047,0.2972636032791427,0.12978047114042124,0.6728849185496584,0.7175803563816182,0.7372472625013746,0.7262876526783895,0.6920773362780512,0.45443173695496786,0.4360655737704918,0.3855641845591594,0.3784505788067676,0.24553490067432115,0.26825102479016205,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.36416666666666664,0.36003281500540707,0.42307692307692313,0.4638716769938037,0.4714605420801592,0.6061682291802679,0.5833025699275877,0.4710577072294766,0.23828469354614212,0.1433790437867316,0.06684522012622773,0.5566714490674318,0.4980214977557288,0.4214184968768889,0.4057653037622506,0.4642422068726695,0.37877179681576956,0.3544492578652084,0.3498681608437706,0.37180725006582993,0.2956037514654162,0.29544338000491277,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.6139847937180606,0.6912756943354779,0.6776068008178199,0.6612332263110233,0.6951661830651543,0.6917400936089412,0.6964848806718227,0.7930045871559633,0.7935401893675452,0.8597513755858976,0.7774342501505722,0.7760951403148528,0.7946604458268534,0.8,0.80304466381837,0.8016924910607867,0.6567969469667061,0.5124612257995508,0.5070218457423095,0.4483315392895587,0.4337137840210711,0.4013999781253418,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.3411600835737738,0.3157177092802248,0.354613974332858,0.42580217754478944,0.5606245486465622,0.5614433440936697,0.5828106587600259,0.41751771571488117,0.2593011111681819,0.18996478680108386,0.08618614675988223,0.44217163949553984,0.4753772835583797,0.49923350008068423,0.4661732383755699,0.47849382146684205,0.3487682714913626,0.32889540787543725,0.3332982086406744,0.29274795591894776,0.3063519400263398,0.29020066588679927,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.321495666929277,0.3518146511316459,0.3782531615648268,0.5838825644098262,0.6723879117455462,0.7553968617944771,0.7110807587633909,0.6366228982235161,0.2773692860938446,0.2272727272727273,0.2024541519789389,0.6468766957132369,0.6589761118073754,0.6312130235730871,0.6432103071210225,0.5772454721091158,0.34580505675334816,0.26665674455524135,0.19791481336512118,0.13768870380010412,0.12802613990791623,0.08955047318611986,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.6253602305475504,0.7029283069673511,0.6604132035146046,0.6721809998783603,0.7481184947958367,0.7639176453050205,0.6882774433935225,0.8341549990140011,0.7292459584730753,0.6333006215243703,0.48749905581992603,0.7540942721755757,0.7707736389684814,0.7814375640462596,0.7831070031994312,0.7784683402196683,0.6252924356641538,0.646583686440678,0.6158331173879243,0.4679693571666481,0.374367901848628,0.37113911539411915,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
