max_value,0.8202919708029197,0.9246031746031746,0.9331460078464637,0.9570557204088361,0.9653044477268997,0.9648846873396136,0.9656619820453372,0.9675702235689133,0.9683622319007313,0.9669834507619204,0.9685683883113694,0.9113181781669211,0.976839378238342,0.9796769927165024,0.983161656811611,0.9864670587536387,0.808372895986189,0.7528135048231511,0.6407367018054041,0.5376728110599078,0.4344752041426011,0.43086519579531013
index_set,274,257,154,16,2,74,96,16,352,260,88,218,383,208,312,413,352,139,74,323,24,12
mean_value,0.49942715230330437,0.545135263252894,0.5838810796302801,0.6387642332447433,0.681233009190268,0.6881578541636602,0.6650713719260812,0.6897778723457417,0.5735738564728318,0.5059142641568077,0.39316768966780613,0.6852979522378784,0.7014616822781131,0.719166534847209,0.702473812437099,0.6887469171636765,0.5014109246290712,0.4670464045877235,0.3979224368213101,0.33405378735953956,0.29232559493620086,0.2620466264893127

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.6983349657198825,0.6316517493897478,0.7205740083843921,0.6450196537593041,0.6227045627502233,0.6510102027117735,0.5998928822485801,0.7744020419085258,0.7737232289950576,0.7726656533705788,0.770760856219048,0.7884327880056383,0.770846313603323,0.77493016367011,0.7779449353684365,0.803205082276516,0.7054416961130743,0.6591485762616296,0.37809047869542345,0.3875015377045147,0.36780772032046616,0.2444621151880041,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.3764869888475837,0.45811184817466943,0.4754722251318041,0.6081329788787941,0.5918699651488316,0.7494585873072785,0.7037709581744447,0.6571260779525856,0.3519054939720042,0.2394013042856672,0.11750729932788107,0.6408487876975051,0.6505184341735245,0.66324018908562,0.6057305847270842,0.6041572969392678,0.43303211953118015,0.37794200337376493,0.39848616257983127,0.39305898975626985,0.35477096731854574,0.3131063344112611,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.7357601152284929,0.7167349981364144,0.7584568878652655,0.824829662494058,0.9653044477268997,0.5970637850116078,0.4915060419804941,0.9194552529182879,0.9304014843472426,0.9337447094656066,0.9151990889494448,0.8362824541094758,0.8546237533998187,0.9444893414507121,0.8476856458190277,0.8807210386389919,0.7930839802399435,0.6174315464712687,0.40422980486209525,0.23472436888201953,0.16893670596314525,0.10833749375936097,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.5628004807692308,0.6834449021627189,0.6572994939426469,0.8820602423367645,0.9129800378752599,0.9448001945367593,0.9328804203598535,0.910001155312512,0.8485634046230287,0.8091728653206732,0.626300050281843,0.8750482067103741,0.9153274748749818,0.9303872485714791,0.8716125708397733,0.8056315910007961,0.617065670986163,0.4426059083427185,0.38445865242745736,0.3424691358024692,0.22724520686175576,0.22466606881578322,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.42948556032668184,0.52119140625,0.5830954587581094,0.6266898219089454,0.7261511346111478,0.7821714012033406,0.7950532172230286,0.7205004747050048,0.40550592385261297,0.2924683756024432,0.14290326538255405,0.7036470996873915,0.7227576141314846,0.714092244016008,0.712674499288478,0.6939455986775369,0.4544419134396356,0.43728036669213144,0.4085991932526586,0.33434573525689704,0.27519563048159235,0.259794319294809,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.3677811550151976,0.36801726204747065,0.43161353127281576,0.4769470561616974,0.5283360083188282,0.6112405089942494,0.641609559274271,0.4293720163280367,0.2470592614651579,0.16574010515278836,0.0723837644692642,0.5409130816505707,0.5141260193641001,0.5097283384363906,0.4218564772695944,0.43412057358560585,0.35494340220058573,0.3638347622759158,0.3615602600433405,0.31092490319304256,0.3486029411764706,0.3109366684406599,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.6446141895390989,0.7880484114977307,0.6802835190996646,0.7002839756592292,0.6360587829174476,0.6535965205754433,0.6473211299636574,0.7689168231164802,0.7659574468085106,0.7623140227834759,0.7602922182757508,0.7829263113187513,0.7671756711366045,0.8001948769839039,0.8025765458546467,0.8016256093055407,0.6712788823213326,0.5706701274185937,0.4548644960031195,0.3882606907894737,0.3809316499782325,0.3092242148023383,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.35774736182217115,0.30796637532706117,0.35058862135444435,0.45429950073912917,0.5624436203267515,0.5347083926031295,0.5892857142857143,0.35810570071258907,0.31117111036112044,0.21982128740148044,0.1002844244055997,0.4883260893792488,0.5090732956216375,0.525854102773574,0.4478199352729757,0.41461251795977017,0.3352291736366678,0.35005909530460944,0.2952141585506336,0.3073228203733913,0.29866402770905487,0.2827965435978005,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.35494071146245054,0.3755287992190043,0.5302624047238875,0.6422901396763934,0.7226485419864065,0.7270640485042041,0.7539396258910205,0.5876355316820849,0.48434032059186194,0.3832907257491833,0.24978890483830107,0.5705514560919281,0.6493533332185235,0.6001709100962627,0.5610207008613615,0.6694943272076315,0.3311178971319083,0.2890376569037657,0.19746693983982122,0.15809640809640813,0.11970795884436525,0.10267291754615948,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.6075822244539292,0.6591754938448325,0.6525969380455001,0.6757979699156169,0.7509568685471679,0.7614330526663364,0.7061897762534706,0.8422603639839115,0.7412174845803164,0.6433063791554358,0.5217969558149844,0.7594290259115074,0.775759568924081,0.7820815706096734,0.7891261690943726,0.7828080629393417,0.6272751969573486,0.5701272772647866,0.5183222958057395,0.44247269890795626,0.34566213717134353,0.2655335355102617,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
