max_value,0.7495871490767152,0.7934383603548486,0.7663956937273426,0.884647619047619,0.9621777254286088,0.8603001814283358,0.8587954730874632,0.9552492218134778,0.9433614858103511,0.907818328654386,0.9598864327722572,0.8907810499359795,0.9720797133207868,0.9022356539469851,0.9784705252960484,0.9761104187730725,0.7530172413793104,0.7086680761099367,0.6002657807308971,0.5122961774926491,0.382137030995106,0.343783881460065
clusters_found,70,70,70,70,70,70,70,70,70,70,67,70,68,70,70,70,70,70,67,70,70,70
index_set,110,483,484,395,382,241,148,272,139,154,408,237,408,328,11,272,297,287,53,224,176,12
mean_value,0.3646212858173552,0.3650966040925291,0.3760041580109186,0.4838428737946313,0.5090617558113177,0.5210919740657259,0.5303295756051252,0.5169269508117383,0.42937851491012813,0.4051873564556908,0.34131125006844343,0.535874584967619,0.5208374295806567,0.5179319744799254,0.49079234243449293,0.45163588152051115,0.3656065856083251,0.3161379828917484,0.2703160899203039,0.22342956677236073,0.18584709131399815,0.16141367012719618

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.5745836350470673,0.6422430791071851,0.7403163080114079,0.6469732851385599,0.6612803589426797,0.5967256429980936,0.5948513841616869,0.7776812166699585,0.7737094591824183,0.7443419609117874,0.7872293005460421,0.78561396041711,0.9685091955203945,0.7753846153846153,0.8040529689165317,0.7795133101576266,0.5745836350470673,0.5409489943327037,0.5089139103917428,0.3570720095219203,0.23107486407360933,0.12322667495081285,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.2918631683825972,0.223398349309745,0.3887762946397372,0.33402345071964645,0.5107613604940547,0.540670961187689,0.6058533781306059,0.19136026841884524,0.13346987886653683,0.12522529855692643,0.08055765320941044,0.5683569252822075,0.35553623262534684,0.3104946259275887,0.15104122130441966,0.17471004427821613,0.2918631683825972,0.2760687463893703,0.21432428783583102,0.20588676228074554,0.15983982245380424,0.1971466314398943,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.6711923645651297,0.6237549049200121,0.5798717881899202,0.6264871763204479,0.6882748956651537,0.5500451256861323,0.5501756934492845,0.6721085905541093,0.7130394857667586,0.7080991608283933,0.751493848857645,0.7941586711188131,0.7932035343676154,0.7575528428936661,0.7321415541773075,0.6777304283456376,0.687809576224546,0.36875069902695445,0.34923592992918373,0.14287091487515668,0.11237207417164863,0.03212496315944591,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.4536994379434258,0.44161209068010077,0.5070074487238324,0.5702363583309016,0.6774107901444351,0.6578026251823044,0.26310820449384775,0.671261896480855,0.7057555249446008,0.5502762430939226,0.553836792960614,0.6561980527190692,0.5912796008713372,0.7125610664900224,0.6789759015859832,0.7110991306691825,0.4536994379434258,0.4249059185768046,0.27904328018223234,0.2231498863748641,0.20807295283062532,0.14679023202327002,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.33147243545010463,0.396486281314391,0.3523832108133744,0.5215905943184267,0.5500195579894387,0.6098996284002698,0.6023232266411656,0.40938216913218894,0.4303886925795053,0.3144955911145133,0.1827692307692308,0.5858449687048628,0.6198336798336799,0.5950601937549824,0.5266458308290259,0.470846300948667,0.33147243545010463,0.3416810855113378,0.33310611224721653,0.23087114938721431,0.1927035565066748,0.13964330644564493,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.21707602339181287,0.21408798319047462,0.19214660501035385,0.228644139301316,0.40992414029015833,0.2838740699498912,0.5866782835983446,0.23247436963147683,0.10069732821436961,0.08690094144905924,0.038496551161916526,0.19726036930500135,0.16972844766056505,0.21528933675229056,0.14298225927405894,0.1489229551163045,0.21707602339181287,0.21165829145728643,0.18097135157302713,0.143058293438468,0.20639534883720934,0.17230203647269382,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.4308105206655931,0.6285179640718563,0.6700372538584354,0.755650354813569,0.6361871545143458,0.5958284665443017,0.6428215657409764,0.8489884393063584,0.7690410344569848,0.8289838755076602,0.7693904732058916,0.7848122794336494,0.7644922870902114,0.7945200393547309,0.8007559238261375,0.7996148267909365,0.4308105206655931,0.458079268292683,0.44219146032364987,0.39779005524861877,0.35263962586563535,0.2758448060075094,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.2310092860404932,0.1965434367710469,0.2063978482770784,0.20441235358894783,0.21441630976532167,0.20386666781926155,0.2130212084139531,0.18451670342566928,0.1553724080487484,0.08760523665659614,0.05215926538765414,0.19731438263039125,0.1792072431062408,0.21591739437716362,0.1889323324179336,0.17591870780648278,0.2310092860404932,0.20016706693118935,0.18492504455393644,0.11680034684587037,0.10830508474576273,0.10843838435811681,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.36345258515069834,0.24498464903057582,0.29044123738670824,0.3809758178298389,0.24347797289353634,0.19542357422608514,0.32896002635213795,0.36045518335468907,0.3093887838689351,0.2834806417523297,0.23909880783996762,0.31631187877267086,0.414515632557935,0.37789482004153163,0.4931175446139048,0.4697581785879983,0.3422068568135984,0.296896535335773,0.18948977269031897,0.18849225753871235,0.1430311081589727,0.1176369357852296,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.3441919593198792,0.4072039665564845,0.415864282439248,0.6594068031521008,0.6690588346874902,0.7886075110212469,0.6599740028145713,0.8261513286059379,0.7294731311918343,0.6899326224896971,0.47872968980797637,0.7461693299921949,0.7634817632579995,0.7780474551711647,0.7751744906000225,0.6292126106538283,0.3441919593198792,0.2926380368098159,0.2903275768605281,0.34267552730424733,0.2677070102219803,0.22973634139711874,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
