max_value,0.7469320562705777,0.7486755498474875,0.8107975860381667,0.8428621811199498,0.9499628516975159,0.8641566862965658,0.9404877839966611,0.9580377052503548,0.9454428754813864,0.8647918836554411,0.9621498556734561,0.892678548531863,0.974189381216897,0.8805328830096631,0.9727460901563938,0.9763514705363547,0.7464851929404726,0.7144483985765124,0.6202446565398575,0.4878305486120247,0.3757368910952529,0.3318536785861077
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,53,70
index_set,110,124,267,52,96,50,246,378,12,490,408,470,483,471,139,139,110,224,287,224,103,351
mean_value,0.3669035673962139,0.36849214552819737,0.38286604129830515,0.48417543049804473,0.513228046642837,0.5218261635157054,0.5281926299002764,0.5093998096211245,0.42629813980169035,0.40233983735834794,0.33736795476648374,0.5397931578890902,0.5198471537279767,0.5225181110131462,0.4877750519508901,0.4506762134475846,0.3688450795962612,0.3174822469626409,0.27132183643253677,0.2278625066886538,0.18969701789318016,0.16602515651372943

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.5307012510042466,0.548891394212702,0.6478364143344004,0.6436274305700129,0.6726871425018652,0.5971160440957527,0.5946005851582588,0.7285825705020319,0.7732094400131568,0.7288783012280774,0.7731524615212612,0.888349721193547,0.7709998961686222,0.8018777579569993,0.8051803777115126,0.9107638764734628,0.5307012510042466,0.6151973347001538,0.46061197916666663,0.32464454976303314,0.18744584576874945,0.16564676092002528,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.2918631683825972,0.25355064027939467,0.24877610599595779,0.3054933473850613,0.5081766629803054,0.5736712077362885,0.617015471366351,0.278058507006091,0.11807150467621641,0.10941491553358051,0.08303490888537013,0.6217878622197922,0.3078265177542514,0.326480036714089,0.15162818590704652,0.18682720001400677,0.2918631683825972,0.2760687463893703,0.3039526527161277,0.21556071853572845,0.1814308723437419,0.16825632002963242,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.6460005177323324,0.570499707773232,0.5754227270391119,0.7004981320049813,0.6735229237464974,0.5398280273257194,0.5505263778135681,0.8178087010905679,0.7555135734527085,0.7027265702616183,0.740402193784278,0.7911677282377919,0.8218659763019018,0.7586138506752249,0.7649114926232154,0.855595667870036,0.6731753299218961,0.5159191261910295,0.3956950311808489,0.20581005586592183,0.10790878214458999,0.08785726365635038,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.40938915072544124,0.415498382375597,0.3696933458614504,0.592753754570453,0.6968692726770606,0.8262798973530121,0.6779743875870131,0.6564979396026815,0.7096871330061127,0.5350095161775017,0.47651263465216953,0.7159198592121294,0.5593259771337411,0.6822206118655283,0.7572650214726615,0.6659971511431295,0.40938915072544124,0.41671436748712076,0.27491489611456743,0.26358205590622186,0.21295936223993783,0.14432089226324452,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.3130787479911227,0.4272717599489253,0.4762429368492128,0.5524178073429704,0.5882782693400439,0.6166764721613093,0.578795863487881,0.3789186733303044,0.4597197898423818,0.33156387835641876,0.17713654448348326,0.5578160371738353,0.6007866664017958,0.6707303849430718,0.5316891048728276,0.41372789260600895,0.3130787479911227,0.34656570292182953,0.2834426000836937,0.2885558002415287,0.2350739618606309,0.17645267919276275,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.21707602339181287,0.21408798319047462,0.19097148633006733,0.23045621015508433,0.43024628536535725,0.14350009396977803,0.5540330618585398,0.22523336344474554,0.08939398121314157,0.07364392188493696,0.037853115033729345,0.23394874621107742,0.19788898828996038,0.24320195539260614,0.13889143334045784,0.15132439466196812,0.21707602339181287,0.21165829145728643,0.18097135157302713,0.17772044316284719,0.20639534883720934,0.20184355072921267,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.5037619314991577,0.5467122648841909,0.6724239345489547,0.6608734952134434,0.667909585876918,0.595987582201155,0.6427289843836527,0.7842177641158389,0.7750641730839751,0.7770316458241184,0.7838457651494539,0.7761615470180543,0.7922987466080889,0.8013269787870292,0.7995007111962611,0.799026706231454,0.49323952951522476,0.35061454579059237,0.37350767481523595,0.38397140438340704,0.3478384258821303,0.30953980517299295,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.2310092860404932,0.1965434367710469,0.2063978482770784,0.20441235358894783,0.21441630976532167,0.20386666781926155,0.2130212084139531,0.18451670342566928,0.1553724080487484,0.08760523665659614,0.04906384273448461,0.18266126966234564,0.1792072431062408,0.21591739437716362,0.1889323324179336,0.17591870780648278,0.2310092860404932,0.20016706693118935,0.18492504455393644,0.11680034684587037,0.10830508474576273,0.10843838435811681,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.3241095581605049,0.22690532302358646,0.26089856662170374,0.3800032727867779,0.3178349869225947,0.350834948650959,0.19121451526221767,0.25970457642766076,0.26268097769752896,0.2874643805255851,0.2240249905338887,0.2703636623611839,0.2861414239531319,0.34523231235804597,0.4449207424111927,0.4266670777832593,0.3311088295687885,0.2863581451537961,0.18165877068848824,0.15683033008210723,0.1388164049037467,0.11956169957002172,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.36312043960003604,0.3488492737219393,0.41107829371035687,0.656007255234415,0.6737106918238993,0.7886728655959425,0.6386147871907417,0.8120586429229353,0.7071692049231219,0.6676555140987217,0.4682665895619488,0.7425884277243917,0.7304393405127227,0.7720958797709578,0.7755783012093993,0.6365596739412688,0.36312043960003604,0.29274066280904787,0.3620814087759815,0.3487284171132091,0.2511650723571254,0.21879250810923934,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
10,0.33831577227803644,0.2823323388247503,0.35187077633097086,0.6167277743492939,0.6189187681321133,0.7349933091187153,0.677804703596554,0.6966682174426511,0.3886276353946234,0.43392227473929024,0.25248326962803525,0.6969718137682931,0.6796689016533077,0.7216799168092315,0.3366013542717188,0.2744011417279614,0.33831577227803644,0.2279888103651354,0.2257474069554607,0.20308346624136098,0.335453740236734,0.21537941904976354,0.948442,0.0841429,0.188086,20,0.000242606,0.0952192,0.0108128,0.476574,53
11,0.5878579610538374,0.584906914893617,0.5832124435847841,0.6563758894619931,0.8358512934310119,0.07637603420643324,0.608800469126686,0.7344391064978785,0.6838159341574757,0.7299779573842763,0.696044512608339,0.7083333333333333,0.8933604196667353,0.8001648433987711,0.8785065736907096,0.7851829845293897,0.5658455708195168,0.4406186705947339,0.3086510755210078,0.35020530638029057,0.22384937238493718,0.11992013154803849,0.982366,0.0386483,0.10333,45,0.000500235,0.0788166,0.0240525,0.316274,86
12,0.45206634804610624,0.6946034653843218,0.6793255763843999,0.6705553935252697,0.7091624323881331,0.596358777350927,0.5940858428061778,0.7908209016059347,0.9454428754813864,0.8009865227016739,0.7855103629824627,0.7870153137397091,0.7942281288049533,0.7994758026771507,0.8010472727272727,0.801596949112144,0.45206634804610624,0.4781711928497766,0.4586007364544976,0.3737488196411709,0.35324183625177474,0.32646239554317547,0.980271,0.163115,0.15779,86,0.00856639,0.0414264,0.036614,0.323286,48
13,0.3740266963292548,0.5190666767348788,0.4889282103134479,0.6804199819539004,0.6947444678609063,0.6462783711615487,0.6431031237196736,0.8417472252058719,0.7595135347194979,0.7899887934254763,0.7168330231771274,0.7627175649541748,0.7850142027279474,0.7931886130248278,0.7935561031138777,0.796169598257617,0.3740266963292548,0.3820706364737676,0.39372792280520374,0.33729662077597,0.30925861468847893,0.28273535725237653,0.973613,0.113673,0.267176,95,0.00419618,0.0631254,0.0252324,0.226606,41
14,0.44149197913591187,0.41098751893049246,0.3626738889572818,0.6327318602339629,0.6181933548684817,0.8303220363265891,0.7280829924021041,0.7326959052172106,0.6971833305880415,0.578662935835185,0.42724907737915174,0.7171772859730645,0.7561875707326674,0.7616370106761565,0.7605940976727493,0.6460497594313208,0.4416223666075999,0.33495787212952255,0.3208060131137054,0.35494985070055896,0.34592343658679137,0.24355410193513216,0.959486,0.0802321,0.0730584,37,0.00420021,0.0874761,0.0481816,0.337758,53
15,0.41011604992336326,0.2482167062954157,0.29342746850873624,0.218526586505705,0.20640101290753698,0.18259927092621353,0.14013760952303556,0.2280621259896326,0.3205413295862266,0.23266371354005222,0.2526493726025616,0.1949983952534199,0.2670468779934273,0.36306150203303944,0.25652517283100496,0.4748956128810845,0.41011604992336326,0.2825141585760518,0.22684342043962558,0.242,0.09670614182288917,0.07743612378009901,0.983476,0.00507192,0.114493,95,0.00735592,0.0087093,0.0175965,0.33454,65
16,0.6515885837372106,0.7053291536050157,0.7552023594953301,0.6482038429406851,0.5916581354644828,0.5950814745558969,0.5942279366977862,0.744695083429336,0.7772191543723729,0.7246424461614336,0.7722244981564932,0.8332409972299168,0.7730064542993962,0.7942198240816025,0.7783233235427353,0.7817738640029632,0.6515885837372106,0.5156786703601108,0.3872255489021956,0.38644906033630066,0.1796971396522714,0.10694130925507905,0.989078,0.0958541,0.390813,11,0.00862368,0.0867913,0.0406285,0.44505,35
17,0.1603847835592479,0.20253370147799254,0.20405632347241953,0.24679584216368955,0.2353333926822755,0.24509347004298065,0.28411749867348624,0.24788353228720206,0.16791024454005776,0.11333436740602865,0.06413010848259748,0.21642810904121412,0.23779578531217127,0.1870624142873346,0.19001043131590845,0.15597336178667354,0.1603847835592479,0.1695050365968549,0.15785723539318564,0.15716325559257494,0.11106044484977451,0.18159776188995957,0.91726,0.165219,0.0803034,89,0.00531936,0.065062,0.0458773,0.111306,86
