max_value,0.6102666334413157,0.7034660824661607,0.7139390810531749,0.783449037551278,0.7955920484010371,0.7882431633637184,0.8220255018523305,0.817024661893397,0.7983574501368791,0.8076360618157385,0.8083895364703131,0.7413893269150966,0.8100863790572893,0.8021434021185614,0.8348174659985683,0.8239011374806909,0.6096589494647747,0.5844266970907017,0.5951639932966244,0.45046632124352337,0.28878243512974056,0.2552761855132881
clusters_found,69,67,67,68,67,63,69,70,68,70,70,67,68,64,68,66,69,70,64,67,63,41
index_set,339,130,58,374,272,381,86,496,286,300,300,97,383,447,324,480,339,130,224,224,493,323
mean_value,0.33804768677379493,0.30658434364850384,0.2874986736772996,0.379486822929954,0.37987080143857,0.4366090547474028,0.33925595159151845,0.43308544273957905,0.3346015793246037,0.32916512889845817,0.26817889559728214,0.4105446474081974,0.4279416161942582,0.4228932641391994,0.4180904403525852,0.4519203290004905,0.3376836325793868,0.2822251412311752,0.2396863882729815,0.1916127690601221,0.1536997097974986,0.13729768392142833

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.33760409993593854,0.5362688112110836,0.6564132049254947,0.7071274473887735,0.7088664354896568,0.007059136920617992,0.003305291783199382,0.7235628233421367,0.7436308283928857,0.7333943790941748,0.7365393832880651,0.6577384660105478,0.7386837554673991,0.6905245284411797,0.6858619097101951,0.7073978479416375,0.33760409993593854,0.40635359116022096,0.4558051178902671,0.23110663694542322,0.112540192926045,0.08998574483250177,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.2689565780946209,0.28060154402249093,0.2326042378673958,0.2929398101798085,0.3116120262791676,0.5451213650564768,0.5853735487127714,0.3357810929891011,0.14823351778529148,0.14070625141306803,0.08737037744697851,0.2922688295843142,0.28457318411235466,0.20409510596565084,0.1905257854446466,0.22834083053508203,0.2689565780946209,0.3396884192177797,0.30055673174939235,0.15258342303552208,0.16292106459269728,0.15677984958390812,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.4998858708057521,0.4757941393745383,0.004106214070626835,0.05680868838763575,0.007707065361206689,0.00421821334489314,0.0010626992561104665,0.07426305025924929,0.4065459777005155,0.37326014506959415,0.42487715404995363,0.10590571449584463,0.004942767950051996,0.7658117839026639,0.6661858670209401,0.7344298312532422,0.4978404182768811,0.3062919463087248,0.24202898550724639,0.11302116741500967,0.0761432506887052,0.033587257617728516,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.3790961837051565,0.2765692493287154,0.43195882798686536,0.5356058707215863,0.3628715912850323,0.26059729708440704,0.11485975058605657,0.5793788246160951,0.40308463630183544,0.5589333333333333,0.41030142147628024,0.47549319773168974,0.6734536898782861,0.5676654409194501,0.7562050831360654,0.7362762207048407,0.3790961837051565,0.35996488147497807,0.20288861465332053,0.1705606412533588,0.1415200903663063,0.1213502596653202,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.3469019024338399,0.30755804513719764,0.2805330891703546,0.37935489619531315,0.47041390892028057,0.673791711198195,0.5866876831448551,0.4665557885602719,0.29864087384307514,0.3049070986183897,0.18466494967830227,0.35884924909701543,0.450728201248345,0.4233374978415658,0.5216853190128067,0.5077901381647146,0.3469019024338399,0.3987458103578765,0.25424680612101647,0.19436375681598128,0.17875960748296027,0.15738917439123956,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.23697610654132395,0.23591244039878634,0.1654881299009413,0.23688464106258122,0.287704984247516,0.5941669636907436,0.2670281008515144,0.2433271588603687,0.13377136928836697,0.1269200435648027,0.04892061170635553,0.3700720741333944,0.2653329923370559,0.31883360214406653,0.31112777123272994,0.27265029635901783,0.23697610654132395,0.1819348628268891,0.20578747628083494,0.18105358867988863,0.15873424234628253,0.13185362927414512,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.3859960736655137,0.46580662147041396,0.601387004372079,0.6209001035011956,0.6576120073121452,0.01335770061472008,0.010021190181882411,0.7623694442326752,0.7452153110047847,0.7103514499711927,0.7330540294850005,0.6574024585783004,0.669973544973545,0.7220931479429531,0.6878330500907337,0.7240503365525315,0.3859960736655137,0.4346214928533616,0.3521597770552717,0.23101535836177478,0.21540089970891774,0.12071975292063919,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.24017699115044244,0.19845784350903806,0.20475383390169688,0.2493219317411286,0.21222145479661203,0.41115375464222537,0.2226579315540249,0.23586020909527505,0.17267180154046213,0.10594843756235783,0.06525743707093823,0.23561806320427015,0.19388145004593382,0.23179154317593575,0.2215835168134508,0.19925064310479812,0.24017699115044244,0.21820024614493594,0.17336374802596943,0.13587517454920772,0.11969237939874156,0.12056882356943599,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.35403726708074534,0.20383732037966706,0.3033033627757753,0.38549527365160063,0.2988071496698914,0.22150543550524293,0.38917241074584663,0.42173345689051955,0.3381401079355163,0.3190648983654989,0.2972724151920856,0.3160925669190573,0.45540911659198713,0.3155073629008308,0.37656438888384214,0.42330533154794425,0.36388949952370486,0.303966953920661,0.2331045658183205,0.2152694885685429,0.18474727775069077,0.1497873389632004,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.4267349603294165,0.276740447632002,0.3183913239945775,0.5995545302680774,0.5679841391660272,0.6519169277478117,0.7502863447696106,0.5882658959537572,0.5409092293170124,0.6067175668457598,0.4708385618418899,0.6643253838614831,0.6716234822881462,0.6498552986700484,0.6875385078305225,0.5824601854780294,0.4267349603294165,0.32648792546111427,0.2241198108250131,0.22583625947144703,0.20443793647217845,0.1992859268074978,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
