max_value,0.7180835939721353,0.9026109862865112,0.8474220139001132,0.9364464876199694,0.946995556128035,0.94544392712879,0.9487320659390485,0.9455025608194623,0.9493273181342141,0.9169515226848974,0.9505181139047313,0.9281137035819914,0.965483689250781,0.975009269558769,0.981607194662025,0.9849106740373437,0.7180835939721353,0.7134076615208691,0.6349884906280829,0.4706746303730539,0.3099419065223131,0.2534861734814464
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,45,55
index_set,346,337,42,484,176,23,269,493,58,287,58,320,16,206,401,471,346,130,274,224,409,409
mean_value,0.33702472374172526,0.33024147454941993,0.3133327294727996,0.39986083811308853,0.42839239661553913,0.4376744712155102,0.4092136300438666,0.4019337421050458,0.35627899052381173,0.3435716652904148,0.294839899151608,0.4426374736108857,0.4340127731641768,0.4380919213643464,0.41789884920333137,0.3939832096176781,0.3367967100338257,0.2795026516754038,0.23568032376895684,0.1920803211120772,0.15915151248517975,0.13958503467251474

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.3829603455045151,0.6127158677301944,0.5986137115085846,0.7724233677980344,0.8101890604704863,0.10111703901300428,0.09998008805504544,0.7462362478286045,0.8681942090915789,0.7659108989657916,0.8534601240667137,0.8650912106135986,0.9604666564776606,0.7934891671931324,0.7979676620876337,0.9060017547603804,0.3829603455045151,0.4168409566245339,0.49760000000000004,0.2506258880844442,0.12251785574130758,0.11262659261679187,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.2922902946850263,0.23130078477672056,0.25531150339127706,0.2576108299675931,0.34843423481139124,0.6077420450547717,0.6715619830300443,0.23430455787568172,0.11265282140516597,0.11646276750215168,0.0692850824076281,0.31905445997126813,0.2037801890094505,0.2207264676635584,0.15445688850389372,0.1509945264221132,0.2922902946850263,0.27760046423908313,0.2631014016921328,0.1565167899829254,0.15937484689628145,0.17229511722951174,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.5998232239531543,0.4516612146770189,0.1006847439057792,0.15767400596822323,0.15963701431492838,0.14384113724628123,0.1432413470533208,0.06389088298636036,0.423423918016287,0.28617818177345355,0.3888085693632122,0.23348093622404964,0.10568258763477267,0.7727753614670272,0.7851035442891119,0.4457830025884383,0.5974469021679323,0.4931351962526248,0.259545573256725,0.1516395812850616,0.10642344601020148,0.034557907845579106,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.41814212951734175,0.3230633465065419,0.3612961692955815,0.5844115748407197,0.4164731207160256,0.236714269467596,0.11145600250852339,0.37857669262071836,0.3376310813133918,0.41348023331173045,0.4671443516709105,0.5586273122409784,0.7691850633027104,0.5148063781321184,0.8626287409774329,0.7362762207048407,0.41814212951734175,0.37789257660462816,0.25102956827541534,0.2152261494372223,0.17896698806408828,0.1294942108470445,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.31052050607115567,0.36401472706899307,0.30715615721403045,0.41942564477775746,0.5449998755878473,0.7541118914700762,0.6741305791853265,0.4756550356525041,0.32710871446641365,0.3269185220274752,0.19128302497254124,0.39891756183891014,0.5115967245039666,0.46158526074568296,0.39789233172460425,0.4228510260707897,0.31052050607115567,0.3119410460041496,0.26402914482934936,0.21857619577308118,0.19397057496163916,0.18491053487704523,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.21712681328965844,0.22350041084634342,0.17041061971249738,0.20631834194994736,0.2932651522292393,0.19665904371369236,0.30965714601591166,0.19505631310723326,0.09502955558610393,0.06590723651336805,0.03654648076293965,0.25748744042251703,0.15715828899679973,0.19706656805392808,0.1384890172531732,0.1546902537944117,0.21712681328965844,0.1813858695652174,0.19273690183468883,0.15211399205793041,0.14900895462320152,0.10548394735951827,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.3595905265897458,0.550177561488886,0.6410908577080684,0.68267298306058,0.7757339936328264,0.10111703901300428,0.09998008805504544,0.8082081852573656,0.942493801487643,0.8148806304566175,0.8443328550932568,0.8629487655084291,0.7844732734576905,0.7454605942813118,0.7958726534387329,0.7956421964087156,0.3595905265897458,0.3772373892605315,0.2834409247860682,0.23840554592720975,0.249318887410505,0.11310943904080262,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.25105644431029284,0.19146148010207598,0.21358730397502912,0.20050946142649195,0.1975656261085491,0.1769210823973274,0.2131315469645234,0.1845764598724825,0.15295186353035717,0.09036980337750566,0.05688603322949115,0.18244419613855467,0.1806658035127202,0.21641508867749004,0.1890031485090884,0.15467684522022562,0.25105644431029284,0.1997178241103621,0.18492504455393644,0.11725788900979328,0.11469299143898748,0.1056813503499382,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.323678756476684,0.20216568909867072,0.29187602606835483,0.37777777777777777,0.31270801654562275,0.24899279253876094,0.18682517107889718,0.2863860576165602,0.34812921904311733,0.3077905991264098,0.32629706737994457,0.283186061604513,0.3718430421190695,0.3133348426533846,0.4121867728928358,0.35898633252478607,0.32790864456335855,0.271052119797744,0.22468555962426362,0.20616786140979693,0.16575597945227893,0.15048320294523698,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.36062035334559117,0.3165397699659809,0.3840171017920495,0.6706205115791173,0.6788267113143152,0.8457921193449003,0.9365987786552419,0.6349063248344837,0.6088869873479617,0.6743360050290743,0.534719745397679,0.7644521854524342,0.7769780526129049,0.7172392172392172,0.7942771431868005,0.5824601854780294,0.36062035334559117,0.27921279212792127,0.2582328818193116,0.2256728778467909,0.2221683371052915,0.17661160039606028,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
