max_value,0.828028293545535,0.9265887218643124,0.9391206914950379,0.9668179358008243,0.9680689973006781,0.966516857659331,0.9711147454031117,0.9687999672010168,0.9696371266353987,0.9661127936481951,0.9708729898260584,0.9461262613626886,0.9791731588241405,0.9824220574225244,0.9819347911255568,0.984163485929684,0.8317051509769094,0.7949915110356537,0.6870870044052864,0.5201265408530599,0.4615484205075091,0.44094948550046775
index_set,82,257,480,75,60,74,482,447,109,328,260,352,156,413,312,312,82,287,190,146,42,12
mean_value,0.4987742314187908,0.546603215933032,0.5811763204851694,0.6357571862312575,0.6786456550541885,0.6869366872085122,0.6605854593360514,0.6903923945408329,0.5731891014681278,0.5005294772199255,0.38098988731367905,0.6856536541929582,0.7014131607963059,0.7184079470976237,0.7012949579371583,0.6887130899945865,0.5020814344157579,0.4698910105057746,0.4080225241410317,0.34605235716175514,0.3010472737490054,0.266888109894724

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7130000000000001,0.6628076424870466,0.696405013192612,0.6475320539679879,0.5985529852975341,0.6514143653833233,0.5999463735085132,0.7756523890011131,0.7744621218366169,0.7734056987788331,0.772103689749785,0.7640905209222886,0.7971813406833429,0.7769477054429028,0.8049343739951474,0.7811251446086324,0.7265977580433833,0.6294864715626726,0.4955697760275658,0.49893256310435763,0.3862815884476535,0.2577153385536619,0.986846,0.183649,0.435761,82,0.00257646,0.0317536,0.0306956,0.0322709,93
1,0.4058012636415853,0.4998560598790903,0.5497335383955078,0.6229026845637584,0.6420485767666777,0.717352081129845,0.7013370865587614,0.6662060735483466,0.3792083392027046,0.2526999348291593,0.1314775796064932,0.6662117021658704,0.6404307357836809,0.6925015103069239,0.5821647197707518,0.6188965230064543,0.42527018715402864,0.41547406082289806,0.40040016006402557,0.357956943858168,0.3707175177763413,0.28470149253731347,0.933923,0.0412111,0.143564,35,0.00859645,0.0880815,0.029672,0.198855,5
2,0.6654666666666667,0.700720135554928,0.7631300500192382,0.7441212207847903,0.7508121591831999,0.6436842894513222,0.6953410963297173,0.8482912119471568,0.8170138751630628,0.9330066005296234,0.6728707013435227,0.8949984222152099,0.938917801738091,0.9823853553749883,0.8473740261196121,0.8486289646299296,0.7815020862308762,0.5437436988910048,0.3510479785437568,0.23423057389537838,0.13306131701235413,0.08947692307692312,0.992153,0.0525988,0.0385749,36,0.0012744,0.0544401,0.0385792,0.454961,72
3,0.5937369082530373,0.6776005105296745,0.6714351110093844,0.8144091993585482,0.8455920409454253,0.9408801782312486,0.9432232859657408,0.9042553191489362,0.8427677453960307,0.7281036319279799,0.5974753850037869,0.8708167024869512,0.9114113751178362,0.9311449868097237,0.8763078835595152,0.7306372330850863,0.5719257540603249,0.4462706565430996,0.36921732114039807,0.30346317748034335,0.23483755410716955,0.1816868630125993,0.965389,0.0263699,0.346144,5,0.00403312,0.0533092,0.0250933,0.453149,88
4,0.4404196033437141,0.5089595375722543,0.5841131907308378,0.6238637515628696,0.7277745576992078,0.7830323015813535,0.7858181745731306,0.6874742545708039,0.48726430697982137,0.28284208003834177,0.13910562590158682,0.6999347011719421,0.7099046654855311,0.7290735221063089,0.7079592430858807,0.687479063535192,0.4023458191449111,0.43964051493806167,0.415501548278127,0.3730396836219828,0.24003430996343278,0.2355900329102022,0.942112,0.0260721,0.107277,82,0.00217881,0.00703146,0.0365583,0.459702,16
5,0.3513735443415945,0.3685491917780882,0.4048473672078243,0.4930577304520305,0.5181107422084181,0.6036239796183642,0.641105107740691,0.433713189664899,0.24693295116195746,0.1490265389726938,0.06774152562207847,0.558738053150373,0.45757711706567694,0.4867525049272421,0.49759082586489356,0.4517045282859232,0.36127214170692434,0.35619047619047617,0.35632002524854034,0.33237376487979464,0.31892247043363997,0.3196606418295832,0.917797,0.026755,0.341558,59,0.00599203,0.0902174,0.0441176,0.404122,18
6,0.670923511224627,0.6523342487249901,0.6807427859888474,0.638183472578377,0.7068372991195627,0.6042343096234309,0.6479024139816747,0.7684515786464077,0.7669320269442743,0.7765910281729878,0.7583504160135054,0.7760249668675987,0.7683816892327531,0.8006599670016499,0.8034180556163145,0.8015610104861773,0.6624634988054154,0.5786042944785277,0.49785553047404063,0.4504806134571768,0.40120392860914567,0.41049753963914704,0.978019,0.148263,0.249772,43,0.00471593,0.0394259,0.0495208,0.0819674,70
7,0.34259166749925063,0.32387337433208996,0.36304033781531286,0.4179991903653476,0.5585745174147498,0.5230237229525287,0.5904539514145142,0.3821545350104575,0.2780192227329712,0.16080550279381123,0.081933489603352,0.45133317755796143,0.4907125970955758,0.48444455528261654,0.48267066288301497,0.4872819973868091,0.33976626996890746,0.3344020519397243,0.3314105925537494,0.3064241046048891,0.2996240239082233,0.29020066588679927,0.904462,0.0986957,0.0913967,83,0.000334223,0.063404,0.0144145,0.249438,63
8,0.4144110922634413,0.34233721922092697,0.4229235164124401,0.5804925024074838,0.7108043993961612,0.7544639210625194,0.6692781732193187,0.5868125223318583,0.4303321343144595,0.31011968102576226,0.1675742971274069,0.6625010949224794,0.609301273350139,0.6064184424442907,0.7113110566866729,0.6712371959156285,0.382800815771584,0.2607455493262516,0.20374015748031493,0.15291767974991322,0.12805250305250304,0.09385739273587823,0.9556,0.00253885,0.00579785,62,0.00626979,0.0206777,0.0154646,0.297457,66
9,0.6123926380368099,0.6947595894111291,0.6624898756491495,0.6689857195166606,0.7514160659114315,0.762641796474518,0.7045244991159274,0.8391858112129509,0.7305542969339979,0.6543519522776573,0.49832545059440114,0.7612134435446649,0.7726699934472504,0.781866783844154,0.7886468760292706,0.7823073075983671,0.5567981165391407,0.6173443775100402,0.5945184426229508,0.44219332728555594,0.41426807257528264,0.35038759689922483,0.963414,0.162425,0.132445,45,0.00703278,0.0115733,0.0124186,0.386123,36
10,0.477977483705313,0.5442192538000921,0.6652146331148234,0.6820204717400979,0.7152528872958981,0.7504189785059958,0.8232244577998432,0.784175856709348,0.5895751732449532,0.5061912075254367,0.2926147704590818,0.7479158981925489,0.7920834019720895,0.8,0.8038710020471646,0.7977667627779398,0.48290094339622647,0.4665650406504065,0.4457405105650636,0.43102162565249813,0.4166409544379307,0.3271769569275903,0.948442,0.0841429,0.188086,20,0.000242606,0.0952192,0.0108128,0.476574,53
11,0.6482249287380151,0.8089715991945003,0.8110842645726366,0.886505058217217,0.8595060645915534,0.9658441192555642,0.9709752621286281,0.9189903939641426,0.9561830574488802,0.7683994661632109,0.8616157570903266,0.8227601332141987,0.8662908913082645,0.9730969914517263,0.7782953225454001,0.7631532732099875,0.6716471431986613,0.5652173913043479,0.32330827067669177,0.3131352017246689,0.2074432798195569,0.161314931687357,0.982366,0.0386483,0.10333,45,0.000500235,0.0788166,0.0240525,0.316274,86
12,0.6825765864332605,0.6840233881163085,0.6856581532416504,0.6408278379163037,0.64866997665472,0.600736109710598,0.5989727556945065,0.7706969895287958,0.7698298831727813,0.7674323717817945,0.7775903614457831,0.7842920353982301,0.7672220069740411,0.8009603121014329,0.8042995677065078,0.802400209958724,0.6747326955543049,0.6451911628522291,0.44825865682067656,0.49082249070631967,0.45087436723423835,0.44094948550046775,0.980271,0.163115,0.15779,86,0.00856639,0.0414264,0.036614,0.323286,48
13,0.5829899267399268,0.7594955165123569,0.6557120500782473,0.782272969975767,0.7458987447430094,0.7452691897654584,0.7175403671754037,0.8604206500956023,0.8740669395617626,0.8349099544824856,0.8018014608485032,0.7680944721916533,0.7899713983869721,0.8669499353408461,0.798862746235748,0.7986993722334959,0.6123175070543492,0.634837889383344,0.5882644833147253,0.4167359379329454,0.386313676765746,0.36541105306571353,0.973613,0.113673,0.267176,95,0.00419618,0.0631254,0.0252324,0.226606,41
14,0.5329891714933266,0.6900896220288348,0.7029282783986419,0.7980223823394144,0.9100417762648925,0.8488478062752246,0.7225684445781579,0.8951435714826881,0.6921358033590428,0.667537372147915,0.4156436338126973,0.7564524871784181,0.8531504563745216,0.7796223661406549,0.8432438460037356,0.8414566081578259,0.4969280433197959,0.5517656500802568,0.5209829867674858,0.36102745792736934,0.33409056489474487,0.32826037821140663,0.959486,0.0802321,0.0730584,37,0.00420021,0.0874761,0.0481816,0.337758,53
