max_value,0.8447083583884546,0.9066613482249701,0.890084431630972,0.9072367902984487,0.9781473474139365,0.979989910879435,0.950127033893724,0.9784679089026915,0.9795918367346939,0.9172180087138938,0.8945624156131091,0.9736943741149209,0.9877920989206749,0.9507384709944502,0.9890097041973577,0.8952652066552367,0.8341745843230404,0.7961013090495163,0.7854894554611269,0.7194235429154445,0.5847836897066137,0.4907128514056225
index_set,94,163,139,396,396,94,94,396,147,396,396,163,396,94,396,396,94,163,100,51,272,196
mean_value,0.38124061393424286,0.3796082693063556,0.41019996220488747,0.4323266291441461,0.46595705572155466,0.4477265527498971,0.4299217913020607,0.4491282428059145,0.4000161651408241,0.35224374204406483,0.2770542286454358,0.4684839190057491,0.4705095959035041,0.4787768586825932,0.46054290632114947,0.45301262658399444,0.37189680171893386,0.3471662222830249,0.31354780404783417,0.27475918703403385,0.235919840728146,0.2034556631102448

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.3443180138909413,0.1767341520079655,0.28741906137956863,0.33761760752688175,0.3854638965960614,0.19185897545393982,0.23841957236284772,0.40069105691056905,0.28986085084326785,0.45544367764075877,0.3658448875214768,0.31732975453482837,0.36480759450754363,0.4521934967520985,0.43440664943773133,0.3364356624665903,0.3949685534591195,0.44665085951393,0.1543563460958698,0.2214918164743762,0.1584310441094361,0.10272764282806346,0.987538,0.144499,0.115695,67,0.00206823,0.0491869,0.0114312,0.169835,55
1,0.3224244975270967,0.23938351633813992,0.3696977789647038,0.31575910566173815,0.49933845766129037,0.5162509803921569,0.2787836210357286,0.2204735936756579,0.1298076923076923,0.055835117773019305,0.10494654967623285,0.2776932550894733,0.2795842974871108,0.12401927247849309,0.21416610461194963,0.43171669793621015,0.18025841982630797,0.24390243902439024,0.2897291773122126,0.2371405659296597,0.2591595345706318,0.22986172776861602,0.91472,0.0729388,0.419999,20,0.00184312,0.0175265,0.0476548,0.162104,96
2,0.3607787942763312,0.2998829344432883,0.30005341880341885,0.3016218023741849,0.4635174642252654,0.4578417739499694,0.48763254308255954,0.6267282895758894,0.3774002427011207,0.34375,0.20491890738369611,0.33210275927687916,0.5496606052350791,0.3451043874434673,0.5260447209403125,0.5531643718267483,0.24822398662766398,0.2642825011246064,0.2579519006982157,0.2532917194967327,0.36854917234664075,0.20626553953257087,0.937198,0.11309,0.426986,40,0.00218584,0.0364675,0.0154214,0.296453,78
3,0.5332895600787919,0.5895642034688822,0.3251486667945521,0.569412523688561,0.4784355315593264,0.5430546113754815,0.4581707473950517,0.5767342413683877,0.6096934744825406,0.4888185009922149,0.36266336187471837,0.6119261518173575,0.4792851133263646,0.4764377887525888,0.5040739895566264,0.5174719910543406,0.4756604532653882,0.46081734290317855,0.29115226337448563,0.2989420998748721,0.31612903225806455,0.21442545976261906,0.971268,0.084968,0.0544135,28,0.00419758,0.053798,0.0303948,0.493819,29
4,0.2866108786610879,0.3969355084616557,0.46411483253588515,0.5532129263377864,0.42551856152132295,0.4440423070566848,0.5151125196749904,0.4666173752310536,0.42493112947658407,0.3464936397961802,0.45000924043614854,0.4702399028241725,0.4434350475590835,0.5226166238824467,0.47495809778131304,0.5790198735320686,0.3151012053672959,0.3980126225325634,0.25290659699542783,0.26546453307857654,0.2332355618488925,0.2242387332521315,0.956563,0.133946,0.293682,71,0.00752621,0.0862602,0.0194208,0.0587503,85
5,0.4877669353698204,0.5560782007937675,0.5450407162004957,0.5112539076068079,0.6641630276564774,0.5539249783689326,0.5796828351855425,0.5296550583174787,0.5708686108497962,0.6963416330504938,0.48252457976530294,0.7275770618668753,0.6035127537203724,0.7005384457734801,0.6792679016992151,0.5303891246493563,0.5601851851851851,0.3834513058335367,0.49540664685220215,0.4447096260938743,0.413458162668227,0.3953431671339753,0.962991,0.0548117,0.472879,64,0.00348668,0.0776175,0.0363226,0.128039,88
6,0.5728665207877461,0.5990385398842989,0.5065041539134236,0.5274229585599258,0.44421451471874085,0.46187867859694487,0.45239168149967335,0.6010754912099276,0.7259559458141018,0.46650613823866105,0.5503008087971633,0.574792847797645,0.4909955746976832,0.6634836490020888,0.5350694535965629,0.6839112658092048,0.6472825225796228,0.5272807274860662,0.5029585798816568,0.3702127659574468,0.21174881836596893,0.15679488885931048,0.989622,0.0514587,0.229597,90,0.00821453,0.0653702,0.0343017,0.0319777,95
7,0.3892230268810605,0.4582726985131288,0.43167701863354035,0.5872112998663868,0.5639381365522445,0.5073309468935419,0.3430925423908999,0.5605019181585678,0.5023621466007234,0.467812197483059,0.2210915818686402,0.5405570985133148,0.6472035794183445,0.5979474400380347,0.5015823605706875,0.6646677731969802,0.3495857666711938,0.43134715025906734,0.34658466944871513,0.38015848512915507,0.21645021645021645,0.2321151918345029,0.943331,0.0732966,0.259865,7,0.000446712,0.0504055,0.0119698,0.487715,74
8,0.42001482579688654,0.3004999218872051,0.42916280843183174,0.27391304347826084,0.362869982953665,0.3953372537677946,0.4013526958657042,0.32974518543436215,0.4317164775451494,0.3965134830149033,0.4416294859359845,0.407046508659206,0.44956325100873495,0.5237724348120556,0.40610878079302914,0.32007294016027643,0.3482534401935582,0.3387362289477016,0.230540470649082,0.19381188118811876,0.28021015761821366,0.10951182687468541,0.967213,0.144272,0.254275,82,0.00832049,0.0247779,0.0269734,0.190392,60
9,0.3190031152647975,0.3126605274697738,0.39618138424821003,0.4870535714285714,0.559985885673959,0.593642096389839,0.5527425727333368,0.43844305983034304,0.370520823012649,0.1938303243574051,0.09706795895467779,0.4566982124079916,0.4790377848814479,0.5716516154214644,0.6096987474973228,0.5201886413806944,0.344762925261184,0.3658043654001617,0.35974559427587116,0.15544701635166702,0.2712832929782082,0.25665141501440436,0.927377,0.0618914,0.245697,31,0.00699636,0.00745067,0.029899,0.325762,64
