max_value,0.8079066065269302,0.9050652579241765,0.8962268954631091,0.9590715731218766,0.9708173775254193,0.9706862091938707,0.9714045695210514,0.9693165969316597,0.9693180883441639,0.9680938320209974,0.9703157031570315,0.9441185037240462,0.9789951966766195,0.9857180342617236,0.9853232382061735,0.9920896663798872,0.8143312585395476,0.6792620865139949,0.448332369385001,0.3583070939062789,0.3359891642100231,0.2688096355388706
index_set,373,336,190,461,142,386,375,461,461,404,472,289,78,272,289,239,307,492,175,457,313,313
mean_value,0.411250519764934,0.42967208638494003,0.4705424310435514,0.5294250541177491,0.5900648031566119,0.6395295866246863,0.6531108771847746,0.5410900376776145,0.4460944628035895,0.40587488871035987,0.3206657384183573,0.5503589411220658,0.5431608468766816,0.5286903802050686,0.5132313397514535,0.5078413403728378,0.4118721282348884,0.34375279563498096,0.27390747676842137,0.2264082279944126,0.1902941734084784,0.1630477763924258

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.337266680969749,0.31397769285736477,0.3412646061062947,0.3781369367889268,0.46108923510053457,0.6921139430284857,0.6784932745893268,0.4026173837284742,0.18375073525147667,0.12673069592900588,0.06123347651608935,0.4465682563714358,0.351409978308026,0.3075068076594737,0.25089008260591206,0.2419065850966713,0.3104345720857039,0.2647551276684805,0.2595664563403216,0.22670885022063114,0.180546324604546,0.18376462247429992,0.933061,0.0910216,0.343324,95,0.000694128,0.0963119,0.0465783,0.275753,1
1,0.4200014420650371,0.5393640537323585,0.595900439238653,0.7073891625615764,0.743078732398843,0.9427674787278786,0.8518218098050031,0.8240776699029126,0.7739289637495423,0.7177350790681857,0.5543370397699804,0.8664604574789018,0.8147269558481797,0.7716517306585546,0.8693064146699401,0.7718686003259916,0.5146720876789819,0.4303882696192115,0.32565967422011177,0.3059274516535073,0.17755216244304106,0.21219762772018302,0.966107,0.189021,0.150803,75,0.00424878,0.0762761,0.033729,0.145938,50
2,0.30679156908665106,0.22078913873568096,0.23997693004861165,0.22945971959690603,0.31105144321718436,0.229262637796814,0.28078578506052787,0.17253189060406016,0.11081998133312587,0.05950413223140494,0.039231053164672125,0.1776934936203619,0.17966211300622426,0.18566860928231899,0.14108866427447941,0.14926911978219592,0.2799248523886205,0.30989413148608025,0.28822097696269877,0.24957450832072614,0.21819784446492252,0.23449949629086908,0.905043,0.160112,0.453932,20,0.00635844,0.0341241,0.0391247,0.296305,14
3,0.6700394218134034,0.7922660589659593,0.6506948465547191,0.6395638629283489,0.6988555755225574,0.7020439869883963,0.7235791372915901,0.75749050499367,0.8910037416625997,0.7412327521448623,0.8205067111428799,0.7150595882990249,0.7139519140479986,0.8107284963403252,0.6812586122467572,0.8151621987183751,0.7532519246084417,0.6284227200724146,0.3411049723756906,0.25403983464862834,0.10345770124367915,0.0395996518711923,0.996829,0.173699,0.28492,63,0.00521931,0.0355883,0.0142969,0.447201,86
4,0.3470060953746863,0.34178529968839744,0.38282882840570176,0.389868073878628,0.5612675012179364,0.7087904542472192,0.6491362274494805,0.3605934301090723,0.19570458224818754,0.13174144772369745,0.0688513901609823,0.45070422535211263,0.35565614476852825,0.34420044568559416,0.2660094085085999,0.27569185323383083,0.34454563584391407,0.24039302219076564,0.2562531475574954,0.18561329446845576,0.20873444470532987,0.18923456084580492,0.936579,0.170285,0.38474,79,0.00555138,0.048899,0.036152,0.460146,44
5,0.3766224654458711,0.34931861307572887,0.4153507161219243,0.5256721691602717,0.7304434479322371,0.748397565922921,0.6564485900777666,0.6290262471383699,0.3883149621867431,0.31288603769583545,0.16432325841370354,0.6379209234852927,0.5285074978409359,0.5233486652337094,0.5440264572137247,0.48646190308426485,0.38938740902988767,0.3192570633432149,0.2924700841302189,0.22340381166854328,0.2025814517908362,0.17062481874133983,0.950198,0.12685,0.446737,31,0.00719368,0.0723592,0.0327557,0.425213,38
6,0.30602662929222146,0.24611482706318222,0.22027672339904492,0.21316273270925346,0.23134532489459436,0.18606287127305798,0.26338302055663587,0.1930943248979281,0.10660855559240134,0.06462824202136719,0.03344933719536625,0.19921135187109684,0.18336220349981502,0.15567325885884298,0.1412976114611323,0.1288198344557625,0.32102888615456726,0.22872435325602136,0.22764660344493903,0.1981442244465551,0.22164878446285485,0.22486162361623618,0.902806,0.185072,0.243177,51,0.00266054,0.0869106,0.0405111,0.109207,73
7,0.45188319932289467,0.5875950913432173,0.6141280830809174,0.8545983145033673,0.7914753114212817,0.9494485443852533,0.9550315148880678,0.8116811605210192,0.7760602166330091,0.7374096953198618,0.586308621212539,0.7735604093477929,0.8549195032734559,0.8878384766020663,0.8816854064336247,0.8973164589795412,0.47407340607809545,0.3448065421701453,0.2792028615227389,0.22394810958436462,0.17927749106788404,0.15273854362837413,0.967517,0.168476,0.355896,99,0.00275553,0.0717232,0.0294228,0.0260203,87
8,0.2967717473729824,0.25752853049117697,0.3209505218707672,0.35574253547035484,0.4085768785339601,0.6018360908740156,0.6403798774453031,0.3125488357555868,0.1291883113143436,0.09308897340901812,0.047622339099708255,0.351714840024991,0.30362961146340606,0.2481005581014567,0.20880459484062797,0.1833833010103718,0.3777839258541984,0.30190384724026886,0.23454607944223493,0.2169888172998593,0.17980875321809486,0.18675094118053392,0.929079,0.133467,0.303868,27,0.00662324,0.00894646,0.0102746,0.282178,69
9,0.3791609667122663,0.3128669356161239,0.34566664702763217,0.40266329667842393,0.4985385127098998,0.6971781024222856,0.7078125,0.3732946879216431,0.2069243533613957,0.14200926369589517,0.0701777423439478,0.3907739457501642,0.3836267736423743,0.33727329890279145,0.27343590000794116,0.2810879676584781,0.33296750198158653,0.29781288623784186,0.24461751935902598,0.23056734176107785,0.17018456204751709,0.13927584456601427,0.936896,0.046156,0.416412,31,0.00511734,0.00303715,0.0300081,0.365261,88
