max_value,0.7626262626262627,0.7200520833333333,0.5420560747663552,0.5797101449275363,0.7143047771550574,0.70625,0.30707070707070705
index_set,0,90,377,11,396,383,115
mean_value,0.5326565656565657,0.4360598958333334,0.41485981308411213,0.461263768115942,0.2907045636509207,0.2631,0.1415878787878788

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.7626262626262627,0.7135416666666667,0.3551401869158879,0.527536231884058,0.20576461168935145,0.125,0.09090909090909094,0.789716,0.0186853,0.196752,82,0.00317067,0.026518,0.0729064,90,1.51125,0.594554,0.00629462
1,0.7626262626262627,0.7044270833333333,0.4439252336448598,0.5304347826086957,0.2060314918601548,0.125,0.09090909090909094,0.766153,0.0472277,0.146786,97,0.00726499,0.044937,0.36638,77,3.50056,0.784105,0.00111821
2,0.14141414141414144,0.13151041666666663,0.383177570093458,0.28695652173913044,0.3816386442487323,0.66875,0.20505050505050504,0.976039,0.0228987,0.306108,62,0.00164546,0.0587657,0.486597,16,3.18243,0.333552,0.00219642
3,0.7626262626262627,0.4296875,0.44859813084112155,0.4434782608695652,0.43795036028823053,0.125,0.09090909090909094,0.806846,0.0767669,0.454569,75,0.0073546,0.0369283,0.104213,27,3.31224,0.633791,0.000531951
4,0.41414141414141414,0.44661458333333337,0.4953271028037384,0.44637681159420295,0.5381638644248732,0.33125000000000004,0.18484848484848482,0.889967,0.0843999,0.463868,82,0.00722882,0.0362633,0.326476,20,0.699503,0.519586,0.00104134
5,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5043478260869565,0.10408326661329059,0.125,0.09090909090909094,0.746856,0.0335271,0.182866,7,0.00123317,0.0607131,0.331245,15,2.74118,0.629081,0.00639958
6,0.7626262626262627,0.41536458333333337,0.44859813084112155,0.4434782608695652,0.45996797437950365,0.125,0.14949494949494946,0.839188,0.0871769,0.318405,56,0.0027276,0.079886,0.360531,86,2.17221,0.557962,0.00740604
7,0.4545454545454546,0.45182291666666663,0.43457943925233644,0.43768115942028984,0.3861756071523885,0.4625,0.23939393939393938,0.896136,0.0863252,0.146575,14,0.00068231,0.0972826,0.156648,29,1.85781,0.450065,0.000280986
8,0.5454545454545454,0.42838541666666663,0.4392523364485982,0.536231884057971,0.4703763010408326,0.125,0.1323232323232323,0.855672,0.087264,0.400316,50,0.00781834,0.0804037,0.472022,13,0.567472,0.243524,0.00919232
9,0.2777777777777778,0.36458333333333337,0.4252336448598131,0.4492753623188406,0.4306111555911396,0.43125,0.1585858585858586,0.901017,0.0139474,0.11485,75,0.00441789,0.0434572,0.0585263,72,1.1627,0.246613,0.00334401
10,0.5707070707070707,0.5442708333333333,0.43457943925233644,0.48405797101449277,0.5799306111555911,0.25,0.18686868686868685,0.861605,0.0197436,0.105431,27,0.00447337,0.0875988,0.108752,13,1.9293,0.671758,0.00826418
11,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.704603,0.0666064,0.181717,53,0.000123935,0.0271024,0.260399,15,2.36471,0.315085,0.00908206
12,0.7626262626262627,0.44791666666666663,0.40654205607476634,0.4492753623188406,0.36375767280491056,0.125,0.14040404040404042,0.807442,0.0838448,0.430567,19,0.00641729,0.0156014,0.309596,56,1.32357,0.285099,0.00572108
13,0.2676767676767676,0.25911458333333337,0.44859813084112155,0.5072463768115942,0.5377635441686683,0.5875,0.2585858585858586,0.946967,0.020765,0.466699,89,0.00429828,0.0178635,0.27311,2,0.638362,0.79349,0.00466975
14,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.700974,0.0856971,0.237101,27,0.0036633,0.0855987,0.122864,90,0.583112,0.239208,0.00250272
15,0.7626262626262627,0.48307291666666663,0.3551401869158879,0.45507246376811594,0.400720576461169,0.125,0.09090909090909094,0.785172,0.0745422,0.119767,92,0.00184668,0.0949801,0.31716,3,2.4146,0.235797,0.00351967
16,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.518840579710145,0.10408326661329059,0.125,0.09090909090909094,0.729006,0.0531676,0.0885207,14,0.00237857,0.0504248,0.0604125,59,3.48306,0.405593,0.00166175
17,0.2777777777777778,0.3046875,0.4252336448598131,0.4434782608695652,0.448225246864158,0.5375,0.195959595959596,0.937103,0.0591117,0.288223,33,0.00370199,0.0239582,0.400321,41,0.721674,0.237386,0.00352767
18,0.7626262626262627,0.44921875,0.42056074766355145,0.536231884057971,0.47050974112623434,0.125,0.18181818181818177,0.840078,0.073385,0.0799857,90,0.00919239,0.074433,0.105091,51,0.852321,0.764056,0.00337363
19,0.29292929292929293,0.29817708333333337,0.46261682242990654,0.30724637681159417,0.4491593274619696,0.53125,0.2404040404040404,0.94789,0.0572006,0.199154,82,0.0041216,0.037831,0.221348,31,2.13051,0.638707,0.00158945
20,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.706483,0.0959686,0.357428,29,0.00286817,0.0180961,0.119922,2,3.54157,0.681529,0.00965291
21,0.35858585858585856,0.2890625,0.4299065420560748,0.36811594202898545,0.2280491059514278,0.34375,0.17373737373737375,0.886842,0.0598837,0.325028,79,0.00897152,0.0791301,0.00110648,38,1.82595,0.0391924,0.00875968
22,0.1767676767676768,0.26041666666666663,0.4532710280373832,0.336231884057971,0.10048038430744599,0.60625,0.23030303030303034,0.942453,0.0547802,0.396086,62,0.00910537,0.0193852,0.483748,63,3.29296,0.437631,0.00606078
23,0.2222222222222222,0.20052083333333337,0.4299065420560748,0.4492753623188406,0.5314918601547904,0.66875,0.24949494949494955,0.959112,0.0214105,0.173665,91,0.00817197,0.052485,0.302168,72,0.36782,0.469271,0.000167267
24,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.518840579710145,0.10408326661329059,0.125,0.09090909090909094,0.749991,0.021085,0.446798,52,0.00313379,0.0324333,0.193425,77,2.86366,0.140433,0.00416446
25,0.04040404040404044,0.15234375,0.30841121495327106,0.35942028985507246,0.0,0.006249999999999978,0.008080808080808133,0.993116,0.0540412,0.492628,10,0.00821591,0.0943021,0.445843,59,2.69103,0.0091505,0.00792819
26,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5014492753623188,0.10408326661329059,0.125,0.09090909090909094,0.743592,0.0384057,0.4153,46,0.00416707,0.0556074,0.335136,42,2.42324,0.416296,0.00217701
27,0.7626262626262627,0.35416666666666663,0.4392523364485982,0.42028985507246375,0.39057912997064315,0.125,0.09090909090909094,0.801399,0.0148096,0.473687,3,0.00345573,0.042227,0.484044,11,2.76672,0.218634,0.00888655
28,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5072463768115942,0.10408326661329059,0.125,0.09090909090909094,0.753566,0.0199047,0.027016,31,0.00767009,0.0939027,0.111313,68,1.47779,0.146479,0.00191402
29,0.06060606060606055,0.25911458333333337,0.31775700934579443,0.36811594202898545,0.0,0.018750000000000044,0.014141414141414121,0.992276,0.0687839,0.33922,44,0.00362676,0.0757674,0.202401,69,3.62984,0.157462,0.00385292
30,0.21717171717171713,0.3046875,0.42056074766355145,0.4347826086956522,0.024419535628502853,0.4625,0.15353535353535352,0.970546,0.0851702,0.202371,99,0.00647829,0.0813959,0.487583,76,1.2227,0.20891,0.00329976
31,0.5858585858585859,0.6041666666666667,0.43457943925233644,0.5101449275362319,0.4392847611422471,0.125,0.17272727272727273,0.839434,0.0285628,0.132343,15,0.00127534,0.0250959,0.18174,58,2.77847,0.707855,0.00787848
