max_value,0.7626262626262627,0.7200520833333333,0.5700934579439252,0.5797101449275363,0.7464638377368562,0.71875,0.3171717171717172
index_set,0,169,82,8,383,309,108
mean_value,0.5301515151515152,0.4273072916666667,0.4162710280373832,0.4561391304347826,0.2972746196957566,0.270425,0.14367878787878788

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.7626262626262627,0.53125,0.46261682242990654,0.5391304347826087,0.38123832399252733,0.125,0.09090909090909094,0.799093,0.0745078,0.162905,41,0.0078705,0.090985,0.0632783,55,1.67897,0.733385,0.000517291
1,0.4696969696969697,0.359375,0.5280373831775701,0.4492753623188406,0.4575660528422738,0.50625,0.19090909090909092,0.909366,0.073309,0.0208361,10,0.00556013,0.0524661,0.383021,51,1.91123,0.543906,0.00510872
2,0.7626262626262627,0.6510416666666667,0.4532710280373832,0.4434782608695652,0.10408326661329059,0.125,0.09090909090909094,0.769874,0.0541761,0.233869,94,0.00124872,0.0810546,0.292117,18,2.94798,0.305325,0.00890052
3,0.41414141414141414,0.34114583333333337,0.5093457943925234,0.49855072463768113,0.6195623165198826,0.51875,0.19292929292929295,0.918545,0.0227396,0.449892,27,0.00421788,0.0611401,0.226634,42,2.82306,0.767885,0.00628021
4,0.7626262626262627,0.40885416666666663,0.3551401869158879,0.4347826086956522,0.3181211635975447,0.125,0.09090909090909094,0.795378,0.0652825,0.0954713,38,0.00460921,0.0842952,0.174503,79,3.69505,0.749622,0.00318263
5,0.7626262626262627,0.35807291666666663,0.4392523364485982,0.4057971014492754,0.30624499599679744,0.125,0.09090909090909094,0.787088,0.0338285,0.353122,45,0.0013779,0.031359,0.465365,75,2.73885,0.434913,0.00714683
6,0.7626262626262627,0.5234375,0.4532710280373832,0.5246376811594202,0.46717373899119297,0.24375000000000002,0.18181818181818177,0.848734,0.0934875,0.164022,71,0.00872248,0.0401123,0.361801,14,1.18409,0.516511,0.00180983
7,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5217391304347826,0.10408326661329059,0.125,0.09090909090909094,0.736236,0.0946385,0.250953,42,0.00595478,0.0109365,0.229387,59,3.84174,0.540697,0.0061231
8,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.728323,0.0743217,0.0364631,89,0.00252182,0.0983745,0.448038,60,2.81644,0.591442,0.0063995
9,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5333333333333333,0.10408326661329059,0.125,0.09090909090909094,0.756926,0.0554987,0.0574623,77,0.00338292,0.0721456,0.463182,6,2.19943,0.650296,0.00128124
10,0.7626262626262627,0.40494791666666663,0.514018691588785,0.45507246376811594,0.3768348011742727,0.125,0.14646464646464652,0.844745,0.0971634,0.403258,16,0.00466178,0.037176,0.254019,16,1.95086,0.466583,0.00144448
11,0.43939393939393945,0.5377604166666667,0.43457943925233644,0.46376811594202894,0.39685081398452093,0.24375000000000002,0.18888888888888888,0.865826,0.0992698,0.110603,80,0.00171091,0.0691777,0.165842,28,0.335266,0.218228,0.00605771
12,0.7626262626262627,0.43229166666666663,0.36448598130841126,0.5072463768115942,0.47771550573792365,0.125,0.14040404040404042,0.827045,0.026535,0.0403053,6,0.00697239,0.0176148,0.326762,21,2.99526,0.72332,0.00494812
