max_value,0.8791162397973543,0.9931798806479113,0.9890387858347386,0.9979372582724538,0.9988112624392895,0.9978597722797705,0.9987044865675713,0.9909666525960321,0.9977984758679086,0.9946068930648015,0.9276412828184921,0.9808077291322134,0.9903346115459368,0.9784152175563824,0.9931298386620176,0.9862753124172305,0.8737365883999378,0.8520090978013647,0.7896122896854426,0.7480816751203017,0.6821817228267995,0.6061165608770918
index_set,71,274,238,64,238,189,309,86,309,309,309,86,355,86,64,86,86,309,355,209,209,209
mean_value,0.23230709603890803,0.20999090721460317,0.22234049913228587,0.22275598694388923,0.24258197887563202,0.23409487432556442,0.2284159633423462,0.2127479648686828,0.15602638746355266,0.1017214799452149,0.05295090293577661,0.22431418174308476,0.22054832033408592,0.22002767703389375,0.2082159085375986,0.19452339610887123,0.22993086821660313,0.21751273282702807,0.19582191012873112,0.17364774518135845,0.15613741773164763,0.14159265334291596

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.11613517372679671,0.1252800233758644,0.10964664390839418,0.13168914641865903,0.136327715506814,0.11045882797534501,0.1234446963652307,0.10422785654182609,0.07889789081461729,0.05787295539643955,0.031622306040239745,0.11897772722269107,0.1528379537631256,0.12663322981586156,0.09788845772787313,0.10077587166319535,0.137937268372051,0.1487877997914494,0.14582533589251434,0.11090076604737165,0.11781253516372225,0.15805682495529505,0.872326,0.0941806,0.190228,39,0.00299555,0.0532768,0.250644,14,3.08488,0.412298,0.00275707
1,0.4161917862055413,0.4322553548929021,0.5406414590047952,0.6520987483576517,0.7079656751265957,0.7397664570768638,0.6921792958602775,0.6496897462677398,0.5067119558895377,0.06349882804176432,0.03610906411201176,0.7595805951414014,0.6999833624490475,0.7523518114644705,0.6962007828689846,0.6592184753219171,0.41660110149488594,0.416970174229747,0.42160356347438754,0.4057877813504823,0.34816300483179874,0.3546529723000311,0.925921,0.0635489,0.142588,43,0.000250565,0.0847457,0.352967,50,0.719289,0.349155,0.00659139
2,0.0787626722121133,0.06083803384367448,0.05278155275963348,0.05166102158814878,0.06496142915144132,0.06115731585078432,0.055754752450733136,0.053058346553851554,0.045879977977610564,0.04796278472890603,0.02604707511249571,0.054122316435143425,0.04394268345636132,0.06338345187719452,0.06506293504526273,0.039127163280662125,0.1221540448893913,0.08998958798155587,0.06523845408547746,0.05567805953693494,0.06523845408547746,0.05257212374000697,0.763431,0.0484188,0.277309,40,0.0078877,0.0973067,0.188615,49,3.58638,0.585455,0.00667385
3,0.19889332923455272,0.12198685171658141,0.16370832923591305,0.10461144321093085,0.15819049360754123,0.08991501614576658,0.05528227602949598,0.10140917243146297,0.07444280300597339,0.059018360328846775,0.03282484266141772,0.16448979591836732,0.13502072686596622,0.15757839293604425,0.1493353321134896,0.0853700921286914,0.2250717526154986,0.1747707482468983,0.18515037593984962,0.16757414272474513,0.12478679504814305,0.1627292158848015,0.843963,0.0930109,0.280346,28,0.00373128,0.0923321,0.271519,19,1.20382,0.473375,0.00364776
4,0.13533326401164603,0.0917833553500661,0.12654162205753539,0.08023874586509416,0.088778129842496,0.06173514733027963,0.054836527621195064,0.068052752616511,0.06223920070526001,0.0516618964748522,0.02931649952825144,0.06833242286772911,0.07865995562050121,0.07747774928345152,0.0893988305518334,0.060128656065692176,0.12304118268215414,0.11510649227486469,0.09773880486723485,0.0821372411254977,0.07430433317104224,0.06104636496644977,0.840792,0.0253826,0.16919,25,0.00721471,0.0154409,0.338008,69,3.75082,0.43888,0.00946629
5,0.2243949232585596,0.1582656536547027,0.1749583176464261,0.1652932746442829,0.24806635635040075,0.1074846625766871,0.054836527621195064,0.13006047371073404,0.1012951268761334,0.05724001923331545,0.034775130675481436,0.17085460599334068,0.1688965455521747,0.16231086657496563,0.06506293504526273,0.14445976300610308,0.12093171665603064,0.1963489834544233,0.2067348400963981,0.1834495878249841,0.16228070175438591,0.12639323960078674,0.854353,0.0574315,0.00525489,69,0.00506371,0.0793943,0.346772,41,0.47347,0.624591,0.00362004
6,0.1221540448893913,0.06083803384367448,0.06447052775873885,0.05166102158814878,0.048118049615055614,0.061369289529841886,0.05525363965175667,0.044179997862258125,0.044632230421328245,0.04796278472890603,0.02604707511249571,0.054122316435143425,0.057394121731080716,0.0640417241536152,0.06506293504526273,0.039127163280662125,0.0787626722121133,0.0787626722121133,0.06523845408547746,0.05567805953693494,0.05567805953693494,0.05567805953693494,0.711268,0.063989,0.184309,3,0.000230285,0.0658687,0.491701,99,3.32145,0.0294433,0.000625337
7,0.0787626722121133,0.06083803384367448,0.06447052775873885,0.05166102158814878,0.06301362669677313,0.06499062116243604,0.054836527621195064,0.053058346553851554,0.044632230421328245,0.05007177033492827,0.02604707511249571,0.054122316435143425,0.0531812235970236,0.06338345187719452,0.06506293504526273,0.039127163280662125,0.1221540448893913,0.0787626722121133,0.06523845408547746,0.06523845408547746,0.05567805953693494,0.05567805953693494,0.740011,0.0182686,0.123158,94,0.00741192,0.0630236,0.0868163,43,2.5851,0.651109,0.00780331
8,0.0787626722121133,0.057589626239511804,0.05278155275963348,0.05166102158814878,0.048118049615055614,0.06173514733027963,0.054836527621195064,0.053058346553851554,0.044632230421328245,0.0479605866177818,0.029460222175097472,0.054122316435143425,0.05299824763858618,0.0640417241536152,0.06314168377823404,0.039127163280662125,0.1221540448893913,0.0787626722121133,0.06523845408547746,0.06523845408547746,0.06523845408547746,0.05567805953693494,0.73403,0.0780512,0.0695443,28,0.0082282,0.084923,0.252686,76,2.81608,0.307634,0.00964333
9,0.23845487185836323,0.22828755781419519,0.2544332063575463,0.31445809697528515,0.3805482780878612,0.41754710702549813,0.41343137500941096,0.24423463450756377,0.17309897497395854,0.08227268844497049,0.04757387702305238,0.29268967312604743,0.25778397397596764,0.32854270394484875,0.2752858869716841,0.2817973306537932,0.2833634356813165,0.29497687251480975,0.27091327705295476,0.23272892701631243,0.2569246621007334,0.213895613985699,0.886629,0.0698767,0.416034,19,0.00798281,0.0102185,0.106515,67,0.787483,0.400489,0.00413964
