max_value,0.8652602402217431,0.913994045087197,0.9750706332059166,0.9962675361448368,0.9988112624392895,0.9978597722797705,0.9987044865675713,0.996457788648056,0.9922115101250368,0.9941880053908356,0.9956247370635255,0.9055731908225177,0.9990461554766573,0.9815602836879432,0.9916183107672469,0.9945582817654283,0.8761889911118041,0.9325272428720704,0.8155569580309245,0.7118046487333507,0.7689258818866429,0.6062765520076744
index_set,338,236,0,20,338,0,20,350,20,160,160,59,80,374,0,20,80,338,315,436,122,221
mean_value,0.3751597723665298,0.3862561182097814,0.40075948143498613,0.4221637374737739,0.4596914870083065,0.46431720265551635,0.4553244688306615,0.42297060841818523,0.3010175867754972,0.2015102006016442,0.11623980445678511,0.4351225991793502,0.4246741308750474,0.4019690332804071,0.3984123097943357,0.3880413265688113,0.37784091566785516,0.37106859241661727,0.3383860584842541,0.2981301765164791,0.26566850698781636,0.23751920045211553

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.6281217926787548,0.8003909304143862,0.9750706332059166,0.9267669713054236,0.9950935607214157,0.9978597722797705,0.8633344294639921,0.8933096806893056,0.951473556721841,0.93131337041859,0.8351466414380322,0.8605046300229378,0.9864999215111716,0.8904743833017078,0.9916183107672469,0.8865660178095672,0.750751111645235,0.5557518649391441,0.3889813581890812,0.3389616537793909,0.30015392508978966,0.2616404165590842,0.984572,0.00535315,0.0953094,14,0.00717583,0.0379843,0.204641,46,1.01567,0.49925,0.00435567
1,0.6950766947055913,0.7691514437242192,0.7155722519555372,0.7647205588822356,0.9397981371499042,0.9501858986221632,0.9526787900371714,0.8636553394005176,0.8117494844944002,0.7295023696682464,0.01631321370309946,0.8253961737416865,0.8645774466992037,0.8537266213827115,0.8478103772221419,0.8510151895452563,0.6505474452554745,0.6776930644367929,0.614096301465457,0.5720201123927833,0.5578596287703016,0.4521047830053434,0.964549,0.0477645,0.192448,58,0.00441172,0.0419077,0.0975081,70,2.10086,0.687633,0.00260788
2,0.20890223921354456,0.04193107880151015,0.02351512475160078,0.03590152245942202,2.716099680858397E-4,0.004322052718793268,4.0926763829840507E-4,0.05030639284531302,0.03178281741433542,0.05614820846905533,0.024944944944944925,0.02588883543971665,0.02673501577287063,0.0012498343022705471,0.023437954929249383,0.010296437764676591,0.0725396580933313,0.0595036661026509,0.02011581834806464,0.02157726789241754,0.034043770562151354,0.020199063231850167,0.962366,0.0953286,0.440358,96,0.00496092,0.0314768,0.291077,79,3.62087,0.59637,0.00488637
3,0.3364106726184437,0.325599487461102,0.3555916632815673,0.3672251308900524,0.4719375564169277,0.46578204474512197,0.3821273950721684,0.34998609893282573,0.32760731189815573,0.11210262130507531,0.03435465730547693,0.46655967408413324,0.35767888307155327,0.13557485237929834,0.2621969167371868,0.18647023066833024,0.25233819678264124,0.36282851200605026,0.26965426965426964,0.3096212121212121,0.23918940481889261,0.09688116149847648,0.946692,0.0527158,0.0827323,23,0.00364524,0.0168821,0.443808,66,2.11221,0.0460441,0.00706109
4,0.3942417628105187,0.4143013598612759,0.49345220479431784,0.3984404477424224,0.5465273095077545,0.5919585870172652,0.4535202728306177,0.3577857551636231,0.46706145416124034,0.20913134013727863,0.03354962394926997,0.4559147574632497,0.25714635990274004,0.2730399885337538,0.307942057942058,0.11351002980745994,0.3928941371452248,0.38581632653061226,0.42734540324476844,0.32044752442180846,0.3146378269617707,0.346014033307972,0.953273,0.0384176,0.0170283,37,0.00969184,0.0200848,0.440759,61,2.45966,0.262349,0.00455206
5,0.8194545719702494,0.7616606020509428,0.874750499001996,0.876993166287016,0.9838437098627729,0.8641043239533288,0.9650575755856827,0.8797804981004643,0.8293674067867616,0.0017778530308161233,0.0,0.8449225035995596,0.8844799495453829,0.8638330170777988,0.8699740978395243,0.8729397087401933,0.8232967032967033,0.7104832713754647,0.47630807223336935,0.24810465289133343,0.2456440572495333,0.2996696554978764,0.983807,0.0571445,0.375466,51,0.00211524,0.0280293,0.400023,87,0.415325,0.629161,0.00102173
6,0.3356028151774786,0.2912838215137824,0.40130045393203284,0.48544109911192257,0.49448452686184485,0.389225730016029,0.48804683382275427,0.2011184694628403,0.10860459550023938,0.048519714526064406,0.031036623215394132,0.4859152570758667,0.49607566914872203,0.34952107137004873,0.36033930079964815,0.31397826165456977,0.3596873144666535,0.35647563746528654,0.34791398639955895,0.3467350489971609,0.3395515695067265,0.3343636845359004,0.912812,0.0944996,0.173624,38,0.00577293,0.0423979,0.371436,39,0.526883,0.458427,0.00545781
7,0.18675749771537764,0.1439114391143912,0.1362833627669855,0.10360021718247503,0.10987250211733468,0.10015739018457581,0.10053619302949057,0.05387775695545627,0.04669089997493103,0.04907136409639212,0.02964075406078326,0.09106132981935977,0.05460630614761319,0.06471910112359547,0.06640976078204452,0.04013431564175818,0.24785149535923,0.24103419516263558,0.20392404065873448,0.22022752679686985,0.15394270525694032,0.2158741019500513,0.907854,0.0996732,0.024747,70,0.00115228,0.0315426,0.477491,1,1.94557,0.291475,0.00609165
8,0.2828480776409108,0.2645443826848577,0.3104552869642593,0.29525856977485887,0.43439274924471294,0.35218221672417904,0.33576913225970006,0.25708678214864744,0.2482076153753464,0.06512346902374255,0.03186756779878519,0.1925625325456537,0.2036807253338575,0.22711014127598306,0.14326543902174305,0.09034213264293833,0.27943210104176275,0.19740602330182455,0.3002683020314296,0.2582652664332944,0.2406808271205514,0.24041370576233023,0.916087,0.0533568,0.295834,42,0.0049466,0.0235609,0.151023,44,2.26639,0.392954,0.00345408
9,0.6011144883485309,0.7087157415026267,0.6960747191720308,0.6555594734367653,0.7466233370569717,0.765381837284129,0.5558200084157374,0.694359476324483,0.7257228542556313,0.7069781371668165,0.8336449968833645,0.6706074707583951,0.6738749687243093,0.5636678393924164,0.5579102837123033,0.6314778966075338,0.5731813351367018,0.72817344678867,0.3679329943164822,0.5642212189616254,0.465155008967461,0.4061925632687685,0.997444,0.0112892,0.231567,97,0.00359268,0.040019,0.0672566,41,3.10936,0.548269,0.000932381
