max_value,0.9587170042971148,0.9967488021902806,0.9945753517545347,0.9994835155375742,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.995529689608637,0.9995776313566481,0.9025974025974026,0.9993639014047178,0.9988604421484464,0.9958794443136332,0.9628212264588552,0.8869799801221071,0.8830740216878831,0.7960897900072411,0.6871855578573542,0.6698371523274247,0.5963302752293578
index_set,182,451,182,182,184,184,37,182,184,385,107,182,182,184,394,385,408,451,37,37,94,192
mean_value,0.38235031834515565,0.3806528125505374,0.3977415960711072,0.4098594945997689,0.4453649676203198,0.4514362076634171,0.45165315491508173,0.4139881026406031,0.2943162765064125,0.19176829855623953,0.10408542109918183,0.4264381629276588,0.4110439348771271,0.39459606694363125,0.38709471262544126,0.3759262824345257,0.37942870906494874,0.3697695044927708,0.338574492084693,0.29810210990069974,0.25898986337598034,0.2274205988176046

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.07926102502979737,0.07557030277892995,0.003684807256235878,6.882904585735483E-4,0.0,0.0,0.0,0.022406008692349877,0.0023724792408066353,0.004566789293416251,0.0,0.0,0.0,0.0,0.0,0.0,0.015922572588198514,0.009046950553735722,0.10292588742016928,0.007231567363622071,0.10164627699743245,0.0026967005076141692,0.980708,0.0896035,0.203143,26,0.00444495,0.039095,0.314776,42,1.83953,0.251922,0.00367281
1,0.4048081593006314,0.282258064516129,0.3805877877116226,0.14085150097020893,0.25289484419619046,0.2167814797641916,0.4776896988517959,0.07458430396015747,0.11907447015360684,0.036241114352631776,0.018700551426516387,0.453634570002708,0.09602716641985398,0.03278993945039588,0.0681099248714907,0.0198613386518508,0.4338327805101224,0.46439856751632613,0.4837602647383258,0.42809476142809477,0.2592545958196928,0.25164657636386234,0.964788,0.0575783,0.293902,36,0.00865196,0.0137726,0.102512,48,1.70632,0.189713,0.0039025
2,0.34515522107243646,0.4930551553224598,0.4636853272400848,0.4597628458498024,0.6089077269822047,0.5657279381862546,0.42967167454422683,0.6252671353795645,0.641746163417669,0.46864285714285714,0.15079175889664564,0.5645200387847447,0.7149414295959837,0.6424272288902186,0.6993436776812474,0.6210581233575514,0.31039773397852,0.34280886591790083,0.4153421528504806,0.441207318494348,0.3809726056487577,0.400975958105213,0.959371,0.0355406,0.0444144,2,0.00721324,0.0120397,0.134578,76,2.3499,0.167951,0.00970019
3,0.6400641960898745,0.5935399245777997,0.691434701597877,0.5691767326308576,0.4441862031797359,0.5163768909576288,0.6789830012053486,0.6549363792886238,0.008291032148900146,0.0023690667569168378,0.0030342618736567406,0.6444385872430153,0.774022566255576,0.6376570932558403,0.654642111258781,0.7768891672488136,0.6287282979670574,0.4713763702801461,0.4721671496111026,0.44620253164556967,0.3159536541889483,0.15390312546289442,0.979921,0.0910097,0.281567,94,0.00514782,0.0231009,0.472314,24,0.854232,0.454495,0.00713708
4,0.3534162643891571,0.41531612645058025,0.43497197394334197,0.4946841560234726,0.5775659867581129,0.5866566663932217,0.573789758138769,0.5183135863354784,0.28998732085910783,0.10522463915429969,0.03768481315160588,0.45420937657536553,0.3572106595415553,0.38365289296162863,0.3434649916604564,0.3789512044021719,0.40025608194622275,0.3287068057815641,0.3160088938299055,0.360571028201086,0.3395634080455574,0.3275410789588483,0.93004,0.0503498,0.200564,58,0.00269545,0.0104153,0.143843,34,2.88603,0.668682,0.00196787
5,0.4345913405880991,0.5348889513635086,0.5164259277455701,0.5117244605578621,0.620061919504644,0.6775803451151453,0.6243291041906959,0.49175780630844823,0.4045931032019573,0.3496937248306614,0.17998394863563405,0.6900540963305741,0.6034519357946474,0.5664089871386271,0.5296659220974027,0.4884835615345432,0.3077378213135231,0.4391684384597212,0.3648639095086603,0.3070577952583853,0.2908656291323365,0.20240247479008477,0.949738,0.00837854,0.290944,11,0.0025479,0.0331652,0.0217628,82,2.25612,0.419096,0.00318342
6,0.29762486560453527,0.12457782495416381,0.17225313400817854,0.1090601911390171,0.04418648193222241,0.06880789125466136,0.10785821307467869,0.12759547268137772,0.04410186708634378,0.06728795333832971,0.03838798582597447,0.04734856007944388,0.06066588025710773,0.05087962250602662,0.05171277571747923,0.04650261577213721,0.22615632843313016,0.24623560673162093,0.27682854978537164,0.1692940370116518,0.14919004917558576,0.06438482886216468,0.934747,0.0860215,0.195288,93,0.00302862,0.0121862,0.136954,93,2.22576,0.278307,0.00516657
7,0.602080123266564,0.46835154826958103,0.5294179284329649,0.3495843255211597,0.569439785306944,0.2807487543512388,0.2624655788443595,0.5000203243770578,0.29327675702397626,0.004565630944831978,0.0010512152047766898,0.6049720161395289,0.2695498859157851,2.661091047329034E-4,0.013371734211067632,0.01973424076492647,0.5909262759924385,0.5902567975830816,0.5708116347008765,0.40727325412923787,0.3722937973170408,0.21620002994460252,0.978209,0.0656715,0.355016,12,0.00927102,0.0314492,0.026815,31,1.34602,0.31294,0.00907521
8,0.7149405529293797,0.6106834063721426,0.7999053179738047,0.866755607437672,0.932462426279409,0.8940692492286596,0.8962244828292483,0.8849363567394419,0.954764676534176,0.9734395750332006,0.8674965195315699,0.848396013066421,0.8803159491552022,0.867333434167738,0.8857511131942817,0.8835440312877492,0.7138157894736843,0.5603399433427763,0.5694540428472702,0.5467658327698895,0.34476641040804257,0.4616168478260869,0.97684,0.0191703,0.0274444,80,0.00687378,0.0304196,0.406895,80,0.591143,0.25071,0.00972121
9,0.3744384546271339,0.19514884233737595,0.24050976138828628,0.2428218161835417,0.2851244967561607,0.30108350509720905,0.3725573918722057,0.17384843982169396,0.04007300120374324,0.07035439714982183,0.03312951255743257,0.1376127689104788,0.05448267041821209,0.061457886150940166,0.08853293599056311,0.07724193305565319,0.22892285646047295,0.35425916365513677,0.35984446800989744,0.2627607169059847,0.2622315348349922,0.310132957292506,0.948103,0.0776612,0.138327,67,0.00197931,0.0137287,0.284513,35,3.6904,0.623195,0.00653771
