max_value,0.9936026640960477,0.9993639014047178,0.9986328421692238,1.0,1.0
index_set,78,79,79,79,73
mean_value,0.6969205000140636,0.729529912518946,0.6889117928455428,0.6746718817453536,0.6793652201572361

experiment,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.8725127056594022,0.8840963217782483,0.8718830773909076,0.8791250959324636,0.8821010081566854,0.991116,0.0392025,0.185467,28,0.00286453,0.0261839,0.245268,3,0.638957,0.389425,0.00420725
1,0.8518486892665016,0.8858767173764278,0.8906771940479805,0.8637648721875368,0.8671918153654026,0.986372,0.0434553,0.187377,65,0.0099444,0.0415249,0.269931,28,1.14667,0.475006,0.000858922
2,0.3162777391801872,0.13313531003023393,0.13386066321874046,0.16507823928365617,0.14051876101737593,0.98708,0.0402814,0.0578499,20,0.000468195,0.0342832,0.483921,7,2.77018,0.115344,0.00714181
3,0.5875647097697985,0.5893588421019725,0.5656896261839377,0.6056414176252354,0.6420424296200693,0.996245,0.00770556,0.163276,84,0.00854152,0.0479874,0.407523,15,1.32849,0.291752,0.00456976
4,0.39347361499260236,0.24450534970747906,0.0010645173554347798,0.13272307850541443,0.1259385419915081,0.986894,0.0442201,0.0605161,43,0.00140707,0.0325497,0.499819,94,1.82302,0.111505,0.00964379
5,0.816967032967033,0.8926430806768153,0.8911621539397627,0.8004492256767939,0.8651024980126707,0.998562,0.0326052,0.0329001,25,0.00783327,0.0301465,0.463922,77,0.782914,0.431073,0.000878893
6,0.10295284266196558,0.21397125125974648,0.24003650745360516,0.0,0.0,0.996115,0.0471909,0.238349,17,0.00387141,0.036128,0.183936,32,2.90826,0.501502,0.00699785
7,0.8492438962574977,0.8842011243629486,0.8894954319724023,0.8477422791695288,0.8470331938313364,0.98286,0.0265855,0.0498044,48,0.00814317,0.0456842,0.383631,33,0.557006,0.298229,0.00785007
8,0.8605046300229378,0.8847589506335103,0.8903054448871182,0.890131888836552,0.8489898177304802,0.984449,0.0137005,0.131976,38,0.0069986,0.0253434,0.198612,81,0.695608,0.34065,0.00997817
9,0.7446743032997094,0.8285557285465702,0.660930604120012,0.7490091161315894,0.714932739765799,0.980997,0.0216395,0.0389884,95,0.00274434,0.0237998,0.43786,48,2.24924,0.631724,0.00529764
10,0.8716117373719989,0.8900936161210133,0.8914893617021277,0.8558165864704217,0.8753337984458825,0.990262,0.0253233,0.0469964,47,0.00617451,0.0292101,0.238788,20,0.403027,0.217311,0.00799097
11,0.2225893105258283,0.2676831047563467,0.21283776947701127,0.2009998638799173,0.19979817858684845,0.985619,0.00437139,0.275276,55,0.00663758,0.0433014,0.488557,91,2.97756,0.124311,0.000596669
12,0.8038889339936672,0.8928254218888779,0.8337408312958435,0.8044912728820774,0.743872721780284,0.983911,0.0256701,0.0364984,46,0.00514596,0.0186376,0.318174,79,1.86791,0.490349,0.00158145
13,0.7971587399629401,0.842490650906143,0.7875980716513848,0.8152755677708665,0.7430234137473488,0.982472,0.03985,0.0805231,49,0.00723916,0.0264139,0.409619,61,0.845586,0.0979228,0.00443017
14,0.8633232888506241,0.8906589044720825,0.8648176291793312,0.8654470345234583,0.8688193258102548,0.990829,0.0495459,0.27009,64,0.00652521,0.0367145,0.115092,74,0.945302,0.400371,0.0063981
15,0.8725127056594022,0.8906589044720825,0.8914893617021277,0.8921805842431396,0.8887418493299006,0.990753,0.0231316,0.0230934,76,0.00134342,0.0218697,0.140305,93,1.08675,0.699374,0.00232903
16,0.8561406474516102,0.861169837914024,0.823876404494382,0.7018570102135562,0.8858006187198734,0.982721,0.0292107,0.0671731,66,0.00411945,0.0471209,0.263975,56,1.39683,0.302467,0.00924132
17,0.6274838243505108,0.6640016905575318,0.5773216127289692,0.5756683677706924,0.6767391637050011,0.997648,0.018126,0.208775,30,0.00754637,0.032144,0.276597,53,2.14098,0.35932,0.00287127
18,0.8613827706437622,0.885317481193119,0.8840153355602793,0.883463848327838,0.8733168518829657,0.985199,0.0364695,0.103532,10,0.00818997,0.0165333,0.453198,23,1.6758,0.63753,0.000317652
19,0.8430127820193875,0.8884020482500132,0.8912861809617868,0.8645286800683841,0.8680674087073588,0.988641,0.04462,0.196149,74,0.00949032,0.0482656,0.426395,67,1.02184,0.739523,0.00582899
20,0.5345010897878901,0.7428507894151657,0.8107179001140544,0.7087906093862502,0.7363148841444905,0.986622,0.0127447,0.192534,16,0.000230538,0.0394655,0.353656,71,1.63271,0.0651236,0.00340001
21,0.8590604026845637,0.8828096312227875,0.8892594557720003,0.8879360977328792,0.8844008140787741,0.980866,0.0361447,0.0572472,24,0.00154182,0.0105999,0.28606,57,0.744014,0.577648,0.00435798
22,0.8513911070017651,0.9809563452833134,0.8220147649082569,0.8879360977328792,0.8846549948506695,0.980255,0.0197949,0.148254,12,0.00518504,0.0147272,0.443081,30,0.449289,0.3218,0.00660725
23,0.82581886733171,0.8874203570112158,0.8915071009679927,0.8833649756427804,0.8489906044434894,0.985017,0.0380403,0.124927,33,0.000538983,0.0212446,0.221162,63,1.24942,0.252882,0.00788185
24,0.8813435855928774,0.8572687837806491,0.7746537653023371,0.7515784240616455,0.8231453212399438,0.990626,0.0289489,0.206826,94,0.00206404,0.0175625,0.280773,18,1.86421,0.437154,0.000801218
25,0.8749673600835581,0.891791637963012,0.8718830773909076,0.8610074892502206,0.8760925573667863,0.995348,0.011982,0.150844,47,0.00629653,0.0101683,0.492691,95,2.83054,0.764593,0.00384088
26,0.5524667349027635,0.6137749043409421,0.5028987154711834,0.37804644587450487,0.430286352876146,0.990211,0.0351214,0.144328,42,0.0020083,0.046497,0.137524,99,2.01458,0.260696,0.00267958
27,0.7293118466898955,0.6382832111040015,0.5418157829636349,0.3526041516713212,0.6405157010895587,0.98366,0.0357472,0.0640558,96,0.00954042,0.0205321,0.381443,26,1.80278,0.286383,0.00569594
28,0.8707126278689934,0.8900936161210133,0.8714855623100304,0.8713590801886792,0.8750811707833281,0.989617,0.0421027,0.0615431,43,0.0063657,0.0239014,0.252006,80,0.726334,0.783717,0.00877344
29,0.6308286652501449,0.8251186564439577,0.7884492212519332,0.5877002021458559,0.7505536257056014,0.998699,0.0200129,0.259386,18,0.00194638,0.0370278,0.192999,40,1.50231,0.156583,0.00359608
30,0.8589611827021899,0.979478387364921,0.9946665657979347,0.8428740678792948,0.8846761831768538,0.980526,0.00528148,0.202877,71,0.00293795,0.0114386,0.363762,88,0.876184,0.75673,0.0031754
31,0.8023404575556894,0.8656681921139,0.7793601112849939,0.6972705904926368,0.8079824177700013,0.983684,0.0335574,0.282012,16,0.00860488,0.0372924,0.376888,82,1.55936,0.459389,3.2758e-05
32,0.7348300736797438,0.6641186416795829,0.5322288431128193,0.760415316260268,0.6983154939463063,0.981687,0.0154734,0.170496,99,0.000366892,0.0306112,0.330241,62,2.19568,0.326955,0.0014636
33,0.21998194402648208,0.20377766368524874,0.1900034321429217,0.1810331451807068,0.18573301298829126,0.992645,0.00273264,0.231332,85,0.00329767,0.0494446,0.350711,92,2.88242,0.10459,0.00890806
