max_value,0.9667285670071185,0.9976877622677057,0.9847264182611615,0.9699798183652876,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,0.9988133581963045,0.9966224774128177,0.949831433616953,0.9045479360013438,0.9996818495148205,0.9988604421484464,0.9979943369513922,0.9943709878317524,0.965533230293663,0.8719739292364991,0.9337817638266068,0.8010716677829872,0.7027987561083963,0.5982119028556179
index_set,85,151,323,138,151,138,100,151,297,151,256,434,151,151,434,100,85,292,25,25,249,468
mean_value,0.3811917517632733,0.39132728073370043,0.40425525430288756,0.4242318566879362,0.4616336473067275,0.46661697146685893,0.465916941884065,0.43112333707495937,0.3054364123686126,0.19371786046827283,0.10111729413959146,0.43771309348261506,0.4290065731207811,0.41256493645755576,0.4044095562360021,0.3945718270833254,0.3855490660446107,0.37647917751515153,0.3383506192495139,0.2991695025248776,0.2646393607320484,0.23955256045591855

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.4110994213571805,0.46311915350406374,0.4719836400817996,0.5674193757705535,0.623053633217993,0.6834631854407042,0.6497604959143422,0.5476495043172369,0.48692545070651294,0.3890700834789361,0.11757641265837993,0.5492909244591929,0.5821020550020497,0.6973390454353466,0.6891784832653999,0.6730605600976656,0.4171610351646462,0.4291358524972141,0.47315175097276263,0.39626468351221156,0.3597543141269377,0.41716968477531857,0.939381,0.0365126,0.011666,19,0.00173894,0.0282303,0.469013,83,3.26613,0.568117,0.0016282
1,0.5263419483101391,0.6795080367020239,0.664420871559633,0.7374288234822359,0.8835996687421404,0.8091828616888282,0.8237507704618445,0.8447184680086562,0.7501774573168454,0.6674072274100045,0.03302957173216148,0.7855458515283843,0.8244772111296218,0.8377924283653232,0.8287651879061881,0.8161978277822357,0.5340252514444682,0.5371865245936929,0.5160446635147369,0.4936012797440512,0.44258964847200144,0.4287218764959311,0.952068,0.0389953,0.205131,85,0.0086946,0.0123811,0.0755589,41,0.662755,0.573052,0.000654239
2,0.4726139231111771,0.6895462855243477,0.7008141112618724,0.6989058142029607,0.6548376184032476,0.5345672664952871,0.7910405571950295,0.6620352827249378,0.0038531566244653925,0.002791405853493467,0.0,0.8026957018044518,0.7950490105904922,0.6443256968525573,0.7846255798542081,0.7835376869896177,0.7646536412078153,0.7203315881326353,0.4714111922141119,0.4313904068002429,0.3036449595851761,0.2149418248622168,0.983469,0.0778654,0.0763758,70,0.000882131,0.0183783,0.352253,53,0.603704,0.383059,0.00453861
3,0.37727110794442464,0.38490471414242733,0.44407932444308584,0.5295532869497366,0.6590825688073394,0.6953427714203868,0.6316367668853444,0.527431421446384,0.36381066296107367,0.14534244292617893,0.06811102910823963,0.627338428023099,0.5924135589157662,0.6280633060430985,0.5964114784628631,0.5594366111212843,0.3790943261141937,0.36947230702136935,0.36876469051971794,0.35837563451776655,0.32691850795913524,0.32965660770031213,0.917233,0.0572132,0.127477,7,0.00931045,0.0296515,0.101416,29,1.21317,0.757108,0.00911706
4,0.4326429980276134,0.5094616119783371,0.5489697739856585,0.63092700583149,0.5744958133776431,0.6586603747963063,0.6823561024217114,0.6963605908329527,0.044352454169130695,0.0705625606207565,0.039336722343258246,0.7685307813901824,0.71247036973681,0.6115927842259824,0.6992430568650163,0.6871910595314851,0.4397554129911788,0.4337602752819728,0.40892837793910497,0.38373544093178036,0.4123505976095617,0.3543332968116577,0.937604,0.0828666,0.424221,48,0.0090314,0.0235762,0.0482436,76,2.77054,0.700622,0.00724146
5,0.517147088982568,0.5703589671821426,0.485912865006064,0.5563090762149057,0.629200763334088,0.6865879401596966,0.6513014213597794,0.6229324260740526,0.5812185779267417,0.3279245283018868,0.0342162056111438,0.6022539760558929,0.5447825922992797,0.5292619220026895,0.6290992039695698,0.5981086797750145,0.5183873915029694,0.5233843062841834,0.48557331331116593,0.5056300268096514,0.44610359309379377,0.2391563007030828,0.960067,0.0468676,0.37626,46,0.00199239,0.0269128,0.292586,46,2.95177,0.689546,0.00123822
6,0.3567073170731707,0.3581845758954615,0.41104902030133694,0.48496981830315167,0.6328400281888654,0.6667052156817393,0.610029381006922,0.4414496091739972,0.2725126351127015,0.10981702964781259,0.030765444253014973,0.5564347932768985,0.5426569332381945,0.5729290254898778,0.5441284461891336,0.508929624976574,0.36868244230207425,0.35676932016269614,0.3333598662739792,0.3317818565030298,0.34032826201004274,0.3289885297184567,0.911937,0.0629033,0.397519,82,0.00014926,0.0473761,0.460771,40,0.521198,0.619888,0.00346639
7,0.15270794426088208,0.1200072704139592,0.1464980544747082,0.09611393870551999,0.14306805734152495,0.1084644353402916,0.0930884051152645,0.07976724113929334,0.054016344428941654,0.05451208320587331,0.030351953503390372,0.11359648238165354,0.12279202279202284,0.06246670863396442,0.056761519139204464,0.04251579696196173,0.16266951700180377,0.135242198901939,0.1031577505308583,0.08982925018559762,0.08281046525393632,0.07979473298370265,0.925437,0.0922494,0.480344,5,0.00432287,0.0337693,0.0927242,34,3.5948,0.241864,0.00205125
8,0.3316378433367243,0.40672046248343974,0.43086515118075475,0.49419832534101915,0.4461795052079075,0.5726833076706208,0.39676245343822314,0.4160404677247902,0.25995418348423693,0.18598649057364658,0.09316926461639286,0.4712943861651231,0.5986435070306038,0.5342508703267239,0.5273530080192201,0.44826627431444555,0.31340152111198527,0.3246604041359735,0.31838124549800273,0.275930494476027,0.26709671598700835,0.2927647573665273,0.928568,0.0179821,0.259806,82,0.00602871,0.0391735,0.256844,54,3.44072,0.449533,0.00367587
9,0.607577989021288,0.7399967861160213,0.6730403443788167,0.6881456611570248,0.7887038475830153,0.7160987767684386,0.7081916723331068,0.8418680868496518,0.8623215549173846,0.5124092520682086,0.014609508703093077,0.799559277214632,0.8552005438477226,0.8808055975794251,0.771852457580094,0.8370382671822733,0.6714285714285715,0.7089488636363637,0.685649525428531,0.6207542123562451,0.5414196906173196,0.4164046870534438,0.977942,0.043749,0.242867,2,0.00135243,0.0107103,0.366853,47,2.05565,0.467266,0.00404959
10,0.3971125902315553,0.4235456426764773,0.48056566324842875,0.5793760893536798,0.7387459807073955,0.7228613523087051,0.7522205031230302,0.5917242537000251,0.4420953279848986,0.3531162790697674,0.09296719231466377,0.6798066474313336,0.665099000118563,0.7269460150259468,0.6506843419127142,0.6201593337866539,0.39677781940801793,0.3967406574880584,0.39743589743589747,0.3554590128908197,0.3596188931684573,0.34190829154857927,0.92189,0.0481088,0.17721,3,0.00360628,0.0114488,0.467692,42,0.795213,0.672578,0.00134505
11,0.2598761477685244,0.2419010669253152,0.23461427333140705,0.28631648180812586,0.3073051829933787,0.32314626400167357,0.2852461346515264,0.22079475176820307,0.11427733138418616,0.07247719893622229,0.024171063821562533,0.2269009244470258,0.3544800523217789,0.3226838706354265,0.22322009271431542,0.2118614066421961,0.23624213836477992,0.20721387283236992,0.187277543249731,0.18159593806807495,0.22881225463782617,0.17333877598623781,0.908854,0.0110101,0.427652,38,0.00384914,0.0487725,0.229517,91,2.66458,0.232028,0.00520289
